,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,144.86129754636974
48250,1,爱上江西，没有理由！[哈哈],8.259128113990217
100168,0,计划赶不上变化[抓狂][泪],15.702627282740677
22319,1,芭其乐，大嘴快乐的家伙[爱你],194.93440604697025
70122,0,传统已逝??????[抓狂],43.01491946906246
6338,1,谢谢哈! 欢迎常来![鼓掌],58.97778727222973
20081,1,胖子手感好啊！[鼓掌][爱你],24.247029970655593
23064,1,生快！[干杯][蛋糕][鼓掌],43.57928871616195
84060,0,居然把我干儿子装脸盆里！[怒],66.57511880442397
93871,0,三哥总是这么的让人惊喜[晕],36.414862266982865
104161,0,此刻后：ko了... [晕],307.8950088242391
40416,1,[害羞][哈哈]@魔王1987,54.93484850808642
15376,1,随手拍祝大家周末愉快！[爱你],12.593573839001118
10199,1,是滴，美女。欢迎哦！[可爱],65.04529383398044
71224,0,偷贡品。不怕报应啊？。[衰],244.4196602124275
12238,1,[哈哈] //@独眼u:哈哈哈,22.67334740801999
77537,0,求二手智能手机。。。[抓狂],46.98769350832014
55063,1,是帮你挡酒的男的么？[嘻嘻],30.5027134451254
21548,1,原来很多国家都免签![哈哈],20.50843601041472
38076,1,百变大咖秀真的很快乐[哈哈],18.716383495128653
84198,0,[泪]//@那木错:[微风],91.17262680904783
27872,1,哈哈，强大[鼓掌][good],90.68548423255477
48051,1,眼睛一眨，美妞变辣妈！[哈哈],27.758045653334804
18029,1,祝大家十一小长假快乐[太开心],44.505005333367286
115177,0,[泪] //@袁腾飞:[泪],16.430346569241102
114619,0,可怜的风扇[泪] 我要等正版！,44.925877576980774
64870,0,固执的大叔这场又好危险[失望],71.12137454528295
74958,0,办公室都是孩儿他娘！！！[怒],55.255670909384015
77734,0,//@地狱中的八尾猫: [衰],45.22299407336401
51580,1,财神到我手?[偷笑][鼓掌],64.04571796379149
54352,1,爱吃牛排的童鞋举个手~[爱你],86.84663545972762
8324,1,开始喽，看起来吧！！[鼓掌],44.93411330608908
106626,0,受伤，是个超级不好的消息[衰],44.78930274585393
15031,1,[哈哈][哈哈]收费大调查。。,14.84845391156197
8249,1,用美食向大家说早安~[嘻嘻],28.59987130690309
59782,0,愚人节的游戏，银行也玩呀[衰],30.483790971604343
110113,0,[衰]弄破了，基本上不会复原！,13.121403412326137
11405,1,哈，回忆录写到哪了？[嘻嘻],30.981484335176848
81138,0,书人搬家，其实就是搬书[晕],55.25114474283201
14831,1,《时尚旅游》也玩街拍了[哈哈],29.350810448020532
51446,1,阿姨做的菜相当好吃呢[爱你],22.954511756461862
73965,0,Facebook 还在跌[晕],188.35167456845963
101129,0,[抓狂] 你是在哪里腐败~~~,35.25784502317156
104892,0,男人动手…[怒][怒][怒],9.637485718810247
66040,0,我在这里：#闸北区#吃饭[泪],50.076294494351565
87632,0,难得休息的，竟然感冒了[泪],19.49623267866136
96063,0,知道得太晚了，遗憾！[失望],11.9415246987608
81716,0,社会败坏的典型!?救了[衰],100.57410914024297
92195,0,姐，我给你跪下了，这才气[晕],42.47990540112324
95696,0,[泪]同意，让他们变成海豹!!,24.80038281909244
19351,1,//@好色小湿妹: [哈哈],47.287634099470544
41680,1,我觉得总结的很好，喜欢[鼓掌],4.798072019655893
21865,1,斯坦福正门左侧草坪。[嘻嘻],21.25866734689028
2453,1,[嘻嘻]重口味爱好者的福音来咯,30.198319270129897
48755,1,转给来北京玩的童鞋们[可爱],108.00770064875323
53195,1,偷偷发张我师父的照片[哈哈],37.45862662552278
12712,1,好样的！[嘻嘻]你家就你牛！,108.71842557244918
94030,0,早知道找你买了还能越狱[抓狂],36.51899737887815
40934,1,我上班能穿成这样吗？[嘻嘻],10.338606973323277
11905,1,[哈哈][哈哈][哈哈]翔子,10.83632027517375
56807,0,还有这么不要脸的[怒] 扩散,28.870457164800538
63131,0,最近压力让我头痛 [衰][晕],24.606951235071797
29589,1,@兔子奶奶熊的娘 还有[哈哈],112.75764846655339
101122,0,堵塞，不动！我快哭了！[泪],39.4573938615303
75355,0,下辈子该她被扔下去！！！[怒],42.3056027860213
70889,0,现在的快递啊，真心桑不起[泪],58.56137275066791
93899,0,我也有中奖的时候啊[泪][泪],15.240137132691064
7932,1,[哈哈]//@大藏布:[哈哈],29.259052707925896
4819,1,有趣的“悲剧”设计！[哈哈],7.393873811034992
112114,0,有把脚崴了。。。 大馒头[泪],102.82756736456763
9343,1,这透视，照成小短腿儿了[哈哈],171.85009950855246
86440,0,下冰雹了，我怎么回家呀[泪],19.390223435591142
82229,0,我也是男人//@???：[泪],53.69481166432104
34841,1,[鼓掌][鼓掌]期待精彩呈现,6.450386783692928
106204,0,[泪]同求 粉待亲粉待亲呀！,168.03647002564938
63072,0,回去换身衣服准备第三场[抓狂],80.35901803757814
108363,0,狗狗是人类最忠实的朋友！[泪],7.925464008303385
51324,1,[太开心] 过500了~ ?~,108.4631946897613
48652,1,家庭聚会，愉快的周末！[爱你],10.27227861319137
50046,1,这么有意境的菜~~~[哈哈],28.087984505876832
69366,0,我滴亲丸子啊[泪][泪][泪],98.13782356728093
18022,1,//@电商报: 啊~~[哈哈],35.41860430142867
11792,1,谢谢喜欢我家的玛克丽[哈哈],19.487180429418515
51645,1,我发现我就是来发微博滴[可爱],26.736738899306193
75967,0,见过好多，就是学不来啊[衰],52.81254361987999
55553,0,操，你他妈干的是人事嘛[怒],76.02366977570905
63799,0,我好像午饭忘吃了。。。[晕],74.89540861330727
2403,1,生日快乐，美女快乐哦~[嘻嘻],7.7318975221582305
87818,0,[鄙视]//@钱文忠: [泪],48.05317589632814
42197,1,[good]我要好吃的[亲亲],45.309896451846875
2716,1,享受生活的乐趣[哈哈][?力],27.29777599186751
114496,0,我又错过了[衰]对不起唐老师了,26.94346480036684
39216,1,我的 剧照 ，?点咪[哈哈],406.234832325411
78602,0,英语太烂，说不明白啊。[抓狂],8.271669060577393
677,1,[抱抱] 收藏，下班的时间看,20.433558791475765
76315,0,南方的小伙伴们，保重！[衰],33.74020571748047
67304,0,唉，又一轮轰炸即将开始[衰],31.071515081090237
44036,1,吼吼吼，怎么又回来了[鼓掌],16.96009056026762
9733,1,今天早餐从简[偷笑][嘻嘻],45.75873093830465
27440,1,真滴哇~~好啊好啊！[亲亲],114.45545975725796
2178,1,带着葡萄酒去蹭饭，[哈哈]。,27.406149287260437
49100,1,晚餐时间到！自己煮的[爱你],67.8331940980715
69009,0,//@Gummi_S:[泪],46.61895093460542
3699,1,大家多多帮黑哥投票哈[鼓掌],75.65062458971072
36275,1,陕西八大怪，面条想裤袋[哈哈],83.37827683916623
74734,0,有才！唉……[衰][衰][衰],17.762753210449656
10024,1,又一位收到材料的同学[鼓掌],21.31584705985645
13954,1,今天是全国电视屏保日[嘻嘻],44.2827522686092
9691,1,多增加几款好酒才素王道[哈哈],165.8651960778219
48990,1,再奋斗一天[哈哈]，度长假。,28.78462848755853
2741,1,这就是传说中的落水狗。[哈哈],6.316239295976027
76712,0,号称几十万的沙发[晕][晕],16.184339582066144
35080,1,这是你哥？为毛这么像？[哈哈],25.650181831696294
41502,1,偶下班啦！打卡，回家！[嘻嘻],19.917322391261816
65053,0,看看我的红皮箱[泪]好可怜哦！,44.25307950421634
93676,0,没检查到作业，百爪挠心啊[泪],261.95863907192427
11655,1,[围观]中秋快乐哦。[哈哈],10.3384089871814
114061,0,[心][话筒][话筒][泪],6.427943693891665
58008,0,林子大了，什么鸟都有。[怒],7.842467900819179
40101,1,[哈哈]//@韩松落: +1,117.66041107861317
90836,0,堵车堵死了，彻底的迟到了[泪],27.47354053610979
18137,1,下午茶时间到[太开心]降降火,116.18084764091454
113902,0,结果我没下来，你下来了[衰],39.59254643779262
100680,0,//@北京熊麦宠物医院:[泪],17.703433851452797
35326,1,送个艺龙旅行梦想吧！[哈哈],50.39281218300318
