,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,23.064523291032426
37994,1,局气！规矩！管虎导了俩影帝了！,1091.0716574471176
45474,0,前半段真好看，后半段越来越萎,14.398772560255713
37018,0,前面的剧情看得我尴尬癌都犯了,17.67149986187712
39152,0,混乱的情节，特么矫情无下限。,25.959186578766797
4952,0,适合能静得下心和有故事的人。,13.395602182633054
49922,1,最是人间留不住朱颜辞镜花辞树,578.9048708342303
18895,1,超级治愈又感人，狗狗真的好暖心,18.979970521979848
16855,0,密室设定很有意思，可惜未能维持,23.044522020081317
33344,1,原来巴萨的德国馆还有这个用处,115.24539014786802
43014,1,丫丫真的太美了，前夫哥好可爱,43.08300054651581
30945,0,烂的一逼，啥都没有，狗屁不通。,23.995232973348656
11202,1,这个玛丽苏我喜欢很好看求续集,63.04622456686044
43097,1,看了点映，好多戳中我泪点??,334.87542756934056
7229,0,郑恺和郭采洁还挺有cp感的。,109.5867517780764
46824,0,民乐要靠二次元来拯救了嘛……,72.6196222269407
44791,1,反正我追完了，为了女主的颜值,44.12818242705514
40750,0,我朋友说，她尴尬得想原地去世。,44.048395146560715
24357,0,今年作品太多了，有点透支了。,16.542010543181476
12065,0,我是真的觉得孙悟空的扮相太丑了,40.97983008894393
44782,1,还可以吧……感觉题材还算新颖,7.2369909516550734
11314,0,看完情圣来评评这部这部比情圣好,34.80138608392774
19047,1,它令我想起曾经怦然心动的轻吻,15.37383654423423
45899,0,发哥抄着烂片专业户就去了。。。,374.34319280347273
14214,0,第一集演得什么玩意儿，尴尬死了,13.088418862508236
31414,1,热热闹闹的，看得我好开心啊。,10.141047998090635
25276,0,煽情煽成了MV，大家都笑了。,63.700831473677894
47776,1,最喜欢的科幻故事，很成功的改编,8.929188380025208
45012,1,还算可以哦，故事讲的挺精彩！,32.509011448178676
49786,0,被黑天鹅惊艳到了！美轮美奂！,30.179059567504286
11029,0,到底在演什麼啊？？大爛片！！！,49.18954054580019
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,17.728435716584467
3121,1,你无车无楼无番狗做乜要拖我手,699.3457053604426
9512,0,最弱版劳拉了吧？太弱了太无聊了,127.07645046360814
15976,0,重拍经典，孩子对恐惧的克服。,13.914895730824256
26862,1,太好看了！笑得我内分泌失调！,29.320467657353085
30395,0,本来两星，加一星给受罪的演员吧,102.19843357423443
22972,0,《星际特工：全宇宙看我们尬爱》,58.88680243210491
30570,0,特效不错啊，但剧情就大简单了,38.10575324404608
20588,0,气氛到位，演员不存，故事简单！,21.041215680420073
13869,0,看的点映，形式“精致”的大烂片,72.09814811544696
24216,1,最后居然没搞你们还是人吗？？？,55.4213632970476
32991,0,平淡真实不温不火我没懂哭点在哪,132.6826770892511
1732,1,其实伍迪哈里森演的是一个天使,38.09974882055648
4472,1,陈可辛拍商业文艺片真的不错~~,37.63922246168907
33439,0,泡泡妹子打打架，兄弟情在哪？,60.629879536679994
11847,0,一部非常尬的电影。不推荐观看。,7.153673795148073
16369,0,张艺谋式的漂亮画面，何必3D。,62.706196122476996
31321,0,"我不信你们没东西怼地雷啊=""=",217.3792371846405
18949,1,少男少女必看，爱与美的启蒙。,29.44251666127625
32102,1,迪斯尼的动画很赞，配乐很好听！,21.905446615962806
9630,1,喜欢坎妹素颜的劳拉，期待后续。,122.8094182500538
1571,1,演小安生的小朋友很像岳云鹏啊。,93.88090734038569
38226,1,你猜不到的结局…猜不到的惊异…,26.27404750537141
17406,0,卡尔文老师不是触手，是海蜇皮啊,76.88630179366983
24554,1,我不会说情话，只知道陪着你。,11.59275811202529
6181,1,腕龙站在码头哀嚎的场景太泪目了,104.18745733028024
6583,0,比较难看的伪记录僵尸片...,21.853199609479486
6224,0,cctv6盛产类似的古装片……,65.07278279128664
39086,0,打一星以上的人都是咋想的！！！,40.32503045517328
14019,0,好吧，为了阿姨们的搏命演出。,43.29198051655705
10409,0,勉强合格。觉得周冬雨有点厉害。,18.36419329811188
24108,0,Highlyoverrated,2926.529179322075
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,209.42447978658595
6067,1,妈的吓死我了叫得我嗓子都哑了,212.87434804920133
9505,0,寻父，遇彦祖。掘墓，炸病毒。,192.53992452937706
41265,0,嗯电影院椅子挺舒服，睡得挺好,36.028220876539216
48553,1,Pixar真的没有让我失望过。,17.457564892121976
24690,1,看完只想把所有好东西都给它……,11.423012783038983
6635,1,我给你四星，反正我就是胆小。,27.0094353690327
4338,1,除了人贩子，所有人都是受害者,7.03563036055894
25535,1,逃离已知世界的勇气令人敬佩。,20.50512156342179
17716,1,老一套温情，稍稍让我有点麻木,104.2229843911336
47637,0,我特么就想知道那句中文是什么,13.124956179527592
8508,1,好看！但是最后那关不过瘾???,21.79245667519126
23534,1,谁能拒绝穿护士服的余春娇呢？,41.99601163546347
26207,0,太恶心了~不要看~建议哈···,36.00828336151288
28591,0,主角明明是章鱼，你叫潜艇总动员,34.211158341840374
19643,0,没看。但是五星水军太恶心了。,68.77950198980164
31415,1,爽着爽着导演就给你喂了一口屎,39.15229240436159
2047,0,好的地方都是老舍的。★★★☆,155.59539741829653
9358,0,感觉在铁匠铺呆了一宿。。。。,16.99268581055934
27611,1,勇敢、努力、坚强的女孩都是公主,15.62503407830248
24947,0,埃德加赖特的GTA6？太屎了,1108.0609468236896
24137,0,小哥有精神洁癖呀，这点好赞。,38.16541344714218
18739,1,永远不要忘记你所爱的人，感动,6.882213227049557
26928,0,把所有人都拍这么难看太不容易了,9.993445892908811
15616,1,就想知道睡觉打呼噜的人怎么办,6.144270272133031
49084,1,能把蒜皮当雪花的姑娘你真好。,41.338852710142724
46654,0,我没想到加分项竟然是景甜老师。,47.11714159820629
31054,0,交通安全宣传片，情感关系咨询片,6.9010168080995555
22682,1,Kylo在色誘Rey啊啊啊！！,436.76521572093014
21126,0,演员升级，故事降级，无聊透了。,21.756174567350424
19669,0,车行径你妈逼去死！杀人凶手！,210.70785582562857
38351,1,最后奔跑拥抱那里真的好感动。,19.69560188171504
29835,0,女个坏女人挺好看的，好友真真,37.431252436844964
20290,0,犯我中华者，虽远必诛其超市！,121.30112553328463
32379,1,我眼拙。不过剧情还是吸引人的。,14.452799495306502
7517,1,看哭了，我是不是自我代入太努力,66.75971984877691
47322,1,生命不止，奔跑不息。励志电影,14.498688711371631
48159,1,全片都是彩蛋。最后两个彩蛋。,10.981948221730953
39334,0,馮小剛的電影，簡稱「尬影」。,22.34289699406454
30801,0,特效不错吧，其他没什么感觉。,16.991854458634695
48912,0,莫名其妙，演到一半变得毫无逻辑,14.791004262701707
27998,0,好玩，看完很放鬆的輕鬆喜劇。,13.208381160573
5783,0,为了第三部放恐龙也是牛逼……,126.37606976871798
25444,1,剧情紧凑，案件逼真，很好看。,10.152820888003124
45902,0,发哥近年来也都是接的烂片子啊,116.53713759772788
41165,0,不是赵丽颖差，而是朱琳太好。,92.48625668406818
3114,0,题材不错，可惜片子真的很一般。,12.825509276642533
28516,1,披着科幻片外衣的恐怖悬疑电影,13.991604205818867
45673,0,他们都在打酱油不要冤枉甜老师,99.28600912429476
44474,0,虐杀白垃圾的感觉真的会超爽吧,46.363769307713305
2914,1,verycd上的三级太强悍了,120.77757225746757
36553,1,比我想象的好看，和妈妈一起看的,10.418233038555384
35983,0,世人久不见苍鹰，竟觉秃鹫美。,182.83814569406087
24574,1,看完了真的值得深思，很有深意。,18.329644056793928
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,349.8917918506253
3072,0,忘了讲什么了。7分吧。看完了,27.65510826836256
43841,0,立体机动装置的镜头拍得真是丑啊,30.148332659697914
13535,1,答应我一定要去看3D的好吗？,8.464941700888978
27935,1,能吓到人的恐怖片就是好恐怖片,8.45139159681295
37463,1,“这房间里面的书都是你的了”,65.42469127371629
17012,0,傲慢自大的朝鲜人领导了此电影,20.970525027931664
50167,0,下錯片來看了，這片看著噁心。,75.06041170532686
25900,0,把功夫都用在P超人的胡子上了,181.1756088305576
43522,1,我不管反正我看哭了我要给五星,69.09600761957876
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,23.850272410808813
40591,1,“你出得了海，你上得了岸吗？”,45.660433110447705
23780,1,绝望感，徒劳感一点点地蔓延。,121.38886955127377
33622,0,哇，大咖云集的大烂片。。。。,50.48338835943797
6131,1,真正的大片，真正的视觉盛宴。,13.142328295770053
49046,1,仗义每多屠狗辈，负心总是读书人,186.10483005164002
23480,1,你爱我我爱你你变成我我变成你,14.579229530488297
30778,0,只是猩猩版的胜利大逃亡或者越狱,33.327812876939106
26793,1,休闲娱乐的一部童话故事片子。,11.358527905095306
47988,1,尊重与认同，是靠实力争取来的,15.589226234493259
7844,0,最后还逼着看了场广场舞好尴尬啊,64.85588963999757
16611,1,休格兰特荣升英国周润发宝座【,591.3884990498449
7068,1,最后怎么突然就玄幻起来了？！,34.75327919373979
33251,1,反转反转大反转，值得好好用心看,70.62242389046689
34533,0,三星半吧。女主挺美。剧情太扯。,81.39335611982033
41274,0,我不懂林志玲存在的意义是什么,8.28826653750073
2571,1,我还蛮喜欢的vintage耶,181.560320928768
7017,0,视听成熟，剧作幼稚，表演出色。,14.565015472957526
33663,0,渣看首映看的睡着为中国电影难过,137.8836877910003
41653,0,这是东野圭吾被黑得最惨的一次,20.5730997913604
25798,1,挺好看干嘛取这么一个傻中文名。,106.70185785788185
37930,0,其实很一般，老流氓逝去的青春,11.497573404348337
41139,1,称得上是国漫精品了。继续努力。,14.136195222967906
44855,0,一把年纪还在拍动作片也是心疼…,26.54804245211408
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2.696362273249797
23669,1,人性的丑陋，不敢看透的人心。,34.61601957308685
40921,1,我相信，看粤语效果会好很多。,16.620565215784858
5358,0,我怎么就这么讨厌这部电影呢？,5.69699721664026
31300,0,合格爆米花大片附加價值觀輸出,71.30708392701796
47443,1,故事不是关键，弥漫的氛围完胜。,32.28500935778966
19329,1,一生筚路成天地，半恨亲仇错缘君,769.4032900467289
30647,1,还行，大猩猩很酷xxoo都懂,193.3025808771212
20601,0,禁闭自己的永远都是内心的魔障,36.70583124409541
27721,1,视觉效果，故事和音乐都值五星。,11.504556727142274
14381,0,演技在线，剧情太狗血，已弃剧。,9.447505900879394
29587,0,看到同性恋题材，就忍不住给一星,9.294000276812799
48737,0,歌舞剧，唱唱跳跳还是不错的。,17.802418161223095
50409,0,工业合格，但就没有一个点戳到我,155.77212741756304
1758,1,我和我边上的大叔一直在抹眼泪,49.87227900594623
23547,1,坚持住十分钟影院并没有放错片,56.16105484462205
27665,1,迪斯尼已经掌握了套路的水龙头,58.90086873456583
39726,0,汤姆汉克斯总能逮到机会跑两步,127.15018236772785
8664,0,好看是好看，但是不值那么高分,38.907798726184105
2319,0,恕我愚昧，不太懂讲了些什么。。,28.4765852056235
4770,1,真的是开怀大笑。还不被灌鸡汤,82.00107710308949
34765,0,呵呵，挑了这对侠侣可够XIA,185.1188447178069
43012,1,丫丫的美看着舒服，还是值得的,25.603947542816698
35486,1,尺度真大…超过好莱坞了…我喜欢,24.984960732163287
46075,1,依旧霸气四射，最后的自杀是败笔,137.34882956200704
5106,1,好爱这个导演，可爱的老头么么哒,21.58537487287212
27913,0,还行吧，杀杀时间还是没问题的。,10.207959108948435
32931,1,最近看的一部电影……哈哈哈哈哈,5.528719703833472
19843,0,这片名，也是醉了，剧情也一般,43.53071184769148
40765,0,烂死了的片子，完全没有演技可言,16.91179028353825
27377,1,"Youjump,Ijump.",77.0882843725426
15068,0,在云山这一大段剧情，太作了。,67.99422333510753
10327,0,不就一国产玛丽苏么有几把个甜,1536.416791368699
47218,1,那个时候的小汤哥真帅！演技惊艳,55.0641934886794
7838,0,把李治廷当成王力宏从头看到尾,90.78592505461326
33992,1,告诉我有多少人只是来看小黄人的,8.175691549782231
15138,1,百合小姐姐颜值巅峰，温柔似水。,13.902062321024061
22189,0,高考思想，中考提纲，小学情怀,41.70936908569993
27336,1,撸辣么多次的片居然没打分...,52.32090595183696
30785,0,感觉人类小女孩就是个摆设……,29.258866292186273
