,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,32.02965374369166
7598,1,手机质量很好哎，就是没有送礼品,18.140514078011357
43849,0,有差异的产品，下次不会选购了,21.566397358247954
10361,0,东西搭配了一堆没用的，给差评,13.84407070402547
3099,1,一般般 会有卡顿 看电影还行,76.88495412583595
28438,1,不错很满意，物流小哥很给力。,30.206426092187325
34577,0,京东的配送就这样吗？真是失望,21.469612996671074
12015,0,非常不满意，大型游戏根本玩不了,4.551622905916342
31819,0,垃圾京东，收钱不发货，趁早倒闭,21.4252314491647
42623,1,衣服面料很舒服，柔软，大小合适,11.456745878798111
43428,0,哎与图片差距太大真心接受不了,48.88339169859746
38964,1,面料很好，款式时尚 穿上很舒服,31.492984330852142
32231,0,洗发水不正宗的，洗完头皮屑很多,51.2990538028013
17545,1,京东商城的商品实惠，继续支持！,9.45840751306637
36576,1,蒙牛出香蕉奶啦 味道还不错哦,124.01692130219857
6653,1,快递速度很快，平板用了还不错。,21.219603579291533
39896,1,大小合适，有弹力，辉常满意！,52.72080753772417
38971,1,刚收到货，很好，物超所值！！,42.1125575967265
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,23.034554394907946
29583,1,超值值得购买！便宜实惠真的很好,16.96100065971289
12956,0,不咋好，显示不清楚，想贴膜的,42.34880174420328
31712,0,不好，这么贵还不好，我也是醉了,39.81959755833198
31680,0,啥时候到啊下单好几天了还没到?,51.8817482475496
60362,0,很一般，价格不高，但设备差！,18.668426961818223
45785,0,没穿几次就破2个洞，做工不好。,62.72393472353691
30820,0,被坑了，不好用，只能给一星?,86.7562499324979
10933,0,送货师傅不错，平板质量一般般,47.937816163568975
40218,1,穿上很舒服，面料不错，蛮好的,48.07527852594912
36597,1,蒙牛滴。。。口感醇厚，不错～,243.7241289592154
47403,0,衣服不行 ！！！ 快递也不给力,122.85621579708186
42213,1,质量好，做工精细。非常满意！,5.527567805813316
31785,0,不好用，味道太浓，不适合男人,12.614503929569118
46015,0,质量没有想像的那么好，不要上当,4.5241927375908855
42170,1,款式新颖，又合身，孩子很喜欢,8.90862194247922
43150,0,欺骗消费者！！！严重不符！！！,12.234449173566794
45415,0,商品没图上的好看，面料也不多好,77.78720448105211
30230,1,价格实惠，服务好，东西不错。,4.611301544885573
47927,0,没收到商品，一个月了，差劲。,26.578739693128774
30018,1,好，不错，得蛮多的，划算，喜欢,61.19393565162335
26817,1,到货好快。服务好！东西满意！,13.80675180231512
5006,1,手机不错，屏大清晰，速度快。,18.054036056494336
44936,0,洗了掉色特严重，很硬，还没穿,116.46244637488154
16856,1,还味吃，现在觉得苹果越来越甜了,39.443414484913625
3845,1,不错 很喜欢 华为平板666,161.13766405788624
28242,1,洗发水好用，洗过头发很清爽…,44.9679831091071
42123,1,可以 比较满意 穿了再来评价,38.053702925351
34621,0,有一瓶盖子烂了，流的到处都是。,34.78103972017705
33650,0,使用一般，和国货区别不是很大！,20.85246207945165
5554,1,好好的一个好的自己选的好好好货,39.78972790252721
30937,0,说好的吹风机在哪！太垃圾了！,14.891500947779623
60557,0,服务很一般，设施和装修也不好。,19.62666115133153
46810,0,真的和网上看的差别真大，好垃圾,11.765614380076006
25754,1,看着还可以，小的赠送旅行装不错,56.90318550018415
43705,0,物流太慢太慢，衣服不怎么样，,18.978068408612877
18630,1,个头小但很甜，用来做早餐正好。,19.707886863134295
41784,1,商品不错，物超所值。真实体验。,23.56471278209588
45106,0,非常一般，不推荐，不要贪便宜,12.040133134041119
31546,0,昨天收到今天就降价，太过分了！,25.15535635565315
43624,0,有股刺鼻的味道，还特别脏，差评,23.710609020840096
10107,0,差评，保护壳都没有，5星差评！,15.462958085018453
32824,0,不好用，不适合我的发质，起头屑,35.88819752827992
4883,1,不错物流给力，值得信赖，正品，,79.33186338514467
31305,0,发来就破了。。懒得跟客服叨叨了,193.98055293413725
17539,1,性价比真他们高。。。。够味还脆,140.97714774270136
3991,1,不错，给妈妈玩游戏用的，很喜欢,4.445331404531139
35438,1,安装好了，还没用，感觉挺好的,16.625927282141546
10959,0,骗子。垃圾货。收到的卡装不了,92.80646207121761
38859,1,衣服挺好的，我一下子买了两件,10.399455462055036
33344,0,还品牌垃圾要死，越洗越多头屑。,58.24722455857171
11811,0,不好买来好后悔玩游戏好卡差评。,116.92729502520311
26497,1,一如既往的快，态度好，日期新。,26.839081652338233
39505,1,裤子面料不错的 版型很喜欢啊,110.5383871631566
34065,0,买了很多次，这次的是假货，失望,42.18460962749544
57426,0,服务不好。乱收费，非常不满意！,11.338579154196527
10211,0,cpu太差 一点都不流畅 亏了,109.67614488682842
6071,1,真正好PAD，学英语不用愁啦,66.02140077750617
46500,0,网上买几次都是烂货，不能相信。,16.696039955989914
39929,1,裤子的质量真的不错，值得表扬！,6.771474538312889
47506,0,穿了一次，扔了，好还是不好？,22.177979769983935
6287,1,屏幕够大，上手容易，物流很快。,8.393051071980988
39475,1,买回来很合适，老公很喜欢。。。,11.394074225509083
38335,1,质量非常不错，穿起来很舒服。,4.863856514788778
32710,0,就是好难受看到你日目的地后的吧,295.71109810317296
7812,1,帮朋友买的，反馈信息还不错?。,24.85828265448425
33424,0,快递丢失 不处理 没有维权渠道,33.484810877433105
39217,1,很不错哦，我又要在买多一条了,109.98295124238196
35260,0,这个商标都掉了，可能是二手货吧,25.020779500425746
19076,1,苹果包装完好，吃起来香甜可口！,10.117768931496164
58781,0,酒店很旧，设施陈旧！花洒漏水,101.83795149012737
