,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,127.05809245212313
48250,1,爱上江西，没有理由！[哈哈],16.976861556626837
100168,0,计划赶不上变化[抓狂][泪],26.91337018994243
22319,1,芭其乐，大嘴快乐的家伙[爱你],117.82634356085111
70122,0,传统已逝??????[抓狂],104.7111398375554
6338,1,谢谢哈! 欢迎常来![鼓掌],34.96873251844458
20081,1,胖子手感好啊！[鼓掌][爱你],25.87546033647535
23064,1,生快！[干杯][蛋糕][鼓掌],64.96230647597918
84060,0,居然把我干儿子装脸盆里！[怒],61.24864966105323
93871,0,三哥总是这么的让人惊喜[晕],44.02759647943
104161,0,此刻后：ko了... [晕],359.89715587002974
40416,1,[害羞][哈哈]@魔王1987,202.5189679380112
15376,1,随手拍祝大家周末愉快！[爱你],19.29399957809882
10199,1,是滴，美女。欢迎哦！[可爱],72.36416896603293
71224,0,偷贡品。不怕报应啊？。[衰],206.27960009695877
12238,1,[哈哈] //@独眼u:哈哈哈,42.17844606531328
77537,0,求二手智能手机。。。[抓狂],69.18216120113517
55063,1,是帮你挡酒的男的么？[嘻嘻],29.590284280596077
21548,1,原来很多国家都免签![哈哈],21.35132659527499
38076,1,百变大咖秀真的很快乐[哈哈],39.55810778260146
84198,0,[泪]//@那木错:[微风],97.71388843327411
27872,1,哈哈，强大[鼓掌][good],98.51114650730715
48051,1,眼睛一眨，美妞变辣妈！[哈哈],51.73782110861725
18029,1,祝大家十一小长假快乐[太开心],60.18025465915934
115177,0,[泪] //@袁腾飞:[泪],13.955790116583044
114619,0,可怜的风扇[泪] 我要等正版！,52.216043130777685
64870,0,固执的大叔这场又好危险[失望],110.6421057682819
74958,0,办公室都是孩儿他娘！！！[怒],49.7932270444897
77734,0,//@地狱中的八尾猫: [衰],67.25501259374343
51580,1,财神到我手?[偷笑][鼓掌],115.93549523271794
54352,1,爱吃牛排的童鞋举个手~[爱你],79.58170194162696
8324,1,开始喽，看起来吧！！[鼓掌],71.29245864920618
106626,0,受伤，是个超级不好的消息[衰],36.41003429927506
15031,1,[哈哈][哈哈]收费大调查。。,16.069073038693148
8249,1,用美食向大家说早安~[嘻嘻],38.53876842729339
59782,0,愚人节的游戏，银行也玩呀[衰],50.41840084299759
110113,0,[衰]弄破了，基本上不会复原！,19.370569078390247
11405,1,哈，回忆录写到哪了？[嘻嘻],46.2983007325756
81138,0,书人搬家，其实就是搬书[晕],110.74311869018362
14831,1,《时尚旅游》也玩街拍了[哈哈],41.24448620441432
51446,1,阿姨做的菜相当好吃呢[爱你],29.61872601369501
73965,0,Facebook 还在跌[晕],312.5350147740718
101129,0,[抓狂] 你是在哪里腐败~~~,54.88770522838711
104892,0,男人动手…[怒][怒][怒],12.872442709191612
66040,0,我在这里：#闸北区#吃饭[泪],88.19748846756836
87632,0,难得休息的，竟然感冒了[泪],29.39919400579841
96063,0,知道得太晚了，遗憾！[失望],17.867266789178906
81716,0,社会败坏的典型!?救了[衰],80.52985023746837
92195,0,姐，我给你跪下了，这才气[晕],87.31358159141736
95696,0,[泪]同意，让他们变成海豹!!,23.292239660156085
19351,1,//@好色小湿妹: [哈哈],90.92593123197187
41680,1,我觉得总结的很好，喜欢[鼓掌],5.9839030189761795
21865,1,斯坦福正门左侧草坪。[嘻嘻],41.95702151354103
2453,1,[嘻嘻]重口味爱好者的福音来咯,39.38838548621168
48755,1,转给来北京玩的童鞋们[可爱],78.14510804014269
53195,1,偷偷发张我师父的照片[哈哈],37.60506406975523
12712,1,好样的！[嘻嘻]你家就你牛！,132.25424645939492
94030,0,早知道找你买了还能越狱[抓狂],59.84030709653512
40934,1,我上班能穿成这样吗？[嘻嘻],23.23411996881482
11905,1,[哈哈][哈哈][哈哈]翔子,19.887419678636487
56807,0,还有这么不要脸的[怒] 扩散,60.71180268810863
63131,0,最近压力让我头痛 [衰][晕],36.09604542839793
29589,1,@兔子奶奶熊的娘 还有[哈哈],130.79874240439787
101122,0,堵塞，不动！我快哭了！[泪],49.411458188470746
75355,0,下辈子该她被扔下去！！！[怒],43.65303731894206
70889,0,现在的快递啊，真心桑不起[泪],34.9493393749153
93899,0,我也有中奖的时候啊[泪][泪],26.96894482242629
7932,1,[哈哈]//@大藏布:[哈哈],42.42005061308521
4819,1,有趣的“悲剧”设计！[哈哈],8.46373286092549
112114,0,有把脚崴了。。。 大馒头[泪],143.52128606137524
9343,1,这透视，照成小短腿儿了[哈哈],170.82897093125996
86440,0,下冰雹了，我怎么回家呀[泪],15.757019086783354
82229,0,我也是男人//@???：[泪],90.28541905396257
34841,1,[鼓掌][鼓掌]期待精彩呈现,13.221526597029188
106204,0,[泪]同求 粉待亲粉待亲呀！,261.97082025169357
63072,0,回去换身衣服准备第三场[抓狂],86.70373253111734
108363,0,狗狗是人类最忠实的朋友！[泪],7.353656454260117
51324,1,[太开心] 过500了~ ?~,315.05917360163465
48652,1,家庭聚会，愉快的周末！[爱你],14.439478384954477
50046,1,这么有意境的菜~~~[哈哈],33.35336437620417
69366,0,我滴亲丸子啊[泪][泪][泪],160.3809570386273
18022,1,//@电商报: 啊~~[哈哈],60.13691515350345
11792,1,谢谢喜欢我家的玛克丽[哈哈],22.549104129422894
51645,1,我发现我就是来发微博滴[可爱],34.62328500328818
75967,0,见过好多，就是学不来啊[衰],59.50616243298377
55553,0,操，你他妈干的是人事嘛[怒],121.36185418879323
63799,0,我好像午饭忘吃了。。。[晕],212.2215490948914
2403,1,生日快乐，美女快乐哦~[嘻嘻],14.081791826098284
87818,0,[鄙视]//@钱文忠: [泪],70.62178609245649
42197,1,[good]我要好吃的[亲亲],121.97134214050973
2716,1,享受生活的乐趣[哈哈][?力],42.57250692864318
114496,0,我又错过了[衰]对不起唐老师了,44.107632713671215
39216,1,我的 剧照 ，?点咪[哈哈],393.11753273987364
78602,0,英语太烂，说不明白啊。[抓狂],12.225457415893628
677,1,[抱抱] 收藏，下班的时间看,26.52253872806484
76315,0,南方的小伙伴们，保重！[衰],24.334951877689214
67304,0,唉，又一轮轰炸即将开始[衰],22.393737709776325
44036,1,吼吼吼，怎么又回来了[鼓掌],26.553584336944233
9733,1,今天早餐从简[偷笑][嘻嘻],52.89356552835991
27440,1,真滴哇~~好啊好啊！[亲亲],62.34211600973048
2178,1,带着葡萄酒去蹭饭，[哈哈]。,26.328974119927103
49100,1,晚餐时间到！自己煮的[爱你],51.276010915838704
69009,0,//@Gummi_S:[泪],67.99513626154777
3699,1,大家多多帮黑哥投票哈[鼓掌],102.6218411545176
36275,1,陕西八大怪，面条想裤袋[哈哈],111.48379087913065
74734,0,有才！唉……[衰][衰][衰],24.724401285875445
10024,1,又一位收到材料的同学[鼓掌],23.913801994653852
13954,1,今天是全国电视屏保日[嘻嘻],34.16412719720515
9691,1,多增加几款好酒才素王道[哈哈],342.0677876031495
48990,1,再奋斗一天[哈哈]，度长假。,22.38738573712699
2741,1,这就是传说中的落水狗。[哈哈],10.17656334728074
76712,0,号称几十万的沙发[晕][晕],36.62568262922712
35080,1,这是你哥？为毛这么像？[哈哈],31.208157274274253
41502,1,偶下班啦！打卡，回家！[嘻嘻],54.98609170559075
65053,0,看看我的红皮箱[泪]好可怜哦！,54.54598350812878
93676,0,没检查到作业，百爪挠心啊[泪],287.3787249870673
11655,1,[围观]中秋快乐哦。[哈哈],14.52326380835763
114061,0,[心][话筒][话筒][泪],9.114799700086458
58008,0,林子大了，什么鸟都有。[怒],14.50021636990779
40101,1,[哈哈]//@韩松落: +1,139.47862242316756
90836,0,堵车堵死了，彻底的迟到了[泪],35.73938446327617
18137,1,下午茶时间到[太开心]降降火,140.31332745463413
113902,0,结果我没下来，你下来了[衰],26.7972632125666
100680,0,//@北京熊麦宠物医院:[泪],21.294050298530077
35326,1,送个艺龙旅行梦想吧！[哈哈],52.40456142990453
3527,1,花粉们，可以试一下哦~[嘻嘻],24.51494830704097
12398,1,加油[爱你][嘻嘻][嘻嘻],14.758593352802281
61181,0,帮转！[泪][晕] 闹心的事?,268.6000208600222
25838,1,亲亲客气了哈~喜欢就好[爱你],80.30990900335043
94418,0,看到了中国足球的春天了[泪],17.128663786092716
14036,1,[鼓掌]//@毛丹青: 扩散,183.16919589255016
