,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,16.945081253715717
48250,1,爱上江西，没有理由！[哈哈],5.875137051105476
100168,0,计划赶不上变化[抓狂][泪],6.497843295161563
22319,1,芭其乐，大嘴快乐的家伙[爱你],46.35339681169663
70122,0,传统已逝??????[抓狂],20.4482450802401
6338,1,谢谢哈! 欢迎常来![鼓掌],8.335961235937035
20081,1,胖子手感好啊！[鼓掌][爱你],8.609443058952822
23064,1,生快！[干杯][蛋糕][鼓掌],20.78342897502529
84060,0,居然把我干儿子装脸盆里！[怒],26.69914366050042
93871,0,三哥总是这么的让人惊喜[晕],21.75700523357998
104161,0,此刻后：ko了... [晕],53.46863476205568
40416,1,[害羞][哈哈]@魔王1987,17.134295450790066
15376,1,随手拍祝大家周末愉快！[爱你],6.630143200665458
10199,1,是滴，美女。欢迎哦！[可爱],27.55601348848657
71224,0,偷贡品。不怕报应啊？。[衰],117.99716667388559
12238,1,[哈哈] //@独眼u:哈哈哈,14.298897904959688
77537,0,求二手智能手机。。。[抓狂],9.477515372646668
55063,1,是帮你挡酒的男的么？[嘻嘻],15.443105825232442
21548,1,原来很多国家都免签![哈哈],10.841994865568292
38076,1,百变大咖秀真的很快乐[哈哈],6.218705856480868
84198,0,[泪]//@那木错:[微风],64.27117198513271
27872,1,哈哈，强大[鼓掌][good],16.00879746292945
48051,1,眼睛一眨，美妞变辣妈！[哈哈],7.293380288159342
18029,1,祝大家十一小长假快乐[太开心],3.4215596773876795
115177,0,[泪] //@袁腾飞:[泪],12.224033670843413
114619,0,可怜的风扇[泪] 我要等正版！,20.899612276362777
64870,0,固执的大叔这场又好危险[失望],19.41202132320885
74958,0,办公室都是孩儿他娘！！！[怒],37.09288966485928
77734,0,//@地狱中的八尾猫: [衰],34.33468714276431
51580,1,财神到我手?[偷笑][鼓掌],24.402605303960513
54352,1,爱吃牛排的童鞋举个手~[爱你],5.180595925520665
8324,1,开始喽，看起来吧！！[鼓掌],15.78407798640029
106626,0,受伤，是个超级不好的消息[衰],10.841677195045346
15031,1,[哈哈][哈哈]收费大调查。。,10.133334871712721
8249,1,用美食向大家说早安~[嘻嘻],8.993983510748066
59782,0,愚人节的游戏，银行也玩呀[衰],10.025446398772406
110113,0,[衰]弄破了，基本上不会复原！,16.309368614400892
11405,1,哈，回忆录写到哪了？[嘻嘻],11.079939634669694
81138,0,书人搬家，其实就是搬书[晕],31.61146488975195
14831,1,《时尚旅游》也玩街拍了[哈哈],6.883507550431555
51446,1,阿姨做的菜相当好吃呢[爱你],6.7885728275216355
73965,0,Facebook 还在跌[晕],167.94982871801147
101129,0,[抓狂] 你是在哪里腐败~~~,14.474796079129238
104892,0,男人动手…[怒][怒][怒],11.124861236128835
66040,0,我在这里：#闸北区#吃饭[泪],27.17252934863567
87632,0,难得休息的，竟然感冒了[泪],8.767444879150048
