,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,15.36884828705315
37994,1,局气！规矩！管虎导了俩影帝了！,487.5715787707593
45474,0,前半段真好看，后半段越来越萎,11.522572623951627
37018,0,前面的剧情看得我尴尬癌都犯了,4.267014075402712
39152,0,混乱的情节，特么矫情无下限。,21.499013378601312
4952,0,适合能静得下心和有故事的人。,7.922583194537386
49922,1,最是人间留不住朱颜辞镜花辞树,197.54008614188047
18895,1,超级治愈又感人，狗狗真的好暖心,7.59210061025253
16855,0,密室设定很有意思，可惜未能维持,18.163371548800683
33344,1,原来巴萨的德国馆还有这个用处,24.692135274774245
43014,1,丫丫真的太美了，前夫哥好可爱,16.724692136036523
30945,0,烂的一逼，啥都没有，狗屁不通。,15.694919053067597
11202,1,这个玛丽苏我喜欢很好看求续集,35.99285373788669
43097,1,看了点映，好多戳中我泪点??,19.80332723159726
7229,0,郑恺和郭采洁还挺有cp感的。,12.561784047358925
46824,0,民乐要靠二次元来拯救了嘛……,39.04890288649886
44791,1,反正我追完了，为了女主的颜值,12.53806787610919
40750,0,我朋友说，她尴尬得想原地去世。,96.44685302287967
24357,0,今年作品太多了，有点透支了。,9.275818644337669
12065,0,我是真的觉得孙悟空的扮相太丑了,4.073648571409286
44782,1,还可以吧……感觉题材还算新颖,6.402686462371124
11314,0,看完情圣来评评这部这部比情圣好,5.884497518079801
19047,1,它令我想起曾经怦然心动的轻吻,10.754643691674737
45899,0,发哥抄着烂片专业户就去了。。。,225.25956253264286
14214,0,第一集演得什么玩意儿，尴尬死了,9.608913759933706
31414,1,热热闹闹的，看得我好开心啊。,7.458241357815105
25276,0,煽情煽成了MV，大家都笑了。,44.09983413115518
47776,1,最喜欢的科幻故事，很成功的改编,5.017277111314619
45012,1,还算可以哦，故事讲的挺精彩！,10.67530122070073
49786,0,被黑天鹅惊艳到了！美轮美奂！,6.683800649812785
11029,0,到底在演什麼啊？？大爛片！！！,63.68624088695129
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,6.971763987036191
3121,1,你无车无楼无番狗做乜要拖我手,270.83483177430946
9512,0,最弱版劳拉了吧？太弱了太无聊了,39.73230875161152
15976,0,重拍经典，孩子对恐惧的克服。,11.9501317959952
26862,1,太好看了！笑得我内分泌失调！,12.25414641947312
30395,0,本来两星，加一星给受罪的演员吧,21.189407814189494
22972,0,《星际特工：全宇宙看我们尬爱》,50.23880037029572
30570,0,特效不错啊，但剧情就大简单了,11.488512708954946
20588,0,气氛到位，演员不存，故事简单！,12.703211341148005
13869,0,看的点映，形式“精致”的大烂片,64.90996299388851
24216,1,最后居然没搞你们还是人吗？？？,17.943211735112325
32991,0,平淡真实不温不火我没懂哭点在哪,36.84118182436126
1732,1,其实伍迪哈里森演的是一个天使,17.394970393404833
4472,1,陈可辛拍商业文艺片真的不错~~,11.384347927327285
33439,0,泡泡妹子打打架，兄弟情在哪？,19.872343057077188
11847,0,一部非常尬的电影。不推荐观看。,10.764361059470207
16369,0,张艺谋式的漂亮画面，何必3D。,20.1691136979881
31321,0,"我不信你们没东西怼地雷啊=""=",69.50908469049375
18949,1,少男少女必看，爱与美的启蒙。,9.23171334079984
32102,1,迪斯尼的动画很赞，配乐很好听！,8.669469506668008
9630,1,喜欢坎妹素颜的劳拉，期待后续。,69.87214190895178
1571,1,演小安生的小朋友很像岳云鹏啊。,35.82840366029264
38226,1,你猜不到的结局…猜不到的惊异…,10.227496447983139
17406,0,卡尔文老师不是触手，是海蜇皮啊,73.9635812362582
24554,1,我不会说情话，只知道陪着你。,4.6775326274529
6181,1,腕龙站在码头哀嚎的场景太泪目了,94.78200835787125
6583,0,比较难看的伪记录僵尸片...,18.274544582256045
6224,0,cctv6盛产类似的古装片……,49.58654871953598
39086,0,打一星以上的人都是咋想的！！！,33.09945917953521
14019,0,好吧，为了阿姨们的搏命演出。,29.386912960966214
10409,0,勉强合格。觉得周冬雨有点厉害。,5.307489992737507
24108,0,Highlyoverrated,2150.218286484739
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,57.74345128769198
6067,1,妈的吓死我了叫得我嗓子都哑了,15.73146738640029
9505,0,寻父，遇彦祖。掘墓，炸病毒。,70.6185358769329
41265,0,嗯电影院椅子挺舒服，睡得挺好,16.198223928435137
48553,1,Pixar真的没有让我失望过。,14.44609846085327
24690,1,看完只想把所有好东西都给它……,8.638037910612699
6635,1,我给你四星，反正我就是胆小。,11.819655942619304
4338,1,除了人贩子，所有人都是受害者,7.001456064186898
25535,1,逃离已知世界的勇气令人敬佩。,5.453096591075195
17716,1,老一套温情，稍稍让我有点麻木,27.338322082818536
47637,0,我特么就想知道那句中文是什么,9.411303122635196
8508,1,好看！但是最后那关不过瘾???,17.309522751476162
23534,1,谁能拒绝穿护士服的余春娇呢？,20.659217574652708
26207,0,太恶心了~不要看~建议哈···,16.495453313125257
28591,0,主角明明是章鱼，你叫潜艇总动员,15.70763087700692
19643,0,没看。但是五星水军太恶心了。,25.488489208489277
31415,1,爽着爽着导演就给你喂了一口屎,11.18258040391281
2047,0,好的地方都是老舍的。★★★☆,167.4922331864601
9358,0,感觉在铁匠铺呆了一宿。。。。,22.005948045271097
27611,1,勇敢、努力、坚强的女孩都是公主,5.708532051076541
24947,0,埃德加赖特的GTA6？太屎了,356.51947325465056
24137,0,小哥有精神洁癖呀，这点好赞。,16.03303862115594
18739,1,永远不要忘记你所爱的人，感动,7.413884422832218
26928,0,把所有人都拍这么难看太不容易了,7.584734053885432
15616,1,就想知道睡觉打呼噜的人怎么办,6.169837339103038
49084,1,能把蒜皮当雪花的姑娘你真好。,13.655732486651091
46654,0,我没想到加分项竟然是景甜老师。,13.932686883793343
31054,0,交通安全宣传片，情感关系咨询片,6.608295191478408
22682,1,Kylo在色誘Rey啊啊啊！！,608.0567019206416
21126,0,演员升级，故事降级，无聊透了。,14.577774523256208
19669,0,车行径你妈逼去死！杀人凶手！,165.12538234157287
38351,1,最后奔跑拥抱那里真的好感动。,18.106738644594834
29835,0,女个坏女人挺好看的，好友真真,146.69769104704022
20290,0,犯我中华者，虽远必诛其超市！,45.87047808855143
32379,1,我眼拙。不过剧情还是吸引人的。,12.27675369992477
7517,1,看哭了，我是不是自我代入太努力,29.757688161327565
47322,1,生命不止，奔跑不息。励志电影,5.20300265981935
48159,1,全片都是彩蛋。最后两个彩蛋。,6.7119452150508625
39334,0,馮小剛的電影，簡稱「尬影」。,19.69116023805833
30801,0,特效不错吧，其他没什么感觉。,8.910464738057847
48912,0,莫名其妙，演到一半变得毫无逻辑,7.367924594677707
27998,0,好玩，看完很放鬆的輕鬆喜劇。,11.558446471659957
5783,0,为了第三部放恐龙也是牛逼……,19.41810852339662
25444,1,剧情紧凑，案件逼真，很好看。,6.84280849497087
45902,0,发哥近年来也都是接的烂片子啊,35.677071823305205
41165,0,不是赵丽颖差，而是朱琳太好。,14.781273703971967
3114,0,题材不错，可惜片子真的很一般。,6.0839982904899035
28516,1,披着科幻片外衣的恐怖悬疑电影,5.049204390245323
45673,0,他们都在打酱油不要冤枉甜老师,27.71521580208185
44474,0,虐杀白垃圾的感觉真的会超爽吧,58.65909921024805
2914,1,verycd上的三级太强悍了,71.46752550808608
36553,1,比我想象的好看，和妈妈一起看的,8.110580121487178
35983,0,世人久不见苍鹰，竟觉秃鹫美。,146.48774081596656
24574,1,看完了真的值得深思，很有深意。,4.918700762307097
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,72.99108812056436
3072,0,忘了讲什么了。7分吧。看完了,11.620138392085126
43841,0,立体机动装置的镜头拍得真是丑啊,29.009531818378463
13535,1,答应我一定要去看3D的好吗？,13.048377594038305
27935,1,能吓到人的恐怖片就是好恐怖片,10.670932018093717
37463,1,“这房间里面的书都是你的了”,16.821604879706783
17012,0,傲慢自大的朝鲜人领导了此电影,15.389869478990935
50167,0,下錯片來看了，這片看著噁心。,43.09731368591593
25900,0,把功夫都用在P超人的胡子上了,34.2285017752621
43522,1,我不管反正我看哭了我要给五星,20.750422126300172
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,21.113057181290095
40591,1,“你出得了海，你上得了岸吗？”,8.030226311617316
23780,1,绝望感，徒劳感一点点地蔓延。,24.22782286147581
33622,0,哇，大咖云集的大烂片。。。。,30.540648852307978
6131,1,真正的大片，真正的视觉盛宴。,5.729861837271075
49046,1,仗义每多屠狗辈，负心总是读书人,158.07312156111962
23480,1,你爱我我爱你你变成我我变成你,5.33203499281769
30778,0,只是猩猩版的胜利大逃亡或者越狱,35.80649715418493
26793,1,休闲娱乐的一部童话故事片子。,5.609490212093298
47988,1,尊重与认同，是靠实力争取来的,8.149638224355051
7844,0,最后还逼着看了场广场舞好尴尬啊,13.463615130073029
16611,1,休格兰特荣升英国周润发宝座【,175.1350954460426
7068,1,最后怎么突然就玄幻起来了？！,23.131120580071283
33251,1,反转反转大反转，值得好好用心看,18.56629693485281
34533,0,三星半吧。女主挺美。剧情太扯。,21.941499973227096
41274,0,我不懂林志玲存在的意义是什么,4.809043483708605
2571,1,我还蛮喜欢的vintage耶,43.35007961600773
7017,0,视听成熟，剧作幼稚，表演出色。,12.622460405133081
33663,0,渣看首映看的睡着为中国电影难过,43.09185049630893
41653,0,这是东野圭吾被黑得最惨的一次,4.722319612347707
25798,1,挺好看干嘛取这么一个傻中文名。,21.498387425743847
37930,0,其实很一般，老流氓逝去的青春,16.234135212566063
41139,1,称得上是国漫精品了。继续努力。,9.291113052131923
44855,0,一把年纪还在拍动作片也是心疼…,12.27878495470193
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,4.683388005784765
23669,1,人性的丑陋，不敢看透的人心。,12.265994581844854
40921,1,我相信，看粤语效果会好很多。,10.7714182985007
5358,0,我怎么就这么讨厌这部电影呢？,4.239222834356589
31300,0,合格爆米花大片附加價值觀輸出,151.38390430661664
47443,1,故事不是关键，弥漫的氛围完胜。,11.007151750225113
19329,1,一生筚路成天地，半恨亲仇错缘君,834.1541717718256
30647,1,还行，大猩猩很酷xxoo都懂,82.77909906798558
20601,0,禁闭自己的永远都是内心的魔障,24.472845541998062
27721,1,视觉效果，故事和音乐都值五星。,9.1108062856316
14381,0,演技在线，剧情太狗血，已弃剧。,8.480095426431857
29587,0,看到同性恋题材，就忍不住给一星,11.11201537625557
48737,0,歌舞剧，唱唱跳跳还是不错的。,8.96271857265838
50409,0,工业合格，但就没有一个点戳到我,46.34381280612692
1758,1,我和我边上的大叔一直在抹眼泪,11.373691798658244
23547,1,坚持住十分钟影院并没有放错片,30.589690305805142
27665,1,迪斯尼已经掌握了套路的水龙头,44.5941909846415
39726,0,汤姆汉克斯总能逮到机会跑两步,23.272631143980185
8664,0,好看是好看，但是不值那么高分,11.276249576010326
2319,0,恕我愚昧，不太懂讲了些什么。。,10.559657705391697
4770,1,真的是开怀大笑。还不被灌鸡汤,14.769290521498005
34765,0,呵呵，挑了这对侠侣可够XIA,167.61967627620805
43012,1,丫丫的美看着舒服，还是值得的,13.53068878016536
35486,1,尺度真大…超过好莱坞了…我喜欢,15.092232996998302
46075,1,依旧霸气四射，最后的自杀是败笔,14.533450041838336
5106,1,好爱这个导演，可爱的老头么么哒,13.497396159516244
27913,0,还行吧，杀杀时间还是没问题的。,10.268053220119452
32931,1,最近看的一部电影……哈哈哈哈哈,6.1445558699741305
19843,0,这片名，也是醉了，剧情也一般,13.471823728244432
40765,0,烂死了的片子，完全没有演技可言,7.5729828439186
27377,1,"Youjump,Ijump.",40.71543549958103
15068,0,在云山这一大段剧情，太作了。,59.29524670260043
10327,0,不就一国产玛丽苏么有几把个甜,189.6988942660613
47218,1,那个时候的小汤哥真帅！演技惊艳,8.891139534344546
7838,0,把李治廷当成王力宏从头看到尾,30.723361297550287
33992,1,告诉我有多少人只是来看小黄人的,10.973375502808766
15138,1,百合小姐姐颜值巅峰，温柔似水。,11.010499177509969
22189,0,高考思想，中考提纲，小学情怀,25.510996057882647
27336,1,撸辣么多次的片居然没打分...,41.40404787587278
30785,0,感觉人类小女孩就是个摆设……,12.356952640831075
34175,0,前面做的很认真中间拖了点烂尾,11.690484483629788
45959,0,一颗心给玉木宏另一颗心给苏有朋,99.69782136386371
8987,1,作为一个媒体人真的是热泪盈眶。,3.557593207281814
13193,1,好吧老贼，这次算被你煽到了…,59.3896985832021
6728,0,怎么笑？爆笑的都是什么人啊？,14.709857917903804
44702,0,我承认我只是想看热巴....,19.75651489695831
34149,0,现在的香港喜剧，是比谁更烂吗？,15.438664331199949
31158,1,在瑞恩面前，没有理智的评分。,20.23713955578924
38384,1,经典到不知道用什么言语来评价它,6.808712208875187
50202,0,可以排进我看过的最烂电影前三。,6.2814522392973675
36073,1,又名《这世间女子都不爱沈炼》,45.77507265458456
34034,1,可爱到爆的啦！全片脑内布兰妮！,176.51116717554916
22472,0,没有男主，防守作战，意思不大。,26.643458068377942
2174,1,范伟演的好，和耳朵大有福一样。,53.177730530937126
43765,0,看了五分钟决定来打完分走人……,33.31545571588762
50312,1,BlackDahlia·山寨货,901.3904150461191
39261,1,你觉得我的小么？我也没见过大的,12.111131960270631
33361,1,整个看到鸡皮疙瘩大起，爱死了。,35.059714665140156
36345,1,为了陈导，破例为国产片打高分！,55.415718514036016
