,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,101.00196873562807
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,8.170772146007176
768,1,味道很好！送的也很快！好吃！,3.653898474208821
2518,1,菜品好，速度快，真是太好了！,3.857189618404278
7638,0,这家店就直接没送，接单不送的店,33.259318356144774
6583,0,送餐太慢太慢了～菜品还可以～,2.94420961275745
6692,0,"下次能送早点就好啦,快饿过劲啦",46.77912711540613
484,1,"很好吃量也很大都吃不完,赞一个",15.043716605068953
11295,0,下单2个小时才送到。无语了。,5.819099703008591
2826,1,谢谢师傅，辛苦了！非常准时！,3.281657590744255
11958,0,粉很好吃，但是订了卤蛋却没有。,37.17808469103133
4074,0,"吃到一半发现菜里有小强,简直了",17.358670930405946
1568,1,米饭是硬的。。不如上一次好吃,13.096399717034862
10881,0,米饭里有一只蟑螂，让人怎么吃,4.720066276896969
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,6.831166101290012
4765,0,很慢就不说了，关键是还不好吃。,18.797576786594462
370,1,态度很好，效率很高，给十分赞,5.000952551265317
11746,0,速度慢，第一次订餐就迟到，晕,10.372161917643526
8159,0,送餐走错路，袋子还破了………,8.963186736472506
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.862145288611549
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.990676501301842
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,14.953689503092358
9911,0,石锅拌饭里面吃出了塑料包装纸袋,14.967063780371369
5045,0,菜品没味道。。。周也是。。。。,22.908352815724538
1563,1,又快又好又便宜！真心给力！！！,5.149799275610788
10234,0,面时间太长了，坨了，不好吃了,12.939893199086711
29,1,"送餐非常快,态度特别好,谢谢",4.490687660837578
6442,0,"太小了,味道一般,说多了都是泪",4.178687359260822
467,1,送餐员辛苦，饭也好吃，继续购买,4.434925628386648
58,1,"送餐特别快,送餐员态度也特别好",4.157889737565536
1652,1,很快，也好，包装也好，赞赞赞,15.43992067420035
4529,0,味道还行，就是送餐太慢了……,2.776612972800145
88,1,"又快又好,小哥态度很好,好评",8.426292911375656
4524,0,"味道就那样把,盖浇饭挺难吃的",41.95355059592563
3085,1,外卖小哥人超级好。。。。。。,4.225713746449169
10811,0,速度挺快的，面不好吃，都凉了,8.972012283940977
8052,0,"点两份鸡柳,就给送,一份。。。",85.7332165833861
5562,0,太慢，太小，吃不饱。味道还行,6.308308511228826
5132,0,不好吃。。。菜太少了。。。。,6.833522773415605
2537,1,配送非常快，10分钟就送到啦～,3.2207047462714176
2730,1,人好速度快，好评好评好评！！,13.523441652504102
6256,0,米粉比以前份量少，没以前好了,10.260556782971515
2717,1,东西非常好，还是热的，辛苦了！,3.9842459075025944
5791,0,给的豆皮果然多，只是肉变少了,17.324192781353545
434,1,很快，很好，经常订，谢谢师傅,7.977142059428974
2067,1,非常好吃，送餐很快，绝对好评,5.319666379116687
8096,0,就薯条还行！其他都不怎么样！,9.766788403908027
1952,1,味道还好。服务态度真的很好～！,6.203010256865187
6980,0,咋的跟饿了吗不一样的名，坑爹,49.91790984793899
2435,1,经常买这家的饺子，味道棒棒哒！,4.631487678767059
