,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,11.824924178669956
37994,1,局气！规矩！管虎导了俩影帝了！,298.38273126535955
45474,0,前半段真好看，后半段越来越萎,7.188926045106337
37018,0,前面的剧情看得我尴尬癌都犯了,3.6291652050753105
39152,0,混乱的情节，特么矫情无下限。,12.11188958169166
4952,0,适合能静得下心和有故事的人。,5.979292923422252
49922,1,最是人间留不住朱颜辞镜花辞树,133.9270056339392
18895,1,超级治愈又感人，狗狗真的好暖心,5.233494275033337
16855,0,密室设定很有意思，可惜未能维持,8.854445213026638
33344,1,原来巴萨的德国馆还有这个用处,17.25938486318661
43014,1,丫丫真的太美了，前夫哥好可爱,9.271125241885617
30945,0,烂的一逼，啥都没有，狗屁不通。,10.353907394804054
11202,1,这个玛丽苏我喜欢很好看求续集,24.588494356525008
43097,1,看了点映，好多戳中我泪点??,10.132885764599848
7229,0,郑恺和郭采洁还挺有cp感的。,8.165606043481818
46824,0,民乐要靠二次元来拯救了嘛……,25.792886728790556
44791,1,反正我追完了，为了女主的颜值,8.302144171152849
40750,0,我朋友说，她尴尬得想原地去世。,55.13531774719997
24357,0,今年作品太多了，有点透支了。,5.464259389258132
12065,0,我是真的觉得孙悟空的扮相太丑了,3.2288087618729913
44782,1,还可以吧……感觉题材还算新颖,4.057128716248911
11314,0,看完情圣来评评这部这部比情圣好,4.013234025046798
19047,1,它令我想起曾经怦然心动的轻吻,6.8011781367262
45899,0,发哥抄着烂片专业户就去了。。。,160.66848640607077
14214,0,第一集演得什么玩意儿，尴尬死了,7.125576272399497
31414,1,热热闹闹的，看得我好开心啊。,3.569645404751329
25276,0,煽情煽成了MV，大家都笑了。,29.50804312800275
47776,1,最喜欢的科幻故事，很成功的改编,2.8869018125987687
45012,1,还算可以哦，故事讲的挺精彩！,6.407072285928474
49786,0,被黑天鹅惊艳到了！美轮美奂！,4.714369399802831
11029,0,到底在演什麼啊？？大爛片！！！,76.16374401115328
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,4.501736369025227
3121,1,你无车无楼无番狗做乜要拖我手,150.26132522783672
9512,0,最弱版劳拉了吧？太弱了太无聊了,20.88098766638712
15976,0,重拍经典，孩子对恐惧的克服。,9.166190880679977
26862,1,太好看了！笑得我内分泌失调！,8.198692127702323
30395,0,本来两星，加一星给受罪的演员吧,11.214916048877399
22972,0,《星际特工：全宇宙看我们尬爱》,32.64500101358026
30570,0,特效不错啊，但剧情就大简单了,6.935836045515088
20588,0,气氛到位，演员不存，故事简单！,8.508830715538616
13869,0,看的点映，形式“精致”的大烂片,49.095769832383304
24216,1,最后居然没搞你们还是人吗？？？,12.709904989746056
32991,0,平淡真实不温不火我没懂哭点在哪,21.488954798947976
1732,1,其实伍迪哈里森演的是一个天使,14.351331017391704
4472,1,陈可辛拍商业文艺片真的不错~~,6.145406551487159
33439,0,泡泡妹子打打架，兄弟情在哪？,15.030360381872827
11847,0,一部非常尬的电影。不推荐观看。,8.673520462861516
16369,0,张艺谋式的漂亮画面，何必3D。,13.641215549490042
31321,0,"我不信你们没东西怼地雷啊=""=",50.47190191961813
18949,1,少男少女必看，爱与美的启蒙。,6.467735492256417
32102,1,迪斯尼的动画很赞，配乐很好听！,5.310670954845642
9630,1,喜欢坎妹素颜的劳拉，期待后续。,39.274948617046775
1571,1,演小安生的小朋友很像岳云鹏啊。,20.320561963618683
38226,1,你猜不到的结局…猜不到的惊异…,6.708411844647269
17406,0,卡尔文老师不是触手，是海蜇皮啊,52.696044989888215
24554,1,我不会说情话，只知道陪着你。,4.0433396235839645
6181,1,腕龙站在码头哀嚎的场景太泪目了,51.70445345691764
6583,0,比较难看的伪记录僵尸片...,11.091513112533166
6224,0,cctv6盛产类似的古装片……,23.34662356568919
39086,0,打一星以上的人都是咋想的！！！,20.264872620961327
14019,0,好吧，为了阿姨们的搏命演出。,18.77968740562019
10409,0,勉强合格。觉得周冬雨有点厉害。,2.8809510809764824
24108,0,Highlyoverrated,206.15685720669225
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,43.45111628001717
6067,1,妈的吓死我了叫得我嗓子都哑了,12.320799134850756
9505,0,寻父，遇彦祖。掘墓，炸病毒。,65.53427992976286
41265,0,嗯电影院椅子挺舒服，睡得挺好,8.641243017377809
48553,1,Pixar真的没有让我失望过。,7.673313484325608
24690,1,看完只想把所有好东西都给它……,4.764025375286063
6635,1,我给你四星，反正我就是胆小。,9.331765937223327
4338,1,除了人贩子，所有人都是受害者,4.99613133558717
25535,1,逃离已知世界的勇气令人敬佩。,3.3620095199454476
17716,1,老一套温情，稍稍让我有点麻木,15.784097636932785
47637,0,我特么就想知道那句中文是什么,7.898020251524961
8508,1,好看！但是最后那关不过瘾???,8.914441505082007
23534,1,谁能拒绝穿护士服的余春娇呢？,11.975038074220684
26207,0,太恶心了~不要看~建议哈···,12.671972898769381
28591,0,主角明明是章鱼，你叫潜艇总动员,11.546116290209913
19643,0,没看。但是五星水军太恶心了。,19.027805371060722
31415,1,爽着爽着导演就给你喂了一口屎,8.589566733894024
2047,0,好的地方都是老舍的。★★★☆,53.019002814624116
9358,0,感觉在铁匠铺呆了一宿。。。。,12.51187475162062
27611,1,勇敢、努力、坚强的女孩都是公主,4.080857097538643
24947,0,埃德加赖特的GTA6？太屎了,179.86288186012555
24137,0,小哥有精神洁癖呀，这点好赞。,8.326519499871214
18739,1,永远不要忘记你所爱的人，感动,5.745043748323621
26928,0,把所有人都拍这么难看太不容易了,5.34935026612872
15616,1,就想知道睡觉打呼噜的人怎么办,4.933811148297721
49084,1,能把蒜皮当雪花的姑娘你真好。,10.406672611378799
46654,0,我没想到加分项竟然是景甜老师。,9.712329275568107
31054,0,交通安全宣传片，情感关系咨询片,4.0313942157716705
22682,1,Kylo在色誘Rey啊啊啊！！,392.8544339961152
21126,0,演员升级，故事降级，无聊透了。,7.167418218122924
19669,0,车行径你妈逼去死！杀人凶手！,125.04581342184665
38351,1,最后奔跑拥抱那里真的好感动。,10.143000521860246
29835,0,女个坏女人挺好看的，好友真真,68.17368258834003
20290,0,犯我中华者，虽远必诛其超市！,33.10870167959276
32379,1,我眼拙。不过剧情还是吸引人的。,10.963872294615207
7517,1,看哭了，我是不是自我代入太努力,19.942454036207327
47322,1,生命不止，奔跑不息。励志电影,3.9642839059744137
48159,1,全片都是彩蛋。最后两个彩蛋。,5.717012065590253
39334,0,馮小剛的電影，簡稱「尬影」。,17.062887789623733
30801,0,特效不错吧，其他没什么感觉。,4.736585029759795
48912,0,莫名其妙，演到一半变得毫无逻辑,5.151300970952253
27998,0,好玩，看完很放鬆的輕鬆喜劇。,9.387459091658128
5783,0,为了第三部放恐龙也是牛逼……,13.165169682840986
25444,1,剧情紧凑，案件逼真，很好看。,4.399947276084962
45902,0,发哥近年来也都是接的烂片子啊,30.45275075894127
41165,0,不是赵丽颖差，而是朱琳太好。,10.176931038283021
3114,0,题材不错，可惜片子真的很一般。,3.511300219271889
28516,1,披着科幻片外衣的恐怖悬疑电影,3.049803544979348
45673,0,他们都在打酱油不要冤枉甜老师,26.331709481474306
44474,0,虐杀白垃圾的感觉真的会超爽吧,31.054795674680946
2914,1,verycd上的三级太强悍了,41.47702301142369
36553,1,比我想象的好看，和妈妈一起看的,4.11856659284626
35983,0,世人久不见苍鹰，竟觉秃鹫美。,96.48451201864367
24574,1,看完了真的值得深思，很有深意。,4.41700669392609
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,44.86855317703753
3072,0,忘了讲什么了。7分吧。看完了,8.551503620230491
43841,0,立体机动装置的镜头拍得真是丑啊,15.381418380822613
13535,1,答应我一定要去看3D的好吗？,8.147609150391785
27935,1,能吓到人的恐怖片就是好恐怖片,6.866238144413488
37463,1,“这房间里面的书都是你的了”,10.999857551867223
17012,0,傲慢自大的朝鲜人领导了此电影,6.699728193837812
50167,0,下錯片來看了，這片看著噁心。,35.60963430531412
25900,0,把功夫都用在P超人的胡子上了,17.01404371424484
43522,1,我不管反正我看哭了我要给五星,14.242438250031284
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,14.719970981737651
40591,1,“你出得了海，你上得了岸吗？”,5.615996535243962
23780,1,绝望感，徒劳感一点点地蔓延。,13.617919028512116
33622,0,哇，大咖云集的大烂片。。。。,14.686490597292147
6131,1,真正的大片，真正的视觉盛宴。,4.334410415465298
49046,1,仗义每多屠狗辈，负心总是读书人,133.27754680999914
23480,1,你爱我我爱你你变成我我变成你,3.5312376954993994
30778,0,只是猩猩版的胜利大逃亡或者越狱,28.074182948554068
26793,1,休闲娱乐的一部童话故事片子。,3.9262762864788154
47988,1,尊重与认同，是靠实力争取来的,7.160375987818585
7844,0,最后还逼着看了场广场舞好尴尬啊,9.394320920426095
