,labels,text,neg_logits,pos_logits
23455,0,[MASK]黑。第二部就不该拍竟然还出第三部,2.0878365,4.723678
37994,1,[MASK]黑。局气！规矩！管虎导了俩影帝了！,2.380764,5.5135064
45474,0,[MASK]黑。前半段真好看，后半段越来越萎,2.5999117,5.6063733
37018,0,[MASK]黑。前面的剧情看得我尴尬癌都犯了,1.4834355,3.8499992
39152,0,[MASK]黑。混乱的情节，特么矫情无下限。,1.797172,4.972032
4952,0,[MASK]黑。适合能静得下心和有故事的人。,3.6357453,6.3608575
49922,1,[MASK]黑。最是人间留不住朱颜辞镜花辞树,3.2963972,5.958709
18895,1,[MASK]黑。超级治愈又感人，狗狗真的好暖心,2.695558,5.607856
16855,0,[MASK]黑。密室设定很有意思，可惜未能维持,2.8168764,5.6765647
33344,1,[MASK]黑。原来巴萨的德国馆还有这个用处,2.9787056,4.31619
43014,1,[MASK]黑。丫丫真的太美了，前夫哥好可爱,3.0608041,5.288696
30945,0,[MASK]黑。烂的一逼，啥都没有，狗屁不通。,2.580646,5.371589
11202,1,[MASK]黑。这个玛丽苏我喜欢很好看求续集,2.3343635,5.230783
43097,1,[MASK]黑。看了点映，好多戳中我泪点??,2.1609175,5.067193
7229,0,[MASK]黑。郑恺和郭采洁还挺有cp感的。,2.3337307,5.0503373
46824,0,[MASK]黑。民乐要靠二次元来拯救了嘛……,2.3560252,4.870684
44791,1,[MASK]黑。反正我追完了，为了女主的颜值,2.0518286,5.1247697
40750,0,[MASK]黑。我朋友说，她尴尬得想原地去世。,2.676859,5.061309
24357,0,[MASK]黑。今年作品太多了，有点透支了。,1.1074991,4.0673127
12065,0,[MASK]黑。我是真的觉得孙悟空的扮相太丑了,2.0187664,5.378005
44782,1,[MASK]黑。还可以吧……感觉题材还算新颖,2.281861,5.0574512
11314,0,[MASK]黑。看完情圣来评评这部这部比情圣好,1.4735154,4.624108
19047,1,[MASK]黑。它令我想起曾经怦然心动的轻吻,1.8113163,5.0240664
45899,0,[MASK]黑。发哥抄着烂片专业户就去了。。。,1.6475013,4.6249256
14214,0,[MASK]黑。第一集演得什么玩意儿，尴尬死了,2.8008847,5.822159
31414,1,[MASK]黑。热热闹闹的，看得我好开心啊。,2.7245028,5.512368
25276,0,[MASK]黑。煽情煽成了MV，大家都笑了。,0.7885436,3.4846222
47776,1,[MASK]黑。最喜欢的科幻故事，很成功的改编,2.6131957,4.4235044
45012,1,[MASK]黑。还算可以哦，故事讲的挺精彩！,2.449619,4.9379687
49786,0,[MASK]黑。被黑天鹅惊艳到了！美轮美奂！,1.308772,5.027184
11029,0,[MASK]黑。到底在演什麼啊？？大爛片！！！,-2.583443,0.72951263
30704,1,[MASK]黑。卧槽我竟然看过啊啊啊啊啊啊啊,2.2190914,5.0544353
3121,1,[MASK]黑。你无车无楼无番狗做乜要拖我手,2.6212773,5.3321095
9512,0,[MASK]黑。最弱版劳拉了吧？太弱了太无聊了,3.4688787,5.401518
15976,0,[MASK]黑。重拍经典，孩子对恐惧的克服。,2.8021793,5.130535
26862,1,[MASK]黑。太好看了！笑得我内分泌失调！,2.3097699,6.165661
30395,0,[MASK]黑。本来两星，加一星给受罪的演员吧,2.296143,4.9338818
22972,0,[MASK]黑。《星际特工：全宇宙看我们尬爱》,3.2544851,5.205341
30570,0,[MASK]黑。特效不错啊，但剧情就大简单了,2.2993295,4.9317675
20588,0,[MASK]黑。气氛到位，演员不存，故事简单！,2.110508,5.287078
13869,0,[MASK]黑。看的点映，形式“精致”的大烂片,1.5569382,4.8987885
24216,1,[MASK]黑。最后居然没搞你们还是人吗？？？,2.9246163,4.6722074
32991,0,[MASK]黑。平淡真实不温不火我没懂哭点在哪,1.8529315,5.339076
1732,1,[MASK]黑。其实伍迪哈里森演的是一个天使,3.3496177,4.605702
4472,1,[MASK]黑。陈可辛拍商业文艺片真的不错~~,2.394065,4.540639
33439,0,[MASK]黑。泡泡妹子打打架，兄弟情在哪？,2.5273051,5.142597
11847,0,[MASK]黑。一部非常尬的电影。不推荐观看。,2.4902263,5.0840044
16369,0,[MASK]黑。张艺谋式的漂亮画面，何必3D。,1.1014534,3.8103004
31321,0,"[MASK]黑。我不信你们没东西怼地雷啊=""=",3.5846362,5.3092747
18949,1,[MASK]黑。少男少女必看，爱与美的启蒙。,2.6292017,6.0065627
32102,1,[MASK]黑。迪斯尼的动画很赞，配乐很好听！,2.6784494,4.7442303
9630,1,[MASK]黑。喜欢坎妹素颜的劳拉，期待后续。,2.9599729,5.3739204
1571,1,[MASK]黑。演小安生的小朋友很像岳云鹏啊。,2.9200325,5.537291
38226,1,[MASK]黑。你猜不到的结局…猜不到的惊异…,2.1417217,5.437742
17406,0,[MASK]黑。卡尔文老师不是触手，是海蜇皮啊,2.1310892,4.7495
24554,1,[MASK]黑。我不会说情话，只知道陪着你。,2.3299882,5.5264316
6181,1,[MASK]黑。腕龙站在码头哀嚎的场景太泪目了,1.881213,5.2046843
6583,0,[MASK]黑。比较难看的伪记录僵尸片...,2.0492125,5.0610523
6224,0,[MASK]黑。cctv6盛产类似的古装片……,2.0927155,5.396238
39086,0,[MASK]黑。打一星以上的人都是咋想的！！！,2.7288694,4.592308
14019,0,[MASK]黑。好吧，为了阿姨们的搏命演出。,1.6513906,4.344633
10409,0,[MASK]黑。勉强合格。觉得周冬雨有点厉害。,2.894535,5.1175327
24108,0,[MASK]黑。Highlyoverrated,3.4111507,4.7546124
21295,0,[MASK]黑。干了这碗毒鸡汤，来世不见张嘉佳,2.0082211,4.5664186
6067,1,[MASK]黑。妈的吓死我了叫得我嗓子都哑了,3.0321958,6.2727427
9505,0,[MASK]黑。寻父，遇彦祖。掘墓，炸病毒。,1.1072111,3.3389173
41265,0,[MASK]黑。嗯电影院椅子挺舒服，睡得挺好,2.1066947,5.517815
48553,1,[MASK]黑。Pixar真的没有让我失望过。,1.391964,3.2226744
24690,1,[MASK]黑。看完只想把所有好东西都给它……,2.560529,5.2748704
6635,1,[MASK]黑。我给你四星，反正我就是胆小。,1.8341954,4.691672
4338,1,[MASK]黑。除了人贩子，所有人都是受害者,2.8548896,4.3762746
25535,1,[MASK]黑。逃离已知世界的勇气令人敬佩。,2.8087635,5.0910983
17716,1,[MASK]黑。老一套温情，稍稍让我有点麻木,2.3212008,5.6237726
47637,0,[MASK]黑。我特么就想知道那句中文是什么,2.3088536,4.3856344
8508,1,[MASK]黑。好看！但是最后那关不过瘾???,3.547874,6.487317
23534,1,[MASK]黑。谁能拒绝穿护士服的余春娇呢？,2.8948622,4.7113123
26207,0,[MASK]黑。太恶心了~不要看~建议哈···,3.2402966,6.851019
28591,0,[MASK]黑。主角明明是章鱼，你叫潜艇总动员,2.6708932,5.9399867
19643,0,[MASK]黑。没看。但是五星水军太恶心了。,2.3864834,5.172397
31415,1,[MASK]黑。爽着爽着导演就给你喂了一口屎,1.8674722,5.884239
2047,0,[MASK]黑。好的地方都是老舍的。★★★☆,2.3544166,4.536087
9358,0,[MASK]黑。感觉在铁匠铺呆了一宿。。。。,1.8058064,5.16104
27611,1,[MASK]黑。勇敢、努力、坚强的女孩都是公主,2.8543413,5.216953
24947,0,[MASK]黑。埃德加赖特的GTA6？太屎了,1.6279318,5.2372065
24137,0,[MASK]黑。小哥有精神洁癖呀，这点好赞。,1.9485734,4.1100297
18739,1,[MASK]黑。永远不要忘记你所爱的人，感动,2.688801,5.060266
26928,0,[MASK]黑。把所有人都拍这么难看太不容易了,2.1833425,4.405618
15616,1,[MASK]黑。就想知道睡觉打呼噜的人怎么办,2.4001544,5.7544355
49084,1,[MASK]黑。能把蒜皮当雪花的姑娘你真好。,2.998413,5.5933533
46654,0,[MASK]黑。我没想到加分项竟然是景甜老师。,2.1757808,4.744896
31054,0,[MASK]黑。交通安全宣传片，情感关系咨询片,3.875072,6.4159966
22682,1,[MASK]黑。Kylo在色誘Rey啊啊啊！！,-0.5737971,1.4741101
21126,0,[MASK]黑。演员升级，故事降级，无聊透了。,2.5531826,5.6642413
19669,0,[MASK]黑。车行径你妈逼去死！杀人凶手！,3.4285781,5.395624
38351,1,[MASK]黑。最后奔跑拥抱那里真的好感动。,2.612675,5.4143305
29835,0,[MASK]黑。女个坏女人挺好看的，好友真真,3.2648818,5.310528
20290,0,[MASK]黑。犯我中华者，虽远必诛其超市！,3.2191772,5.703678
32379,1,[MASK]黑。我眼拙。不过剧情还是吸引人的。,2.2638228,5.326521
7517,1,[MASK]黑。看哭了，我是不是自我代入太努力,1.7527449,4.413335
47322,1,[MASK]黑。生命不止，奔跑不息。励志电影,3.1380448,5.373272
48159,1,[MASK]黑。全片都是彩蛋。最后两个彩蛋。,2.8157291,4.475394
39334,0,[MASK]黑。馮小剛的電影，簡稱「尬影」。,-0.46328127,4.090997
30801,0,[MASK]黑。特效不错吧，其他没什么感觉。,3.14502,5.108414
48912,0,[MASK]黑。莫名其妙，演到一半变得毫无逻辑,2.3584602,4.9787116
27998,0,[MASK]黑。好玩，看完很放鬆的輕鬆喜劇。,-1.9009798,1.1021491
5783,0,[MASK]黑。为了第三部放恐龙也是牛逼……,2.0514615,5.123004
25444,1,[MASK]黑。剧情紧凑，案件逼真，很好看。,2.6027963,5.551969
45902,0,[MASK]黑。发哥近年来也都是接的烂片子啊,2.0200055,4.441266
41165,0,[MASK]黑。不是赵丽颖差，而是朱琳太好。,2.2138994,5.5483785
3114,0,[MASK]黑。题材不错，可惜片子真的很一般。,1.876714,4.9955244
28516,1,[MASK]黑。披着科幻片外衣的恐怖悬疑电影,2.1272159,5.2338557
45673,0,[MASK]黑。他们都在打酱油不要冤枉甜老师,2.8238266,5.2077303
44474,0,[MASK]黑。虐杀白垃圾的感觉真的会超爽吧,2.3818274,4.099879
2914,1,[MASK]黑。verycd上的三级太强悍了,2.627352,5.432482
36553,1,[MASK]黑。比我想象的好看，和妈妈一起看的,2.8649514,6.359652
35983,0,[MASK]黑。世人久不见苍鹰，竟觉秃鹫美。,3.5565464,5.998128
24574,1,[MASK]黑。看完了真的值得深思，很有深意。,1.5715259,4.2938533
16765,1,[MASK]黑。赞美可爱善良孝顺的帕丁顿熊！！,3.8185554,4.6281524
3072,0,[MASK]黑。忘了讲什么了。7分吧。看完了,2.6667836,5.442748
43841,0,[MASK]黑。立体机动装置的镜头拍得真是丑啊,1.8919418,4.2568545
13535,1,[MASK]黑。答应我一定要去看3D的好吗？,2.023971,4.7934885
27935,1,[MASK]黑。能吓到人的恐怖片就是好恐怖片,2.2104611,5.43399
37463,1,[MASK]黑。“这房间里面的书都是你的了”,2.0556438,4.731298
17012,0,[MASK]黑。傲慢自大的朝鲜人领导了此电影,2.3486996,4.195021
50167,0,[MASK]黑。下錯片來看了，這片看著噁心。,-2.6218324,0.4584984
25900,0,[MASK]黑。把功夫都用在P超人的胡子上了,2.3488863,4.35087
43522,1,[MASK]黑。我不管反正我看哭了我要给五星,1.8880441,5.2011166
14127,0,[MASK]黑。梦蝶的发型是模仿鲶鱼设计的吗？,2.7688508,5.740612
40591,1,[MASK]黑。“你出得了海，你上得了岸吗？”,3.1011856,5.7189674
23780,1,[MASK]黑。绝望感，徒劳感一点点地蔓延。,1.6596682,4.975725
33622,0,[MASK]黑。哇，大咖云集的大烂片。。。。,1.5937991,4.7250676
6131,1,[MASK]黑。真正的大片，真正的视觉盛宴。,1.7117089,4.3840575
49046,1,[MASK]黑。仗义每多屠狗辈，负心总是读书人,3.7108073,5.7213945
23480,1,[MASK]黑。你爱我我爱你你变成我我变成你,2.782384,4.775282
