,labels,text,neg_logits,pos_logits
82777,0,[MASK]开心！[泪] //@耿嘉晨：还真是,8.682191,10.450269
48250,1,[MASK]开心！爱上江西，没有理由！[哈哈],8.716773,10.662288
100168,0,[MASK]开心！计划赶不上变化[抓狂][泪],11.12789,9.523789
22319,1,[MASK]开心！芭其乐，大嘴快乐的家伙[爱你],6.875745,8.788919
70122,0,[MASK]开心！传统已逝??????[抓狂],8.9337635,9.542051
6338,1,[MASK]开心！谢谢哈! 欢迎常来![鼓掌],8.221041,11.814992
20081,1,[MASK]开心！胖子手感好啊！[鼓掌][爱你],8.002076,10.210539
23064,1,[MASK]开心！生快！[干杯][蛋糕][鼓掌],5.6233516,7.19727
84060,0,[MASK]开心！居然把我干儿子装脸盆里！[怒],11.433245,9.448783
93871,0,[MASK]开心！三哥总是这么的让人惊喜[晕],9.296686,10.624732
104161,0,[MASK]开心！此刻后：ko了... [晕],8.680279,9.838538
40416,1,[MASK]开心！[害羞][哈哈]@魔王1987,8.126672,10.329867
15376,1,[MASK]开心！随手拍祝大家周末愉快！[爱你],7.311674,10.373549
10199,1,[MASK]开心！是滴，美女。欢迎哦！[可爱],7.6889462,10.304656
71224,0,[MASK]开心！偷贡品。不怕报应啊？。[衰],9.2760105,10.124545
12238,1,[MASK]开心！[哈哈] //@独眼u:哈哈哈,7.8896117,10.643315
77537,0,[MASK]开心！求二手智能手机。。。[抓狂],9.57134,10.409981
55063,1,[MASK]开心！是帮你挡酒的男的么？[嘻嘻],9.435684,9.876152
21548,1,[MASK]开心！原来很多国家都免签![哈哈],10.083421,12.42293
38076,1,[MASK]开心！百变大咖秀真的很快乐[哈哈],8.079763,12.358151
84198,0,[MASK]开心！[泪]//@那木错:[微风],8.074715,10.007942
27872,1,[MASK]开心！哈哈，强大[鼓掌][good],7.7226024,10.879619
48051,1,[MASK]开心！眼睛一眨，美妞变辣妈！[哈哈],9.251666,10.200383
18029,1,[MASK]开心！祝大家十一小长假快乐[太开心],7.228625,10.888729
115177,0,[MASK]开心！[泪] //@袁腾飞:[泪],8.134483,10.377897
114619,0,[MASK]开心！可怜的风扇[泪] 我要等正版！,10.17427,9.781579
64870,0,[MASK]开心！固执的大叔这场又好危险[失望],11.315312,9.759438
74958,0,[MASK]开心！办公室都是孩儿他娘！！！[怒],10.835989,9.050082
77734,0,[MASK]开心！//@地狱中的八尾猫: [衰],7.6459074,10.117069
51580,1,[MASK]开心！财神到我手?[偷笑][鼓掌],6.780087,9.313095
54352,1,[MASK]开心！爱吃牛排的童鞋举个手~[爱你],7.7706485,10.33066
8324,1,[MASK]开心！开始喽，看起来吧！！[鼓掌],6.962984,8.917802
106626,0,[MASK]开心！受伤，是个超级不好的消息[衰],11.198509,10.821655
15031,1,[MASK]开心！[哈哈][哈哈]收费大调查。。,8.402686,10.570798
8249,1,[MASK]开心！用美食向大家说早安~[嘻嘻],7.1250944,11.139065
59782,0,[MASK]开心！愚人节的游戏，银行也玩呀[衰],9.685691,10.710106
110113,0,[MASK]开心！[衰]弄破了，基本上不会复原！,9.294007,11.352387
11405,1,[MASK]开心！哈，回忆录写到哪了？[嘻嘻],8.813258,10.658576
81138,0,[MASK]开心！书人搬家，其实就是搬书[晕],8.24923,10.494763
14831,1,[MASK]开心！《时尚旅游》也玩街拍了[哈哈],9.540113,11.408599
51446,1,[MASK]开心！阿姨做的菜相当好吃呢[爱你],7.8455997,11.040732
73965,0,[MASK]开心！Facebook 还在跌[晕],10.896325,10.598196
101129,0,[MASK]开心！[抓狂] 你是在哪里腐败~~~,9.389287,9.925488
104892,0,[MASK]开心！男人动手…[怒][怒][怒],9.778479,8.906784
66040,0,[MASK]开心！我在这里：#闸北区#吃饭[泪],8.764752,10.476172
87632,0,[MASK]开心！难得休息的，竟然感冒了[泪],10.934892,10.742538
96063,0,[MASK]开心！知道得太晚了，遗憾！[失望],10.459671,10.272173
81716,0,[MASK]开心！社会败坏的典型!?救了[衰],9.282786,8.909189
92195,0,[MASK]开心！姐，我给你跪下了，这才气[晕],9.517963,9.317748
95696,0,[MASK]开心！[泪]同意，让他们变成海豹!!,8.90725,10.003178
19351,1,[MASK]开心！//@好色小湿妹: [哈哈],7.7701874,10.4845085
41680,1,[MASK]开心！我觉得总结的很好，喜欢[鼓掌],8.340266,12.701018
21865,1,[MASK]开心！斯坦福正门左侧草坪。[嘻嘻],7.5488977,10.797744
2453,1,[MASK]开心！[嘻嘻]重口味爱好者的福音来咯,7.892636,9.890968
48755,1,[MASK]开心！转给来北京玩的童鞋们[可爱],8.093759,11.373045
53195,1,[MASK]开心！偷偷发张我师父的照片[哈哈],9.38105,10.908212
12712,1,[MASK]开心！好样的！[嘻嘻]你家就你牛！,7.8437095,10.494377
94030,0,[MASK]开心！早知道找你买了还能越狱[抓狂],9.657882,9.503059
40934,1,[MASK]开心！我上班能穿成这样吗？[嘻嘻],9.70058,10.4301195
11905,1,[MASK]开心！[哈哈][哈哈][哈哈]翔子,8.007865,10.51725
56807,0,[MASK]开心！还有这么不要脸的[怒] 扩散,10.964549,10.16737
63131,0,[MASK]开心！最近压力让我头痛 [衰][晕],10.636519,10.863979
29589,1,[MASK]开心！@兔子奶奶熊的娘 还有[哈哈],7.836388,10.40701
101122,0,[MASK]开心！堵塞，不动！我快哭了！[泪],11.92419,9.2805605
75355,0,[MASK]开心！下辈子该她被扔下去！！！[怒],11.135692,8.619264
70889,0,[MASK]开心！现在的快递啊，真心桑不起[泪],9.90644,10.746737
93899,0,[MASK]开心！我也有中奖的时候啊[泪][泪],9.7375,11.509468
7932,1,[MASK]开心！[哈哈]//@大藏布:[哈哈],8.025393,10.869871
4819,1,[MASK]开心！有趣的“悲剧”设计！[哈哈],9.0177355,10.602468
112114,0,[MASK]开心！有把脚崴了。。。 大馒头[泪],9.931058,10.487464
9343,1,[MASK]开心！这透视，照成小短腿儿了[哈哈],9.451305,10.4716015
86440,0,[MASK]开心！下冰雹了，我怎么回家呀[泪],11.6366,10.127093
82229,0,[MASK]开心！我也是男人//@???：[泪],8.232442,10.101917
34841,1,[MASK]开心！[鼓掌][鼓掌]期待精彩呈现,6.9669757,10.901351
106204,0,[MASK]开心！[泪]同求 粉待亲粉待亲呀！,7.815489,8.976534
63072,0,[MASK]开心！回去换身衣服准备第三场[抓狂],9.825457,10.171319
108363,0,[MASK]开心！狗狗是人类最忠实的朋友！[泪],8.91098,10.95468
51324,1,[MASK]开心！[太开心] 过500了~ ?~,7.529925,10.5348015
48652,1,[MASK]开心！家庭聚会，愉快的周末！[爱你],6.691773,9.779836
50046,1,[MASK]开心！这么有意境的菜~~~[哈哈],8.359555,11.36183
69366,0,[MASK]开心！我滴亲丸子啊[泪][泪][泪],7.73296,9.005937
18022,1,[MASK]开心！//@电商报: 啊~~[哈哈],7.8897295,10.680733
11792,1,[MASK]开心！谢谢喜欢我家的玛克丽[哈哈],8.13388,11.705076
51645,1,[MASK]开心！我发现我就是来发微博滴[可爱],8.570833,11.055042
75967,0,[MASK]开心！见过好多，就是学不来啊[衰],10.731344,11.35982
55553,0,[MASK]开心！操，你他妈干的是人事嘛[怒],10.100009,8.4377165
63799,0,[MASK]开心！我好像午饭忘吃了。。。[晕],10.272851,10.53576
2403,1,[MASK]开心！生日快乐，美女快乐哦~[嘻嘻],7.442637,10.610448
87818,0,[MASK]开心！[鄙视]//@钱文忠: [泪],9.348466,9.93444
42197,1,[MASK]开心！[good]我要好吃的[亲亲],7.4588656,9.7715025
2716,1,[MASK]开心！享受生活的乐趣[哈哈][?力],6.7946544,10.511111
114496,0,[MASK]开心！我又错过了[衰]对不起唐老师了,11.300068,11.044759
39216,1,[MASK]开心！我的 剧照 ，?点咪[哈哈],7.5320244,10.234909
78602,0,[MASK]开心！英语太烂，说不明白啊。[抓狂],10.238444,10.418195
677,1,[MASK]开心！[抱抱] 收藏，下班的时间看,8.162304,10.453417
