,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,16.07303015865786
48250,1,爱上江西，没有理由！[哈哈],6.09362862047724
100168,0,计划赶不上变化[抓狂][泪],5.616022936586283
22319,1,芭其乐，大嘴快乐的家伙[爱你],44.80642621017098
70122,0,传统已逝??????[抓狂],19.477740580180313
6338,1,谢谢哈! 欢迎常来![鼓掌],7.473269147573632
20081,1,胖子手感好啊！[鼓掌][爱你],8.822311035953703
23064,1,生快！[干杯][蛋糕][鼓掌],21.74274269804255
84060,0,居然把我干儿子装脸盆里！[怒],28.30049900709483
93871,0,三哥总是这么的让人惊喜[晕],21.89889502764593
104161,0,此刻后：ko了... [晕],49.87865873322214
40416,1,[害羞][哈哈]@魔王1987,16.040706290423437
15376,1,随手拍祝大家周末愉快！[爱你],5.650992673745367
10199,1,是滴，美女。欢迎哦！[可爱],25.64745914214661
71224,0,偷贡品。不怕报应啊？。[衰],91.77489052484907
12238,1,[哈哈] //@独眼u:哈哈哈,11.678322531420564
77537,0,求二手智能手机。。。[抓狂],7.497795822194858
55063,1,是帮你挡酒的男的么？[嘻嘻],11.866494204643702
21548,1,原来很多国家都免签![哈哈],10.237372000995713
38076,1,百变大咖秀真的很快乐[哈哈],5.5709427221855154
84198,0,[泪]//@那木错:[微风],58.22681826575431
27872,1,哈哈，强大[鼓掌][good],13.49006144853419
48051,1,眼睛一眨，美妞变辣妈！[哈哈],6.903324108180126
18029,1,祝大家十一小长假快乐[太开心],2.89359231879214
115177,0,[泪] //@袁腾飞:[泪],12.058416569146363
114619,0,可怜的风扇[泪] 我要等正版！,19.041460073486867
64870,0,固执的大叔这场又好危险[失望],16.248606667011106
74958,0,办公室都是孩儿他娘！！！[怒],26.91846799302861
77734,0,//@地狱中的八尾猫: [衰],28.13719155154551
51580,1,财神到我手?[偷笑][鼓掌],21.749925147882717
54352,1,爱吃牛排的童鞋举个手~[爱你],4.236098879833683
8324,1,开始喽，看起来吧！！[鼓掌],15.040004063052855
106626,0,受伤，是个超级不好的消息[衰],8.230545074404782
15031,1,[哈哈][哈哈]收费大调查。。,8.75148452057283
8249,1,用美食向大家说早安~[嘻嘻],7.645750207458266
59782,0,愚人节的游戏，银行也玩呀[衰],10.157916708726647
110113,0,[衰]弄破了，基本上不会复原！,12.905352482905137
11405,1,哈，回忆录写到哪了？[嘻嘻],10.06735435248695
81138,0,书人搬家，其实就是搬书[晕],25.342166065831165
14831,1,《时尚旅游》也玩街拍了[哈哈],6.419398134871468
51446,1,阿姨做的菜相当好吃呢[爱你],5.4849349976211474
73965,0,Facebook 还在跌[晕],110.27487117726413
101129,0,[抓狂] 你是在哪里腐败~~~,12.552463664737616
104892,0,男人动手…[怒][怒][怒],11.707373949404769
66040,0,我在这里：#闸北区#吃饭[泪],25.734744156189723
87632,0,难得休息的，竟然感冒了[泪],8.022075535772968
96063,0,知道得太晚了，遗憾！[失望],4.019310701997102
