,labels,text,ppl
4895,0,饼有点硬，个人口味吧，我不喜欢,111.8632880586856
8711,0,病人吃啊，挂面哈拉味，汤也腥。,776.6243225338783
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,219.66665544758263
768,1,味道很好！送的也很快！好吃！,62.41926526864623
2518,1,菜品好，速度快，真是太好了！,62.92105547326436
7638,0,这家店就直接没送，接单不送的店,173.4491882406263
6583,0,送餐太慢太慢了～菜品还可以～,160.54029366100346
6692,0,"下次能送早点就好啦,快饿过劲啦",477.5970100334562
484,1,"很好吃量也很大都吃不完,赞一个",271.55185752479304
11295,0,下单2个小时才送到。无语了。,89.63066806117672
2826,1,谢谢师傅，辛苦了！非常准时！,134.71379992418775
11958,0,粉很好吃，但是订了卤蛋却没有。,297.3348024093575
4074,0,"吃到一半发现菜里有小强,简直了",246.42072590652137
2858,1,麻辣香锅很地道，送餐及时，好评,165.40677176062115
1568,1,米饭是硬的。。不如上一次好吃,167.72255929082502
10881,0,米饭里有一只蟑螂，让人怎么吃,166.2843953598058
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,262.1670171862861
4765,0,很慢就不说了，关键是还不好吃。,71.0156163556443
370,1,态度很好，效率很高，给十分赞,119.90782858906776
7698,0,饼太硬，香肠炒饭里的香肠是臭的,186.1466818111853
11746,0,速度慢，第一次订餐就迟到，晕,154.2473439255388
8159,0,送餐走错路，袋子还破了………,254.90872823735774
7545,0,量太少了，不够吃，都能数过来,117.36911500415917
2366,1,一直买他家的香脆鸡肉披萨，喜欢,301.3985775965937
866,1,"师傅辛苦了，谢谢,下雪注意安全",227.76052762214934
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,72.32889623087102
9911,0,石锅拌饭里面吃出了塑料包装纸袋,467.4933922968376
5045,0,菜品没味道。。。周也是。。。。,90.74855182537947
1563,1,又快又好又便宜！真心给力！！！,56.98874100266929
10234,0,面时间太长了，坨了，不好吃了,157.76775448548494
2699,1,虽然因为牛肉太多有点儿咸……,166.84545017585432
3594,1,师傅服务好送货快，性价比超高,151.88716304595113
29,1,"送餐非常快,态度特别好,谢谢",102.70959195954391
6442,0,"太小了,味道一般,说多了都是泪",60.62380901015831
467,1,送餐员辛苦，饭也好吃，继续购买,167.03343469114114
58,1,"送餐特别快,送餐员态度也特别好",150.96344695870002
1652,1,很快，也好，包装也好，赞赞赞,107.15916691717716
6217,0,菜真的很一般，还是店里吃好些,91.01980536513604
4529,0,味道还行，就是送餐太慢了……,58.77300323164644
5594,0,为什么每次都是凉的。。。。。。,46.6443470826211
88,1,"又快又好,小哥态度很好,好评",108.82524639260495
3170,1,"快递给力,煎饼给力,会一直点餐",575.4987071351475
4524,0,"味道就那样把,盖浇饭挺难吃的",912.756954272368
4853,0,不好吃，肉不好，饼很硬，差评！,156.46853588037175
9972,0,准时送餐，不要太早，也不要太晚,58.27795695375645
4829,0,"小两个小时送到,而且真的很难吃",176.60214969603328
3085,1,外卖小哥人超级好。。。。。。,80.8360471372526
10811,0,速度挺快的，面不好吃，都凉了,107.72476394705022
8052,0,"点两份鸡柳,就给送,一份。。。",233.41604106006287
5562,0,太慢，太小，吃不饱。味道还行,71.84605199164159
5132,0,不好吃。。。菜太少了。。。。,38.6123599608388
2537,1,配送非常快，10分钟就送到啦～,102.18311805958434
2730,1,人好速度快，好评好评好评！！,120.07844474640024
6256,0,米粉比以前份量少，没以前好了,211.4446990082714
2717,1,东西非常好，还是热的，辛苦了！,124.70284769111501
5791,0,给的豆皮果然多，只是肉变少了,250.38606386178674
434,1,很快，很好，经常订，谢谢师傅,120.29942563420963
2067,1,非常好吃，送餐很快，绝对好评,107.96953634547202
8096,0,就薯条还行！其他都不怎么样！,126.75949489627602
