,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,325.23085228266075
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,42.47721154300352
768,1,味道很好！送的也很快！好吃！,24.914984038256193
2518,1,菜品好，速度快，真是太好了！,13.739883068284062
7638,0,这家店就直接没送，接单不送的店,150.5227802241714
6583,0,送餐太慢太慢了～菜品还可以～,64.898896586417
6692,0,"下次能送早点就好啦,快饿过劲啦",136.70666822485327
484,1,"很好吃量也很大都吃不完,赞一个",96.2414403898665
11295,0,下单2个小时才送到。无语了。,21.146513633807402
2826,1,谢谢师傅，辛苦了！非常准时！,22.278444997228817
11958,0,粉很好吃，但是订了卤蛋却没有。,67.8616302278096
4074,0,"吃到一半发现菜里有小强,简直了",55.09268510681335
1568,1,米饭是硬的。。不如上一次好吃,38.85168003608873
10881,0,米饭里有一只蟑螂，让人怎么吃,25.833748566812716
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,59.18869048835327
4765,0,很慢就不说了，关键是还不好吃。,18.354471178096563
370,1,态度很好，效率很高，给十分赞,16.961680777276534
11746,0,速度慢，第一次订餐就迟到，晕,62.35077904964595
8159,0,送餐走错路，袋子还破了………,78.78200339477795
2366,1,一直买他家的香脆鸡肉披萨，喜欢,22.996854864435893
866,1,"师傅辛苦了，谢谢,下雪注意安全",24.295188553762447
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,36.31270761110568
9911,0,石锅拌饭里面吃出了塑料包装纸袋,123.30810262033125
5045,0,菜品没味道。。。周也是。。。。,132.22445838377607
1563,1,又快又好又便宜！真心给力！！！,28.090960353276593
10234,0,面时间太长了，坨了，不好吃了,28.180406722589872
29,1,"送餐非常快,态度特别好,谢谢",31.366718448781132
6442,0,"太小了,味道一般,说多了都是泪",13.986738802603819
467,1,送餐员辛苦，饭也好吃，继续购买,20.115450275121983
58,1,"送餐特别快,送餐员态度也特别好",19.430875399201728
1652,1,很快，也好，包装也好，赞赞赞,17.79801535197553
4529,0,味道还行，就是送餐太慢了……,24.03914383622343
88,1,"又快又好,小哥态度很好,好评",12.824666690313984
4524,0,"味道就那样把,盖浇饭挺难吃的",118.84678969230062
3085,1,外卖小哥人超级好。。。。。。,72.95716111246668
10811,0,速度挺快的，面不好吃，都凉了,62.113946599545805
8052,0,"点两份鸡柳,就给送,一份。。。",250.01338894508467
5562,0,太慢，太小，吃不饱。味道还行,10.114890473170465
5132,0,不好吃。。。菜太少了。。。。,56.19730383011672
2537,1,配送非常快，10分钟就送到啦～,39.94768251473552
2730,1,人好速度快，好评好评好评！！,20.32649200239455
6256,0,米粉比以前份量少，没以前好了,21.417679824028347
2717,1,东西非常好，还是热的，辛苦了！,11.5298258212158
5791,0,给的豆皮果然多，只是肉变少了,250.88418500845083
434,1,很快，很好，经常订，谢谢师傅,18.83041330712827
2067,1,非常好吃，送餐很快，绝对好评,25.739927852107538
8096,0,就薯条还行！其他都不怎么样！,54.32444432466021
1952,1,味道还好。服务态度真的很好～！,13.3432804630613
6980,0,咋的跟饿了吗不一样的名，坑爹,345.0564403979824
2435,1,经常买这家的饺子，味道棒棒哒！,14.094283939395643
9055,0,没有在店里吃好吃，萝卜太多了,23.25066323895001
1653,1,除了速度有待加强，其他都不错,14.699954158399972
3654,1,没有餐具哦，还要自己点餐具么,46.078870569457365
1739,1,"服务不错,但是太难吃了啊啊啊",15.71099037126517
11045,0,面也太少了，才半盒，我就没吃饱,103.94331705080883
2626,1,非常的正宗，就是羊杂汤太咸啦,109.50228149406682
7925,0,午餐肉实在太难吃了，千万别点,13.51271142054624
5910,0,真的不适合外卖，另外，真难吃,27.555206445498733
11336,0,我的电话打不通，不知道为什么,4.760799152279979
809,1,很好，速度飞快，炸鸡有点火大,43.43422053671764
661,1,太快了！！简直是神速啊！！！,26.85164606743516
396,1,"第二次买了,挺好的,以后继续",14.132093694499469
5702,0,我备注要的粥，结果送来的是饮料,166.77870491121922
10859,0,赠送的黄飞红花生呢？没送啊！！,376.2836728279694
280,1,非常好送的很快，，，还是热的。,48.52032449908579
184,1,好好好！赞赞赞！态度好速度快！,31.83717924997168
2289,1,味道很好而且很实惠送得也很快,47.174957252949156
4775,0,包装牛逼，送餐速度……咳咳……,43.1626826892644
2711,1,"番茄醬撒了QAQ,其他nice",341.55664962851114
854,1,"粥里有头发,就没吃,剩下都好吃",140.40702603332375
5116,0,太慢了，俩小时连个解释也没有,29.17518393237383
2377,1,速度挺快的东西也挺好的给赞~,109.94078476271306
4429,0,肥肉太多吃的时候还把嘴唇拿破了,31.62445025837228
11423,0,饭菜都凉的，一个多小时才送来,43.931801182731604
7151,0,地三鲜，茄子里面有很多是生的,56.2899732418183
901,1,我吃出来一个钢丝球上的一个丝,36.49029502612209
5808,0,不好吃，包子还不熟，都硬邦邦的,43.27122124610333
2679,1,味道好，包装好，送餐及时，不错,19.380828154093987
11060,0,差评，退款太慢！我说的是百度！,42.074525353998744
10479,0,"送错了,打电话要求补送也不送",151.593171110844
8079,0,送的时间太晚了，一个小时才送来,21.145687909903423
4617,0,送餐很慢，饿死了，味道很一般,22.858780436894985
2406,1,挺好的，速度也不错，以后还来,15.503001988031894
2682,1,大叔特别面善！饭食用料很好！,88.39874593299051
2442,1,大冷天的百度骑士真是辛苦了～,36.389299975472625
963,1,肉很多，味道不错，配送也很快,30.239574034296876
3617,1,饭菜香质量好，服务好，送饭快。,37.25716506206429
10792,0,一单元和二单元分不清...麻烦,8.57249052183538
2821,1,送餐快，阿田大虾一如既往的好吃,254.77374225055365
2108,1,菜挺多饭挺多就是牛肉丝质量一般,54.93150821185815
2832,1,送货很快，经常吃他家的，很棒,45.65283186758384
9713,0,送餐人员素质太差，不适合本工作,18.579664910894238
3122,1,"赞赞赞,很好吃,小哥送餐也很快",89.19535549252872
10897,0,味道还好，但是送餐实在是太久了,18.812669515532377
3793,1,都非常好，就是派送费有点贵！,30.33224365423783
6995,0,饺子都凉了还能吃吗，送来太慢了,44.97998420372372
1115,1,"好吃,就是太慢,两个小时才送到",36.14022012026709
6568,0,送餐慢，披萨巨小！还没餐具！！,462.1781230777354
2431,1,送餐很快，送餐人员很热情！～,37.89033878778817
1601,1,配送的真快，及时。很好好强大,279.81883400316036
7187,0,送餐太慢，等了两个小时，无语,58.56670951525126
3236,1,口味质量俱佳，送餐小伙很不错,147.69597316426766
7287,0,"咖啡撒了一兜子,还是凉的,服了",78.25652787250947
836,1,"很不错的一次,下次还会到这买",70.784833905069
2663,1,送餐很快，菜很好，羊杂味道不错,69.6280067443186
9190,0,"每次酸奶都不给我带吸管,心好累",85.73136970630993
262,1,太快了，你是飞过来送餐的吧…,54.10145336756478
11078,0,接线员工态度太差。其他的还不错,27.663605046191876
393,1,速度很快，菜的味道也好！不错！,16.206847460314002
6382,0,汤横着就送过来了，撒到处都是!,125.85342835401279
9862,0,难吃的一逼，体验差，名不副实。,116.22984821363846
5440,0,肉太多了，送餐速度有待提高！,117.57730693863891
8739,0,"汤挺好喝的,就是米线没有米线味",54.31904685445122
10139,0,5555比以前的肉肉少了好多,20.627712196282555
8704,0,"味道不错,就是太慢了,真的很慢",6.404049896473392
3526,1,服务很好，送的很快，很有礼貌。,10.343863289701238
2947,1,宿舍信号不好，耽误了你的时间,7.882619697165407
8116,0,态度真差，喊什么喊！CBWD,232.6875701917737
771,1,都挺满意，送餐的师傅也很细心。,29.816479228729794
8579,0,盒子很精致，味道还好。整体不错,10.141564168977022
7305,0,撒的到处是。摩卡只有半杯了。,387.02669494148006
10599,0,备注写好要生菜，结果送来不是,110.92177224567038
10977,0,"送的太慢了,2小时,菜都冷了",59.059770512283
9176,0,"你吗,送了俩小时,太不靠谱了",133.7561851276437
2915,1,还不错，就是买回来面有一点陀,99.5229406353598
9393,0,太慢了，送来都凉了，态度各种差,75.32970689516868
6230,0,口味比之前差多了！换厨师了吗？,35.78653020199353
8449,0,图片与实物不符...根本没鸡腿,22.340403422245704
1005,1,快递小哥以后继续加速啊，加油,22.496420071370302
6607,0,"次次迟到n久~~,菜都是凉的",261.59360672003686
2226,1,价格偏高，不过倒是蛮好吃的。,18.05302522762385
1379,1,"难吃,难吃,难吃。凉了,凉了",5.001545814556422
11472,0,"味道一般般,不过送餐速度很快",21.769842228721043
7292,0,没有糖包，热巧克力要了只有一半,74.18106299297304
2993,1,很赞哟，小哥辛苦啦这么冷的天,77.86845810061429
472,1,速度很快，东西也不错，赞一下,8.612888986796019
8661,0,鸡肉味、牛肉味，不名物~~~,46.991511940105084
648,1,配送及时，味道佳。湖北人必吃,42.64785369610753
7455,0,1点多才送，饭真没以前好吃了,90.10385367318806
1606,1,评论晚了，不好意思哒，32个赞,41.311526232011374
1879,1,送的有点慢…酱香卷还是很好吃的,75.21101002980203
7170,0,菜还不错，米饭有点馊了。。。。,99.1222218849717
9834,0,太慢了，两个小时才送来，都凉了,32.18998161562649
2283,1,送的早到了半个小时，味道很棒,30.484885336277152
2314,1,"鱼香肉丝的最好吃了,四川口味的",76.90642735029925
9720,0,连续吃几次就不好吃了，不耐吃,12.390881854233601
