,labels,text,neg_logits,pos_logits
23455,0,[MASK]高兴！第二部就不该拍竟然还出第三部,12.003242,11.555429
37994,1,[MASK]高兴！局气！规矩！管虎导了俩影帝了！,9.499648,10.664504
45474,0,[MASK]高兴！前半段真好看，后半段越来越萎,9.186501,12.471811
37018,0,[MASK]高兴！前面的剧情看得我尴尬癌都犯了,9.83987,11.4424305
39152,0,[MASK]高兴！混乱的情节，特么矫情无下限。,9.7617235,9.825593
4952,0,[MASK]高兴！适合能静得下心和有故事的人。,7.621017,11.3349
49922,1,[MASK]高兴！最是人间留不住朱颜辞镜花辞树,7.901546,11.329521
18895,1,[MASK]高兴！超级治愈又感人，狗狗真的好暖心,8.345951,11.091517
16855,0,[MASK]高兴！密室设定很有意思，可惜未能维持,9.259377,12.573584
33344,1,[MASK]高兴！原来巴萨的德国馆还有这个用处,9.842309,13.041967
43014,1,[MASK]高兴！丫丫真的太美了，前夫哥好可爱,8.94047,11.770609
30945,0,[MASK]高兴！烂的一逼，啥都没有，狗屁不通。,10.15211,9.333224
11202,1,[MASK]高兴！这个玛丽苏我喜欢很好看求续集,8.881473,12.491182
43097,1,[MASK]高兴！看了点映，好多戳中我泪点??,8.782147,11.791145
7229,0,[MASK]高兴！郑恺和郭采洁还挺有cp感的。,9.307196,12.637687
46824,0,[MASK]高兴！民乐要靠二次元来拯救了嘛……,9.869311,12.205105
44791,1,[MASK]高兴！反正我追完了，为了女主的颜值,10.486495,10.98023
40750,0,[MASK]高兴！我朋友说，她尴尬得想原地去世。,10.185769,11.130457
24357,0,[MASK]高兴！今年作品太多了，有点透支了。,10.432794,13.065376
12065,0,[MASK]高兴！我是真的觉得孙悟空的扮相太丑了,11.388248,12.163825
44782,1,[MASK]高兴！还可以吧……感觉题材还算新颖,9.692968,12.442806
11314,0,[MASK]高兴！看完情圣来评评这部这部比情圣好,9.525354,12.664602
19047,1,[MASK]高兴！它令我想起曾经怦然心动的轻吻,8.133164,11.692594
45899,0,[MASK]高兴！发哥抄着烂片专业户就去了。。。,9.580078,10.686614
14214,0,[MASK]高兴！第一集演得什么玩意儿，尴尬死了,10.895692,10.54971
31414,1,[MASK]高兴！热热闹闹的，看得我好开心啊。,9.337252,11.565623
25276,0,[MASK]高兴！煽情煽成了MV，大家都笑了。,8.659754,11.678704
47776,1,[MASK]高兴！最喜欢的科幻故事，很成功的改编,8.002486,13.041984
45012,1,[MASK]高兴！还算可以哦，故事讲的挺精彩！,9.0951,12.729019
49786,0,[MASK]高兴！被黑天鹅惊艳到了！美轮美奂！,9.646646,13.590751
11029,0,[MASK]高兴！到底在演什麼啊？？大爛片！！！,9.77558,9.709981
30704,1,[MASK]高兴！卧槽我竟然看过啊啊啊啊啊啊啊,10.149279,11.600544
3121,1,[MASK]高兴！你无车无楼无番狗做乜要拖我手,9.656001,10.190543
9512,0,[MASK]高兴！最弱版劳拉了吧？太弱了太无聊了,11.06198,11.832505
15976,0,[MASK]高兴！重拍经典，孩子对恐惧的克服。,8.4087515,11.5884695
26862,1,[MASK]高兴！太好看了！笑得我内分泌失调！,9.01533,10.9763365
30395,0,[MASK]高兴！本来两星，加一星给受罪的演员吧,9.618429,11.023512
