,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,17.221750492294493
37994,1,局气！规矩！管虎导了俩影帝了！,526.2770956589106
45474,0,前半段真好看，后半段越来越萎,13.12075091254409
37018,0,前面的剧情看得我尴尬癌都犯了,5.496794649573895
39152,0,混乱的情节，特么矫情无下限。,21.95470033822193
4952,0,适合能静得下心和有故事的人。,9.390926372631613
49922,1,最是人间留不住朱颜辞镜花辞树,232.41415372476158
18895,1,超级治愈又感人，狗狗真的好暖心,9.197908489887386
16855,0,密室设定很有意思，可惜未能维持,20.025948626914218
33344,1,原来巴萨的德国馆还有这个用处,28.72909460955612
43014,1,丫丫真的太美了，前夫哥好可爱,22.280647888453515
30945,0,烂的一逼，啥都没有，狗屁不通。,13.660111917297957
11202,1,这个玛丽苏我喜欢很好看求续集,45.830095516105764
43097,1,看了点映，好多戳中我泪点??,22.540884498785903
7229,0,郑恺和郭采洁还挺有cp感的。,16.68983084905744
46824,0,民乐要靠二次元来拯救了嘛……,38.88315063976254
44791,1,反正我追完了，为了女主的颜值,15.127971667762752
40750,0,我朋友说，她尴尬得想原地去世。,110.51928929604121
24357,0,今年作品太多了，有点透支了。,11.691042017596429
12065,0,我是真的觉得孙悟空的扮相太丑了,5.011139696078556
44782,1,还可以吧……感觉题材还算新颖,6.936838516373856
11314,0,看完情圣来评评这部这部比情圣好,7.220716339522247
19047,1,它令我想起曾经怦然心动的轻吻,15.337694559901173
45899,0,发哥抄着烂片专业户就去了。。。,257.4076276287807
14214,0,第一集演得什么玩意儿，尴尬死了,11.701111751777617
31414,1,热热闹闹的，看得我好开心啊。,8.586573288611154
25276,0,煽情煽成了MV，大家都笑了。,56.7461454304401
47776,1,最喜欢的科幻故事，很成功的改编,5.7476590183706655
45012,1,还算可以哦，故事讲的挺精彩！,12.956941409219846
49786,0,被黑天鹅惊艳到了！美轮美奂！,6.356295879249371
11029,0,到底在演什麼啊？？大爛片！！！,74.55116712347885
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,7.885011938703164
3121,1,你无车无楼无番狗做乜要拖我手,314.78408434320795
9512,0,最弱版劳拉了吧？太弱了太无聊了,35.404042482937
15976,0,重拍经典，孩子对恐惧的克服。,15.751373568867615
26862,1,太好看了！笑得我内分泌失调！,15.185877547304859
30395,0,本来两星，加一星给受罪的演员吧,19.025265052580984
22972,0,《星际特工：全宇宙看我们尬爱》,72.62287009871552
30570,0,特效不错啊，但剧情就大简单了,15.031651805171064
20588,0,气氛到位，演员不存，故事简单！,15.822786186906649
13869,0,看的点映，形式“精致”的大烂片,71.34771225699056
24216,1,最后居然没搞你们还是人吗？？？,21.308178464652347
32991,0,平淡真实不温不火我没懂哭点在哪,42.253394552386325
1732,1,其实伍迪哈里森演的是一个天使,23.211249805247345
4472,1,陈可辛拍商业文艺片真的不错~~,14.411621471293477
33439,0,泡泡妹子打打架，兄弟情在哪？,27.59917065894569
11847,0,一部非常尬的电影。不推荐观看。,12.576971404117716
16369,0,张艺谋式的漂亮画面，何必3D。,24.292273000559213
31321,0,"我不信你们没东西怼地雷啊=""=",87.91211723440307
18949,1,少男少女必看，爱与美的启蒙。,11.890769038397439
32102,1,迪斯尼的动画很赞，配乐很好听！,10.154496843403907
9630,1,喜欢坎妹素颜的劳拉，期待后续。,90.83984692590072
1571,1,演小安生的小朋友很像岳云鹏啊。,43.54078069251726
38226,1,你猜不到的结局…猜不到的惊异…,12.67214991845375
17406,0,卡尔文老师不是触手，是海蜇皮啊,90.23720269029339
24554,1,我不会说情话，只知道陪着你。,7.151034549458872
6181,1,腕龙站在码头哀嚎的场景太泪目了,94.59248366131509
6583,0,比较难看的伪记录僵尸片...,17.864825498406045
6224,0,cctv6盛产类似的古装片……,46.5195883768691
39086,0,打一星以上的人都是咋想的！！！,27.842963176612724
14019,0,好吧，为了阿姨们的搏命演出。,29.880413062820615
10409,0,勉强合格。觉得周冬雨有点厉害。,5.232832012887429
24108,0,Highlyoverrated,1348.554637628654
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,78.08867179242397
6067,1,妈的吓死我了叫得我嗓子都哑了,16.38437777358656
9505,0,寻父，遇彦祖。掘墓，炸病毒。,91.088081115441
41265,0,嗯电影院椅子挺舒服，睡得挺好,19.797537932318672
48553,1,Pixar真的没有让我失望过。,19.47166459564291
24690,1,看完只想把所有好东西都给它……,9.794061672549903
6635,1,我给你四星，反正我就是胆小。,14.149119094535344
4338,1,除了人贩子，所有人都是受害者,6.7949625456030365
25535,1,逃离已知世界的勇气令人敬佩。,6.183190001106175
17716,1,老一套温情，稍稍让我有点麻木,34.509181656410796
47637,0,我特么就想知道那句中文是什么,12.880586940910364
8508,1,好看！但是最后那关不过瘾???,19.375226034275776
23534,1,谁能拒绝穿护士服的余春娇呢？,23.64275006033906
26207,0,太恶心了~不要看~建议哈···,18.043606956015466
28591,0,主角明明是章鱼，你叫潜艇总动员,17.370680953277702
19643,0,没看。但是五星水军太恶心了。,25.964532547330492
31415,1,爽着爽着导演就给你喂了一口屎,15.539382410850957
2047,0,好的地方都是老舍的。★★★☆,148.26102166926964
9358,0,感觉在铁匠铺呆了一宿。。。。,19.681591879728764
27611,1,勇敢、努力、坚强的女孩都是公主,5.953198286824103
24947,0,埃德加赖特的GTA6？太屎了,358.89738599388613
24137,0,小哥有精神洁癖呀，这点好赞。,17.830032019203458
18739,1,永远不要忘记你所爱的人，感动,9.743677285560802
26928,0,把所有人都拍这么难看太不容易了,9.133470940112463
15616,1,就想知道睡觉打呼噜的人怎么办,6.900449629300829
49084,1,能把蒜皮当雪花的姑娘你真好。,17.24927058834853
46654,0,我没想到加分项竟然是景甜老师。,18.530081220818616
31054,0,交通安全宣传片，情感关系咨询片,6.835623238451913
22682,1,Kylo在色誘Rey啊啊啊！！,732.932512523998
21126,0,演员升级，故事降级，无聊透了。,12.81204287216669
19669,0,车行径你妈逼去死！杀人凶手！,210.11017565586954
38351,1,最后奔跑拥抱那里真的好感动。,22.61896805633055
29835,0,女个坏女人挺好看的，好友真真,136.9180687915447
20290,0,犯我中华者，虽远必诛其超市！,55.99952180733435
32379,1,我眼拙。不过剧情还是吸引人的。,14.162528563196544
7517,1,看哭了，我是不是自我代入太努力,29.712589231336654
47322,1,生命不止，奔跑不息。励志电影,7.807991220487815
48159,1,全片都是彩蛋。最后两个彩蛋。,8.50260730016659
39334,0,馮小剛的電影，簡稱「尬影」。,20.041365846178557
30801,0,特效不错吧，其他没什么感觉。,10.609315983943521
48912,0,莫名其妙，演到一半变得毫无逻辑,7.1448069519366655
27998,0,好玩，看完很放鬆的輕鬆喜劇。,11.94275822308114
5783,0,为了第三部放恐龙也是牛逼……,24.278601555670065
25444,1,剧情紧凑，案件逼真，很好看。,7.960850878170498
45902,0,发哥近年来也都是接的烂片子啊,41.59395916183558
41165,0,不是赵丽颖差，而是朱琳太好。,10.786020934545942
3114,0,题材不错，可惜片子真的很一般。,6.882418979188392
28516,1,披着科幻片外衣的恐怖悬疑电影,5.722728015479614
45673,0,他们都在打酱油不要冤枉甜老师,42.854529649005094
44474,0,虐杀白垃圾的感觉真的会超爽吧,83.39841879610616
2914,1,verycd上的三级太强悍了,121.80344263955142
36553,1,比我想象的好看，和妈妈一起看的,8.17746327202765
35983,0,世人久不见苍鹰，竟觉秃鹫美。,149.86367468687135
24574,1,看完了真的值得深思，很有深意。,5.860768022376927
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,71.6200788396739
3072,0,忘了讲什么了。7分吧。看完了,12.116872290850521
43841,0,立体机动装置的镜头拍得真是丑啊,25.23619078009607
13535,1,答应我一定要去看3D的好吗？,15.528952387169912
27935,1,能吓到人的恐怖片就是好恐怖片,9.541348384344685
37463,1,“这房间里面的书都是你的了”,21.196861138938115
17012,0,傲慢自大的朝鲜人领导了此电影,16.339579901457938
50167,0,下錯片來看了，這片看著噁心。,46.45166450127856
25900,0,把功夫都用在P超人的胡子上了,31.676200615613155
43522,1,我不管反正我看哭了我要给五星,23.691817807388922
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,23.118478464285367
40591,1,“你出得了海，你上得了岸吗？”,9.583572454088296
23780,1,绝望感，徒劳感一点点地蔓延。,22.227203693888217
33622,0,哇，大咖云集的大烂片。。。。,32.04455986918359
6131,1,真正的大片，真正的视觉盛宴。,7.074310714343114
49046,1,仗义每多屠狗辈，负心总是读书人,180.6832948886833
23480,1,你爱我我爱你你变成我我变成你,5.845581642308695
30778,0,只是猩猩版的胜利大逃亡或者越狱,35.85251457793645
26793,1,休闲娱乐的一部童话故事片子。,6.6917603240934875
47988,1,尊重与认同，是靠实力争取来的,9.18820024231406
7844,0,最后还逼着看了场广场舞好尴尬啊,16.99744985091042
16611,1,休格兰特荣升英国周润发宝座【,214.5426025461671
7068,1,最后怎么突然就玄幻起来了？！,29.497852082258504
33251,1,反转反转大反转，值得好好用心看,16.0944875521077
34533,0,三星半吧。女主挺美。剧情太扯。,21.622770034383148
41274,0,我不懂林志玲存在的意义是什么,5.676320290902195
2571,1,我还蛮喜欢的vintage耶,57.64241906795869
7017,0,视听成熟，剧作幼稚，表演出色。,15.024293950152126
33663,0,渣看首映看的睡着为中国电影难过,38.44119589343747
41653,0,这是东野圭吾被黑得最惨的一次,5.97311488581887
25798,1,挺好看干嘛取这么一个傻中文名。,28.765485916405826
37930,0,其实很一般，老流氓逝去的青春,16.103586111583134
41139,1,称得上是国漫精品了。继续努力。,12.373291753802626
44855,0,一把年纪还在拍动作片也是心疼…,13.625068619033135
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,4.9348729121528345
23669,1,人性的丑陋，不敢看透的人心。,12.118236395552566
40921,1,我相信，看粤语效果会好很多。,15.265304897596682
5358,0,我怎么就这么讨厌这部电影呢？,5.057363011173286
31300,0,合格爆米花大片附加價值觀輸出,158.28932546500718
47443,1,故事不是关键，弥漫的氛围完胜。,12.546371631443387
19329,1,一生筚路成天地，半恨亲仇错缘君,990.5776159860455
30647,1,还行，大猩猩很酷xxoo都懂,95.53848862135308
20601,0,禁闭自己的永远都是内心的魔障,28.251497949162143
27721,1,视觉效果，故事和音乐都值五星。,9.181109002470272
14381,0,演技在线，剧情太狗血，已弃剧。,9.180866555034324
29587,0,看到同性恋题材，就忍不住给一星,13.394905769214203
48737,0,歌舞剧，唱唱跳跳还是不错的。,10.853742150549202
50409,0,工业合格，但就没有一个点戳到我,47.70593010907657
1758,1,我和我边上的大叔一直在抹眼泪,13.317416965400911
23547,1,坚持住十分钟影院并没有放错片,38.76062010235777
27665,1,迪斯尼已经掌握了套路的水龙头,47.692225731751456
39726,0,汤姆汉克斯总能逮到机会跑两步,26.814273035979912
8664,0,好看是好看，但是不值那么高分,11.298410536501978
2319,0,恕我愚昧，不太懂讲了些什么。。,14.764848896339004
4770,1,真的是开怀大笑。还不被灌鸡汤,18.94322964728085
34765,0,呵呵，挑了这对侠侣可够XIA,223.25103453279593
43012,1,丫丫的美看着舒服，还是值得的,16.854042903633953
35486,1,尺度真大…超过好莱坞了…我喜欢,17.56322201828884
46075,1,依旧霸气四射，最后的自杀是败笔,16.780992793516347
5106,1,好爱这个导演，可爱的老头么么哒,17.9441245866656
27913,0,还行吧，杀杀时间还是没问题的。,13.951879839465679
32931,1,最近看的一部电影……哈哈哈哈哈,6.909260963307994
19843,0,这片名，也是醉了，剧情也一般,17.553833008475628
40765,0,烂死了的片子，完全没有演技可言,7.3374464172412015
27377,1,"Youjump,Ijump.",46.43822327985508
15068,0,在云山这一大段剧情，太作了。,64.78986536818022
10327,0,不就一国产玛丽苏么有几把个甜,219.3521498466162
47218,1,那个时候的小汤哥真帅！演技惊艳,11.012872011591456
7838,0,把李治廷当成王力宏从头看到尾,27.943486066423933
33992,1,告诉我有多少人只是来看小黄人的,12.702351506847522
15138,1,百合小姐姐颜值巅峰，温柔似水。,12.90219256301492
22189,0,高考思想，中考提纲，小学情怀,34.80566019725169
27336,1,撸辣么多次的片居然没打分...,42.98346304382038
30785,0,感觉人类小女孩就是个摆设……,13.9834898796194
34175,0,前面做的很认真中间拖了点烂尾,15.393127687678891
45959,0,一颗心给玉木宏另一颗心给苏有朋,109.35813746906565
8987,1,作为一个媒体人真的是热泪盈眶。,4.353563441355034
13193,1,好吧老贼，这次算被你煽到了…,71.16956473838944
6728,0,怎么笑？爆笑的都是什么人啊？,15.053948394339175
44702,0,我承认我只是想看热巴....,26.7501056747537
34149,0,现在的香港喜剧，是比谁更烂吗？,14.963512361188835
31158,1,在瑞恩面前，没有理智的评分。,17.463450490809276
38384,1,经典到不知道用什么言语来评价它,8.366496469642426
50202,0,可以排进我看过的最烂电影前三。,6.199302853100664
36073,1,又名《这世间女子都不爱沈炼》,65.73883808053445
34034,1,可爱到爆的啦！全片脑内布兰妮！,205.67735435270222
22472,0,没有男主，防守作战，意思不大。,30.68962632609253
2174,1,范伟演的好，和耳朵大有福一样。,59.57160017684988
43765,0,看了五分钟决定来打完分走人……,36.599574606824596
50312,1,BlackDahlia·山寨货,738.8574710983663
39261,1,你觉得我的小么？我也没见过大的,14.750628150518713
33361,1,整个看到鸡皮疙瘩大起，爱死了。,46.11279393375272
36345,1,为了陈导，破例为国产片打高分！,60.51671663247203
17282,1,两只法鲨傍地走安能辨我是攻受,2055.724563639459
43364,0,要不是冲着文章那三字一星都不给,63.0475119548403
26682,0,所以这套兔子都什么混蛋三观？,83.9108577638759
18612,1,发现讨论区很多智商很低的人耶。,14.980007358848077
24974,0,不过不失，后半段剧情有点失控了,13.738292628891667
20834,1,看颜值，看服装，剧情可以忽略。,4.878427576469465
25404,0,女主人设太太太太讨人厌了弃了,46.28978591713136
18847,1,我认识的人越多，我就越喜欢狗。,7.364461447890731
30884,1,温情又悲壮，感人且充满力量。,18.918543518514873
47411,1,众多大牌呢。。。你看看都有谁。,25.088552060482517
10920,0,第3颗星给黄秋生。。。哎。。。,113.35983617785088
6817,0,恩，这片子应该叫《中二接盘侠》,16.321198100406406
14610,0,英文片尾曲响起的时候我报警了,12.79546115708887
12211,1,情爱是一个永远说不完的话题。,8.993252680916406
18881,1,看的时候哭成狗，心痛的不行。,6.737799726326818
20568,0,女主颜值加一颗星，故事本身无聊,8.973800325548458
3918,0,等我被求婚的时候我也要烟花?,61.968801288349255
26664,0,兔子一点都不可爱，简直想掐死,9.319962219119798
18969,1,懵懂的才是这个世界最好的。。。,15.998982841530509
10748,1,这他妈才是黑处有什么喔，牛逼,135.61958358244382
25057,1,与其他故事有借鉴，原声加一个星,61.072388972071366
14380,0,曾经的女神现在演这种狗血剧了,10.7932362532133
11114,0,开始看就希望快点结束的电影。,8.365891754933731
2418,0,太蠢了，不能把侦探一起干掉？？,108.05766155564575
46843,1,【用尽我的一切奔向你】-周笔畅,16.827711399446475
2436,0,翻拍片，但质量实在是太低了。,23.607152277418432
17791,1,我相信上帝为我开了很多扇窗。,5.583849751262742
20706,0,郑爽整容后，每个表情都好奇怪,8.595313553574115
32882,0,其实不错但作为盲系列感觉……,37.717940350320674
25159,0,各种土。居然林志颖都没帅起来,17.355555687039242
32233,1,那时小的看这片还有些智力困难,56.26703482295112
27089,0,很久没有看到这么恶心的电影了,6.626231231854193
46059,0,悬疑不够，刺激不够，精彩不够,4.4225339418969645
4054,0,霸道总裁人人爱！好看！我喜欢！,8.12804307603414
10830,0,幸好是下载看的，不知所云的电影,41.54325999674518
34018,1,萌萌哒，你在这里，不离不弃……,6.056927033994009
25438,1,2018第一部让我追到天亮的剧,46.77133396852435
28379,0,newagebullshit,3099.1279878824994
30297,0,情节过于牵强，动作又有些混乱。,8.725863413596791
32033,1,希望自己也能像朱迪一样吧……,10.763306082186421
9160,1,“相忘于江湖，不如相濡以沫。”,4.477319893531312
10970,0,看到这个组合电影也就不用看了,13.465813846755696
25101,1,虽然翻了很多次白眼但还是很好看,11.935816564949393
8931,1,我们也许也在经历尼克松时代。,10.828368680804264
44399,0,本来期望挺高，实际上漏洞百出,7.688789381751072
20496,0,只顾自己心机婊，玩弄两男不顾情,103.76829331734186
48717,0,剧情比较简单，但是音乐非常棒。,4.246767243549334
19138,0,这怪物的形象真是不忍心吐槽啊。,9.867256247580565
21803,1,什么是好电影，这就是好电影。,5.283432161005879
30139,1,汪星人给现在喵星人主流的反击！,24.89367023288599
15894,1,秋华，等到马上就要得到幸福啦,70.28167762367303
7744,1,美好的东西注定只能潜藏在角落,10.321686702930355
38412,1,逆境中的挣扎在绝望中生出一朵花,10.501365402508153
26358,0,烂电影？我听过谁说好看来着？,19.747636963909834
5344,1,这种青春。你国人只有看的份。,67.04851985992593
25742,1,taron唱歌太jb好听了。。,218.06729303378495
39856,1,这题材居然舍得平实，毫不煽情,103.6376949103891
32432,1,一环接一环，很烧脑，有意思。,8.68512498025877
33668,0,现在当电影导演的要求这么低么？,10.257460484718456
6328,0,这又是什么让人窒息的真实故事,8.112137457682953
34193,0,最爱小古，你千万别是Y先生呀,130.83392982692158
3458,0,太辣眼睛，这都是啥，剧情太烂,17.206894931679113
40990,0,这就是所谓的划时代国产电影呵呵,22.714805811409615
25511,1,我是不是也在楚门的世界活着？,22.790357995115663
34188,0,搞笑小品~很精致~看着舒服~,10.223954671378193
50219,0,尼玛B又下错了！！！！！！！！,23.709667524287404
4282,1,确实很感人，也让人感觉好可怕。,10.037283552557122
18561,0,电影可以重来，但生活没有彩排。,11.016628912595833
4449,1,真没哭，但觉得很好，有点意外,31.894197909255166
16671,1,温馨的片子～可以欣赏伦敦风景～,13.388292441466099
21892,0,当年最搞笑的科幻动作剧情惊悚片,10.003809211958437
45250,0,内容铺设的太慢，烂片儿一部。,45.21137055712369
18697,0,是不是应该集结动物们来看一下？,12.518266554291557
2928,0,ab为什么要演这么一个角色？！,22.505899567365418
36776,1,我有时会想起你，你应该在北方。,6.600102109088371
42687,0,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵,5.058692415548709
26333,0,好久没看过这么难看的港片了。,7.463737825497687
19866,0,名字取得不好，差点没看，还行吧,20.771246207397837
16604,1,《帕丁顿熊2：布达佩斯大饭店》,64.33641902696988
38551,0,最后的决战跟《盗墓笔记》似的。,6.184580350270912
6592,0,第3視角拍起來真是模糊難懂阿,94.16113978371585
39147,0,明显郑恺比赵又廷好多了啊！！,12.797096983987156
12950,0,Whendoesitend?,3407.833047608258
28884,1,女主的演技把男主秒的渣都不剩。,6.999168610312794
27397,1,太经典了，不知道多少年前看的了,6.412571793925183
20505,0,"姐弟乱伦片,冲女主颜值多给一星",171.384208138645
22371,0,全片就讲了一种新虫？坑爹啊你,140.3446012514307
4290,1,终究还是被结尾真实影像戳中泪点,9.119306530643922
15892,1,秋华来了，属于她的幸福也到了,24.543790144729964
27786,0,只有jumpscare。。。。,188.17751781192476
1491,1,两个女仔，一个不怂，一个也不怂,10.589949206134664
47544,1,很棒，好看，看后心里面很舒服,13.468453874943712
34603,1,前面的故事是真人版moana,45.96746339455205
7737,1,爱德华脆弱伤心的眼神看着难过,24.108477044349076
27282,1,我也愿意敬会治脱发的怪兽为神,59.2879139182184
37159,1,周星驰版下水道美人鱼，笑中带泪,29.715723030436838
22351,0,这个系列的2和3要比比谁更烂,13.976921431094008
42411,1,我们不再拥有一种热烈的心碎。,26.05444996886969
37577,0,说实话，不好笑而且充满算计。,21.096225853751687
16177,0,能让我这么浪费时间的人不多了,10.374563265613785
44516,1,女主角真漂亮，难怪用来钓鱼呢,15.937165921266311
47125,1,特效震撼，一场完美的视听盛宴。,12.369002311986034
47774,1,文科生拯救世界！就凭这，五星！,31.60840820411679
28616,0,就算是小孩子也说不想看了的电影,16.335365030690927
15883,1,女主倒是不错很好看，演戏在线,39.732398293643044
40500,0,美人迟暮，没了花与蛇时的惊艳,61.332144287651396
36608,0,本来还好的，作过头就不好了。,20.168626609504567
48609,1,我爱皮克斯啊啊啊啊啊啊啊啊~,21.403351446581237
15847,0,哎为了我的秋华_(:з」∠)_,32.61332431270194
6668,1,对僵尸有了新的看法哈哈哈搞笑~,11.204064738354186
50548,0,年轻不懂事的时候看过。。。。,11.971940123532328
14495,1,张柏芝真的太美了，盛世美颜啊！,8.83100781670631
37456,1,餐桌那段我的内心os：好烧钱…,62.489332914814234
4773,1,笑到眼泪都出来了！！！！！！,9.919285052031768
9866,1,作为处女作，实在是难得的公路片,12.568219143708815
36330,0,陈勋奇也拍这种老套的喜剧片。,27.884273213810268
36524,1,为摇滚乐推荐，至少这是电影。,17.163882459843684
22067,1,这是神作!!都是因为你们看不懂,20.075006191832575
26169,0,八仙人肉馅+阴唇包饺功【4】,222.73684654676964
32166,1,国产片拍到这个程度真的很不容易,5.522016188306554
3571,0,宣传那样除了画面还有哪能看了？,27.453327576247055
13098,1,我觉得我需要王小贱这样的男人,13.216475828080496
41062,1,大圣好可怜的你们为什么都欺负他,27.019749191624136
23577,0,除了想法，没有别的了。难看。,9.98443432617754
46597,0,电影挺不错的啊，给一星没毛病。,23.59720087821441
4539,0,艹，我竟然看完了，狗比人好看,17.695118319687978
4298,1,觉得几位主演都好棒！片尾哭瞎。,22.97272579897813
35920,0,第一次觉得徐静蕾拍的片能看.,28.56375066231396
1817,0,为抄袭大作贡献自己的一星不谢,53.27623477497844
30582,0,环太平洋全自动化口头指挥版……,36.352841372954835
30331,0,辜负了我当初的期待，太一般啦！,7.764731800135883
12634,1,我们家美国队长演什么都好看！,31.67959222230192
26462,0,平庸、无聊、恶俗的一塌糊涂。,12.292786320166705
7338,0,前你全家啊前前前，没完没了还,101.6399504857943
11821,0,看看吴君如就好，其他人一律屏蔽,10.95597937868889
3520,0,张鲁一为啥那么想不开这个造型,26.776505594547043
25264,0,林志颖真的已经38了么？？？,16.734231746577237
27470,1,简直影响了我前二十年的爱情观,10.127217077092899
28239,0,这种毫无节奏的动作片真是够了,13.875198509841047
19566,1,冷幽默，不过现实里不可能的事,14.665089735031342
7291,0,郑恺真的太适合演喜剧片了哈哈,8.622107748978715
10505,1,新东方女厨师强力征服霸道总裁,16.960663903894822
33588,0,陪老婆看的，消磨时光还可以。,31.91968367335856
20685,0,没有一个角色合适，看得尴尬。,10.107091315888553
49235,1,你替她做了你认为对的选择……,9.359582252179685
24584,1,2008:太空漫游结尾很迪斯尼,91.27279623759325
3586,0,自带槽点。这妖艳贱剧不一般。,73.01055001766771
31295,0,剧情这一次幼稚到我一脸懵逼。,16.108562805978583
28400,0,真的不喜欢如今软科幻的发展方向,11.694515981453035
27925,1,三星半，挺恐怖的，对我胃口！,23.729335893920034
18688,0,一种类型片叫不哭死不让出电影院,99.49459172370264
44769,0,颜值赞，剧情无语，可惜了这颜值,20.82848305353975
20774,0,郑爽，你电影学院怎么毕业的？,13.086258430137528
21982,0,随着时间的推移就不是烂片了？,11.556518667507646
15884,1,希望秋华和许多化两人能相惜相依,92.96493851375173
9031,0,营销号真情实感的骗人，不好看。,50.00727317308659
3645,1,这个妖艳贱货看久了居然觉得好萌,11.696935903434165
31893,0,感觉这个片的白左癌非常严重啊。,28.74947350427739
31028,0,明明听说很好笑的。又冷又尬。,15.180749311816024
31615,1,主题曲响起的时候还是被燃到了,16.79315798158856
33122,1,“以后不许王太太坐这个车子！”,24.130540024200755
28044,0,还行啦，一些无伤大雅的玩笑。,48.23957508555245
36759,1,一个体面人拍给体面人看的电影,6.128884814350868
6755,0,现在电影演员的钱太好挣了………,5.767695448475279
9164,1,也只有极地才会发生这样的爱情。,12.908697446758726
31407,1,手法老练，第一部真的难超越了。,38.72916185363592
10293,1,请不要让庸俗段子毁了这一系列,10.677982215512685
13186,1,别的不说了就想问什么时候能玩上,12.423698264729499
21699,0,诺兰全面向斯皮尔伯格靠拢的一役,51.351459547935974
11235,0,为什么这么烂，却这么多人叫好,8.442932947589979
