,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,308.7886134583033
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,27.912665097218976
768,1,味道很好！送的也很快！好吃！,20.46128131741093
2518,1,菜品好，速度快，真是太好了！,10.435495782251056
7638,0,这家店就直接没送，接单不送的店,125.87653987358141
6583,0,送餐太慢太慢了～菜品还可以～,49.201083249299415
6692,0,"下次能送早点就好啦,快饿过劲啦",160.6221531755506
484,1,"很好吃量也很大都吃不完,赞一个",97.59587261920646
11295,0,下单2个小时才送到。无语了。,31.91123664344525
2826,1,谢谢师傅，辛苦了！非常准时！,43.26527661091832
11958,0,粉很好吃，但是订了卤蛋却没有。,78.54824136025509
4074,0,"吃到一半发现菜里有小强,简直了",46.798167779371376
1568,1,米饭是硬的。。不如上一次好吃,39.65479852891353
10881,0,米饭里有一只蟑螂，让人怎么吃,37.868481480103746
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,37.5233212425261
4765,0,很慢就不说了，关键是还不好吃。,18.100602244447206
370,1,态度很好，效率很高，给十分赞,37.57144164257859
11746,0,速度慢，第一次订餐就迟到，晕,58.71600996843685
8159,0,送餐走错路，袋子还破了………,46.49543420065598
2366,1,一直买他家的香脆鸡肉披萨，喜欢,12.444887684845023
866,1,"师傅辛苦了，谢谢,下雪注意安全",25.817011743324215
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,29.99169811962592
9911,0,石锅拌饭里面吃出了塑料包装纸袋,60.38780619832914
5045,0,菜品没味道。。。周也是。。。。,149.3703090850026
1563,1,又快又好又便宜！真心给力！！！,19.405265423285528
10234,0,面时间太长了，坨了，不好吃了,39.30448235882132
29,1,"送餐非常快,态度特别好,谢谢",22.401698508493258
6442,0,"太小了,味道一般,说多了都是泪",14.388127860873897
467,1,送餐员辛苦，饭也好吃，继续购买,16.35097160262465
58,1,"送餐特别快,送餐员态度也特别好",18.33560933425912
1652,1,很快，也好，包装也好，赞赞赞,20.109758391383792
4529,0,味道还行，就是送餐太慢了……,21.646141549710368
88,1,"又快又好,小哥态度很好,好评",10.620480251950717
4524,0,"味道就那样把,盖浇饭挺难吃的",71.02108779011955
3085,1,外卖小哥人超级好。。。。。。,79.73940737578653
10811,0,速度挺快的，面不好吃，都凉了,46.67748305348609
8052,0,"点两份鸡柳,就给送,一份。。。",259.08288990778925
5562,0,太慢，太小，吃不饱。味道还行,15.752821728034887
5132,0,不好吃。。。菜太少了。。。。,89.21705352940744
2537,1,配送非常快，10分钟就送到啦～,32.05962344910476
2730,1,人好速度快，好评好评好评！！,19.298892844443408
6256,0,米粉比以前份量少，没以前好了,20.22042946559801
2717,1,东西非常好，还是热的，辛苦了！,12.025614653353397
5791,0,给的豆皮果然多，只是肉变少了,277.9039299079399
434,1,很快，很好，经常订，谢谢师傅,35.95541726299442
2067,1,非常好吃，送餐很快，绝对好评,33.5476578739753
8096,0,就薯条还行！其他都不怎么样！,36.540439339501575
1952,1,味道还好。服务态度真的很好～！,10.611683143875887
6980,0,咋的跟饿了吗不一样的名，坑爹,264.5505857955813
2435,1,经常买这家的饺子，味道棒棒哒！,13.620618923137352
9055,0,没有在店里吃好吃，萝卜太多了,21.312897266142823
1653,1,除了速度有待加强，其他都不错,8.306942000918427
3654,1,没有餐具哦，还要自己点餐具么,35.37061501014899
1739,1,"服务不错,但是太难吃了啊啊啊",13.226266505219765
11045,0,面也太少了，才半盒，我就没吃饱,115.48314472434821
2626,1,非常的正宗，就是羊杂汤太咸啦,45.19073657005922
7925,0,午餐肉实在太难吃了，千万别点,13.083837076522356
5910,0,真的不适合外卖，另外，真难吃,23.991288807517872
11336,0,我的电话打不通，不知道为什么,4.996311829456821
809,1,很好，速度飞快，炸鸡有点火大,28.442995849772608
661,1,太快了！！简直是神速啊！！！,19.634822532069325
396,1,"第二次买了,挺好的,以后继续",17.823627676248222
5702,0,我备注要的粥，结果送来的是饮料,82.56283008861128
10859,0,赠送的黄飞红花生呢？没送啊！！,211.44974636038657
280,1,非常好送的很快，，，还是热的。,40.11776434148326
184,1,好好好！赞赞赞！态度好速度快！,20.713947867011516
2289,1,味道很好而且很实惠送得也很快,36.16514734088185
4775,0,包装牛逼，送餐速度……咳咳……,35.6862481714664
2711,1,"番茄醬撒了QAQ,其他nice",380.4778572762478
854,1,"粥里有头发,就没吃,剩下都好吃",73.96352571379884
5116,0,太慢了，俩小时连个解释也没有,25.656178137181772
2377,1,速度挺快的东西也挺好的给赞~,71.92132464116496
4429,0,肥肉太多吃的时候还把嘴唇拿破了,29.61835104688487
11423,0,饭菜都凉的，一个多小时才送来,33.90808311658096
7151,0,地三鲜，茄子里面有很多是生的,66.11313728378859
901,1,我吃出来一个钢丝球上的一个丝,42.371543285835926
5808,0,不好吃，包子还不熟，都硬邦邦的,39.096497112198136
2679,1,味道好，包装好，送餐及时，不错,17.553709940667673
11060,0,差评，退款太慢！我说的是百度！,34.21041502232535
10479,0,"送错了,打电话要求补送也不送",127.18426334599818
8079,0,送的时间太晚了，一个小时才送来,23.377593436503435
