,labels,text,neg_logits,pos_logits
8711,0,[MASK]开心。病人吃啊，挂面哈拉味，汤也腥。,10.420978,10.381092
5797,0,[MASK]开心。豆腐丝里吃出苍蝇，啥也不想说了,9.479083,10.70705
768,1,[MASK]开心。味道很好！送的也很快！好吃！,8.528591,13.161883
2518,1,[MASK]开心。菜品好，速度快，真是太好了！,8.001332,11.971762
7638,0,[MASK]开心。这家店就直接没送，接单不送的店,10.915029,10.345034
6583,0,[MASK]开心。送餐太慢太慢了～菜品还可以～,10.138821,11.955972
6692,0,"[MASK]开心。下次能送早点就好啦,快饿过劲啦",9.752376,11.049042
484,1,"[MASK]开心。很好吃量也很大都吃不完,赞一个",8.677454,12.772751
11295,0,[MASK]开心。下单2个小时才送到。无语了。,14.330694,10.950155
2826,1,[MASK]开心。谢谢师傅，辛苦了！非常准时！,9.411189,12.561152
11958,0,[MASK]开心。粉很好吃，但是订了卤蛋却没有。,11.563374,11.536833
4074,0,"[MASK]开心。吃到一半发现菜里有小强,简直了",8.979459,11.608788
1568,1,[MASK]开心。米饭是硬的。。不如上一次好吃,11.029222,10.786288
10881,0,[MASK]开心。米饭里有一只蟑螂，让人怎么吃,10.019958,11.217761
6353,0,[MASK]开心。咖喱鸡肉烩意面，不知鸡肉滋味,8.463885,10.766293
4765,0,[MASK]开心。很慢就不说了，关键是还不好吃。,10.754634,11.474717
370,1,[MASK]开心。态度很好，效率很高，给十分赞,8.520679,12.170374
11746,0,[MASK]开心。速度慢，第一次订餐就迟到，晕,12.094139,10.161694
8159,0,[MASK]开心。送餐走错路，袋子还破了………,10.707586,10.194403
2366,1,[MASK]开心。一直买他家的香脆鸡肉披萨，喜欢,9.341639,12.44347
866,1,"[MASK]开心。师傅辛苦了，谢谢,下雪注意安全",9.442363,11.338643
2743,1,[MASK]开心。又快又好棒呆了哈哈哈哈哈哈哈,7.897342,10.567133
9911,0,[MASK]开心。石锅拌饭里面吃出了塑料包装纸袋,9.258425,10.864201
5045,0,[MASK]开心。菜品没味道。。。周也是。。。。,12.1401615,9.232468
1563,1,[MASK]开心。又快又好又便宜！真心给力！！！,8.32103,10.989718
10234,0,[MASK]开心。面时间太长了，坨了，不好吃了,10.968272,10.848741
29,1,"[MASK]开心。送餐非常快,态度特别好,谢谢",8.94745,12.487435
6442,0,"[MASK]开心。太小了,味道一般,说多了都是泪",10.723417,10.322652
467,1,[MASK]开心。送餐员辛苦，饭也好吃，继续购买,8.747516,11.154132
58,1,"[MASK]开心。送餐特别快,送餐员态度也特别好",8.896386,12.43952
1652,1,[MASK]开心。很快，也好，包装也好，赞赞赞,8.214764,12.278357
4529,0,[MASK]开心。味道还行，就是送餐太慢了……,10.033917,11.811991
88,1,"[MASK]开心。又快又好,小哥态度很好,好评",8.442527,10.966652
4524,0,"[MASK]开心。味道就那样把,盖浇饭挺难吃的",9.756207,11.513042
3085,1,[MASK]开心。外卖小哥人超级好。。。。。。,9.471324,11.98071
10811,0,[MASK]开心。速度挺快的，面不好吃，都凉了,10.487373,11.36214
8052,0,"[MASK]开心。点两份鸡柳,就给送,一份。。。",9.440181,10.032146
5562,0,[MASK]开心。太慢，太小，吃不饱。味道还行,11.449802,10.828478
5132,0,[MASK]开心。不好吃。。。菜太少了。。。。,15.603575,9.927881
2537,1,[MASK]开心。配送非常快，10分钟就送到啦～,7.4990945,12.49243
2730,1,[MASK]开心。人好速度快，好评好评好评！！,7.6612105,10.0748005
6256,0,[MASK]开心。米粉比以前份量少，没以前好了,9.580185,11.440814
2717,1,[MASK]开心。东西非常好，还是热的，辛苦了！,10.050763,12.5594845
5791,0,[MASK]开心。给的豆皮果然多，只是肉变少了,9.668092,11.805596
434,1,[MASK]开心。很快，很好，经常订，谢谢师傅,8.599166,13.036009
2067,1,[MASK]开心。非常好吃，送餐很快，绝对好评,8.030215,12.107303
8096,0,[MASK]开心。就薯条还行！其他都不怎么样！,11.167275,11.787685
1952,1,[MASK]开心。味道还好。服务态度真的很好～！,9.216438,13.055552
6980,0,[MASK]开心。咋的跟饿了吗不一样的名，坑爹,9.837589,9.9395685
2435,1,[MASK]开心。经常买这家的饺子，味道棒棒哒！,7.947412,12.238845
9055,0,[MASK]开心。没有在店里吃好吃，萝卜太多了,11.615335,10.925385
1653,1,[MASK]开心。除了速度有待加强，其他都不错,8.889574,12.287765
3654,1,[MASK]开心。没有餐具哦，还要自己点餐具么,9.69259,11.157891
1739,1,"[MASK]开心。服务不错,但是太难吃了啊啊啊",10.73858,11.256212
11045,0,[MASK]开心。面也太少了，才半盒，我就没吃饱,11.90798,10.918245
2626,1,[MASK]开心。非常的正宗，就是羊杂汤太咸啦,8.4154,11.6994295
7925,0,[MASK]开心。午餐肉实在太难吃了，千万别点,9.35644,9.720622
5910,0,[MASK]开心。真的不适合外卖，另外，真难吃,11.177406,10.62703
11336,0,[MASK]开心。我的电话打不通，不知道为什么,11.935332,11.964622
809,1,[MASK]开心。很好，速度飞快，炸鸡有点火大,8.989993,12.10248
661,1,[MASK]开心。太快了！！简直是神速啊！！！,8.688624,10.608934
396,1,"[MASK]开心。第二次买了,挺好的,以后继续",10.406793,12.99657
5702,0,[MASK]开心。我备注要的粥，结果送来的是饮料,11.28956,11.171102
10859,0,[MASK]开心。赠送的黄飞红花生呢？没送啊！！,11.090088,10.662451
280,1,[MASK]开心。非常好送的很快，，，还是热的。,8.633444,12.480006
184,1,[MASK]开心。好好好！赞赞赞！态度好速度快！,8.074468,10.891651
2289,1,[MASK]开心。味道很好而且很实惠送得也很快,8.179727,12.665558
4775,0,[MASK]开心。包装牛逼，送餐速度……咳咳……,8.086996,10.691933
2711,1,"[MASK]开心。番茄醬撒了QAQ,其他nice",7.9476438,10.87327
854,1,"[MASK]开心。粥里有头发,就没吃,剩下都好吃",9.116558,11.045068
5116,0,[MASK]开心。太慢了，俩小时连个解释也没有,11.924517,10.586996
2377,1,[MASK]开心。速度挺快的东西也挺好的给赞~,8.494707,11.714703
4429,0,[MASK]开心。肥肉太多吃的时候还把嘴唇拿破了,10.918605,10.612788
11423,0,[MASK]开心。饭菜都凉的，一个多小时才送来,10.623282,11.537613
7151,0,[MASK]开心。地三鲜，茄子里面有很多是生的,8.53228,11.202873
901,1,[MASK]开心。我吃出来一个钢丝球上的一个丝,9.84236,11.71073
5808,0,[MASK]开心。不好吃，包子还不熟，都硬邦邦的,11.391593,10.174882
2679,1,[MASK]开心。味道好，包装好，送餐及时，不错,7.935028,11.650267
11060,0,[MASK]开心。差评，退款太慢！我说的是百度！,11.764542,11.076655
10479,0,"[MASK]开心。送错了,打电话要求补送也不送",12.426939,10.576981
8079,0,[MASK]开心。送的时间太晚了，一个小时才送来,10.712005,11.657078
4617,0,[MASK]开心。送餐很慢，饿死了，味道很一般,12.011913,11.708779
2406,1,[MASK]开心。挺好的，速度也不错，以后还来,9.0146,12.394523
2682,1,[MASK]开心。大叔特别面善！饭食用料很好！,8.327993,12.33039
2442,1,[MASK]开心。大冷天的百度骑士真是辛苦了～,9.183669,10.997282
963,1,[MASK]开心。肉很多，味道不错，配送也很快,8.370956,12.86062
3617,1,[MASK]开心。饭菜香质量好，服务好，送饭快。,7.792074,11.326267
10792,0,[MASK]开心。一单元和二单元分不清...麻烦,12.27474,10.486351
2821,1,[MASK]开心。送餐快，阿田大虾一如既往的好吃,7.6568794,10.885966
2108,1,[MASK]开心。菜挺多饭挺多就是牛肉丝质量一般,9.634877,11.858878
2832,1,[MASK]开心。送货很快，经常吃他家的，很棒,8.496052,13.672038
9713,0,[MASK]开心。送餐人员素质太差，不适合本工作,11.446155,9.861244
3122,1,"[MASK]开心。赞赞赞,很好吃,小哥送餐也很快",8.362768,12.17101
10897,0,[MASK]开心。味道还好，但是送餐实在是太久了,10.857439,11.283606
3793,1,[MASK]开心。都非常好，就是派送费有点贵！,7.8427544,12.381655
6995,0,[MASK]开心。饺子都凉了还能吃吗，送来太慢了,10.987799,10.708042
1115,1,"[MASK]开心。好吃,就是太慢,两个小时才送到",9.479513,10.925058
6568,0,[MASK]开心。送餐慢，披萨巨小！还没餐具！！,10.719375,9.990638
2431,1,[MASK]开心。送餐很快，送餐人员很热情！～,7.707794,12.665823
1601,1,[MASK]开心。配送的真快，及时。很好好强大,8.34274,12.173183
7187,0,[MASK]开心。送餐太慢，等了两个小时，无语,11.290934,10.740566
3236,1,[MASK]开心。口味质量俱佳，送餐小伙很不错,7.0865803,11.008768
7287,0,"[MASK]开心。咖啡撒了一兜子,还是凉的,服了",9.959286,11.171531
836,1,"[MASK]开心。很不错的一次,下次还会到这买",9.10763,12.766113
2663,1,[MASK]开心。送餐很快，菜很好，羊杂味道不错,8.596243,13.433489
9190,0,"[MASK]开心。每次酸奶都不给我带吸管,心好累",12.977229,11.108922
262,1,[MASK]开心。太快了，你是飞过来送餐的吧…,9.66954,10.93834
11078,0,[MASK]开心。接线员工态度太差。其他的还不错,13.850962,9.937327
393,1,[MASK]开心。速度很快，菜的味道也好！不错！,8.384264,13.360866
6382,0,[MASK]开心。汤横着就送过来了，撒到处都是!,8.8018055,10.662418
9862,0,[MASK]开心。难吃的一逼，体验差，名不副实。,11.07005,10.153915
5440,0,[MASK]开心。肉太多了，送餐速度有待提高！,10.315035,10.690431
8739,0,"[MASK]开心。汤挺好喝的,就是米线没有米线味",9.644311,11.848547
10139,0,[MASK]开心。5555比以前的肉肉少了好多,10.236738,11.6247
8704,0,"[MASK]开心。味道不错,就是太慢了,真的很慢",9.455222,12.046811
3526,1,[MASK]开心。服务很好，送的很快，很有礼貌。,8.989348,14.12075
2947,1,[MASK]开心。宿舍信号不好，耽误了你的时间,11.000504,10.347271
