,labels,text,neg_logits,pos_logits
82777,0,[MASK]好。[泪] //@耿嘉晨：还真是,6.865045,9.785028
48250,1,[MASK]好。爱上江西，没有理由！[哈哈],6.3010783,10.065213
100168,0,[MASK]好。计划赶不上变化[抓狂][泪],8.009251,8.784528
22319,1,[MASK]好。芭其乐，大嘴快乐的家伙[爱你],4.843691,8.98515
70122,0,[MASK]好。传统已逝??????[抓狂],6.520899,8.541902
6338,1,[MASK]好。谢谢哈! 欢迎常来![鼓掌],4.8072886,10.192006
20081,1,[MASK]好。胖子手感好啊！[鼓掌][爱你],6.2633414,9.781952
23064,1,[MASK]好。生快！[干杯][蛋糕][鼓掌],4.424648,7.2123322
84060,0,[MASK]好。居然把我干儿子装脸盆里！[怒],9.052322,7.936706
93871,0,[MASK]好。三哥总是这么的让人惊喜[晕],6.7706256,10.308626
104161,0,[MASK]好。此刻后：ko了... [晕],5.508512,8.123191
40416,1,[MASK]好。[害羞][哈哈]@魔王1987,6.4725604,9.447052
15376,1,[MASK]好。随手拍祝大家周末愉快！[爱你],4.5192337,9.403021
10199,1,[MASK]好。是滴，美女。欢迎哦！[可爱],5.149216,9.843405
71224,0,[MASK]好。偷贡品。不怕报应啊？。[衰],6.6678324,8.365832
12238,1,[MASK]好。[哈哈] //@独眼u:哈哈哈,5.8878846,10.000128
77537,0,[MASK]好。求二手智能手机。。。[抓狂],5.8673778,8.328762
55063,1,[MASK]好。是帮你挡酒的男的么？[嘻嘻],7.5178876,9.659908
21548,1,[MASK]好。原来很多国家都免签![哈哈],7.119952,10.69
38076,1,[MASK]好。百变大咖秀真的很快乐[哈哈],5.549689,10.889208
84198,0,[MASK]好。[泪]//@那木错:[微风],6.228516,9.030684
27872,1,[MASK]好。哈哈，强大[鼓掌][good],4.857698,9.84614
48051,1,[MASK]好。眼睛一眨，美妞变辣妈！[哈哈],5.886015,8.753675
18029,1,[MASK]好。祝大家十一小长假快乐[太开心],4.6230407,9.819562
115177,0,[MASK]好。[泪] //@袁腾飞:[泪],6.1974907,9.492917
114619,0,[MASK]好。可怜的风扇[泪] 我要等正版！,6.946645,8.797675
64870,0,[MASK]好。固执的大叔这场又好危险[失望],8.217242,8.9261
74958,0,[MASK]好。办公室都是孩儿他娘！！！[怒],7.483843,8.479252
77734,0,[MASK]好。//@地狱中的八尾猫: [衰],6.287083,9.593624
51580,1,[MASK]好。财神到我手?[偷笑][鼓掌],4.7008996,8.754875
54352,1,[MASK]好。爱吃牛排的童鞋举个手~[爱你],5.631775,9.697779
8324,1,[MASK]好。开始喽，看起来吧！！[鼓掌],4.315067,8.844496
106626,0,[MASK]好。受伤，是个超级不好的消息[衰],7.8714247,9.801169
15031,1,[MASK]好。[哈哈][哈哈]收费大调查。。,6.068148,9.233467
8249,1,[MASK]好。用美食向大家说早安~[嘻嘻],4.6228886,10.434643
59782,0,[MASK]好。愚人节的游戏，银行也玩呀[衰],7.02635,9.619473
110113,0,[MASK]好。[衰]弄破了，基本上不会复原！,7.112295,9.545509
11405,1,[MASK]好。哈，回忆录写到哪了？[嘻嘻],7.111553,9.617528
81138,0,[MASK]好。书人搬家，其实就是搬书[晕],6.5594945,9.219273
14831,1,[MASK]好。《时尚旅游》也玩街拍了[哈哈],6.5493793,9.688252
51446,1,[MASK]好。阿姨做的菜相当好吃呢[爱你],6.422171,10.687825
73965,0,[MASK]好。Facebook 还在跌[晕],7.4993076,10.071337
101129,0,[MASK]好。[抓狂] 你是在哪里腐败~~~,7.3347483,9.170885
104892,0,[MASK]好。男人动手…[怒][怒][怒],7.452704,8.4031
66040,0,[MASK]好。我在这里：#闸北区#吃饭[泪],6.3170843,9.941175
87632,0,[MASK]好。难得休息的，竟然感冒了[泪],8.022662,9.352452
96063,0,[MASK]好。知道得太晚了，遗憾！[失望],8.274089,9.802488
81716,0,[MASK]好。社会败坏的典型!?救了[衰],6.943154,8.516663
92195,0,[MASK]好。姐，我给你跪下了，这才气[晕],7.676033,9.030419
95696,0,[MASK]好。[泪]同意，让他们变成海豹!!,6.1468825,9.162626
19351,1,[MASK]好。//@好色小湿妹: [哈哈],5.809401,9.5810375
41680,1,[MASK]好。我觉得总结的很好，喜欢[鼓掌],6.207054,12.089742
21865,1,[MASK]好。斯坦福正门左侧草坪。[嘻嘻],5.676292,9.785307
2453,1,[MASK]好。[嘻嘻]重口味爱好者的福音来咯,6.0282645,9.413965
48755,1,[MASK]好。转给来北京玩的童鞋们[可爱],5.0404253,10.402387
53195,1,[MASK]好。偷偷发张我师父的照片[哈哈],6.95466,10.108954
12712,1,[MASK]好。好样的！[嘻嘻]你家就你牛！,5.3597946,9.555964
94030,0,[MASK]好。早知道找你买了还能越狱[抓狂],6.9295654,8.91127
40934,1,[MASK]好。我上班能穿成这样吗？[嘻嘻],7.8128834,9.66219
11905,1,[MASK]好。[哈哈][哈哈][哈哈]翔子,5.6844306,9.648958
56807,0,[MASK]好。还有这么不要脸的[怒] 扩散,8.425088,9.108955
63131,0,[MASK]好。最近压力让我头痛 [衰][晕],7.2957077,9.627639
29589,1,[MASK]好。@兔子奶奶熊的娘 还有[哈哈],5.769935,10.146556
101122,0,[MASK]好。堵塞，不动！我快哭了！[泪],7.613165,8.927257
75355,0,[MASK]好。下辈子该她被扔下去！！！[怒],7.8297777,8.446812
70889,0,[MASK]好。现在的快递啊，真心桑不起[泪],7.8294053,9.646334
93899,0,[MASK]好。我也有中奖的时候啊[泪][泪],7.8469353,10.230538
7932,1,[MASK]好。[哈哈]//@大藏布:[哈哈],5.756025,9.842945
4819,1,[MASK]好。有趣的“悲剧”设计！[哈哈],6.148631,10.230089
112114,0,[MASK]好。有把脚崴了。。。 大馒头[泪],9.005816,8.741707
9343,1,[MASK]好。这透视，照成小短腿儿了[哈哈],6.941272,8.909167
86440,0,[MASK]好。下冰雹了，我怎么回家呀[泪],8.760317,8.27994
82229,0,[MASK]好。我也是男人//@???：[泪],7.327303,10.057675
34841,1,[MASK]好。[鼓掌][鼓掌]期待精彩呈现,4.352155,9.873675
106204,0,[MASK]好。[泪]同求 粉待亲粉待亲呀！,6.1501856,7.9293003
63072,0,[MASK]好。回去换身衣服准备第三场[抓狂],5.56735,8.264728
108363,0,[MASK]好。狗狗是人类最忠实的朋友！[泪],5.7957525,10.274142
51324,1,[MASK]好。[太开心] 过500了~ ?~,4.9773264,10.075939
48652,1,[MASK]好。家庭聚会，愉快的周末！[爱你],4.8088913,10.011905
50046,1,[MASK]好。这么有意境的菜~~~[哈哈],6.519808,10.887956
69366,0,[MASK]好。我滴亲丸子啊[泪][泪][泪],6.430413,9.088102
18022,1,[MASK]好。//@电商报: 啊~~[哈哈],5.8976383,9.8638115
11792,1,[MASK]好。谢谢喜欢我家的玛克丽[哈哈],5.461463,10.489119
51645,1,[MASK]好。我发现我就是来发微博滴[可爱],7.2394075,10.494726
75967,0,[MASK]好。见过好多，就是学不来啊[衰],7.929329,10.001581
55553,0,[MASK]好。操，你他妈干的是人事嘛[怒],8.08474,8.034476
63799,0,[MASK]好。我好像午饭忘吃了。。。[晕],8.671707,9.559553
2403,1,[MASK]好。生日快乐，美女快乐哦~[嘻嘻],4.712581,9.790179
87818,0,[MASK]好。[鄙视]//@钱文忠: [泪],7.850569,8.8647585
42197,1,[MASK]好。[good]我要好吃的[亲亲],5.569039,9.400478
2716,1,[MASK]好。享受生活的乐趣[哈哈][?力],5.0150857,9.805726
114496,0,[MASK]好。我又错过了[衰]对不起唐老师了,8.0392275,10.092351
