,labels,text,neg_logits,pos_logits
23455,0,[MASK]开心。第二部就不该拍竟然还出第三部,3.5534852,11.186186
37994,1,[MASK]开心。局气！规矩！管虎导了俩影帝了！,3.6301,10.494349
45474,0,[MASK]开心。前半段真好看，后半段越来越萎,3.0336828,11.875828
37018,0,[MASK]开心。前面的剧情看得我尴尬癌都犯了,2.9668016,11.573466
39152,0,[MASK]开心。混乱的情节，特么矫情无下限。,4.0403132,9.905117
4952,0,[MASK]开心。适合能静得下心和有故事的人。,3.2334282,8.327564
49922,1,[MASK]开心。最是人间留不住朱颜辞镜花辞树,3.6877677,9.206672
18895,1,[MASK]开心。超级治愈又感人，狗狗真的好暖心,3.9096038,12.972153
16855,0,[MASK]开心。密室设定很有意思，可惜未能维持,3.130686,10.682755
33344,1,[MASK]开心。原来巴萨的德国馆还有这个用处,3.486522,11.892976
43014,1,[MASK]开心。丫丫真的太美了，前夫哥好可爱,3.686133,12.478926
30945,0,[MASK]开心。烂的一逼，啥都没有，狗屁不通。,3.9790251,9.335676
11202,1,[MASK]开心。这个玛丽苏我喜欢很好看求续集,2.682327,12.013587
43097,1,[MASK]开心。看了点映，好多戳中我泪点??,3.1401348,12.488103
7229,0,[MASK]开心。郑恺和郭采洁还挺有cp感的。,3.2269182,12.088331
46824,0,[MASK]开心。民乐要靠二次元来拯救了嘛……,3.9734206,10.88598
44791,1,[MASK]开心。反正我追完了，为了女主的颜值,3.0263495,11.491145
40750,0,[MASK]开心。我朋友说，她尴尬得想原地去世。,3.6245747,10.304134
24357,0,[MASK]开心。今年作品太多了，有点透支了。,3.2362144,11.358158
12065,0,[MASK]开心。我是真的觉得孙悟空的扮相太丑了,3.4369907,11.458588
44782,1,[MASK]开心。还可以吧……感觉题材还算新颖,3.0457995,11.009105
11314,0,[MASK]开心。看完情圣来评评这部这部比情圣好,3.1876335,11.287533
19047,1,[MASK]开心。它令我想起曾经怦然心动的轻吻,2.7038684,11.345299
45899,0,[MASK]开心。发哥抄着烂片专业户就去了。。。,3.1497822,10.354506
14214,0,[MASK]开心。第一集演得什么玩意儿，尴尬死了,3.24885,11.62478
31414,1,[MASK]开心。热热闹闹的，看得我好开心啊。,2.8222115,12.416042
25276,0,[MASK]开心。煽情煽成了MV，大家都笑了。,3.2029703,11.811666
47776,1,[MASK]开心。最喜欢的科幻故事，很成功的改编,3.1628923,11.7336645
45012,1,[MASK]开心。还算可以哦，故事讲的挺精彩！,3.093209,11.462278
49786,0,[MASK]开心。被黑天鹅惊艳到了！美轮美奂！,3.2187536,12.691445
11029,0,[MASK]开心。到底在演什麼啊？？大爛片！！！,2.6946104,10.56974
30704,1,[MASK]开心。卧槽我竟然看过啊啊啊啊啊啊啊,3.4789584,12.903659
3121,1,[MASK]开心。你无车无楼无番狗做乜要拖我手,3.3171127,10.151471
9512,0,[MASK]开心。最弱版劳拉了吧？太弱了太无聊了,3.4605532,11.289789
15976,0,[MASK]开心。重拍经典，孩子对恐惧的克服。,2.8740535,9.074924
