,labels,text,neg_logits,pos_logits
23455,0,[MASK]行。第二部就不该拍竟然还出第三部,11.711648,5.7301354
37994,1,[MASK]行。局气！规矩！管虎导了俩影帝了！,10.122409,4.512399
45474,0,[MASK]行。前半段真好看，后半段越来越萎,10.681578,5.6683903
37018,0,[MASK]行。前面的剧情看得我尴尬癌都犯了,11.190094,5.1235437
39152,0,[MASK]行。混乱的情节，特么矫情无下限。,11.04407,4.854552
4952,0,[MASK]行。适合能静得下心和有故事的人。,7.4356866,6.0184207
49922,1,[MASK]行。最是人间留不住朱颜辞镜花辞树,6.7765822,2.3727453
18895,1,[MASK]行。超级治愈又感人，狗狗真的好暖心,9.810564,4.6657753
16855,0,[MASK]行。密室设定很有意思，可惜未能维持,9.604403,3.066808
33344,1,[MASK]行。原来巴萨的德国馆还有这个用处,10.706127,5.0787153
43014,1,[MASK]行。丫丫真的太美了，前夫哥好可爱,10.825354,5.326492
30945,0,[MASK]行。烂的一逼，啥都没有，狗屁不通。,10.8700695,5.4867816
11202,1,[MASK]行。这个玛丽苏我喜欢很好看求续集,10.491033,5.5364223
43097,1,[MASK]行。看了点映，好多戳中我泪点??,11.453893,5.5370255
7229,0,[MASK]行。郑恺和郭采洁还挺有cp感的。,11.2753525,6.7416315
46824,0,[MASK]行。民乐要靠二次元来拯救了嘛……,11.548479,4.296142
44791,1,[MASK]行。反正我追完了，为了女主的颜值,10.959947,5.775115
40750,0,[MASK]行。我朋友说，她尴尬得想原地去世。,11.602061,5.2795534
24357,0,[MASK]行。今年作品太多了，有点透支了。,11.835781,6.1425896
12065,0,[MASK]行。我是真的觉得孙悟空的扮相太丑了,12.407169,5.6658397
44782,1,[MASK]行。还可以吧……感觉题材还算新颖,10.631224,6.276952
11314,0,[MASK]行。看完情圣来评评这部这部比情圣好,10.832263,5.587048
19047,1,[MASK]行。它令我想起曾经怦然心动的轻吻,8.747811,4.6958084
45899,0,[MASK]行。发哥抄着烂片专业户就去了。。。,11.267189,5.484344
14214,0,[MASK]行。第一集演得什么玩意儿，尴尬死了,11.451036,5.6782675
31414,1,[MASK]行。热热闹闹的，看得我好开心啊。,9.917853,5.268065
25276,0,[MASK]行。煽情煽成了MV，大家都笑了。,10.207113,5.4985046
47776,1,[MASK]行。最喜欢的科幻故事，很成功的改编,9.180648,5.322259
45012,1,[MASK]行。还算可以哦，故事讲的挺精彩！,9.491643,5.8402243
49786,0,[MASK]行。被黑天鹅惊艳到了！美轮美奂！,9.537103,3.8341575
11029,0,[MASK]行。到底在演什麼啊？？大爛片！！！,8.108084,2.5286012
30704,1,[MASK]行。卧槽我竟然看过啊啊啊啊啊啊啊,11.37996,5.092884
3121,1,[MASK]行。你无车无楼无番狗做乜要拖我手,9.543276,3.981907
9512,0,[MASK]行。最弱版劳拉了吧？太弱了太无聊了,11.137981,5.2042394
15976,0,[MASK]行。重拍经典，孩子对恐惧的克服。,8.578972,3.1654909
26862,1,[MASK]行。太好看了！笑得我内分泌失调！,10.765069,5.224989
30395,0,[MASK]行。本来两星，加一星给受罪的演员吧,10.857546,5.0720725
22972,0,[MASK]行。《星际特工：全宇宙看我们尬爱》,8.749874,3.013598
30570,0,[MASK]行。特效不错啊，但剧情就大简单了,11.125775,6.9367113
20588,0,[MASK]行。气氛到位，演员不存，故事简单！,9.436438,6.3119063
13869,0,[MASK]行。看的点映，形式“精致”的大烂片,10.802375,4.6287947
24216,1,[MASK]行。最后居然没搞你们还是人吗？？？,11.156478,4.2098765
32991,0,[MASK]行。平淡真实不温不火我没懂哭点在哪,10.344034,5.643763
1732,1,[MASK]行。其实伍迪哈里森演的是一个天使,10.984437,5.2630696
4472,1,[MASK]行。陈可辛拍商业文艺片真的不错~~,10.822074,6.6539936
33439,0,[MASK]行。泡泡妹子打打架，兄弟情在哪？,10.757576,4.298654
11847,0,[MASK]行。一部非常尬的电影。不推荐观看。,11.129617,6.2049356
16369,0,[MASK]行。张艺谋式的漂亮画面，何必3D。,10.198761,4.9488935
31321,0,"[MASK]行。我不信你们没东西怼地雷啊=""=",10.692186,5.0745535
18949,1,[MASK]行。少男少女必看，爱与美的启蒙。,8.7115965,3.8376477
32102,1,[MASK]行。迪斯尼的动画很赞，配乐很好听！,11.3673315,6.3515387
9630,1,[MASK]行。喜欢坎妹素颜的劳拉，期待后续。,9.833852,5.331839
1571,1,[MASK]行。演小安生的小朋友很像岳云鹏啊。,12.050146,6.6928043
38226,1,[MASK]行。你猜不到的结局…猜不到的惊异…,9.574964,4.393333
17406,0,[MASK]行。卡尔文老师不是触手，是海蜇皮啊,10.563173,5.5247984
24554,1,[MASK]行。我不会说情话，只知道陪着你。,10.392612,5.369323
6181,1,[MASK]行。腕龙站在码头哀嚎的场景太泪目了,9.1598,3.5365877
6583,0,[MASK]行。比较难看的伪记录僵尸片...,11.163239,5.7245545
6224,0,[MASK]行。cctv6盛产类似的古装片……,10.016418,5.7234325
39086,0,[MASK]行。打一星以上的人都是咋想的！！！,9.623387,4.637391
14019,0,[MASK]行。好吧，为了阿姨们的搏命演出。,10.608501,5.349442
10409,0,[MASK]行。勉强合格。觉得周冬雨有点厉害。,10.911623,6.0389476
24108,0,[MASK]行。Highlyoverrated,8.897395,3.1526875
21295,0,[MASK]行。干了这碗毒鸡汤，来世不见张嘉佳,10.075326,4.2915187
6067,1,[MASK]行。妈的吓死我了叫得我嗓子都哑了,10.999812,4.5364366
9505,0,[MASK]行。寻父，遇彦祖。掘墓，炸病毒。,6.158908,1.2829442
41265,0,[MASK]行。嗯电影院椅子挺舒服，睡得挺好,10.85896,6.1939554
48553,1,[MASK]行。Pixar真的没有让我失望过。,11.403865,6.7683077
24690,1,[MASK]行。看完只想把所有好东西都给它……,10.281677,5.3556905
6635,1,[MASK]行。我给你四星，反正我就是胆小。,10.470943,5.9866714
4338,1,[MASK]行。除了人贩子，所有人都是受害者,10.380412,3.6585977
25535,1,[MASK]行。逃离已知世界的勇气令人敬佩。,8.15415,3.1196513
17716,1,[MASK]行。老一套温情，稍稍让我有点麻木,11.074339,5.3567677
47637,0,[MASK]行。我特么就想知道那句中文是什么,11.704712,5.369238
8508,1,[MASK]行。好看！但是最后那关不过瘾???,10.302588,7.3524904
23534,1,[MASK]行。谁能拒绝穿护士服的余春娇呢？,11.345203,5.0608826
26207,0,[MASK]行。太恶心了~不要看~建议哈···,11.898105,4.872109
28591,0,[MASK]行。主角明明是章鱼，你叫潜艇总动员,11.541504,4.5893564
19643,0,[MASK]行。没看。但是五星水军太恶心了。,11.597432,6.094167
31415,1,[MASK]行。爽着爽着导演就给你喂了一口屎,10.185224,5.3608947
2047,0,[MASK]行。好的地方都是老舍的。★★★☆,10.394652,6.497821
9358,0,[MASK]行。感觉在铁匠铺呆了一宿。。。。,10.988296,6.2474694
27611,1,[MASK]行。勇敢、努力、坚强的女孩都是公主,9.661171,3.9434485
24947,0,[MASK]行。埃德加赖特的GTA6？太屎了,10.551987,4.556347
24137,0,[MASK]行。小哥有精神洁癖呀，这点好赞。,10.412612,6.001524
18739,1,[MASK]行。永远不要忘记你所爱的人，感动,9.347827,4.6201367
26928,0,[MASK]行。把所有人都拍这么难看太不容易了,10.786374,6.0447826
15616,1,[MASK]行。就想知道睡觉打呼噜的人怎么办,11.967627,6.7440014
49084,1,[MASK]行。能把蒜皮当雪花的姑娘你真好。,10.327107,5.8439956
46654,0,[MASK]行。我没想到加分项竟然是景甜老师。,10.337292,5.305444
31054,0,[MASK]行。交通安全宣传片，情感关系咨询片,7.8020186,3.6004522
22682,1,[MASK]行。Kylo在色誘Rey啊啊啊！！,10.3118925,5.012125
21126,0,[MASK]行。演员升级，故事降级，无聊透了。,11.523374,5.33817
19669,0,[MASK]行。车行径你妈逼去死！杀人凶手！,6.867493,1.3747103
38351,1,[MASK]行。最后奔跑拥抱那里真的好感动。,9.816465,5.5427413
29835,0,[MASK]行。女个坏女人挺好看的，好友真真,10.497357,5.5139856
20290,0,[MASK]行。犯我中华者，虽远必诛其超市！,9.0877695,1.251717
32379,1,[MASK]行。我眼拙。不过剧情还是吸引人的。,12.000548,6.687564
7517,1,[MASK]行。看哭了，我是不是自我代入太努力,10.855722,5.1134186
47322,1,[MASK]行。生命不止，奔跑不息。励志电影,8.28089,3.0409787
48159,1,[MASK]行。全片都是彩蛋。最后两个彩蛋。,10.280315,4.6709313
39334,0,[MASK]行。馮小剛的電影，簡稱「尬影」。,5.5241866,2.190077
30801,0,[MASK]行。特效不错吧，其他没什么感觉。,10.908345,7.887356
48912,0,[MASK]行。莫名其妙，演到一半变得毫无逻辑,9.873394,4.7977505
27998,0,[MASK]行。好玩，看完很放鬆的輕鬆喜劇。,9.001855,5.7506847
5783,0,[MASK]行。为了第三部放恐龙也是牛逼……,11.052997,5.1807055
25444,1,[MASK]行。剧情紧凑，案件逼真，很好看。,10.290415,7.0484962
45902,0,[MASK]行。发哥近年来也都是接的烂片子啊,12.517471,5.961078
41165,0,[MASK]行。不是赵丽颖差，而是朱琳太好。,12.746107,7.2483754
3114,0,[MASK]行。题材不错，可惜片子真的很一般。,11.712314,7.176691
28516,1,[MASK]行。披着科幻片外衣的恐怖悬疑电影,9.638907,3.899378
45673,0,[MASK]行。他们都在打酱油不要冤枉甜老师,10.479107,5.2068567
44474,0,[MASK]行。虐杀白垃圾的感觉真的会超爽吧,10.144866,4.94887
2914,1,[MASK]行。verycd上的三级太强悍了,10.519282,5.96772
