,labels,text,neg_logits,pos_logits
82777,0,[MASK]好！[泪] //@耿嘉晨：还真是,6.199089,9.336713
48250,1,[MASK]好！爱上江西，没有理由！[哈哈],6.006422,9.901537
100168,0,[MASK]好！计划赶不上变化[抓狂][泪],8.443479,8.547782
22319,1,[MASK]好！芭其乐，大嘴快乐的家伙[爱你],4.43732,8.985309
70122,0,[MASK]好！传统已逝??????[抓狂],6.380232,7.985508
6338,1,[MASK]好！谢谢哈! 欢迎常来![鼓掌],4.7491155,10.275256
20081,1,[MASK]好！胖子手感好啊！[鼓掌][爱你],5.8333187,9.72232
23064,1,[MASK]好！生快！[干杯][蛋糕][鼓掌],3.9404526,6.5427794
84060,0,[MASK]好！居然把我干儿子装脸盆里！[怒],9.030372,7.681812
93871,0,[MASK]好！三哥总是这么的让人惊喜[晕],6.5723133,10.211455
104161,0,[MASK]好！此刻后：ko了... [晕],5.257737,8.19897
40416,1,[MASK]好！[害羞][哈哈]@魔王1987,5.861115,9.224073
15376,1,[MASK]好！随手拍祝大家周末愉快！[爱你],4.4909186,9.653026
10199,1,[MASK]好！是滴，美女。欢迎哦！[可爱],5.1514344,9.659419
71224,0,[MASK]好！偷贡品。不怕报应啊？。[衰],6.3133945,8.712486
12238,1,[MASK]好！[哈哈] //@独眼u:哈哈哈,5.077756,9.585092
77537,0,[MASK]好！求二手智能手机。。。[抓狂],5.6146693,8.036858
55063,1,[MASK]好！是帮你挡酒的男的么？[嘻嘻],7.484402,9.63258
21548,1,[MASK]好！原来很多国家都免签![哈哈],6.8174386,10.051405
38076,1,[MASK]好！百变大咖秀真的很快乐[哈哈],5.2127867,10.682341
84198,0,[MASK]好！[泪]//@那木错:[微风],5.429477,8.967104
27872,1,[MASK]好！哈哈，强大[鼓掌][good],4.3205204,9.720618
48051,1,[MASK]好！眼睛一眨，美妞变辣妈！[哈哈],5.7970257,8.584678
18029,1,[MASK]好！祝大家十一小长假快乐[太开心],4.298933,9.609336
115177,0,[MASK]好！[泪] //@袁腾飞:[泪],5.3100824,9.269149
114619,0,[MASK]好！可怜的风扇[泪] 我要等正版！,7.3542614,8.511807
64870,0,[MASK]好！固执的大叔这场又好危险[失望],8.477743,8.895947
74958,0,[MASK]好！办公室都是孩儿他娘！！！[怒],7.7100253,8.246578
77734,0,[MASK]好！//@地狱中的八尾猫: [衰],5.157539,9.383029
51580,1,[MASK]好！财神到我手?[偷笑][鼓掌],4.2117553,8.33553
54352,1,[MASK]好！爱吃牛排的童鞋举个手~[爱你],5.289846,9.574586
8324,1,[MASK]好！开始喽，看起来吧！！[鼓掌],3.9226546,8.641002
106626,0,[MASK]好！受伤，是个超级不好的消息[衰],8.383668,9.727746
15031,1,[MASK]好！[哈哈][哈哈]收费大调查。。,5.521059,9.091706
8249,1,[MASK]好！用美食向大家说早安~[嘻嘻],4.377429,9.970233
59782,0,[MASK]好！愚人节的游戏，银行也玩呀[衰],6.4246573,9.591811
110113,0,[MASK]好！[衰]弄破了，基本上不会复原！,7.37351,10.506673
11405,1,[MASK]好！哈，回忆录写到哪了？[嘻嘻],6.435372,9.221578
81138,0,[MASK]好！书人搬家，其实就是搬书[晕],5.995574,8.895267
14831,1,[MASK]好！《时尚旅游》也玩街拍了[哈哈],6.267679,9.387533
51446,1,[MASK]好！阿姨做的菜相当好吃呢[爱你],6.161897,10.794686
73965,0,[MASK]好！Facebook 还在跌[晕],7.8701553,10.147717
101129,0,[MASK]好！[抓狂] 你是在哪里腐败~~~,7.2428994,8.674696
104892,0,[MASK]好！男人动手…[怒][怒][怒],7.5913787,7.9825907
66040,0,[MASK]好！我在这里：#闸北区#吃饭[泪],5.9978595,9.562951
87632,0,[MASK]好！难得休息的，竟然感冒了[泪],9.070541,8.863715
96063,0,[MASK]好！知道得太晚了，遗憾！[失望],8.287384,9.76799
81716,0,[MASK]好！社会败坏的典型!?救了[衰],6.1758637,8.536907
92195,0,[MASK]好！姐，我给你跪下了，这才气[晕],7.236103,8.517121
95696,0,[MASK]好！[泪]同意，让他们变成海豹!!,5.783145,9.044529
19351,1,[MASK]好！//@好色小湿妹: [哈哈],5.0192356,9.479361
41680,1,[MASK]好！我觉得总结的很好，喜欢[鼓掌],5.878927,12.115087
21865,1,[MASK]好！斯坦福正门左侧草坪。[嘻嘻],5.507085,10.011724
2453,1,[MASK]好！[嘻嘻]重口味爱好者的福音来咯,5.561975,9.023538
48755,1,[MASK]好！转给来北京玩的童鞋们[可爱],5.065196,10.038195
53195,1,[MASK]好！偷偷发张我师父的照片[哈哈],6.680031,9.643701
12712,1,[MASK]好！好样的！[嘻嘻]你家就你牛！,5.092827,9.391198
94030,0,[MASK]好！早知道找你买了还能越狱[抓狂],6.4662848,8.269132
40934,1,[MASK]好！我上班能穿成这样吗？[嘻嘻],7.2349257,9.448546
11905,1,[MASK]好！[哈哈][哈哈][哈哈]翔子,4.8831844,9.197434
56807,0,[MASK]好！还有这么不要脸的[怒] 扩散,8.35741,8.510402
63131,0,[MASK]好！最近压力让我头痛 [衰][晕],6.7108994,9.3608055
29589,1,[MASK]好！@兔子奶奶熊的娘 还有[哈哈],5.2727056,9.820592
101122,0,[MASK]好！堵塞，不动！我快哭了！[泪],8.488682,9.036031
75355,0,[MASK]好！下辈子该她被扔下去！！！[怒],7.9971285,8.265422
70889,0,[MASK]好！现在的快递啊，真心桑不起[泪],7.7241273,9.183847
93899,0,[MASK]好！我也有中奖的时候啊[泪][泪],7.519395,10.021093
7932,1,[MASK]好！[哈哈]//@大藏布:[哈哈],4.889947,9.483543
4819,1,[MASK]好！有趣的“悲剧”设计！[哈哈],5.866558,10.105966
112114,0,[MASK]好！有把脚崴了。。。 大馒头[泪],8.474318,8.911113
9343,1,[MASK]好！这透视，照成小短腿儿了[哈哈],7.1823378,8.659067
86440,0,[MASK]好！下冰雹了，我怎么回家呀[泪],8.853252,8.192152
82229,0,[MASK]好！我也是男人//@???：[泪],7.0091443,9.7372055
34841,1,[MASK]好！[鼓掌][鼓掌]期待精彩呈现,3.8949642,9.687782
106204,0,[MASK]好！[泪]同求 粉待亲粉待亲呀！,5.5318995,7.6152625
63072,0,[MASK]好！回去换身衣服准备第三场[抓狂],5.9151874,8.717325
