,labels,text,ppl
8311,1,毫无疑问的五星，看的太爽了！,5.191152195303995
1893,0,杨洋好帅，亦菲好美，电影好烂。,3.8216858956817634
31715,0,真像看了场电子游戏，太程式化了,10.861782848998631
25607,1,小时候一度怀疑自己活在大电视中,7.526502396502558
20032,1,三个大妈一台戏，还是不搞笑的戏,12.903995142043058
21758,1,空军稳如老狗，海军慌的一匹。,64.20278635325329
3083,0,春娇好丝好腿，家辉演皮演骨。,140.26800183284078
35386,0,真的就不咋的阿...挺假的--,24.96450811944189
31068,0,哦，我好喜欢局长两口子啊！~,37.46223698402983
48009,1,至始至终都仰着头喜欢这个态度,7.455867474979112
14928,1,反正我笑了，而且笑得很大声~~,4.421842266399209
49251,1,岁月在梁咏琪的面貌上留下了痕迹,3.593921640656271
47161,0,阴险的美国人否弃历史的拙劣手段,17.11205930216448
29302,1,意识流，刘亚仁的演技就值五星了,57.429639605718194
30426,1,张晋不说话还行，毕竟动作不做,22.037021334330472
29887,0,剧情拖沓加狗血，但爱邱泽没办法,21.56412789124061
43455,0,大排演员挺多的，编的很90后,38.75382825067178
5595,0,不是黑色童话，这是幼儿读物。,7.9993956062511336
36320,0,故事太平淡无奇，孙坚太妖了。,31.268296001978435
34784,0,扮相为何要那么的难看呢？~~~,8.789214983248135
47286,1,当你奔跑起来，比羽毛还要轻盈,4.880618056411115
5955,0,特效不错，就觉得女主好漂亮。,6.073850403702149
11126,0,畅销书拍的电影现在都这水准吗。,24.630966834957402
49691,1,可以说是巨蟹座的灵魂速写了。,7.668803282227414
42626,1,短评居然写不下。。。呆萌多一星,52.18987753308746
1469,0,道理我都懂，然而就是喜欢不来。,2.707593792898594
39635,1,很不错的政治惊悚片，冷冽肃穆,9.632098484218602
33346,1,反转反转再反转，刺激又过瘾！,5.344762090754491
2011,1,男女主角太美了！值！！！！！,9.827012902335488
6434,1,邪教一般的诱导性侵，令人作呕,30.662206003685306
39106,0,赵薇还是好好当演员吧，真的。,2.9459517669451802
18916,0,觉得不太好看为什么分这么高呢,6.132538182167148
