,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,344.6435984575934
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,59.42808068126461
768,1,味道很好！送的也很快！好吃！,23.772929769343293
2518,1,菜品好，速度快，真是太好了！,12.188089270979761
7638,0,这家店就直接没送，接单不送的店,72.95450023821336
6583,0,送餐太慢太慢了～菜品还可以～,78.75981918547504
6692,0,"下次能送早点就好啦,快饿过劲啦",242.93295293982047
484,1,"很好吃量也很大都吃不完,赞一个",86.6273270030232
11295,0,下单2个小时才送到。无语了。,21.341944179201597
2826,1,谢谢师傅，辛苦了！非常准时！,13.893643913182098
11958,0,粉很好吃，但是订了卤蛋却没有。,112.55967969622795
4074,0,"吃到一半发现菜里有小强,简直了",50.583633300955334
1568,1,米饭是硬的。。不如上一次好吃,72.5587578028012
10881,0,米饭里有一只蟑螂，让人怎么吃,29.02931004775868
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,92.93269618196466
4765,0,很慢就不说了，关键是还不好吃。,16.132376867025155
370,1,态度很好，效率很高，给十分赞,24.630809063066497
11746,0,速度慢，第一次订餐就迟到，晕,56.860272162402175
8159,0,送餐走错路，袋子还破了………,49.46492518830725
2366,1,一直买他家的香脆鸡肉披萨，喜欢,18.888093474460895
866,1,"师傅辛苦了，谢谢,下雪注意安全",29.379171822532907
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,31.74244236307408
9911,0,石锅拌饭里面吃出了塑料包装纸袋,217.99696106415192
5045,0,菜品没味道。。。周也是。。。。,182.0553530956664
1563,1,又快又好又便宜！真心给力！！！,20.10913181152018
10234,0,面时间太长了，坨了，不好吃了,58.02404595073883
29,1,"送餐非常快,态度特别好,谢谢",35.684703365663964
6442,0,"太小了,味道一般,说多了都是泪",14.685861467590824
467,1,送餐员辛苦，饭也好吃，继续购买,20.64753859872573
58,1,"送餐特别快,送餐员态度也特别好",23.04356516475449
1652,1,很快，也好，包装也好，赞赞赞,14.162453205247111
4529,0,味道还行，就是送餐太慢了……,28.914701088422273
88,1,"又快又好,小哥态度很好,好评",11.189047395364078
4524,0,"味道就那样把,盖浇饭挺难吃的",243.41345448120776
3085,1,外卖小哥人超级好。。。。。。,53.39592942313807
10811,0,速度挺快的，面不好吃，都凉了,50.42501951874366
8052,0,"点两份鸡柳,就给送,一份。。。",194.9580674279455
5562,0,太慢，太小，吃不饱。味道还行,16.171707949238655
5132,0,不好吃。。。菜太少了。。。。,77.05344268697388
2537,1,配送非常快，10分钟就送到啦～,20.49980321356298
2730,1,人好速度快，好评好评好评！！,15.827306440362168
6256,0,米粉比以前份量少，没以前好了,29.898848428572936
2717,1,东西非常好，还是热的，辛苦了！,11.538830574966441
5791,0,给的豆皮果然多，只是肉变少了,292.95730879861406
