,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,16.975943174795223
48250,1,爱上江西，没有理由！[哈哈],6.780795608059688
100168,0,计划赶不上变化[抓狂][泪],5.938345752696331
22319,1,芭其乐，大嘴快乐的家伙[爱你],43.38373217640435
70122,0,传统已逝??????[抓狂],14.779837263402012
6338,1,谢谢哈! 欢迎常来![鼓掌],7.664498666724345
20081,1,胖子手感好啊！[鼓掌][爱你],7.254862465181461
23064,1,生快！[干杯][蛋糕][鼓掌],18.248385038629593
84060,0,居然把我干儿子装脸盆里！[怒],30.11743432664336
93871,0,三哥总是这么的让人惊喜[晕],18.724572868190126
104161,0,此刻后：ko了... [晕],67.86087337117246
40416,1,[害羞][哈哈]@魔王1987,18.767728192755875
15376,1,随手拍祝大家周末愉快！[爱你],5.052844569583667
10199,1,是滴，美女。欢迎哦！[可爱],20.094745496340686
71224,0,偷贡品。不怕报应啊？。[衰],94.6862352946494
12238,1,[哈哈] //@独眼u:哈哈哈,12.943483361548456
77537,0,求二手智能手机。。。[抓狂],7.478225710938058
55063,1,是帮你挡酒的男的么？[嘻嘻],12.211179417830571
21548,1,原来很多国家都免签![哈哈],6.008928708748053
38076,1,百变大咖秀真的很快乐[哈哈],5.058877373095064
84198,0,[泪]//@那木错:[微风],75.59609783381664
27872,1,哈哈，强大[鼓掌][good],14.636951695543152
48051,1,眼睛一眨，美妞变辣妈！[哈哈],5.604069335619624
18029,1,祝大家十一小长假快乐[太开心],2.845451372684152
115177,0,[泪] //@袁腾飞:[泪],16.266052268277825
114619,0,可怜的风扇[泪] 我要等正版！,24.51554950478435
64870,0,固执的大叔这场又好危险[失望],21.28679963647834
74958,0,办公室都是孩儿他娘！！！[怒],28.33515345089585
77734,0,//@地狱中的八尾猫: [衰],27.625417541237876
51580,1,财神到我手?[偷笑][鼓掌],19.970065749567382
54352,1,爱吃牛排的童鞋举个手~[爱你],4.477848418464228
8324,1,开始喽，看起来吧！！[鼓掌],21.14508330696048
106626,0,受伤，是个超级不好的消息[衰],7.233919950797255
15031,1,[哈哈][哈哈]收费大调查。。,6.956124850125515
8249,1,用美食向大家说早安~[嘻嘻],6.3977190187159865
59782,0,愚人节的游戏，银行也玩呀[衰],8.693352143613076
110113,0,[衰]弄破了，基本上不会复原！,13.250800043962967
11405,1,哈，回忆录写到哪了？[嘻嘻],11.881293023178449
81138,0,书人搬家，其实就是搬书[晕],25.06952946769703
14831,1,《时尚旅游》也玩街拍了[哈哈],5.8339331708032365
51446,1,阿姨做的菜相当好吃呢[爱你],5.184934463971721
73965,0,Facebook 还在跌[晕],139.45277942282985
101129,0,[抓狂] 你是在哪里腐败~~~,15.74615308984123
104892,0,男人动手…[怒][怒][怒],10.428359870785126
66040,0,我在这里：#闸北区#吃饭[泪],21.923441642858542
87632,0,难得休息的，竟然感冒了[泪],8.270511508273733
96063,0,知道得太晚了，遗憾！[失望],4.776573012074286
81716,0,社会败坏的典型!?救了[衰],35.21861792124701
92195,0,姐，我给你跪下了，这才气[晕],16.33634749851395
95696,0,[泪]同意，让他们变成海豹!!,11.024543595062836
19351,1,//@好色小湿妹: [哈哈],18.960163242921826
41680,1,我觉得总结的很好，喜欢[鼓掌],4.016527081583412
21865,1,斯坦福正门左侧草坪。[嘻嘻],7.775831693846836
2453,1,[嘻嘻]重口味爱好者的福音来咯,4.997159334373526
48755,1,转给来北京玩的童鞋们[可爱],5.556086087485867
53195,1,偷偷发张我师父的照片[哈哈],5.261605233586807
12712,1,好样的！[嘻嘻]你家就你牛！,21.197916408007572
94030,0,早知道找你买了还能越狱[抓狂],29.39200031689124
