,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,171.84995655029144
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,19.76091344248422
768,1,味道很好！送的也很快！好吃！,7.750679785336191
2518,1,菜品好，速度快，真是太好了！,7.927478560622206
7638,0,这家店就直接没送，接单不送的店,43.72800190149808
6583,0,送餐太慢太慢了～菜品还可以～,8.503956217761436
6692,0,"下次能送早点就好啦,快饿过劲啦",92.31475974448425
484,1,"很好吃量也很大都吃不完,赞一个",38.29794993953506
11295,0,下单2个小时才送到。无语了。,11.370190103141368
2826,1,谢谢师傅，辛苦了！非常准时！,5.408141144069192
11958,0,粉很好吃，但是订了卤蛋却没有。,67.80204859999886
4074,0,"吃到一半发现菜里有小强,简直了",31.955954508341282
1568,1,米饭是硬的。。不如上一次好吃,26.967936781425212
10881,0,米饭里有一只蟑螂，让人怎么吃,13.539856359897563
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,14.433917285109228
4765,0,很慢就不说了，关键是还不好吃。,25.120186285917967
370,1,态度很好，效率很高，给十分赞,11.293610261061374
11746,0,速度慢，第一次订餐就迟到，晕,16.237996304911686
8159,0,送餐走错路，袋子还破了………,28.323245092155876
2366,1,一直买他家的香脆鸡肉披萨，喜欢,10.271299007242863
866,1,"师傅辛苦了，谢谢,下雪注意安全",10.202078448670475
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,28.135075612513916
9911,0,石锅拌饭里面吃出了塑料包装纸袋,48.877510052711955
5045,0,菜品没味道。。。周也是。。。。,47.94585660962392
1563,1,又快又好又便宜！真心给力！！！,9.269525902975307
10234,0,面时间太长了，坨了，不好吃了,24.892499187366404
29,1,"送餐非常快,态度特别好,谢谢",7.278487582013106
6442,0,"太小了,味道一般,说多了都是泪",6.051985247572504
467,1,送餐员辛苦，饭也好吃，继续购买,8.48084455512682
58,1,"送餐特别快,送餐员态度也特别好",7.824946549579409
1652,1,很快，也好，包装也好，赞赞赞,20.104577199224394
4529,0,味道还行，就是送餐太慢了……,5.496513456505573
88,1,"又快又好,小哥态度很好,好评",12.439674356132429
4524,0,"味道就那样把,盖浇饭挺难吃的",77.88917694505255
3085,1,外卖小哥人超级好。。。。。。,18.724867695983583
10811,0,速度挺快的，面不好吃，都凉了,22.56175898584473
8052,0,"点两份鸡柳,就给送,一份。。。",184.6574257840395
5562,0,太慢，太小，吃不饱。味道还行,8.831574346108543
5132,0,不好吃。。。菜太少了。。。。,10.837727980618368
2537,1,配送非常快，10分钟就送到啦～,10.170983731977353
2730,1,人好速度快，好评好评好评！！,18.814513346235653
6256,0,米粉比以前份量少，没以前好了,23.304727856695347
2717,1,东西非常好，还是热的，辛苦了！,8.961236299567446
5791,0,给的豆皮果然多，只是肉变少了,49.53900206622101
434,1,很快，很好，经常订，谢谢师傅,15.205477904991156
2067,1,非常好吃，送餐很快，绝对好评,8.393035483774167
8096,0,就薯条还行！其他都不怎么样！,22.236402424351365
1952,1,味道还好。服务态度真的很好～！,8.607043600102099
6980,0,咋的跟饿了吗不一样的名，坑爹,102.81302717282904
2435,1,经常买这家的饺子，味道棒棒哒！,11.872080100263165
9055,0,没有在店里吃好吃，萝卜太多了,14.021904398852785
1653,1,除了速度有待加强，其他都不错,4.349074595028489
3654,1,没有餐具哦，还要自己点餐具么,47.29283150220019
1739,1,"服务不错,但是太难吃了啊啊啊",9.962595143657675
11045,0,面也太少了，才半盒，我就没吃饱,28.267539622078473
2626,1,非常的正宗，就是羊杂汤太咸啦,29.37741253670406
7925,0,午餐肉实在太难吃了，千万别点,8.841282674045743
5910,0,真的不适合外卖，另外，真难吃,10.84387285690703
11336,0,我的电话打不通，不知道为什么,6.062443624631211
809,1,很好，速度飞快，炸鸡有点火大,25.195893754359403
661,1,太快了！！简直是神速啊！！！,8.639289509031672
396,1,"第二次买了,挺好的,以后继续",6.812715669694672
5702,0,我备注要的粥，结果送来的是饮料,56.560344296350344
10859,0,赠送的黄飞红花生呢？没送啊！！,170.67950625471818
280,1,非常好送的很快，，，还是热的。,18.718675603237923
184,1,好好好！赞赞赞！态度好速度快！,7.158359081125771
2289,1,味道很好而且很实惠送得也很快,6.953802407028981
4775,0,包装牛逼，送餐速度……咳咳……,10.529145568846872
2711,1,"番茄醬撒了QAQ,其他nice",210.31208439543957
854,1,"粥里有头发,就没吃,剩下都好吃",45.307089694454355
5116,0,太慢了，俩小时连个解释也没有,12.61219876098306
2377,1,速度挺快的东西也挺好的给赞~,17.460891729340943
4429,0,肥肉太多吃的时候还把嘴唇拿破了,12.531348738353564
11423,0,饭菜都凉的，一个多小时才送来,22.450260240871835
7151,0,地三鲜，茄子里面有很多是生的,19.98998647344924
901,1,我吃出来一个钢丝球上的一个丝,40.064135219258326
5808,0,不好吃，包子还不熟，都硬邦邦的,18.076939631347322
2679,1,味道好，包装好，送餐及时，不错,7.389475973777035
11060,0,差评，退款太慢！我说的是百度！,17.786989791459288
10479,0,"送错了,打电话要求补送也不送",59.99971140306623
8079,0,送的时间太晚了，一个小时才送来,9.38547390921712
4617,0,送餐很慢，饿死了，味道很一般,10.22663143154025
2406,1,挺好的，速度也不错，以后还来,9.452282953577496
2682,1,大叔特别面善！饭食用料很好！,36.55031568558708
2442,1,大冷天的百度骑士真是辛苦了～,36.1273049695772
963,1,肉很多，味道不错，配送也很快,12.208150010378368
3617,1,饭菜香质量好，服务好，送饭快。,11.150114672858216
10792,0,一单元和二单元分不清...麻烦,5.9625799300635425
2821,1,送餐快，阿田大虾一如既往的好吃,46.09388721494571
2108,1,菜挺多饭挺多就是牛肉丝质量一般,14.18196921171787
2832,1,送货很快，经常吃他家的，很棒,11.886101216581709
9713,0,送餐人员素质太差，不适合本工作,10.106038511972796
3122,1,"赞赞赞,很好吃,小哥送餐也很快",17.28543938418492
10897,0,味道还好，但是送餐实在是太久了,15.071190934364678
3793,1,都非常好，就是派送费有点贵！,8.55921268225014
6995,0,饺子都凉了还能吃吗，送来太慢了,18.00253974982836
1115,1,"好吃,就是太慢,两个小时才送到",13.434187025886956
6568,0,送餐慢，披萨巨小！还没餐具！！,100.83673939446427
2431,1,送餐很快，送餐人员很热情！～,9.306702237260843
1601,1,配送的真快，及时。很好好强大,41.28019916688153
7187,0,送餐太慢，等了两个小时，无语,10.971333099747712
3236,1,口味质量俱佳，送餐小伙很不错,16.094863018476136
7287,0,"咖啡撒了一兜子,还是凉的,服了",29.11445261662427
836,1,"很不错的一次,下次还会到这买",19.286565004333585
2663,1,送餐很快，菜很好，羊杂味道不错,10.465066745354854
9190,0,"每次酸奶都不给我带吸管,心好累",41.72424966864683
262,1,太快了，你是飞过来送餐的吧…,32.72763370308942
11078,0,接线员工态度太差。其他的还不错,14.254075401514896
393,1,速度很快，菜的味道也好！不错！,9.693781594446067
6382,0,汤横着就送过来了，撒到处都是!,55.70958478490265
9862,0,难吃的一逼，体验差，名不副实。,29.70916763273467
5440,0,肉太多了，送餐速度有待提高！,12.284135266410539
