,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,8.589908026836019
37994,1,局气！规矩！管虎导了俩影帝了！,149.9662408056929
45474,0,前半段真好看，后半段越来越萎,6.783700765309803
37018,0,前面的剧情看得我尴尬癌都犯了,3.2589310931680293
39152,0,混乱的情节，特么矫情无下限。,10.984131863763878
4952,0,适合能静得下心和有故事的人。,5.374831023368296
49922,1,最是人间留不住朱颜辞镜花辞树,97.39238513647982
18895,1,超级治愈又感人，狗狗真的好暖心,4.6527323410569
16855,0,密室设定很有意思，可惜未能维持,9.362504488024786
33344,1,原来巴萨的德国馆还有这个用处,9.937961393843938
43014,1,丫丫真的太美了，前夫哥好可爱,8.514220848372949
30945,0,烂的一逼，啥都没有，狗屁不通。,10.570767939615465
11202,1,这个玛丽苏我喜欢很好看求续集,12.306509651150623
43097,1,看了点映，好多戳中我泪点??,8.341806525537114
7229,0,郑恺和郭采洁还挺有cp感的。,10.371200866873606
46824,0,民乐要靠二次元来拯救了嘛……,21.48276766330223
44791,1,反正我追完了，为了女主的颜值,7.379390406083051
40750,0,我朋友说，她尴尬得想原地去世。,61.35404290584284
24357,0,今年作品太多了，有点透支了。,6.299441626996017
12065,0,我是真的觉得孙悟空的扮相太丑了,2.58936717385197
44782,1,还可以吧……感觉题材还算新颖,2.7375017804965425
11314,0,看完情圣来评评这部这部比情圣好,3.8030852433685727
19047,1,它令我想起曾经怦然心动的轻吻,5.71200700352512
45899,0,发哥抄着烂片专业户就去了。。。,136.6700110226363
14214,0,第一集演得什么玩意儿，尴尬死了,5.729718669964582
31414,1,热热闹闹的，看得我好开心啊。,3.368355308045537
25276,0,煽情煽成了MV，大家都笑了。,28.997205846377323
47776,1,最喜欢的科幻故事，很成功的改编,2.6503768459096295
45012,1,还算可以哦，故事讲的挺精彩！,4.474343801877789
49786,0,被黑天鹅惊艳到了！美轮美奂！,3.0682802757146757
11029,0,到底在演什麼啊？？大爛片！！！,64.45336929831784
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.68541925981545
3121,1,你无车无楼无番狗做乜要拖我手,88.97762114159578
9512,0,最弱版劳拉了吧？太弱了太无聊了,17.216071179747367
15976,0,重拍经典，孩子对恐惧的克服。,7.386905412798189
26862,1,太好看了！笑得我内分泌失调！,4.581330322244219
30395,0,本来两星，加一星给受罪的演员吧,11.084702193073934
22972,0,《星际特工：全宇宙看我们尬爱》,30.665184859342173
30570,0,特效不错啊，但剧情就大简单了,6.7249420855124935
20588,0,气氛到位，演员不存，故事简单！,5.067369161021084
13869,0,看的点映，形式“精致”的大烂片,45.09100088030884
24216,1,最后居然没搞你们还是人吗？？？,8.67259855308579
32991,0,平淡真实不温不火我没懂哭点在哪,16.67399283341921
1732,1,其实伍迪哈里森演的是一个天使,17.63199083388657
4472,1,陈可辛拍商业文艺片真的不错~~,5.168618710183788
33439,0,泡泡妹子打打架，兄弟情在哪？,13.47663385910548
11847,0,一部非常尬的电影。不推荐观看。,9.631410896738632
16369,0,张艺谋式的漂亮画面，何必3D。,13.615128632278171
31321,0,"我不信你们没东西怼地雷啊=""=",36.8968097763446
18949,1,少男少女必看，爱与美的启蒙。,6.458419505323266
32102,1,迪斯尼的动画很赞，配乐很好听！,4.23613099567452
9630,1,喜欢坎妹素颜的劳拉，期待后续。,35.80583341311978
1571,1,演小安生的小朋友很像岳云鹏啊。,22.282645829073196
38226,1,你猜不到的结局…猜不到的惊异…,6.092308477907062
17406,0,卡尔文老师不是触手，是海蜇皮啊,45.89314695830179
24554,1,我不会说情话，只知道陪着你。,4.122197876928365
6181,1,腕龙站在码头哀嚎的场景太泪目了,37.42740437003083
6583,0,比较难看的伪记录僵尸片...,11.829262310822807
6224,0,cctv6盛产类似的古装片……,19.24637645769417
39086,0,打一星以上的人都是咋想的！！！,11.876865903576014
14019,0,好吧，为了阿姨们的搏命演出。,18.07664262256744
10409,0,勉强合格。觉得周冬雨有点厉害。,2.878269975985941
24108,0,Highlyoverrated,162.20303330356816
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,27.93164282916123
6067,1,妈的吓死我了叫得我嗓子都哑了,9.082394615090472
9505,0,寻父，遇彦祖。掘墓，炸病毒。,51.8154562709681
41265,0,嗯电影院椅子挺舒服，睡得挺好,10.34616931369347
48553,1,Pixar真的没有让我失望过。,7.556339207641174
24690,1,看完只想把所有好东西都给它……,3.514967966793771
6635,1,我给你四星，反正我就是胆小。,8.279340456928365
4338,1,除了人贩子，所有人都是受害者,4.934898541454554
25535,1,逃离已知世界的勇气令人敬佩。,3.810124333883086
17716,1,老一套温情，稍稍让我有点麻木,13.51899075363941
47637,0,我特么就想知道那句中文是什么,6.0903737901131185
8508,1,好看！但是最后那关不过瘾???,4.49698538815468
23534,1,谁能拒绝穿护士服的余春娇呢？,10.532283390384865
26207,0,太恶心了~不要看~建议哈···,9.93089239867756
28591,0,主角明明是章鱼，你叫潜艇总动员,9.494477108693077
19643,0,没看。但是五星水军太恶心了。,19.113049908296407
31415,1,爽着爽着导演就给你喂了一口屎,4.772349616516181
2047,0,好的地方都是老舍的。★★★☆,42.29146420254
9358,0,感觉在铁匠铺呆了一宿。。。。,9.395133765215068
27611,1,勇敢、努力、坚强的女孩都是公主,3.689539871111817
24947,0,埃德加赖特的GTA6？太屎了,141.078276618802
24137,0,小哥有精神洁癖呀，这点好赞。,8.240804924626627
18739,1,永远不要忘记你所爱的人，感动,5.440498095441207
26928,0,把所有人都拍这么难看太不容易了,4.419080950168885
15616,1,就想知道睡觉打呼噜的人怎么办,4.014643466142131
49084,1,能把蒜皮当雪花的姑娘你真好。,12.432406596036339
46654,0,我没想到加分项竟然是景甜老师。,10.23994394990425
31054,0,交通安全宣传片，情感关系咨询片,3.700452050928022
22682,1,Kylo在色誘Rey啊啊啊！！,298.55742534071254
21126,0,演员升级，故事降级，无聊透了。,8.139877051530709
19669,0,车行径你妈逼去死！杀人凶手！,97.82118618159375
38351,1,最后奔跑拥抱那里真的好感动。,11.691226145673749
29835,0,女个坏女人挺好看的，好友真真,68.89153646916546
20290,0,犯我中华者，虽远必诛其超市！,18.81228578268698
32379,1,我眼拙。不过剧情还是吸引人的。,9.528147133429835
7517,1,看哭了，我是不是自我代入太努力,12.558994978289581
47322,1,生命不止，奔跑不息。励志电影,4.028483252818118
48159,1,全片都是彩蛋。最后两个彩蛋。,5.493158074565239
39334,0,馮小剛的電影，簡稱「尬影」。,16.34008247582237
30801,0,特效不错吧，其他没什么感觉。,4.410325707064012
48912,0,莫名其妙，演到一半变得毫无逻辑,4.8946050514396156
