,labels,text,neg_logits,pos_logits
82777,0,[MASK]黑。[泪] //@耿嘉晨：还真是,2.1295865,4.0523434
48250,1,[MASK]黑。爱上江西，没有理由！[哈哈],2.5693302,4.929435
100168,0,[MASK]黑。计划赶不上变化[抓狂][泪],1.6027954,4.4049354
22319,1,[MASK]黑。芭其乐，大嘴快乐的家伙[爱你],3.7595227,5.9420676
70122,0,[MASK]黑。传统已逝??????[抓狂],1.9249637,4.7908683
6338,1,[MASK]黑。谢谢哈! 欢迎常来![鼓掌],3.0243382,5.167106
20081,1,[MASK]黑。胖子手感好啊！[鼓掌][爱你],3.2432969,5.4907355
23064,1,[MASK]黑。生快！[干杯][蛋糕][鼓掌],1.716409,3.9985878
84060,0,[MASK]黑。居然把我干儿子装脸盆里！[怒],2.745066,5.01063
93871,0,[MASK]黑。三哥总是这么的让人惊喜[晕],2.5269182,5.1006413
104161,0,[MASK]黑。此刻后：ko了... [晕],2.988008,5.335938
40416,1,[MASK]黑。[害羞][哈哈]@魔王1987,2.21943,4.8808775
15376,1,[MASK]黑。随手拍祝大家周末愉快！[爱你],2.6095307,4.058224
10199,1,[MASK]黑。是滴，美女。欢迎哦！[可爱],3.6228514,5.6706586
71224,0,[MASK]黑。偷贡品。不怕报应啊？。[衰],2.7896266,4.926619
12238,1,[MASK]黑。[哈哈] //@独眼u:哈哈哈,3.2269294,5.1602163
77537,0,[MASK]黑。求二手智能手机。。。[抓狂],2.0940948,4.2708507
55063,1,[MASK]黑。是帮你挡酒的男的么？[嘻嘻],2.6472018,5.214234
21548,1,[MASK]黑。原来很多国家都免签![哈哈],2.8726127,4.202902
38076,1,[MASK]黑。百变大咖秀真的很快乐[哈哈],2.2924864,5.1100197
84198,0,[MASK]黑。[泪]//@那木错:[微风],2.2315216,4.157844
27872,1,[MASK]黑。哈哈，强大[鼓掌][good],2.6795118,5.4623566
48051,1,[MASK]黑。眼睛一眨，美妞变辣妈！[哈哈],3.0121427,4.5310717
18029,1,[MASK]黑。祝大家十一小长假快乐[太开心],2.2558835,5.251088
115177,0,[MASK]黑。[泪] //@袁腾飞:[泪],2.1997442,3.9163833
114619,0,[MASK]黑。可怜的风扇[泪] 我要等正版！,2.850791,4.1894336
64870,0,[MASK]黑。固执的大叔这场又好危险[失望],2.4754498,5.159061
74958,0,[MASK]黑。办公室都是孩儿他娘！！！[怒],2.8350177,4.227624
77734,0,[MASK]黑。//@地狱中的八尾猫: [衰],3.67345,5.2188077
51580,1,[MASK]黑。财神到我手?[偷笑][鼓掌],2.030957,5.8296514
54352,1,[MASK]黑。爱吃牛排的童鞋举个手~[爱你],2.87301,5.459512
8324,1,[MASK]黑。开始喽，看起来吧！！[鼓掌],2.4605844,4.9335494
106626,0,[MASK]黑。受伤，是个超级不好的消息[衰],3.1410944,5.4217124
15031,1,[MASK]黑。[哈哈][哈哈]收费大调查。。,1.8528361,4.5868096
8249,1,[MASK]黑。用美食向大家说早安~[嘻嘻],2.2752264,4.719111
59782,0,[MASK]黑。愚人节的游戏，银行也玩呀[衰],3.7495852,5.4456453
110113,0,[MASK]黑。[衰]弄破了，基本上不会复原！,4.1148677,5.954832
11405,1,[MASK]黑。哈，回忆录写到哪了？[嘻嘻],1.7537224,4.646073
81138,0,[MASK]黑。书人搬家，其实就是搬书[晕],4.212915,4.93929
14831,1,[MASK]黑。《时尚旅游》也玩街拍了[哈哈],2.134742,4.4243655
51446,1,[MASK]黑。阿姨做的菜相当好吃呢[爱你],2.1671245,4.6511517
73965,0,[MASK]黑。Facebook 还在跌[晕],2.3758674,4.00637
101129,0,[MASK]黑。[抓狂] 你是在哪里腐败~~~,3.191346,5.3655963
104892,0,[MASK]黑。男人动手…[怒][怒][怒],1.9499831,4.628102
66040,0,[MASK]黑。我在这里：#闸北区#吃饭[泪],2.0564585,5.1213765
87632,0,[MASK]黑。难得休息的，竟然感冒了[泪],1.7091998,4.9373264
96063,0,[MASK]黑。知道得太晚了，遗憾！[失望],3.1637752,5.311668
81716,0,[MASK]黑。社会败坏的典型!?救了[衰],3.6462,5.6782937
92195,0,[MASK]黑。姐，我给你跪下了，这才气[晕],2.8149042,4.859091
95696,0,[MASK]黑。[泪]同意，让他们变成海豹!!,2.9187903,4.3254757
19351,1,[MASK]黑。//@好色小湿妹: [哈哈],2.561124,4.963226
41680,1,[MASK]黑。我觉得总结的很好，喜欢[鼓掌],2.3238544,4.668138
21865,1,[MASK]黑。斯坦福正门左侧草坪。[嘻嘻],4.0899363,4.5855045
2453,1,[MASK]黑。[嘻嘻]重口味爱好者的福音来咯,2.3394172,5.295297
48755,1,[MASK]黑。转给来北京玩的童鞋们[可爱],3.3374255,4.3217144
53195,1,[MASK]黑。偷偷发张我师父的照片[哈哈],1.9224772,4.330776
12712,1,[MASK]黑。好样的！[嘻嘻]你家就你牛！,3.3242853,5.6816854
94030,0,[MASK]黑。早知道找你买了还能越狱[抓狂],2.3710654,4.068154
40934,1,[MASK]黑。我上班能穿成这样吗？[嘻嘻],3.4758844,5.775999
11905,1,[MASK]黑。[哈哈][哈哈][哈哈]翔子,2.515744,5.590198
56807,0,[MASK]黑。还有这么不要脸的[怒] 扩散,2.7397125,4.2255583
63131,0,[MASK]黑。最近压力让我头痛 [衰][晕],1.6755593,5.1425743
29589,1,[MASK]黑。@兔子奶奶熊的娘 还有[哈哈],3.1521502,5.1934185
101122,0,[MASK]黑。堵塞，不动！我快哭了！[泪],3.580814,6.7585998
75355,0,[MASK]黑。下辈子该她被扔下去！！！[怒],2.9334822,3.8281949
70889,0,[MASK]黑。现在的快递啊，真心桑不起[泪],2.5718844,3.9584785
93899,0,[MASK]黑。我也有中奖的时候啊[泪][泪],3.1208715,5.132621
7932,1,[MASK]黑。[哈哈]//@大藏布:[哈哈],1.9115374,4.4818473
4819,1,[MASK]黑。有趣的“悲剧”设计！[哈哈],2.3225734,4.2598114
112114,0,[MASK]黑。有把脚崴了。。。 大馒头[泪],2.2549422,5.171434
9343,1,[MASK]黑。这透视，照成小短腿儿了[哈哈],2.7268243,5.124405
86440,0,[MASK]黑。下冰雹了，我怎么回家呀[泪],1.1834646,5.6956644
82229,0,[MASK]黑。我也是男人//@???：[泪],1.9051261,4.372114
34841,1,[MASK]黑。[鼓掌][鼓掌]期待精彩呈现,2.2823398,4.9199944
106204,0,[MASK]黑。[泪]同求 粉待亲粉待亲呀！,1.4688629,3.737364
63072,0,[MASK]黑。回去换身衣服准备第三场[抓狂],1.9520793,5.3780513
108363,0,[MASK]黑。狗狗是人类最忠实的朋友！[泪],1.9965684,3.738012
51324,1,[MASK]黑。[太开心] 过500了~ ?~,3.0344484,4.9941535
48652,1,[MASK]黑。家庭聚会，愉快的周末！[爱你],2.440705,5.7960296
50046,1,[MASK]黑。这么有意境的菜~~~[哈哈],2.7417965,5.5374784
69366,0,[MASK]黑。我滴亲丸子啊[泪][泪][泪],1.4273413,4.6583376
18022,1,[MASK]黑。//@电商报: 啊~~[哈哈],2.004637,4.0155716
11792,1,[MASK]黑。谢谢喜欢我家的玛克丽[哈哈],2.4950175,5.0407896
51645,1,[MASK]黑。我发现我就是来发微博滴[可爱],2.0369997,4.1353602
75967,0,[MASK]黑。见过好多，就是学不来啊[衰],3.8748279,5.2491555
55553,0,[MASK]黑。操，你他妈干的是人事嘛[怒],2.877459,4.7616415
63799,0,[MASK]黑。我好像午饭忘吃了。。。[晕],2.5575736,5.342109
2403,1,[MASK]黑。生日快乐，美女快乐哦~[嘻嘻],2.7590742,5.071835
87818,0,[MASK]黑。[鄙视]//@钱文忠: [泪],2.1972044,3.8987463
42197,1,[MASK]黑。[good]我要好吃的[亲亲],2.5392933,5.191693
2716,1,[MASK]黑。享受生活的乐趣[哈哈][?力],2.3148732,4.2394476
114496,0,[MASK]黑。我又错过了[衰]对不起唐老师了,3.203774,6.1020093
39216,1,[MASK]黑。我的 剧照 ，?点咪[哈哈],1.7997023,4.5876074
78602,0,[MASK]黑。英语太烂，说不明白啊。[抓狂],2.6846657,4.8258357
677,1,[MASK]黑。[抱抱] 收藏，下班的时间看,2.5961812,4.5093417
76315,0,[MASK]黑。南方的小伙伴们，保重！[衰],2.7583485,5.1788282
