,labels,text,neg_logits,pos_logits
82777,0,[MASK]行。[泪] //@耿嘉晨：还真是,10.967486,5.3415656
48250,1,[MASK]行。爱上江西，没有理由！[哈哈],10.012182,4.855973
100168,0,[MASK]行。计划赶不上变化[抓狂][泪],10.971681,2.8750594
22319,1,[MASK]行。芭其乐，大嘴快乐的家伙[爱你],8.046906,2.9902894
70122,0,[MASK]行。传统已逝??????[抓狂],9.631337,2.1311674
6338,1,[MASK]行。谢谢哈! 欢迎常来![鼓掌],10.127179,5.4742994
20081,1,[MASK]行。胖子手感好啊！[鼓掌][爱你],10.772608,4.4852743
23064,1,[MASK]行。生快！[干杯][蛋糕][鼓掌],8.384401,4.69392
84060,0,[MASK]行。居然把我干儿子装脸盆里！[怒],12.861915,5.697942
93871,0,[MASK]行。三哥总是这么的让人惊喜[晕],10.657061,4.228529
104161,0,[MASK]行。此刻后：ko了... [晕],9.982287,1.7009939
40416,1,[MASK]行。[害羞][哈哈]@魔王1987,9.162924,3.3513918
15376,1,[MASK]行。随手拍祝大家周末愉快！[爱你],8.759763,2.6713736
10199,1,[MASK]行。是滴，美女。欢迎哦！[可爱],10.11514,5.822421
71224,0,[MASK]行。偷贡品。不怕报应啊？。[衰],9.030954,3.4995933
12238,1,[MASK]行。[哈哈] //@独眼u:哈哈哈,9.569444,4.0253644
77537,0,[MASK]行。求二手智能手机。。。[抓狂],9.2171135,3.421777
55063,1,[MASK]行。是帮你挡酒的男的么？[嘻嘻],11.821701,5.229451
21548,1,[MASK]行。原来很多国家都免签![哈哈],10.155568,4.400962
38076,1,[MASK]行。百变大咖秀真的很快乐[哈哈],9.389715,3.9157262
84198,0,[MASK]行。[泪]//@那木错:[微风],9.766482,4.1477823
27872,1,[MASK]行。哈哈，强大[鼓掌][good],8.885684,3.5906374
48051,1,[MASK]行。眼睛一眨，美妞变辣妈！[哈哈],10.258226,3.8942645
18029,1,[MASK]行。祝大家十一小长假快乐[太开心],9.615835,3.435971
115177,0,[MASK]行。[泪] //@袁腾飞:[泪],10.495266,4.3577147
114619,0,[MASK]行。可怜的风扇[泪] 我要等正版！,11.397003,3.4366891
64870,0,[MASK]行。固执的大叔这场又好危险[失望],10.36395,3.0128858
74958,0,[MASK]行。办公室都是孩儿他娘！！！[怒],11.628524,4.09812
77734,0,[MASK]行。//@地狱中的八尾猫: [衰],9.339462,2.4022696
51580,1,[MASK]行。财神到我手?[偷笑][鼓掌],9.032651,3.6644523
54352,1,[MASK]行。爱吃牛排的童鞋举个手~[爱你],9.798886,2.7476926
8324,1,[MASK]行。开始喽，看起来吧！！[鼓掌],9.011094,4.6038322
106626,0,[MASK]行。受伤，是个超级不好的消息[衰],10.438955,2.4741755
15031,1,[MASK]行。[哈哈][哈哈]收费大调查。。,5.952013,0.50031346
8249,1,[MASK]行。用美食向大家说早安~[嘻嘻],7.9518523,3.2129183
59782,0,[MASK]行。愚人节的游戏，银行也玩呀[衰],8.361709,2.348566
110113,0,[MASK]行。[衰]弄破了，基本上不会复原！,10.706636,3.784403
11405,1,[MASK]行。哈，回忆录写到哪了？[嘻嘻],10.364359,4.0990324
81138,0,[MASK]行。书人搬家，其实就是搬书[晕],8.261354,2.0202417
14831,1,[MASK]行。《时尚旅游》也玩街拍了[哈哈],8.789397,3.3669987
51446,1,[MASK]行。阿姨做的菜相当好吃呢[爱你],10.285922,4.5697703
73965,0,[MASK]行。Facebook 还在跌[晕],10.425077,2.8147068
101129,0,[MASK]行。[抓狂] 你是在哪里腐败~~~,10.047574,3.6741457
104892,0,[MASK]行。男人动手…[怒][怒][怒],11.295687,2.7855108
66040,0,[MASK]行。我在这里：#闸北区#吃饭[泪],10.171996,4.791322
87632,0,[MASK]行。难得休息的，竟然感冒了[泪],10.769241,4.268489
96063,0,[MASK]行。知道得太晚了，遗憾！[失望],11.518769,4.187787
81716,0,[MASK]行。社会败坏的典型!?救了[衰],8.395643,2.379047
92195,0,[MASK]行。姐，我给你跪下了，这才气[晕],11.33202,5.785934
95696,0,[MASK]行。[泪]同意，让他们变成海豹!!,11.285493,3.34052
19351,1,[MASK]行。//@好色小湿妹: [哈哈],9.389128,3.812969
41680,1,[MASK]行。我觉得总结的很好，喜欢[鼓掌],9.364457,3.5132124
21865,1,[MASK]行。斯坦福正门左侧草坪。[嘻嘻],7.130052,1.7960024
2453,1,[MASK]行。[嘻嘻]重口味爱好者的福音来咯,9.8262,3.393211
48755,1,[MASK]行。转给来北京玩的童鞋们[可爱],9.44113,3.3050945
53195,1,[MASK]行。偷偷发张我师父的照片[哈哈],10.918215,4.235481
12712,1,[MASK]行。好样的！[嘻嘻]你家就你牛！,10.06634,4.9631047
94030,0,[MASK]行。早知道找你买了还能越狱[抓狂],11.428275,4.0543413
40934,1,[MASK]行。我上班能穿成这样吗？[嘻嘻],12.439518,6.080996
11905,1,[MASK]行。[哈哈][哈哈][哈哈]翔子,9.193258,3.42471
56807,0,[MASK]行。还有这么不要脸的[怒] 扩散,10.619609,3.5077927
63131,0,[MASK]行。最近压力让我头痛 [衰][晕],10.937843,4.257919
29589,1,[MASK]行。@兔子奶奶熊的娘 还有[哈哈],8.537104,3.5215538
101122,0,[MASK]行。堵塞，不动！我快哭了！[泪],12.679643,4.141981
75355,0,[MASK]行。下辈子该她被扔下去！！！[怒],11.61396,3.900228
70889,0,[MASK]行。现在的快递啊，真心桑不起[泪],11.103951,4.919073
93899,0,[MASK]行。我也有中奖的时候啊[泪][泪],11.160856,4.804417
7932,1,[MASK]行。[哈哈]//@大藏布:[哈哈],9.538656,3.6448696
4819,1,[MASK]行。有趣的“悲剧”设计！[哈哈],9.528508,2.4163275
112114,0,[MASK]行。有把脚崴了。。。 大馒头[泪],10.927133,4.6234703
9343,1,[MASK]行。这透视，照成小短腿儿了[哈哈],10.282289,4.136776
86440,0,[MASK]行。下冰雹了，我怎么回家呀[泪],13.163765,5.4480352
82229,0,[MASK]行。我也是男人//@???：[泪],10.451787,4.753946
34841,1,[MASK]行。[鼓掌][鼓掌]期待精彩呈现,8.968791,1.1653666
106204,0,[MASK]行。[泪]同求 粉待亲粉待亲呀！,9.6038265,3.2426574
63072,0,[MASK]行。回去换身衣服准备第三场[抓狂],11.231195,3.357313
108363,0,[MASK]行。狗狗是人类最忠实的朋友！[泪],11.134177,4.030608
51324,1,[MASK]行。[太开心] 过500了~ ?~,9.914826,4.7221575
48652,1,[MASK]行。家庭聚会，愉快的周末！[爱你],7.1637635,1.5744901
50046,1,[MASK]行。这么有意境的菜~~~[哈哈],9.702515,4.8034735
69366,0,[MASK]行。我滴亲丸子啊[泪][泪][泪],11.116035,4.819402
18022,1,[MASK]行。//@电商报: 啊~~[哈哈],9.645797,5.3001285
11792,1,[MASK]行。谢谢喜欢我家的玛克丽[哈哈],10.290113,4.8182344
51645,1,[MASK]行。我发现我就是来发微博滴[可爱],10.743706,4.1806045
75967,0,[MASK]行。见过好多，就是学不来啊[衰],9.854152,5.182584
55553,0,[MASK]行。操，你他妈干的是人事嘛[怒],11.09485,5.361033
63799,0,[MASK]行。我好像午饭忘吃了。。。[晕],11.55779,5.962182
2403,1,[MASK]行。生日快乐，美女快乐哦~[嘻嘻],9.442281,2.9510071
87818,0,[MASK]行。[鄙视]//@钱文忠: [泪],10.315768,4.262846
42197,1,[MASK]行。[good]我要好吃的[亲亲],9.986085,4.802333
2716,1,[MASK]行。享受生活的乐趣[哈哈][?力],6.5619626,2.3032656
114496,0,[MASK]行。我又错过了[衰]对不起唐老师了,11.473452,5.20323
39216,1,[MASK]行。我的 剧照 ，?点咪[哈哈],9.361994,3.6479502
78602,0,[MASK]行。英语太烂，说不明白啊。[抓狂],12.428655,4.8661547
677,1,[MASK]行。[抱抱] 收藏，下班的时间看,9.442206,2.6662796
76315,0,[MASK]行。南方的小伙伴们，保重！[衰],9.717339,3.520239
67304,0,[MASK]行。唉，又一轮轰炸即将开始[衰],10.420685,3.2269802
44036,1,[MASK]行。吼吼吼，怎么又回来了[鼓掌],10.945663,4.3011265
9733,1,[MASK]行。今天早餐从简[偷笑][嘻嘻],10.023658,3.9241602
27440,1,[MASK]行。真滴哇~~好啊好啊！[亲亲],9.687851,5.0784645
2178,1,[MASK]行。带着葡萄酒去蹭饭，[哈哈]。,9.498234,4.5034485
49100,1,[MASK]行。晚餐时间到！自己煮的[爱你],9.926773,3.5699806
69009,0,[MASK]行。//@Gummi_S:[泪],9.881006,3.2991087
3699,1,[MASK]行。大家多多帮黑哥投票哈[鼓掌],10.2399025,4.1170163
36275,1,[MASK]行。陕西八大怪，面条想裤袋[哈哈],8.836742,3.2498739
74734,0,[MASK]行。有才！唉……[衰][衰][衰],8.875916,6.2846255
10024,1,[MASK]行。又一位收到材料的同学[鼓掌],9.000638,2.4032407
13954,1,[MASK]行。今天是全国电视屏保日[嘻嘻],9.959547,3.0291164
9691,1,[MASK]行。多增加几款好酒才素王道[哈哈],10.414738,4.652086
48990,1,[MASK]行。再奋斗一天[哈哈]，度长假。,10.434212,2.5417106
2741,1,[MASK]行。这就是传说中的落水狗。[哈哈],10.4404,3.8493729
76712,0,[MASK]行。号称几十万的沙发[晕][晕],10.413431,3.829555
35080,1,[MASK]行。这是你哥？为毛这么像？[哈哈],11.0431,5.3526206
41502,1,[MASK]行。偶下班啦！打卡，回家！[嘻嘻],10.484083,4.2076116
65053,0,[MASK]行。看看我的红皮箱[泪]好可怜哦！,10.989299,4.0907187
93676,0,[MASK]行。没检查到作业，百爪挠心啊[泪],11.573723,3.5045178
11655,1,[MASK]行。[围观]中秋快乐哦。[哈哈],9.664502,3.164268
114061,0,[MASK]行。[心][话筒][话筒][泪],9.319766,3.1389735
58008,0,[MASK]行。林子大了，什么鸟都有。[怒],11.057574,4.469107
40101,1,[MASK]行。[哈哈]//@韩松落: +1,9.565591,3.526352
90836,0,[MASK]行。堵车堵死了，彻底的迟到了[泪],10.479348,3.4632418
18137,1,[MASK]行。下午茶时间到[太开心]降降火,7.95264,1.9583375
113902,0,[MASK]行。结果我没下来，你下来了[衰],10.410811,4.6167493
100680,0,[MASK]行。//@北京熊麦宠物医院:[泪],9.945609,3.2981489
35326,1,[MASK]行。送个艺龙旅行梦想吧！[哈哈],10.003685,4.7309723
3527,1,[MASK]行。花粉们，可以试一下哦~[嘻嘻],10.14524,4.5393157
12398,1,[MASK]行。加油[爱你][嘻嘻][嘻嘻],9.895597,4.6923428
61181,0,[MASK]行。帮转！[泪][晕] 闹心的事?,10.022683,4.3219686
25838,1,[MASK]行。亲亲客气了哈~喜欢就好[爱你],10.278258,4.496612
94418,0,[MASK]行。看到了中国足球的春天了[泪],10.354772,4.1690564
14036,1,[MASK]行。[鼓掌]//@毛丹青: 扩散,8.929359,2.292595
29246,1,[MASK]行。哈哈。缘分啊！激动啊！[哈哈],9.018719,4.3272448
55695,0,[MASK]行。//@看历史: [泪] [泪],9.65641,3.0160213
84988,0,[MASK]行。[衰]//@申格体育:[吃惊],10.145411,3.5560791
32493,1,[MASK]行。完满人生[good][鼓掌],7.5609975,1.8946257
9214,1,[MASK]行。欢迎欢迎！！！[挤眼][鼓掌],9.384065,4.535167
28188,1,[MASK]行。罗切斯特，等着我来！[爱你],9.904173,3.4175382
76875,0,[MASK]行。刚打完，基本上都是被说[衰],10.306855,3.3402073
477,1,[MASK]行。转！[哈哈][哈哈][哈哈],9.74793,4.584462
57770,0,[MASK]行。在移动MM呆不住啦[汗][晕],10.922377,3.1610155
62059,0,[MASK]行。大连你怎么了，重度污染[怒],11.356632,4.2973824
69533,0,[MASK]行。刚看完[抓狂]，超想去唱K的,10.4256735,4.169781
938,1,[MASK]行。红T恤的爷爷真年轻！[哈哈],9.999289,3.8619494
69844,0,[MASK]行。//@un-wong: [衰],9.275376,2.0412934
