,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,6.928793591514314
7598,1,手机质量很好哎，就是没有送礼品,5.29663672766155
43849,0,有差异的产品，下次不会选购了,5.0437950431227785
10361,0,东西搭配了一堆没用的，给差评,7.449975771617156
3099,1,一般般 会有卡顿 看电影还行,18.193553491819245
28438,1,不错很满意，物流小哥很给力。,5.442257584257952
34577,0,京东的配送就这样吗？真是失望,3.9843207096393827
12015,0,非常不满意，大型游戏根本玩不了,2.6064867761315136
31819,0,垃圾京东，收钱不发货，趁早倒闭,10.078561999486109
42623,1,衣服面料很舒服，柔软，大小合适,3.1930493819025103
43428,0,哎与图片差距太大真心接受不了,8.546763752725525
38964,1,面料很好，款式时尚 穿上很舒服,2.4305752095217077
32231,0,洗发水不正宗的，洗完头皮屑很多,7.19636572300775
17545,1,京东商城的商品实惠，继续支持！,3.2788983953913498
36576,1,蒙牛出香蕉奶啦 味道还不错哦,21.478784029612992
6653,1,快递速度很快，平板用了还不错。,5.145154761112946
39896,1,大小合适，有弹力，辉常满意！,11.615146418066042
38971,1,刚收到货，很好，物超所值！！,7.895664617943497
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,7.227420860088635
29583,1,超值值得购买！便宜实惠真的很好,3.1766308597428314
12956,0,不咋好，显示不清楚，想贴膜的,14.001755388499758
31712,0,不好，这么贵还不好，我也是醉了,7.2581580594195225
31680,0,啥时候到啊下单好几天了还没到?,10.852957772114271
60362,0,很一般，价格不高，但设备差！,5.723082246592305
45785,0,没穿几次就破2个洞，做工不好。,10.930813344261361
30820,0,被坑了，不好用，只能给一星?,22.656294055600597
10933,0,送货师傅不错，平板质量一般般,5.516730808508721
40218,1,穿上很舒服，面料不错，蛮好的,3.6541268185759574
36597,1,蒙牛滴。。。口感醇厚，不错～,43.40165676216994
47403,0,衣服不行 ！！！ 快递也不给力,12.995995895234639
42213,1,质量好，做工精细。非常满意！,2.2441054530703073
31785,0,不好用，味道太浓，不适合男人,4.644242308543263
46015,0,质量没有想像的那么好，不要上当,3.010391229470638
42170,1,款式新颖，又合身，孩子很喜欢,2.749517013566814
43150,0,欺骗消费者！！！严重不符！！！,4.839782993521564
45415,0,商品没图上的好看，面料也不多好,11.961042068452159
30230,1,价格实惠，服务好，东西不错。,1.764983770697131
47927,0,没收到商品，一个月了，差劲。,9.193241904506607
30018,1,好，不错，得蛮多的，划算，喜欢,13.454240894324068
26817,1,到货好快。服务好！东西满意！,4.472073188156533
5006,1,手机不错，屏大清晰，速度快。,5.558730570313644
44936,0,洗了掉色特严重，很硬，还没穿,14.373055708411718
16856,1,还味吃，现在觉得苹果越来越甜了,16.03315890926896
3845,1,不错 很喜欢 华为平板666,19.961120185967506
28242,1,洗发水好用，洗过头发很清爽…,6.995678164028839
42123,1,可以 比较满意 穿了再来评价,7.986669288827137
34621,0,有一瓶盖子烂了，流的到处都是。,8.211668590309712
33650,0,使用一般，和国货区别不是很大！,4.958941769427863
5554,1,好好的一个好的自己选的好好好货,25.898449300249492
30937,0,说好的吹风机在哪！太垃圾了！,7.149713635560022
