,labels,text,neg_logits,pos_logits
82777,0,[MASK]行。[泪] //@耿嘉晨：还真是,10.59705,5.444355
48250,1,[MASK]行。爱上江西，没有理由！[哈哈],9.804043,4.955034
100168,0,[MASK]行。计划赶不上变化[抓狂][泪],10.575574,4.864801
22319,1,[MASK]行。芭其乐，大嘴快乐的家伙[爱你],7.8867035,3.8138132
70122,0,[MASK]行。传统已逝??????[抓狂],10.000139,3.547073
6338,1,[MASK]行。谢谢哈! 欢迎常来![鼓掌],8.373185,5.5417247
20081,1,[MASK]行。胖子手感好啊！[鼓掌][爱你],10.102698,5.651301
23064,1,[MASK]行。生快！[干杯][蛋糕][鼓掌],7.4555655,3.9891407
84060,0,[MASK]行。居然把我干儿子装脸盆里！[怒],11.520776,4.9972143
93871,0,[MASK]行。三哥总是这么的让人惊喜[晕],10.022795,4.92666
104161,0,[MASK]行。此刻后：ko了... [晕],9.3886,3.5700257
40416,1,[MASK]行。[害羞][哈哈]@魔王1987,9.903148,5.0361853
15376,1,[MASK]行。随手拍祝大家周末愉快！[爱你],8.526486,4.7420683
10199,1,[MASK]行。是滴，美女。欢迎哦！[可爱],9.164445,5.122488
71224,0,[MASK]行。偷贡品。不怕报应啊？。[衰],8.469982,3.8717341
12238,1,[MASK]行。[哈哈] //@独眼u:哈哈哈,9.852797,5.533506
77537,0,[MASK]行。求二手智能手机。。。[抓狂],10.006171,4.990983
55063,1,[MASK]行。是帮你挡酒的男的么？[嘻嘻],10.780659,5.1263795
21548,1,[MASK]行。原来很多国家都免签![哈哈],10.741457,5.526051
38076,1,[MASK]行。百变大咖秀真的很快乐[哈哈],9.716835,5.853795
84198,0,[MASK]行。[泪]//@那木错:[微风],9.66421,4.633648
27872,1,[MASK]行。哈哈，强大[鼓掌][good],8.962717,4.9784636
48051,1,[MASK]行。眼睛一眨，美妞变辣妈！[哈哈],9.858872,4.513461
18029,1,[MASK]行。祝大家十一小长假快乐[太开心],8.294683,4.802915
115177,0,[MASK]行。[泪] //@袁腾飞:[泪],9.642966,4.8034887
114619,0,[MASK]行。可怜的风扇[泪] 我要等正版！,11.214753,4.962512
64870,0,[MASK]行。固执的大叔这场又好危险[失望],11.308823,5.0214534
74958,0,[MASK]行。办公室都是孩儿他娘！！！[怒],11.301729,4.7518787
77734,0,[MASK]行。//@地狱中的八尾猫: [衰],9.210721,3.3686538
51580,1,[MASK]行。财神到我手?[偷笑][鼓掌],8.17503,3.9982991
54352,1,[MASK]行。爱吃牛排的童鞋举个手~[爱你],9.787084,5.2156982
8324,1,[MASK]行。开始喽，看起来吧！！[鼓掌],8.857176,4.1225853
106626,0,[MASK]行。受伤，是个超级不好的消息[衰],10.444062,4.4748483
15031,1,[MASK]行。[哈哈][哈哈]收费大调查。。,8.768483,3.7449899
8249,1,[MASK]行。用美食向大家说早安~[嘻嘻],8.640297,4.1433506
59782,0,[MASK]行。愚人节的游戏，银行也玩呀[衰],9.2437935,3.6209166
110113,0,[MASK]行。[衰]弄破了，基本上不会复原！,10.709491,5.578463
11405,1,[MASK]行。哈，回忆录写到哪了？[嘻嘻],10.638593,4.697594
81138,0,[MASK]行。书人搬家，其实就是搬书[晕],9.398781,4.1831155
14831,1,[MASK]行。《时尚旅游》也玩街拍了[哈哈],9.5017805,4.629701
51446,1,[MASK]行。阿姨做的菜相当好吃呢[爱你],10.648025,6.639198
73965,0,[MASK]行。Facebook 还在跌[晕],9.880448,4.227646
101129,0,[MASK]行。[抓狂] 你是在哪里腐败~~~,10.322029,4.1915627
104892,0,[MASK]行。男人动手…[怒][怒][怒],9.833764,3.989016
66040,0,[MASK]行。我在这里：#闸北区#吃饭[泪],9.594678,5.547919
87632,0,[MASK]行。难得休息的，竟然感冒了[泪],10.877786,5.196139
96063,0,[MASK]行。知道得太晚了，遗憾！[失望],11.0240965,5.15875
81716,0,[MASK]行。社会败坏的典型!?救了[衰],8.984565,4.2159443
92195,0,[MASK]行。姐，我给你跪下了，这才气[晕],10.297337,4.591442
95696,0,[MASK]行。[泪]同意，让他们变成海豹!!,10.433826,3.8442037
19351,1,[MASK]行。//@好色小湿妹: [哈哈],9.892034,5.237958
41680,1,[MASK]行。我觉得总结的很好，喜欢[鼓掌],9.708908,6.991191
21865,1,[MASK]行。斯坦福正门左侧草坪。[嘻嘻],8.091216,4.0889926
2453,1,[MASK]行。[嘻嘻]重口味爱好者的福音来咯,9.727896,4.9957004
48755,1,[MASK]行。转给来北京玩的童鞋们[可爱],9.596768,4.9127336
53195,1,[MASK]行。偷偷发张我师父的照片[哈哈],10.828655,5.6177187
12712,1,[MASK]行。好样的！[嘻嘻]你家就你牛！,8.724836,5.647029
94030,0,[MASK]行。早知道找你买了还能越狱[抓狂],10.719914,5.3169203
40934,1,[MASK]行。我上班能穿成这样吗？[嘻嘻],11.612056,5.917577
11905,1,[MASK]行。[哈哈][哈哈][哈哈]翔子,9.376236,5.034729
56807,0,[MASK]行。还有这么不要脸的[怒] 扩散,11.174151,4.881381
63131,0,[MASK]行。最近压力让我头痛 [衰][晕],10.399303,5.429958
29589,1,[MASK]行。@兔子奶奶熊的娘 还有[哈哈],9.677475,5.132764
101122,0,[MASK]行。堵塞，不动！我快哭了！[泪],10.656157,3.7801642
75355,0,[MASK]行。下辈子该她被扔下去！！！[怒],11.134336,4.2185163
70889,0,[MASK]行。现在的快递啊，真心桑不起[泪],11.610716,6.194107
93899,0,[MASK]行。我也有中奖的时候啊[泪][泪],11.315896,6.0084705
7932,1,[MASK]行。[哈哈]//@大藏布:[哈哈],9.504914,4.8958898
4819,1,[MASK]行。有趣的“悲剧”设计！[哈哈],9.839793,4.729328
112114,0,[MASK]行。有把脚崴了。。。 大馒头[泪],11.129036,5.029232
9343,1,[MASK]行。这透视，照成小短腿儿了[哈哈],10.660571,4.9827747
86440,0,[MASK]行。下冰雹了，我怎么回家呀[泪],11.388761,4.212246
82229,0,[MASK]行。我也是男人//@???：[泪],10.334344,5.515881
34841,1,[MASK]行。[鼓掌][鼓掌]期待精彩呈现,7.790619,3.9364586
106204,0,[MASK]行。[泪]同求 粉待亲粉待亲呀！,9.177038,4.1183186
63072,0,[MASK]行。回去换身衣服准备第三场[抓狂],10.808372,5.0823627
108363,0,[MASK]行。狗狗是人类最忠实的朋友！[泪],9.812252,4.934304
51324,1,[MASK]行。[太开心] 过500了~ ?~,8.928809,6.462253
48652,1,[MASK]行。家庭聚会，愉快的周末！[爱你],7.785731,4.244503
50046,1,[MASK]行。这么有意境的菜~~~[哈哈],10.148108,6.2140274
69366,0,[MASK]行。我滴亲丸子啊[泪][泪][泪],9.819628,4.759512
18022,1,[MASK]行。//@电商报: 啊~~[哈哈],10.099332,5.605613
11792,1,[MASK]行。谢谢喜欢我家的玛克丽[哈哈],9.135948,5.577014
51645,1,[MASK]行。我发现我就是来发微博滴[可爱],10.921017,5.945691
75967,0,[MASK]行。见过好多，就是学不来啊[衰],11.195149,6.411222
55553,0,[MASK]行。操，你他妈干的是人事嘛[怒],10.234044,4.2121577
63799,0,[MASK]行。我好像午饭忘吃了。。。[晕],11.121121,5.5230417
2403,1,[MASK]行。生日快乐，美女快乐哦~[嘻嘻],8.897348,4.42847
87818,0,[MASK]行。[鄙视]//@钱文忠: [泪],10.560136,5.042617
42197,1,[MASK]行。[good]我要好吃的[亲亲],9.283297,5.487442
2716,1,[MASK]行。享受生活的乐趣[哈哈][?力],7.2262454,3.8523464
114496,0,[MASK]行。我又错过了[衰]对不起唐老师了,11.626655,5.5368876
39216,1,[MASK]行。我的 剧照 ，?点咪[哈哈],9.251961,5.425667
78602,0,[MASK]行。英语太烂，说不明白啊。[抓狂],11.717841,6.156875
677,1,[MASK]行。[抱抱] 收藏，下班的时间看,9.857642,5.185883
76315,0,[MASK]行。南方的小伙伴们，保重！[衰],9.562537,3.3596447
67304,0,[MASK]行。唉，又一轮轰炸即将开始[衰],9.95509,3.7482712
44036,1,[MASK]行。吼吼吼，怎么又回来了[鼓掌],10.879199,4.705155
9733,1,[MASK]行。今天早餐从简[偷笑][嘻嘻],9.043126,4.9472194
27440,1,[MASK]行。真滴哇~~好啊好啊！[亲亲],8.994488,5.3692474
2178,1,[MASK]行。带着葡萄酒去蹭饭，[哈哈]。,9.990122,5.2886043
49100,1,[MASK]行。晚餐时间到！自己煮的[爱你],9.866044,5.358239
69009,0,[MASK]行。//@Gummi_S:[泪],9.239181,3.952152
3699,1,[MASK]行。大家多多帮黑哥投票哈[鼓掌],10.105242,4.8985753
36275,1,[MASK]行。陕西八大怪，面条想裤袋[哈哈],9.604697,4.552797
74734,0,[MASK]行。有才！唉……[衰][衰][衰],8.567749,5.843061
10024,1,[MASK]行。又一位收到材料的同学[鼓掌],9.391795,4.577818
13954,1,[MASK]行。今天是全国电视屏保日[嘻嘻],9.886985,4.231805
9691,1,[MASK]行。多增加几款好酒才素王道[哈哈],10.26337,4.6130314
48990,1,[MASK]行。再奋斗一天[哈哈]，度长假。,10.475764,4.549581
2741,1,[MASK]行。这就是传说中的落水狗。[哈哈],10.330034,5.3058877
76712,0,[MASK]行。号称几十万的沙发[晕][晕],10.822906,5.867996
35080,1,[MASK]行。这是你哥？为毛这么像？[哈哈],9.981939,4.607543
41502,1,[MASK]行。偶下班啦！打卡，回家！[嘻嘻],9.983206,4.6916547
65053,0,[MASK]行。看看我的红皮箱[泪]好可怜哦！,10.997256,5.4461393
93676,0,[MASK]行。没检查到作业，百爪挠心啊[泪],11.080302,5.0341043
11655,1,[MASK]行。[围观]中秋快乐哦。[哈哈],9.030733,4.666925
114061,0,[MASK]行。[心][话筒][话筒][泪],8.438653,3.998836
58008,0,[MASK]行。林子大了，什么鸟都有。[怒],10.312542,4.918247
40101,1,[MASK]行。[哈哈]//@韩松落: +1,10.056365,4.707532
90836,0,[MASK]行。堵车堵死了，彻底的迟到了[泪],9.96795,4.217703
18137,1,[MASK]行。下午茶时间到[太开心]降降火,8.926436,4.016099
113902,0,[MASK]行。结果我没下来，你下来了[衰],10.0000305,5.3248453
100680,0,[MASK]行。//@北京熊麦宠物医院:[泪],10.3420725,5.202935
35326,1,[MASK]行。送个艺龙旅行梦想吧！[哈哈],8.133538,3.919838
3527,1,[MASK]行。花粉们，可以试一下哦~[嘻嘻],10.774446,6.4337144
12398,1,[MASK]行。加油[爱你][嘻嘻][嘻嘻],9.224319,5.448878
61181,0,[MASK]行。帮转！[泪][晕] 闹心的事?,8.245468,3.9085445
25838,1,[MASK]行。亲亲客气了哈~喜欢就好[爱你],10.034392,4.6747317
94418,0,[MASK]行。看到了中国足球的春天了[泪],9.595484,5.208419
14036,1,[MASK]行。[鼓掌]//@毛丹青: 扩散,9.409771,3.8899164
29246,1,[MASK]行。哈哈。缘分啊！激动啊！[哈哈],8.551227,5.726612
55695,0,[MASK]行。//@看历史: [泪] [泪],9.364984,4.412286
84988,0,[MASK]行。[衰]//@申格体育:[吃惊],10.362058,5.347048
32493,1,[MASK]行。完满人生[good][鼓掌],7.546923,3.87739
9214,1,[MASK]行。欢迎欢迎！！！[挤眼][鼓掌],7.487648,4.6629744
28188,1,[MASK]行。罗切斯特，等着我来！[爱你],9.2939415,4.279883
76875,0,[MASK]行。刚打完，基本上都是被说[衰],11.028913,5.3069634
477,1,[MASK]行。转！[哈哈][哈哈][哈哈],8.946239,4.5115476
57770,0,[MASK]行。在移动MM呆不住啦[汗][晕],10.492996,4.943535
62059,0,[MASK]行。大连你怎么了，重度污染[怒],10.629154,4.4274187
69533,0,[MASK]行。刚看完[抓狂]，超想去唱K的,10.812301,5.3070393
938,1,[MASK]行。红T恤的爷爷真年轻！[哈哈],10.189047,5.107417
69844,0,[MASK]行。//@un-wong: [衰],8.603173,3.4466403
94290,0,[MASK]行。gonna crazy[抓狂],9.184696,4.7968745
4435,1,[MASK]行。快来喝蜂蜜柚子茶吧。[太开心],11.154328,5.941879
78963,0,[MASK]行。海马！斯密达！[泪]悲催鸟！,8.380216,3.2230353
83649,0,[MASK]行。接下来好几天都很冷。[悲伤],12.141316,6.0208077
26008,1,[MASK]行。//@大阪旅游微博: [鼓掌],7.324331,4.477878
34157,1,[MASK]行。人群定位，与属性特征[嘻嘻],7.360852,2.4183795
113976,0,[MASK]行。都几点了，还没吃上饭饭[晕],11.719482,6.25275
