,labels,text,neg_logits,pos_logits
30574,0,[MASK]可以！怀疑是假货，洗发后感觉很不好,12.422366,8.735555
7598,1,[MASK]可以！手机质量很好哎，就是没有送礼品,9.711342,9.292933
43849,0,[MASK]可以！有差异的产品，下次不会选购了,10.78528,7.0534353
10361,0,[MASK]可以！东西搭配了一堆没用的，给差评,10.6877775,7.4372454
3099,1,[MASK]可以！一般般 会有卡顿 看电影还行,9.752917,7.3771667
28438,1,[MASK]可以！不错很满意，物流小哥很给力。,8.138148,10.826107
34577,0,[MASK]可以！京东的配送就这样吗？真是失望,12.667629,7.552876
12015,0,[MASK]可以！非常不满意，大型游戏根本玩不了,12.087065,8.073529
31819,0,[MASK]可以！垃圾京东，收钱不发货，趁早倒闭,11.996875,6.7446003
42623,1,[MASK]可以！衣服面料很舒服，柔软，大小合适,9.563194,9.094495
43428,0,[MASK]可以！哎与图片差距太大真心接受不了,10.821194,6.7714386
38964,1,[MASK]可以！面料很好，款式时尚 穿上很舒服,9.530005,10.045108
32231,0,[MASK]可以！洗发水不正宗的，洗完头皮屑很多,14.119013,8.256783
17545,1,[MASK]可以！京东商城的商品实惠，继续支持！,10.243263,8.316763
36576,1,[MASK]可以！蒙牛出香蕉奶啦 味道还不错哦,9.916674,7.956598
6653,1,[MASK]可以！快递速度很快，平板用了还不错。,8.649111,10.250398
39896,1,[MASK]可以！大小合适，有弹力，辉常满意！,7.992598,8.382921
38971,1,[MASK]可以！刚收到货，很好，物超所值！！,9.253434,9.947505
41286,1,[MASK]可以！穿上变得特别帅，怎么呢？嘻嘻。,9.642785,7.577556
29583,1,[MASK]可以！超值值得购买！便宜实惠真的很好,9.665377,8.923179
12956,0,[MASK]可以！不咋好，显示不清楚，想贴膜的,10.017265,7.4719872
31712,0,[MASK]可以！不好，这么贵还不好，我也是醉了,11.062336,7.138885
31680,0,[MASK]可以！啥时候到啊下单好几天了还没到?,10.04941,5.9350085
60362,0,[MASK]可以！很一般，价格不高，但设备差！,10.052798,9.784603
45785,0,[MASK]可以！没穿几次就破2个洞，做工不好。,12.95461,8.410763
30820,0,[MASK]可以！被坑了，不好用，只能给一星?,10.624827,6.738258
10933,0,[MASK]可以！送货师傅不错，平板质量一般般,9.543428,9.635976
40218,1,[MASK]可以！穿上很舒服，面料不错，蛮好的,8.848049,10.46244
36597,1,[MASK]可以！蒙牛滴。。。口感醇厚，不错～,8.616122,8.123579
47403,0,[MASK]可以！衣服不行 ！！！ 快递也不给力,10.613415,5.679504
42213,1,[MASK]可以！质量好，做工精细。非常满意！,8.379828,10.098464
31785,0,[MASK]可以！不好用，味道太浓，不适合男人,13.438451,7.844551
46015,0,[MASK]可以！质量没有想像的那么好，不要上当,10.525132,7.4317017
42170,1,[MASK]可以！款式新颖，又合身，孩子很喜欢,8.98192,9.64195
43150,0,[MASK]可以！欺骗消费者！！！严重不符！！！,12.494948,7.4167924
45415,0,[MASK]可以！商品没图上的好看，面料也不多好,11.498238,8.126343
30230,1,[MASK]可以！价格实惠，服务好，东西不错。,9.045178,9.839954
47927,0,[MASK]可以！没收到商品，一个月了，差劲。,11.01007,8.045529
30018,1,[MASK]可以！好，不错，得蛮多的，划算，喜欢,7.784216,7.163525
26817,1,[MASK]可以！到货好快。服务好！东西满意！,7.697513,9.67639
5006,1,[MASK]可以！手机不错，屏大清晰，速度快。,8.839214,9.028775
44936,0,[MASK]可以！洗了掉色特严重，很硬，还没穿,11.453174,8.481215
16856,1,[MASK]可以！还味吃，现在觉得苹果越来越甜了,9.363157,8.349517
3845,1,[MASK]可以！不错 很喜欢 华为平板666,8.862511,9.430041
28242,1,[MASK]可以！洗发水好用，洗过头发很清爽…,10.083953,8.537343
42123,1,[MASK]可以！可以 比较满意 穿了再来评价,8.60105,7.9036465
34621,0,[MASK]可以！有一瓶盖子烂了，流的到处都是。,11.569136,7.775245
33650,0,[MASK]可以！使用一般，和国货区别不是很大！,9.273201,8.694653
5554,1,[MASK]可以！好好的一个好的自己选的好好好货,9.564197,7.3385434
30937,0,[MASK]可以！说好的吹风机在哪！太垃圾了！,11.969138,7.323907
60557,0,[MASK]可以！服务很一般，设施和装修也不好。,12.621386,9.894609
46810,0,[MASK]可以！真的和网上看的差别真大，好垃圾,11.903627,7.6505365
25754,1,[MASK]可以！看着还可以，小的赠送旅行装不错,8.452674,9.058547
43705,0,[MASK]可以！物流太慢太慢，衣服不怎么样，,12.66405,8.021189
18630,1,[MASK]可以！个头小但很甜，用来做早餐正好。,8.738779,9.340588
41784,1,[MASK]可以！商品不错，物超所值。真实体验。,9.260586,8.837877
45106,0,[MASK]可以！非常一般，不推荐，不要贪便宜,10.329221,8.175443
31546,0,[MASK]可以！昨天收到今天就降价，太过分了！,12.484195,7.546621
43624,0,[MASK]可以！有股刺鼻的味道，还特别脏，差评,12.223087,8.814715
10107,0,[MASK]可以！差评，保护壳都没有，5星差评！,11.828115,8.615112
32824,0,[MASK]可以！不好用，不适合我的发质，起头屑,13.067563,8.475394
4883,1,[MASK]可以！不错物流给力，值得信赖，正品，,8.475965,9.484427
31305,0,[MASK]可以！发来就破了。。懒得跟客服叨叨了,10.144992,5.9125085
17539,1,[MASK]可以！性价比真他们高。。。。够味还脆,9.092384,7.760712
3991,1,[MASK]可以！不错，给妈妈玩游戏用的，很喜欢,8.020266,9.426171
35438,1,[MASK]可以！安装好了，还没用，感觉挺好的,10.100588,8.419371
10959,0,[MASK]可以！骗子。垃圾货。收到的卡装不了,12.514029,7.370142
38859,1,[MASK]可以！衣服挺好的，我一下子买了两件,9.838842,8.833414
33344,0,[MASK]可以！还品牌垃圾要死，越洗越多头屑。,12.274813,7.57443
11811,0,[MASK]可以！不好买来好后悔玩游戏好卡差评。,10.205894,7.757738
26497,1,[MASK]可以！一如既往的快，态度好，日期新。,8.571111,7.264955
39505,1,[MASK]可以！裤子面料不错的 版型很喜欢啊,9.2738695,9.086476
34065,0,[MASK]可以！买了很多次，这次的是假货，失望,11.22955,8.425032
57426,0,[MASK]可以！服务不好。乱收费，非常不满意！,11.718522,9.595079
10211,0,[MASK]可以！cpu太差 一点都不流畅 亏了,11.332116,7.507434
6071,1,[MASK]可以！真正好PAD，学英语不用愁啦,8.421437,6.5818415
46500,0,[MASK]可以！网上买几次都是烂货，不能相信。,13.173694,7.578199
39929,1,[MASK]可以！裤子的质量真的不错，值得表扬！,9.623725,9.2473755
47506,0,[MASK]可以！穿了一次，扔了，好还是不好？,11.303647,7.0581403
6287,1,[MASK]可以！屏幕够大，上手容易，物流很快。,8.675098,9.185376
39475,1,[MASK]可以！买回来很合适，老公很喜欢。。。,9.288823,9.2793045
38335,1,[MASK]可以！质量非常不错，穿起来很舒服。,8.936451,10.473137
32710,0,[MASK]可以！就是好难受看到你日目的地后的吧,9.570615,6.9769015
7812,1,[MASK]可以！帮朋友买的，反馈信息还不错?。,8.929341,9.071022
33424,0,[MASK]可以！快递丢失 不处理 没有维权渠道,13.685159,7.5112424
39217,1,[MASK]可以！很不错哦，我又要在买多一条了,9.099256,9.111056
35260,0,[MASK]可以！这个商标都掉了，可能是二手货吧,12.178182,7.989682
19076,1,[MASK]可以！苹果包装完好，吃起来香甜可口！,10.1080065,8.819349
58781,0,[MASK]可以！酒店很旧，设施陈旧！花洒漏水,13.871619,8.669856
10412,0,[MASK]可以！卡出翔，到底是不是3G运行？,11.683972,6.714537
46154,0,[MASK]可以！物流太慢了，就凭这一条给你零分,12.002669,6.7237267
34631,0,[MASK]可以！非常无语，包装是裸的，没有塑封,11.912847,7.441099
57024,0,[MASK]可以！所有的房间里的设施不是很齐全！,13.46485,8.083341
42499,1,[MASK]可以！不错，穿上很舒服，面料也不错,8.218904,9.768127
47937,0,[MASK]可以！不满意，色差太大！做工一般！！,9.60522,9.297032
18689,1,[MASK]可以！苹果不错！很新鲜！到货也很快！,8.831885,10.32092
47073,0,[MASK]可以！洗一次线全扯掉了，做工非常粗糙,12.237322,8.733074
14578,0,[MASK]可以！功能可以，但表面出现掉漆现象,11.447378,6.6554337
33936,0,[MASK]可以！送来都爆开了，包装能用点心吗？,11.531611,6.7922473
46214,0,[MASK]可以！大小不标准 垃圾货下次去桃宝买,10.717051,7.145561
18541,1,[MASK]可以！统一大小，味道一般，包装很好。,9.027902,9.325635
6147,1,[MASK]可以！东西不错，真的很喜欢很喜欢。,8.795647,8.777682
35038,0,[MASK]可以！一点都不好，，，洗了很痒，差评,12.120226,8.096407
21809,0,[MASK]可以！包装不错，口号不太好，很硬不甜,9.749966,9.153892
47351,0,[MASK]可以！太差了，以后不会买了，懒得退,10.934092,8.020478
11255,0,[MASK]可以！分辨率太低了，看着模糊，后悔了,11.639106,7.566471
6495,1,[MASK]可以！我这个是给妈妈买的，她很喜欢,10.396622,8.534176
27960,1,[MASK]可以！还行吧，感觉可以满意。好评！,8.114682,8.999677
59784,0,[MASK]可以！凑合吧，旺季也不便宜，隔音太差,9.577612,6.9788723
30190,1,[MASK]可以！比超市便宜，还方便，省的逛超市,9.519801,8.308604
41065,1,[MASK]可以！一直喜欢的牌子，好好好好好……,9.331469,8.046965
12495,0,[MASK]可以！不好不好不好，真的不好，上当,12.007606,7.2968955
4490,1,[MASK]可以！刚拿到还没用还知道功能什么样,10.280177,8.309906
37775,0,[MASK]可以！你让我这个蒙牛脑残粉情何以堪？,11.542078,5.7738123
18639,1,[MASK]可以！苹果个小点，颜色一般吃着还行。,9.953995,8.528776
6522,1,[MASK]可以！不错很好，京东快递给力棒棒哒,8.459365,9.867453
45361,0,[MASK]可以！穿了两次，而且面料粗糙，易脏,12.721551,8.660889
23149,0,[MASK]可以！心好几个发黑的。潘石译太差了！,9.778758,7.3453135
45269,0,[MASK]可以！号码偏小，是棉的，颜色也还可以,8.849414,8.291578
45110,0,[MASK]可以！不好，有味非常刺鼻，而且还慢！,10.874384,7.8810186
36596,1,[MASK]可以！果断的支持下，还是蒙牛厉害啊,10.662959,7.405996
34714,0,[MASK]可以！京东客服很垃圾，购买商品注意,13.241074,8.517008
