,labels,text,neg_logits,pos_logits
23455,0,[MASK]喜欢！第二部就不该拍竟然还出第三部,11.437205,10.4052105
37994,1,[MASK]喜欢！局气！规矩！管虎导了俩影帝了！,10.023022,9.756345
45474,0,[MASK]喜欢！前半段真好看，后半段越来越萎,9.670682,11.148386
37018,0,[MASK]喜欢！前面的剧情看得我尴尬癌都犯了,9.978296,10.477042
39152,0,[MASK]喜欢！混乱的情节，特么矫情无下限。,10.708059,9.763031
4952,0,[MASK]喜欢！适合能静得下心和有故事的人。,9.348014,11.616404
49922,1,[MASK]喜欢！最是人间留不住朱颜辞镜花辞树,9.342199,11.021822
18895,1,[MASK]喜欢！超级治愈又感人，狗狗真的好暖心,8.322607,11.927248
16855,0,[MASK]喜欢！密室设定很有意思，可惜未能维持,9.348504,12.215197
33344,1,[MASK]喜欢！原来巴萨的德国馆还有这个用处,10.164994,11.830241
43014,1,[MASK]喜欢！丫丫真的太美了，前夫哥好可爱,9.16969,11.281966
30945,0,[MASK]喜欢！烂的一逼，啥都没有，狗屁不通。,10.926113,9.046107
11202,1,[MASK]喜欢！这个玛丽苏我喜欢很好看求续集,8.738263,12.312071
43097,1,[MASK]喜欢！看了点映，好多戳中我泪点??,8.8216095,10.700751
7229,0,[MASK]喜欢！郑恺和郭采洁还挺有cp感的。,9.965775,11.627825
46824,0,[MASK]喜欢！民乐要靠二次元来拯救了嘛……,9.701776,10.121638
44791,1,[MASK]喜欢！反正我追完了，为了女主的颜值,9.970216,9.72236
40750,0,[MASK]喜欢！我朋友说，她尴尬得想原地去世。,10.392676,9.710941
24357,0,[MASK]喜欢！今年作品太多了，有点透支了。,9.8426485,11.1293
12065,0,[MASK]喜欢！我是真的觉得孙悟空的扮相太丑了,11.868815,10.427834
44782,1,[MASK]喜欢！还可以吧……感觉题材还算新颖,10.205733,11.772607
11314,0,[MASK]喜欢！看完情圣来评评这部这部比情圣好,9.925588,11.223947
19047,1,[MASK]喜欢！它令我想起曾经怦然心动的轻吻,8.226756,10.784672
45899,0,[MASK]喜欢！发哥抄着烂片专业户就去了。。。,10.174187,9.026174
14214,0,[MASK]喜欢！第一集演得什么玩意儿，尴尬死了,10.793998,10.632802
31414,1,[MASK]喜欢！热热闹闹的，看得我好开心啊。,9.165166,10.7860155
25276,0,[MASK]喜欢！煽情煽成了MV，大家都笑了。,8.961127,11.13364
47776,1,[MASK]喜欢！最喜欢的科幻故事，很成功的改编,8.4480715,12.266888
45012,1,[MASK]喜欢！还算可以哦，故事讲的挺精彩！,9.589449,12.243541
49786,0,[MASK]喜欢！被黑天鹅惊艳到了！美轮美奂！,9.282998,11.849263
11029,0,[MASK]喜欢！到底在演什麼啊？？大爛片！！！,9.628057,9.273314
30704,1,[MASK]喜欢！卧槽我竟然看过啊啊啊啊啊啊啊,9.94563,10.98556
3121,1,[MASK]喜欢！你无车无楼无番狗做乜要拖我手,9.506047,8.267941
9512,0,[MASK]喜欢！最弱版劳拉了吧？太弱了太无聊了,10.326754,10.424632
15976,0,[MASK]喜欢！重拍经典，孩子对恐惧的克服。,9.300271,10.827982
26862,1,[MASK]喜欢！太好看了！笑得我内分泌失调！,8.943905,11.762117
30395,0,[MASK]喜欢！本来两星，加一星给受罪的演员吧,10.47327,10.075548
22972,0,[MASK]喜欢！《星际特工：全宇宙看我们尬爱》,9.263956,11.313562
30570,0,[MASK]喜欢！特效不错啊，但剧情就大简单了,10.465103,11.902303
20588,0,[MASK]喜欢！气氛到位，演员不存，故事简单！,9.072744,12.133876
13869,0,[MASK]喜欢！看的点映，形式“精致”的大烂片,10.64982,10.099299
24216,1,[MASK]喜欢！最后居然没搞你们还是人吗？？？,10.438112,9.116011
32991,0,[MASK]喜欢！平淡真实不温不火我没懂哭点在哪,10.279696,9.858128
1732,1,[MASK]喜欢！其实伍迪哈里森演的是一个天使,10.187426,11.6512165
4472,1,[MASK]喜欢！陈可辛拍商业文艺片真的不错~~,9.95733,11.780299
33439,0,[MASK]喜欢！泡泡妹子打打架，兄弟情在哪？,9.339615,10.78125
11847,0,[MASK]喜欢！一部非常尬的电影。不推荐观看。,11.141379,12.596276
16369,0,[MASK]喜欢！张艺谋式的漂亮画面，何必3D。,10.197946,10.501553
31321,0,"[MASK]喜欢！我不信你们没东西怼地雷啊=""=",10.311113,9.037417
18949,1,[MASK]喜欢！少男少女必看，爱与美的启蒙。,8.800037,11.701405
32102,1,[MASK]喜欢！迪斯尼的动画很赞，配乐很好听！,9.391989,13.363691
9630,1,[MASK]喜欢！喜欢坎妹素颜的劳拉，期待后续。,9.082356,10.231675
