,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,15.79219981726265
48250,1,爱上江西，没有理由！[哈哈],5.738122662119547
100168,0,计划赶不上变化[抓狂][泪],4.209898286002869
22319,1,芭其乐，大嘴快乐的家伙[爱你],46.828522409982234
70122,0,传统已逝??????[抓狂],12.5817785772219
6338,1,谢谢哈! 欢迎常来![鼓掌],8.64274716948107
20081,1,胖子手感好啊！[鼓掌][爱你],6.9512420692315136
23064,1,生快！[干杯][蛋糕][鼓掌],14.382455235157337
84060,0,居然把我干儿子装脸盆里！[怒],22.15634799251292
93871,0,三哥总是这么的让人惊喜[晕],18.36667633319668
104161,0,此刻后：ko了... [晕],56.50438955923956
40416,1,[害羞][哈哈]@魔王1987,18.376323301347554
15376,1,随手拍祝大家周末愉快！[爱你],5.7196598555061255
10199,1,是滴，美女。欢迎哦！[可爱],21.173992455617647
71224,0,偷贡品。不怕报应啊？。[衰],59.29228482410222
12238,1,[哈哈] //@独眼u:哈哈哈,12.071907509789218
77537,0,求二手智能手机。。。[抓狂],7.802494729336805
55063,1,是帮你挡酒的男的么？[嘻嘻],9.005846248280205
21548,1,原来很多国家都免签![哈哈],5.354244392275644
38076,1,百变大咖秀真的很快乐[哈哈],5.080206852247109
84198,0,[泪]//@那木错:[微风],59.28758543631294
27872,1,哈哈，强大[鼓掌][good],14.446675280546687
48051,1,眼睛一眨，美妞变辣妈！[哈哈],5.377735808427215
18029,1,祝大家十一小长假快乐[太开心],3.0238264477205306
115177,0,[泪] //@袁腾飞:[泪],12.237429281717414
114619,0,可怜的风扇[泪] 我要等正版！,17.600750147938207
64870,0,固执的大叔这场又好危险[失望],17.745999560218
74958,0,办公室都是孩儿他娘！！！[怒],22.726893099358563
77734,0,//@地狱中的八尾猫: [衰],24.1414949871557
51580,1,财神到我手?[偷笑][鼓掌],14.5505651341258
54352,1,爱吃牛排的童鞋举个手~[爱你],4.67364935861555
8324,1,开始喽，看起来吧！！[鼓掌],12.391515510434838
106626,0,受伤，是个超级不好的消息[衰],6.305627562897193
15031,1,[哈哈][哈哈]收费大调查。。,7.50809136585876
8249,1,用美食向大家说早安~[嘻嘻],6.669978146726985
59782,0,愚人节的游戏，银行也玩呀[衰],8.381866697379504
110113,0,[衰]弄破了，基本上不会复原！,13.63059668838927
11405,1,哈，回忆录写到哪了？[嘻嘻],9.810585739946006
81138,0,书人搬家，其实就是搬书[晕],19.16107831928523
14831,1,《时尚旅游》也玩街拍了[哈哈],4.702451725481704
51446,1,阿姨做的菜相当好吃呢[爱你],4.434864369819312
73965,0,Facebook 还在跌[晕],56.25139132682085
101129,0,[抓狂] 你是在哪里腐败~~~,10.707251261597616
104892,0,男人动手…[怒][怒][怒],9.018035176708873
66040,0,我在这里：#闸北区#吃饭[泪],16.665206368789377
87632,0,难得休息的，竟然感冒了[泪],5.99406422807692
96063,0,知道得太晚了，遗憾！[失望],3.864195367593419
81716,0,社会败坏的典型!?救了[衰],24.541746752312662
92195,0,姐，我给你跪下了，这才气[晕],14.695324949256358
95696,0,[泪]同意，让他们变成海豹!!,8.715747510275797
19351,1,//@好色小湿妹: [哈哈],17.104701796254407
41680,1,我觉得总结的很好，喜欢[鼓掌],3.155911771645704
21865,1,斯坦福正门左侧草坪。[嘻嘻],6.9736912020418504
2453,1,[嘻嘻]重口味爱好者的福音来咯,4.817081470168756
48755,1,转给来北京玩的童鞋们[可爱],5.690683585774117
53195,1,偷偷发张我师父的照片[哈哈],6.081827776762303
12712,1,好样的！[嘻嘻]你家就你牛！,19.132767381071996
94030,0,早知道找你买了还能越狱[抓狂],18.55988512118094
40934,1,我上班能穿成这样吗？[嘻嘻],4.260486115085897
11905,1,[哈哈][哈哈][哈哈]翔子,5.173923934832048
56807,0,还有这么不要脸的[怒] 扩散,11.60754512931718
63131,0,最近压力让我头痛 [衰][晕],11.069669642107348
29589,1,@兔子奶奶熊的娘 还有[哈哈],26.081951863934727
101122,0,堵塞，不动！我快哭了！[泪],12.15876829453705
75355,0,下辈子该她被扔下去！！！[怒],29.341441652002505
70889,0,现在的快递啊，真心桑不起[泪],10.193463529350339
93899,0,我也有中奖的时候啊[泪][泪],2.381509140972367
7932,1,[哈哈]//@大藏布:[哈哈],16.669406669425058
4819,1,有趣的“悲剧”设计！[哈哈],4.132151888605964
112114,0,有把脚崴了。。。 大馒头[泪],33.34479920393716
9343,1,这透视，照成小短腿儿了[哈哈],20.566536779348116
86440,0,下冰雹了，我怎么回家呀[泪],8.299825292001685
82229,0,我也是男人//@???：[泪],10.416754643362886
34841,1,[鼓掌][鼓掌]期待精彩呈现,2.487139671342521
106204,0,[泪]同求 粉待亲粉待亲呀！,22.994514696588194
63072,0,回去换身衣服准备第三场[抓狂],9.373272360785608
108363,0,狗狗是人类最忠实的朋友！[泪],2.9965484924243233
51324,1,[太开心] 过500了~ ?~,21.694050785158556
48652,1,家庭聚会，愉快的周末！[爱你],5.617007712469553
50046,1,这么有意境的菜~~~[哈哈],7.032505773789903
69366,0,我滴亲丸子啊[泪][泪][泪],19.09630772788107
18022,1,//@电商报: 啊~~[哈哈],12.427401143585309
11792,1,谢谢喜欢我家的玛克丽[哈哈],8.0609499961039
51645,1,我发现我就是来发微博滴[可爱],6.064533096557627
75967,0,见过好多，就是学不来啊[衰],14.134693257959086
55553,0,操，你他妈干的是人事嘛[怒],20.264110992760394
63799,0,我好像午饭忘吃了。。。[晕],10.595105035445927
2403,1,生日快乐，美女快乐哦~[嘻嘻],3.655904620286086
87818,0,[鄙视]//@钱文忠: [泪],22.009345029774323
42197,1,[good]我要好吃的[亲亲],19.040808709520118
2716,1,享受生活的乐趣[哈哈][?力],6.253391273681955
114496,0,我又错过了[衰]对不起唐老师了,7.887435281661531
39216,1,我的 剧照 ，?点咪[哈哈],71.78100672031408
78602,0,英语太烂，说不明白啊。[抓狂],5.44727010250185
677,1,[抱抱] 收藏，下班的时间看,12.401606218626174
76315,0,南方的小伙伴们，保重！[衰],10.868372506134385
67304,0,唉，又一轮轰炸即将开始[衰],6.1023450602394105
44036,1,吼吼吼，怎么又回来了[鼓掌],5.989922586046895
9733,1,今天早餐从简[偷笑][嘻嘻],13.003213933661344
27440,1,真滴哇~~好啊好啊！[亲亲],16.83647579538349
2178,1,带着葡萄酒去蹭饭，[哈哈]。,4.458037685294358
49100,1,晚餐时间到！自己煮的[爱你],9.42527742083698
69009,0,//@Gummi_S:[泪],18.47294422910447
3699,1,大家多多帮黑哥投票哈[鼓掌],10.948751497983428
36275,1,陕西八大怪，面条想裤袋[哈哈],37.327181307383356
74734,0,有才！唉……[衰][衰][衰],5.458224941317915
10024,1,又一位收到材料的同学[鼓掌],3.5814260949074503
13954,1,今天是全国电视屏保日[嘻嘻],6.49776659484433
9691,1,多增加几款好酒才素王道[哈哈],14.746924163474388
48990,1,再奋斗一天[哈哈]，度长假。,6.622518837313578
2741,1,这就是传说中的落水狗。[哈哈],3.850729196298568
76712,0,号称几十万的沙发[晕][晕],5.44173914686877
35080,1,这是你哥？为毛这么像？[哈哈],9.201711752126032
41502,1,偶下班啦！打卡，回家！[嘻嘻],8.559285116143835
65053,0,看看我的红皮箱[泪]好可怜哦！,13.150424478990805
93676,0,没检查到作业，百爪挠心啊[泪],52.40664887069824
11655,1,[围观]中秋快乐哦。[哈哈],3.0508705584982847
114061,0,[心][话筒][话筒][泪],6.149216237831219
58008,0,林子大了，什么鸟都有。[怒],4.501567725845932
40101,1,[哈哈]//@韩松落: +1,21.353544770498097
90836,0,堵车堵死了，彻底的迟到了[泪],6.84011432526319
18137,1,下午茶时间到[太开心]降降火,39.83440454760624
113902,0,结果我没下来，你下来了[衰],5.251821486814985
100680,0,//@北京熊麦宠物医院:[泪],17.690304542033203
35326,1,送个艺龙旅行梦想吧！[哈哈],20.27119630900549
3527,1,花粉们，可以试一下哦~[嘻嘻],9.456546468649602
12398,1,加油[爱你][嘻嘻][嘻嘻],3.9799715160154343
61181,0,帮转！[泪][晕] 闹心的事?,63.72201257283403
25838,1,亲亲客气了哈~喜欢就好[爱你],18.27183157387665
94418,0,看到了中国足球的春天了[泪],3.681407467907144
