,labels,text
104562,0,中午不睡，下午崩溃…… [晕]
82777,0,[泪] //@耿嘉晨：还真是
48250,1,爱上江西，没有理由！[哈哈]
100168,0,计划赶不上变化[抓狂][泪]
22319,1,芭其乐，大嘴快乐的家伙[爱你]
70122,0,传统已逝??????[抓狂]
6338,1,谢谢哈! 欢迎常来![鼓掌]
20081,1,胖子手感好啊！[鼓掌][爱你]
23064,1,生快！[干杯][蛋糕][鼓掌]
84060,0,居然把我干儿子装脸盆里！[怒]
93871,0,三哥总是这么的让人惊喜[晕]
104161,0,此刻后：ko了... [晕]
40416,1,[害羞][哈哈]@魔王1987
15376,1,随手拍祝大家周末愉快！[爱你]
10199,1,是滴，美女。欢迎哦！[可爱]
71224,0,偷贡品。不怕报应啊？。[衰]
12238,1,[哈哈] //@独眼u:哈哈哈
77537,0,求二手智能手机。。。[抓狂]
55063,1,是帮你挡酒的男的么？[嘻嘻]
21548,1,原来很多国家都免签![哈哈]
38076,1,百变大咖秀真的很快乐[哈哈]
84198,0,[泪]//@那木错:[微风]
27872,1,哈哈，强大[鼓掌][good]
45772,1,回家睡觉，晚安各位！[嘻嘻]
48051,1,眼睛一眨，美妞变辣妈！[哈哈]
18029,1,祝大家十一小长假快乐[太开心]
115177,0,[泪] //@袁腾飞:[泪]
114619,0,可怜的风扇[泪] 我要等正版！
64870,0,固执的大叔这场又好危险[失望]
74958,0,办公室都是孩儿他娘！！！[怒]
77734,0,//@地狱中的八尾猫: [衰]
51580,1,财神到我手?[偷笑][鼓掌]
54352,1,爱吃牛排的童鞋举个手~[爱你]
8324,1,开始喽，看起来吧！！[鼓掌]
106626,0,受伤，是个超级不好的消息[衰]
15031,1,[哈哈][哈哈]收费大调查。。
8249,1,用美食向大家说早安~[嘻嘻]
59782,0,愚人节的游戏，银行也玩呀[衰]
110113,0,[衰]弄破了，基本上不会复原！
11405,1,哈，回忆录写到哪了？[嘻嘻]
81138,0,书人搬家，其实就是搬书[晕]
14831,1,《时尚旅游》也玩街拍了[哈哈]
51446,1,阿姨做的菜相当好吃呢[爱你]
73965,0,Facebook 还在跌[晕]
101129,0,[抓狂] 你是在哪里腐败~~~
104892,0,男人动手…[怒][怒][怒]
66040,0,我在这里：#闸北区#吃饭[泪]
87632,0,难得休息的，竟然感冒了[泪]
96063,0,知道得太晚了，遗憾！[失望]
81716,0,社会败坏的典型!?救了[衰]
92195,0,姐，我给你跪下了，这才气[晕]
95696,0,[泪]同意，让他们变成海豹!!
19351,1,//@好色小湿妹: [哈哈]
41680,1,我觉得总结的很好，喜欢[鼓掌]
21865,1,斯坦福正门左侧草坪。[嘻嘻]
2453,1,[嘻嘻]重口味爱好者的福音来咯
48755,1,转给来北京玩的童鞋们[可爱]
53195,1,偷偷发张我师父的照片[哈哈]
12712,1,好样的！[嘻嘻]你家就你牛！
94030,0,早知道找你买了还能越狱[抓狂]
40934,1,我上班能穿成这样吗？[嘻嘻]
11905,1,[哈哈][哈哈][哈哈]翔子
56807,0,还有这么不要脸的[怒] 扩散
63131,0,最近压力让我头痛 [衰][晕]
29589,1,@兔子奶奶熊的娘 还有[哈哈]
101122,0,堵塞，不动！我快哭了！[泪]
75355,0,下辈子该她被扔下去！！！[怒]
104420,0,//@谢娜:[吃惊]肉?[泪]
70889,0,现在的快递啊，真心桑不起[泪]
93899,0,我也有中奖的时候啊[泪][泪]
7932,1,[哈哈]//@大藏布:[哈哈]
4819,1,有趣的“悲剧”设计！[哈哈]
112114,0,有把脚崴了。。。 大馒头[泪]
9343,1,这透视，照成小短腿儿了[哈哈]
86440,0,下冰雹了，我怎么回家呀[泪]
82229,0,我也是男人//@???：[泪]
34841,1,[鼓掌][鼓掌]期待精彩呈现
101511,0,[衰]//@褚达晨: 转发微博
106204,0,[泪]同求 粉待亲粉待亲呀！
63072,0,回去换身衣服准备第三场[抓狂]
108363,0,狗狗是人类最忠实的朋友！[泪]
51324,1,[太开心] 过500了~ ?~
48652,1,家庭聚会，愉快的周末！[爱你]
50046,1,这么有意境的菜~~~[哈哈]
69366,0,我滴亲丸子啊[泪][泪][泪]
18022,1,//@电商报: 啊~~[哈哈]
11792,1,谢谢喜欢我家的玛克丽[哈哈]
51645,1,我发现我就是来发微博滴[可爱]
75967,0,见过好多，就是学不来啊[衰]
55553,0,操，你他妈干的是人事嘛[怒]
78451,0,[泪] //@周宇舫:祈祷！
63799,0,我好像午饭忘吃了。。。[晕]
2403,1,生日快乐，美女快乐哦~[嘻嘻]
87818,0,[鄙视]//@钱文忠: [泪]
42197,1,[good]我要好吃的[亲亲]
2716,1,享受生活的乐趣[哈哈][?力]
114496,0,我又错过了[衰]对不起唐老师了
39216,1,我的 剧照 ，?点咪[哈哈]
28177,1,小清新的庭院[爱你][爱你]
78602,0,英语太烂，说不明白啊。[抓狂]
677,1,[抱抱] 收藏，下班的时间看
76315,0,南方的小伙伴们，保重！[衰]
67304,0,唉，又一轮轰炸即将开始[衰]
44036,1,吼吼吼，怎么又回来了[鼓掌]
9733,1,今天早餐从简[偷笑][嘻嘻]
27440,1,真滴哇~~好啊好啊！[亲亲]
2178,1,带着葡萄酒去蹭饭，[哈哈]。
49100,1,晚餐时间到！自己煮的[爱你]
69009,0,//@Gummi_S:[泪]
3699,1,大家多多帮黑哥投票哈[鼓掌]
36275,1,陕西八大怪，面条想裤袋[哈哈]
74734,0,有才！唉……[衰][衰][衰]
10024,1,又一位收到材料的同学[鼓掌]
13954,1,今天是全国电视屏保日[嘻嘻]
9691,1,多增加几款好酒才素王道[哈哈]
48990,1,再奋斗一天[哈哈]，度长假。
2741,1,这就是传说中的落水狗。[哈哈]
76712,0,号称几十万的沙发[晕][晕]
35080,1,这是你哥？为毛这么像？[哈哈]
41502,1,偶下班啦！打卡，回家！[嘻嘻]
65053,0,看看我的红皮箱[泪]好可怜哦！
65750,0,给别人添麻烦了。。[晕][晕]
93676,0,没检查到作业，百爪挠心啊[泪]
11655,1,[围观]中秋快乐哦。[哈哈]
114061,0,[心][话筒][话筒][泪]
58008,0,林子大了，什么鸟都有。[怒]
40101,1,[哈哈]//@韩松落: +1
90836,0,堵车堵死了，彻底的迟到了[泪]
18137,1,下午茶时间到[太开心]降降火
113902,0,结果我没下来，你下来了[衰]
100680,0,//@北京熊麦宠物医院:[泪]
35326,1,送个艺龙旅行梦想吧！[哈哈]
3527,1,花粉们，可以试一下哦~[嘻嘻]
12398,1,加油[爱你][嘻嘻][嘻嘻]
61181,0,帮转！[泪][晕] 闹心的事?
25838,1,亲亲客气了哈~喜欢就好[爱你]
71220,0,好冷噢，外面站了2个小时[泪]
94418,0,看到了中国足球的春天了[泪]
53593,1,回家定被妈妈打PP。[哈哈]
14036,1,[鼓掌]//@毛丹青: 扩散
29246,1,哈哈。缘分啊！激动啊！[哈哈]
55695,0,//@看历史: [泪] [泪]
84988,0,[衰]//@申格体育:[吃惊]
32493,1,完满人生[good][鼓掌]
9214,1,欢迎欢迎！！！[挤眼][鼓掌]
28188,1,罗切斯特，等着我来！[爱你]
76875,0,刚打完，基本上都是被说[衰]
477,1,转！[哈哈][哈哈][哈哈]
57770,0,在移动MM呆不住啦[汗][晕]
62059,0,大连你怎么了，重度污染[怒]
69533,0,刚看完[抓狂]，超想去唱K的
938,1,红T恤的爷爷真年轻！[哈哈]
69844,0,//@un-wong: [衰]
71964,0,[衰]我也很想把男的碎了扔马桶
94290,0,gonna crazy[抓狂]
4435,1,快来喝蜂蜜柚子茶吧。[太开心]
78963,0,海马！斯密达！[泪]悲催鸟！
83649,0,接下来好几天都很冷。[悲伤]
26008,1,//@大阪旅游微博: [鼓掌]
34157,1,人群定位，与属性特征[嘻嘻]
113976,0,都几点了，还没吃上饭饭[晕]
66831,0,攒钱攒钱，木钱去不了啊[抓狂]
97703,0,孤独滴加班者～[失望][衰]
7352,1,重金之下，必有勇夫~ [嘻嘻]
30392,1,别逼我[嘻嘻][嘻嘻][嘻嘻]
109491,0,[衰]在中转站要等8个半小时
93917,0,在中关村都迷路，OMG[衰]
18349,1,更多选择，更多欢笑！[嘻嘻]
47859,1,//@云舒兰心: @[鼓掌]
20283,1,午间休息，休息一下~[嘻嘻]
50392,1,只能是我滴妈咪撒~~[嘻嘻]
37322,1,欢迎！欢迎！北京欢迎你[嘻嘻]
4836,1,[鼓掌][鼓掌]生命在于运动！
37496,1,你俩像一对儿[偷笑][爱你]
49167,1,吃饭前要好好祷告……[哈哈]
110411,0,[衰][衰][衰]何时了啊？
92460,0,据说我家怒豆儿谈恋爱了[抓狂]
100011,0,我di........[抓狂]
41511,1,现场男女比例还真2：2[哈哈]
85365,0,#汪汪在旅途#又是摆渡车[衰]
38265,1,母子俩再次同台，乐啊。[哈哈]
113324,0,斗鸡眼//@凯撒真神：[泪]
90668,0,[衰] //@玉?城：转发微博
12480,1,恩乖乖玉照！[哈哈][哈哈]
74666,0,[怒]//@大藏布:转发微博
83987,0,成人 不应该是这样的 [泪]
103977,0,秋天快来吧，热死我了！[泪]
114341,0,粗饭！[泪]天天三餐不定时。
112502,0,打速汤圆节的存货，吃吐[抓狂]
53102,1,@vivian于小璐 [嘻嘻]
104512,0,这都多少年没拿奖了。。。[泪]
90960,0,真的好困啊 我要睡觉觉[泪]
55074,1,收拾得干干净净过年啦[嘻嘻]
5471,1,小胖子一岁生日的照片[哈哈]
84971,0,景点都去过，钱不是都有[衰]
73614,0,国家奥委会，要上诉!!![怒]
66923,0,永远是孩子？就是傻呗！[泪]
59398,0,[泪]我的间隔年。。。呜呜呜！
25194,1,//@重庆卫视星电影:[嘻嘻]
115235,0,这是摆明了不让人活啦[抓狂]
45618,1,姐19号回来！勿念！[爱你]
83584,0,[汗] //@赵金良: [衰]
81307,0,"咳嗽没好又套了一个感冒,[泪]"
41294,1,USA dreams[鼓掌]
112328,0,@和蜗牛一起散步 ~[泪]感人
88288,0,明天又要爆表了，脏乱差[抓狂]
4360,1,哎呀~ 可别得罪偶呦~[哈哈]
104502,0,羡慕出差顺带旅游的孩纸[泪]
5362,1,//@唯爱美食每刻:[哈哈]
105749,0,被噩梦惊醒，心怦怦乱跳。[泪]
96846,0,//@青岛新闻网:全中[泪]
68347,0,睡眠真差[泪][抓狂][怒]
8392,1,#舌尖上的春节#年夜饭[嘻嘻]
71196,0,我的心态确实不对!!![泪]
13629,1,哈哈，幸福指数提升喽[鼓掌]
11841,1,今年最新款[挖鼻屎][嘻嘻]
79485,0,//@洋洋_67:[晕] 哈哈
66104,0,麻痹！！一洗车就下雨！[怒]
30530,1,Holly Cow [哈哈]
80380,0,再这么下去要疯啦~~~[泪]
48537,1,光影迷离，市井人生！[鼓掌]
51634,1,午安。愿幸福与大家同在[嘻嘻]
115169,0,[泪] 这么快走了。都没看到你
113362,0,前一秒阳光，后一秒暴雨[衰]
44544,1,崇拜[爱你][爱你][爱你]
26633,1,确定、肯定以及不否定。[嘻嘻]
95361,0,哥啊.....你竟诱惑我[泪]
13701,1,过节这两天得照顾它们了[嘻嘻]
27247,1,[哈哈]本人拙作。真是惭愧哈。
49411,1,雷雨天，去哪儿？跑步！[嘻嘻]
41809,1,[哈哈]貌似我也纠结过很久……
21126,1,谢谢您! 欢迎常来哈![鼓掌]
64751,0,"有道和词霸集体变脸,好丑[泪]"
