,labels,text,neg_logits,pos_logits
82777,0,[MASK]开心。[泪] //@耿嘉晨：还真是,9.119473,11.235575
48250,1,[MASK]开心。爱上江西，没有理由！[哈哈],8.802338,10.954826
100168,0,[MASK]开心。计划赶不上变化[抓狂][泪],10.601913,10.106512
22319,1,[MASK]开心。芭其乐，大嘴快乐的家伙[爱你],6.9193096,8.908519
70122,0,[MASK]开心。传统已逝??????[抓狂],8.687659,9.754433
6338,1,[MASK]开心。谢谢哈! 欢迎常来![鼓掌],8.177416,11.681737
20081,1,[MASK]开心。胖子手感好啊！[鼓掌][爱你],8.07777,10.403738
23064,1,[MASK]开心。生快！[干杯][蛋糕][鼓掌],6.101776,8.257101
84060,0,[MASK]开心。居然把我干儿子装脸盆里！[怒],11.125305,9.527311
93871,0,[MASK]开心。三哥总是这么的让人惊喜[晕],8.594375,10.498023
104161,0,[MASK]开心。此刻后：ko了... [晕],9.0993395,10.245792
40416,1,[MASK]开心。[害羞][哈哈]@魔王1987,8.629061,10.53992
15376,1,[MASK]开心。随手拍祝大家周末愉快！[爱你],7.6579847,10.530007
10199,1,[MASK]开心。是滴，美女。欢迎哦！[可爱],7.607473,10.047387
71224,0,[MASK]开心。偷贡品。不怕报应啊？。[衰],9.95214,9.495111
12238,1,[MASK]开心。[哈哈] //@独眼u:哈哈哈,8.329529,11.113219
77537,0,[MASK]开心。求二手智能手机。。。[抓狂],10.82325,10.32293
55063,1,[MASK]开心。是帮你挡酒的男的么？[嘻嘻],9.85661,10.033205
21548,1,[MASK]开心。原来很多国家都免签![哈哈],9.073283,12.401121
38076,1,[MASK]开心。百变大咖秀真的很快乐[哈哈],7.867056,12.491003
84198,0,[MASK]开心。[泪]//@那木错:[微风],8.924883,10.234214
27872,1,[MASK]开心。哈哈，强大[鼓掌][good],7.8015585,10.935278
48051,1,[MASK]开心。眼睛一眨，美妞变辣妈！[哈哈],8.330767,10.106681
18029,1,[MASK]开心。祝大家十一小长假快乐[太开心],7.72152,10.961425
115177,0,[MASK]开心。[泪] //@袁腾飞:[泪],8.969399,10.803213
114619,0,[MASK]开心。可怜的风扇[泪] 我要等正版！,9.857785,9.904493
64870,0,[MASK]开心。固执的大叔这场又好危险[失望],10.610435,9.868883
74958,0,[MASK]开心。办公室都是孩儿他娘！！！[怒],10.866369,9.505383
77734,0,[MASK]开心。//@地狱中的八尾猫: [衰],8.6454525,10.585449
51580,1,[MASK]开心。财神到我手?[偷笑][鼓掌],7.147312,9.67038
54352,1,[MASK]开心。爱吃牛排的童鞋举个手~[爱你],7.494968,10.492329
8324,1,[MASK]开心。开始喽，看起来吧！！[鼓掌],7.1898766,9.302358
106626,0,[MASK]开心。受伤，是个超级不好的消息[衰],10.69009,11.205256
15031,1,[MASK]开心。[哈哈][哈哈]收费大调查。。,8.597505,10.528083
8249,1,[MASK]开心。用美食向大家说早安~[嘻嘻],7.0524774,11.218136
59782,0,[MASK]开心。愚人节的游戏，银行也玩呀[衰],9.61025,10.791975
110113,0,[MASK]开心。[衰]弄破了，基本上不会复原！,9.58975,11.025765
11405,1,[MASK]开心。哈，回忆录写到哪了？[嘻嘻],9.250123,11.003908
81138,0,[MASK]开心。书人搬家，其实就是搬书[晕],8.803952,10.478085
14831,1,[MASK]开心。《时尚旅游》也玩街拍了[哈哈],8.15032,11.308995
51446,1,[MASK]开心。阿姨做的菜相当好吃呢[爱你],8.0465555,11.13284
73965,0,[MASK]开心。Facebook 还在跌[晕],9.460483,10.751775
101129,0,[MASK]开心。[抓狂] 你是在哪里腐败~~~,9.57116,9.996453
104892,0,[MASK]开心。男人动手…[怒][怒][怒],10.101072,8.733101
