,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,265.82780253179953
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,48.403032548899965
768,1,味道很好！送的也很快！好吃！,22.200325878346263
2518,1,菜品好，速度快，真是太好了！,12.4512800851715
7638,0,这家店就直接没送，接单不送的店,74.95120323410856
6583,0,送餐太慢太慢了～菜品还可以～,64.31426610039918
6692,0,"下次能送早点就好啦,快饿过劲啦",148.2019804906311
484,1,"很好吃量也很大都吃不完,赞一个",99.86269008572063
11295,0,下单2个小时才送到。无语了。,18.73018649883401
2826,1,谢谢师傅，辛苦了！非常准时！,15.211459336848122
11958,0,粉很好吃，但是订了卤蛋却没有。,92.01150266882745
4074,0,"吃到一半发现菜里有小强,简直了",62.63373077768397
1568,1,米饭是硬的。。不如上一次好吃,49.65916261128084
10881,0,米饭里有一只蟑螂，让人怎么吃,27.425403368692137
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,82.5881093253296
4765,0,很慢就不说了，关键是还不好吃。,16.37449995626517
370,1,态度很好，效率很高，给十分赞,20.40461705729799
11746,0,速度慢，第一次订餐就迟到，晕,43.919065766057244
8159,0,送餐走错路，袋子还破了………,69.67322718868071
2366,1,一直买他家的香脆鸡肉披萨，喜欢,17.31375463271524
866,1,"师傅辛苦了，谢谢,下雪注意安全",26.89048816584486
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,39.74055749705576
9911,0,石锅拌饭里面吃出了塑料包装纸袋,125.17736984056626
5045,0,菜品没味道。。。周也是。。。。,121.78658410162302
1563,1,又快又好又便宜！真心给力！！！,25.910077468012595
10234,0,面时间太长了，坨了，不好吃了,27.853550340867635
29,1,"送餐非常快,态度特别好,谢谢",34.98853459581868
6442,0,"太小了,味道一般,说多了都是泪",11.90024431738906
467,1,送餐员辛苦，饭也好吃，继续购买,18.19070484364506
58,1,"送餐特别快,送餐员态度也特别好",18.16018111043118
1652,1,很快，也好，包装也好，赞赞赞,16.046181678095707
4529,0,味道还行，就是送餐太慢了……,23.79173408644241
88,1,"又快又好,小哥态度很好,好评",13.686724108256444
4524,0,"味道就那样把,盖浇饭挺难吃的",162.018740028439
3085,1,外卖小哥人超级好。。。。。。,63.019332567376686
10811,0,速度挺快的，面不好吃，都凉了,51.14163925025248
8052,0,"点两份鸡柳,就给送,一份。。。",250.48168261032427
5562,0,太慢，太小，吃不饱。味道还行,11.82839967141588
5132,0,不好吃。。。菜太少了。。。。,62.4018428412293
2537,1,配送非常快，10分钟就送到啦～,24.060228740976875
2730,1,人好速度快，好评好评好评！！,14.149827198143381
6256,0,米粉比以前份量少，没以前好了,18.99061662615086
2717,1,东西非常好，还是热的，辛苦了！,12.933465755650372
5791,0,给的豆皮果然多，只是肉变少了,274.9815951866712
434,1,很快，很好，经常订，谢谢师傅,16.933719141251476
2067,1,非常好吃，送餐很快，绝对好评,18.69542329347695
8096,0,就薯条还行！其他都不怎么样！,59.10998601001752
1952,1,味道还好。服务态度真的很好～！,11.402797368526778
6980,0,咋的跟饿了吗不一样的名，坑爹,343.19940796327666
2435,1,经常买这家的饺子，味道棒棒哒！,12.769601537401945
9055,0,没有在店里吃好吃，萝卜太多了,20.16169901378031
1653,1,除了速度有待加强，其他都不错,8.900148593870284
3654,1,没有餐具哦，还要自己点餐具么,43.17879443814796
1739,1,"服务不错,但是太难吃了啊啊啊",10.06827509924522
11045,0,面也太少了，才半盒，我就没吃饱,70.88325528689465
2626,1,非常的正宗，就是羊杂汤太咸啦,126.95327337108975
7925,0,午餐肉实在太难吃了，千万别点,12.064370269415432
5910,0,真的不适合外卖，另外，真难吃,33.660843452781656
11336,0,我的电话打不通，不知道为什么,4.660739316928293
809,1,很好，速度飞快，炸鸡有点火大,28.891966450662895
661,1,太快了！！简直是神速啊！！！,22.50800468712002
396,1,"第二次买了,挺好的,以后继续",14.045418484416418
5702,0,我备注要的粥，结果送来的是饮料,192.09221722720662
10859,0,赠送的黄飞红花生呢？没送啊！！,253.4685271311386
280,1,非常好送的很快，，，还是热的。,52.88640303137292
184,1,好好好！赞赞赞！态度好速度快！,32.54901848121617
2289,1,味道很好而且很实惠送得也很快,27.473972836491264
4775,0,包装牛逼，送餐速度……咳咳……,36.54591704650695
2711,1,"番茄醬撒了QAQ,其他nice",384.73566334862096
854,1,"粥里有头发,就没吃,剩下都好吃",102.47407909247418
5116,0,太慢了，俩小时连个解释也没有,27.831171053319295
2377,1,速度挺快的东西也挺好的给赞~,129.0449258101544
4429,0,肥肉太多吃的时候还把嘴唇拿破了,47.54010229751923
11423,0,饭菜都凉的，一个多小时才送来,45.399343989819386
