,labels,text,neg_logits,pos_logits
30574,0,[MASK]高兴！怀疑是假货，洗发后感觉很不好,11.62722,12.925543
7598,1,[MASK]高兴！手机质量很好哎，就是没有送礼品,11.565553,12.795933
43849,0,[MASK]高兴！有差异的产品，下次不会选购了,10.376353,12.51332
10361,0,[MASK]高兴！东西搭配了一堆没用的，给差评,12.240565,10.891508
3099,1,[MASK]高兴！一般般 会有卡顿 看电影还行,10.011834,11.38415
28438,1,[MASK]高兴！不错很满意，物流小哥很给力。,8.605632,13.447426
34577,0,[MASK]高兴！京东的配送就这样吗？真是失望,13.196806,11.753939
12015,0,[MASK]高兴！非常不满意，大型游戏根本玩不了,12.471354,11.766642
31819,0,[MASK]高兴！垃圾京东，收钱不发货，趁早倒闭,10.837188,11.101372
42623,1,[MASK]高兴！衣服面料很舒服，柔软，大小合适,7.9283886,13.250362
43428,0,[MASK]高兴！哎与图片差距太大真心接受不了,11.015605,10.866828
38964,1,[MASK]高兴！面料很好，款式时尚 穿上很舒服,8.136156,13.91699
32231,0,[MASK]高兴！洗发水不正宗的，洗完头皮屑很多,12.905875,11.448656
17545,1,[MASK]高兴！京东商城的商品实惠，继续支持！,6.9540377,14.404221
36576,1,[MASK]高兴！蒙牛出香蕉奶啦 味道还不错哦,7.8049073,12.575668
6653,1,[MASK]高兴！快递速度很快，平板用了还不错。,8.835209,13.288375
39896,1,[MASK]高兴！大小合适，有弹力，辉常满意！,8.0290785,13.005345
38971,1,[MASK]高兴！刚收到货，很好，物超所值！！,8.021373,14.106589
41286,1,[MASK]高兴！穿上变得特别帅，怎么呢？嘻嘻。,9.608799,12.093533
29583,1,[MASK]高兴！超值值得购买！便宜实惠真的很好,8.382811,13.515677
12956,0,[MASK]高兴！不咋好，显示不清楚，想贴膜的,11.27297,10.7629175
31712,0,[MASK]高兴！不好，这么贵还不好，我也是醉了,11.110943,9.841864
31680,0,[MASK]高兴！啥时候到啊下单好几天了还没到?,10.567997,12.109551
60362,0,[MASK]高兴！很一般，价格不高，但设备差！,11.034105,12.258075
45785,0,[MASK]高兴！没穿几次就破2个洞，做工不好。,11.697569,10.549403
30820,0,[MASK]高兴！被坑了，不好用，只能给一星?,11.182455,11.986155
10933,0,[MASK]高兴！送货师傅不错，平板质量一般般,9.863892,12.774058
40218,1,[MASK]高兴！穿上很舒服，面料不错，蛮好的,8.7904415,12.962386
36597,1,[MASK]高兴！蒙牛滴。。。口感醇厚，不错～,7.763648,11.600193
47403,0,[MASK]高兴！衣服不行 ！！！ 快递也不给力,13.132225,9.026915
42213,1,[MASK]高兴！质量好，做工精细。非常满意！,7.9626956,13.265952
31785,0,[MASK]高兴！不好用，味道太浓，不适合男人,12.13025,10.891308
46015,0,[MASK]高兴！质量没有想像的那么好，不要上当,11.222352,11.883392
42170,1,[MASK]高兴！款式新颖，又合身，孩子很喜欢,8.047409,12.563377
43150,0,[MASK]高兴！欺骗消费者！！！严重不符！！！,12.0438795,11.710312
45415,0,[MASK]高兴！商品没图上的好看，面料也不多好,12.527387,11.742873
30230,1,[MASK]高兴！价格实惠，服务好，东西不错。,8.73102,13.14024
47927,0,[MASK]高兴！没收到商品，一个月了，差劲。,11.085965,11.330029
30018,1,[MASK]高兴！好，不错，得蛮多的，划算，喜欢,8.602474,11.521487
26817,1,[MASK]高兴！到货好快。服务好！东西满意！,7.559384,13.060708
5006,1,[MASK]高兴！手机不错，屏大清晰，速度快。,8.814077,13.082806
44936,0,[MASK]高兴！洗了掉色特严重，很硬，还没穿,11.419039,12.110219
16856,1,[MASK]高兴！还味吃，现在觉得苹果越来越甜了,10.0638485,10.830791
3845,1,[MASK]高兴！不错 很喜欢 华为平板666,8.632772,13.28099
28242,1,[MASK]高兴！洗发水好用，洗过头发很清爽…,8.65408,13.050797
42123,1,[MASK]高兴！可以 比较满意 穿了再来评价,8.0239,12.865786
34621,0,[MASK]高兴！有一瓶盖子烂了，流的到处都是。,10.082881,11.212446
33650,0,[MASK]高兴！使用一般，和国货区别不是很大！,9.340065,13.390645
5554,1,[MASK]高兴！好好的一个好的自己选的好好好货,9.035151,12.487397
30937,0,[MASK]高兴！说好的吹风机在哪！太垃圾了！,12.018856,10.286716
60557,0,[MASK]高兴！服务很一般，设施和装修也不好。,12.260208,12.250262
46810,0,[MASK]高兴！真的和网上看的差别真大，好垃圾,11.298539,11.901492
25754,1,[MASK]高兴！看着还可以，小的赠送旅行装不错,9.101953,11.881958
43705,0,[MASK]高兴！物流太慢太慢，衣服不怎么样，,11.770131,11.272976
18630,1,[MASK]高兴！个头小但很甜，用来做早餐正好。,8.105983,11.788158
41784,1,[MASK]高兴！商品不错，物超所值。真实体验。,8.635436,13.087327
45106,0,[MASK]高兴！非常一般，不推荐，不要贪便宜,10.252849,12.694175
31546,0,[MASK]高兴！昨天收到今天就降价，太过分了！,12.3367815,11.888467
43624,0,[MASK]高兴！有股刺鼻的味道，还特别脏，差评,11.584149,11.114702
10107,0,[MASK]高兴！差评，保护壳都没有，5星差评！,12.739264,11.14046
32824,0,[MASK]高兴！不好用，不适合我的发质，起头屑,12.673827,11.749338
4883,1,[MASK]高兴！不错物流给力，值得信赖，正品，,8.623435,12.59098
31305,0,[MASK]高兴！发来就破了。。懒得跟客服叨叨了,9.783488,9.36895
17539,1,[MASK]高兴！性价比真他们高。。。。够味还脆,9.053792,10.869047
3991,1,[MASK]高兴！不错，给妈妈玩游戏用的，很喜欢,8.567544,12.59027
35438,1,[MASK]高兴！安装好了，还没用，感觉挺好的,10.098608,12.93598
10959,0,[MASK]高兴！骗子。垃圾货。收到的卡装不了,11.356637,11.411701
38859,1,[MASK]高兴！衣服挺好的，我一下子买了两件,9.500935,11.661347
33344,0,[MASK]高兴！还品牌垃圾要死，越洗越多头屑。,11.257428,9.462491
11811,0,[MASK]高兴！不好买来好后悔玩游戏好卡差评。,10.900584,9.683082
26497,1,[MASK]高兴！一如既往的快，态度好，日期新。,7.995748,11.821863
39505,1,[MASK]高兴！裤子面料不错的 版型很喜欢啊,8.851898,12.663641
34065,0,[MASK]高兴！买了很多次，这次的是假货，失望,10.94593,12.345823
57426,0,[MASK]高兴！服务不好。乱收费，非常不满意！,14.348045,11.315809
10211,0,[MASK]高兴！cpu太差 一点都不流畅 亏了,12.170264,11.047215
6071,1,[MASK]高兴！真正好PAD，学英语不用愁啦,7.1815367,11.866601
46500,0,[MASK]高兴！网上买几次都是烂货，不能相信。,11.888437,11.339592
39929,1,[MASK]高兴！裤子的质量真的不错，值得表扬！,8.88937,13.748165
47506,0,[MASK]高兴！穿了一次，扔了，好还是不好？,10.748114,10.613226
6287,1,[MASK]高兴！屏幕够大，上手容易，物流很快。,7.9858365,12.963613
39475,1,[MASK]高兴！买回来很合适，老公很喜欢。。。,9.236114,13.424253
38335,1,[MASK]高兴！质量非常不错，穿起来很舒服。,8.109893,13.480846
32710,0,[MASK]高兴！就是好难受看到你日目的地后的吧,10.321608,11.028121
7812,1,[MASK]高兴！帮朋友买的，反馈信息还不错?。,8.847373,12.643071
33424,0,[MASK]高兴！快递丢失 不处理 没有维权渠道,11.573144,12.851107
39217,1,[MASK]高兴！很不错哦，我又要在买多一条了,8.735381,13.053119
35260,0,[MASK]高兴！这个商标都掉了，可能是二手货吧,11.305524,12.540712
19076,1,[MASK]高兴！苹果包装完好，吃起来香甜可口！,7.3765397,12.726083
58781,0,[MASK]高兴！酒店很旧，设施陈旧！花洒漏水,11.68448,12.723757
10412,0,[MASK]高兴！卡出翔，到底是不是3G运行？,10.478785,11.666454
46154,0,[MASK]高兴！物流太慢了，就凭这一条给你零分,11.010104,11.705912
34631,0,[MASK]高兴！非常无语，包装是裸的，没有塑封,11.708002,11.57951
57024,0,[MASK]高兴！所有的房间里的设施不是很齐全！,13.0652275,12.566182
42499,1,[MASK]高兴！不错，穿上很舒服，面料也不错,8.538155,12.551794
47937,0,[MASK]高兴！不满意，色差太大！做工一般！！,13.733111,10.795644
18689,1,[MASK]高兴！苹果不错！很新鲜！到货也很快！,8.323346,14.239922
47073,0,[MASK]高兴！洗一次线全扯掉了，做工非常粗糙,11.544241,11.458931
14578,0,[MASK]高兴！功能可以，但表面出现掉漆现象,10.237981,12.525231
33936,0,[MASK]高兴！送来都爆开了，包装能用点心吗？,9.384906,10.822107
