,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,141.15251010555957
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,12.918644909266462
768,1,味道很好！送的也很快！好吃！,5.1108785155220655
2518,1,菜品好，速度快，真是太好了！,4.6809937921284
7638,0,这家店就直接没送，接单不送的店,41.016017872240774
6583,0,送餐太慢太慢了～菜品还可以～,4.5539142403533255
6692,0,"下次能送早点就好啦,快饿过劲啦",59.40544129104007
484,1,"很好吃量也很大都吃不完,赞一个",23.87753194524943
11295,0,下单2个小时才送到。无语了。,5.9240543045035965
2826,1,谢谢师傅，辛苦了！非常准时！,3.4958266520624126
11958,0,粉很好吃，但是订了卤蛋却没有。,34.94633862324784
4074,0,"吃到一半发现菜里有小强,简直了",18.395950336183915
1568,1,米饭是硬的。。不如上一次好吃,19.99940329895104
10881,0,米饭里有一只蟑螂，让人怎么吃,8.010093418337078
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,9.298987439300328
4765,0,很慢就不说了，关键是还不好吃。,19.517010378441682
370,1,态度很好，效率很高，给十分赞,5.710329102074196
11746,0,速度慢，第一次订餐就迟到，晕,10.63355605183599
8159,0,送餐走错路，袋子还破了………,15.306438789932207
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.7956234415730545
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.524511808006343
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,12.76345804991597
9911,0,石锅拌饭里面吃出了塑料包装纸袋,42.53894545506652
5045,0,菜品没味道。。。周也是。。。。,27.476989858440046
1563,1,又快又好又便宜！真心给力！！！,6.009310493752656
10234,0,面时间太长了，坨了，不好吃了,17.468109168165785
29,1,"送餐非常快,态度特别好,谢谢",3.327042619792785
6442,0,"太小了,味道一般,说多了都是泪",4.545867387770601
467,1,送餐员辛苦，饭也好吃，继续购买,5.114708408878476
58,1,"送餐特别快,送餐员态度也特别好",3.7182191575192594
1652,1,很快，也好，包装也好，赞赞赞,13.613817127845946
4529,0,味道还行，就是送餐太慢了……,3.412011622829105
88,1,"又快又好,小哥态度很好,好评",5.3601513650471135
4524,0,"味道就那样把,盖浇饭挺难吃的",52.93480636526811
3085,1,外卖小哥人超级好。。。。。。,6.753047341271366
10811,0,速度挺快的，面不好吃，都凉了,13.787226643885859
8052,0,"点两份鸡柳,就给送,一份。。。",124.91990399399246
5562,0,太慢，太小，吃不饱。味道还行,6.270012249155378
5132,0,不好吃。。。菜太少了。。。。,7.851851829241403
2537,1,配送非常快，10分钟就送到啦～,5.513780070910378
2730,1,人好速度快，好评好评好评！！,10.20293090041607
6256,0,米粉比以前份量少，没以前好了,14.321146005951862
2717,1,东西非常好，还是热的，辛苦了！,4.7074650133779805
5791,0,给的豆皮果然多，只是肉变少了,22.070518246302626
434,1,很快，很好，经常订，谢谢师傅,6.343846768454047
2067,1,非常好吃，送餐很快，绝对好评,4.562233873426421
8096,0,就薯条还行！其他都不怎么样！,13.514077554374852
1952,1,味道还好。服务态度真的很好～！,4.68915299836275
6980,0,咋的跟饿了吗不一样的名，坑爹,71.37292960014449
2435,1,经常买这家的饺子，味道棒棒哒！,5.411453900827309
9055,0,没有在店里吃好吃，萝卜太多了,5.198020372751253
1653,1,除了速度有待加强，其他都不错,2.485978791663803
3654,1,没有餐具哦，还要自己点餐具么,29.622551614030996
1739,1,"服务不错,但是太难吃了啊啊啊",5.476037415848741
11045,0,面也太少了，才半盒，我就没吃饱,19.303618961888585
2626,1,非常的正宗，就是羊杂汤太咸啦,15.067140884132614
7925,0,午餐肉实在太难吃了，千万别点,7.376128703157969
5910,0,真的不适合外卖，另外，真难吃,6.683238523105647
11336,0,我的电话打不通，不知道为什么,4.05525224558337
809,1,很好，速度飞快，炸鸡有点火大,19.272060889465443
661,1,太快了！！简直是神速啊！！！,5.819856751642002
396,1,"第二次买了,挺好的,以后继续",3.5888619588916026
5702,0,我备注要的粥，结果送来的是饮料,38.76407899300342
10859,0,赠送的黄飞红花生呢？没送啊！！,77.64995249059257
280,1,非常好送的很快，，，还是热的。,10.67019517150676
184,1,好好好！赞赞赞！态度好速度快！,3.864688654509293
2289,1,味道很好而且很实惠送得也很快,4.185121822263949
4775,0,包装牛逼，送餐速度……咳咳……,6.9709520168076695
2711,1,"番茄醬撒了QAQ,其他nice",168.14793920331954
854,1,"粥里有头发,就没吃,剩下都好吃",33.418003109393716
5116,0,太慢了，俩小时连个解释也没有,6.855020895899679
2377,1,速度挺快的东西也挺好的给赞~,10.190616066281278
4429,0,肥肉太多吃的时候还把嘴唇拿破了,8.052816538991442
11423,0,饭菜都凉的，一个多小时才送来,9.425494569527922
7151,0,地三鲜，茄子里面有很多是生的,19.306311963315082
901,1,我吃出来一个钢丝球上的一个丝,27.67714805221247
