,labels,text,neg_logits,pos_logits
82777,0,[MASK]高兴。[泪] //@耿嘉晨：还真是,9.179651,11.517373
48250,1,[MASK]高兴。爱上江西，没有理由！[哈哈],9.065247,11.676534
100168,0,[MASK]高兴。计划赶不上变化[抓狂][泪],10.789836,10.249957
22319,1,[MASK]高兴。芭其乐，大嘴快乐的家伙[爱你],7.5881996,9.663302
70122,0,[MASK]高兴。传统已逝??????[抓狂],9.448484,10.857246
6338,1,[MASK]高兴。谢谢哈! 欢迎常来![鼓掌],7.9518576,12.707115
20081,1,[MASK]高兴。胖子手感好啊！[鼓掌][爱你],7.9223733,10.82822
23064,1,[MASK]高兴。生快！[干杯][蛋糕][鼓掌],6.5715117,8.891587
84060,0,[MASK]高兴。居然把我干儿子装脸盆里！[怒],10.917568,9.55929
93871,0,[MASK]高兴。三哥总是这么的让人惊喜[晕],8.651962,10.890912
104161,0,[MASK]高兴。此刻后：ko了... [晕],8.92063,10.261405
40416,1,[MASK]高兴。[害羞][哈哈]@魔王1987,8.701078,10.852226
15376,1,[MASK]高兴。随手拍祝大家周末愉快！[爱你],7.568521,11.6819935
10199,1,[MASK]高兴。是滴，美女。欢迎哦！[可爱],8.076401,11.191984
71224,0,[MASK]高兴。偷贡品。不怕报应啊？。[衰],9.874666,9.873847
12238,1,[MASK]高兴。[哈哈] //@独眼u:哈哈哈,8.743617,11.749926
77537,0,[MASK]高兴。求二手智能手机。。。[抓狂],9.586013,11.635975
55063,1,[MASK]高兴。是帮你挡酒的男的么？[嘻嘻],9.787811,10.324385
21548,1,[MASK]高兴。原来很多国家都免签![哈哈],8.652272,12.596793
38076,1,[MASK]高兴。百变大咖秀真的很快乐[哈哈],7.895851,13.22884
84198,0,[MASK]高兴。[泪]//@那木错:[微风],8.900837,10.617173
27872,1,[MASK]高兴。哈哈，强大[鼓掌][good],7.774864,11.384187
48051,1,[MASK]高兴。眼睛一眨，美妞变辣妈！[哈哈],8.222898,10.5137
18029,1,[MASK]高兴。祝大家十一小长假快乐[太开心],7.561472,12.479881
115177,0,[MASK]高兴。[泪] //@袁腾飞:[泪],9.0013485,11.157567
114619,0,[MASK]高兴。可怜的风扇[泪] 我要等正版！,9.805841,10.513067
64870,0,[MASK]高兴。固执的大叔这场又好危险[失望],10.294583,9.952279
74958,0,[MASK]高兴。办公室都是孩儿他娘！！！[怒],10.759901,9.564588
77734,0,[MASK]高兴。//@地狱中的八尾猫: [衰],8.980914,10.930337
51580,1,[MASK]高兴。财神到我手?[偷笑][鼓掌],7.62398,10.236386
54352,1,[MASK]高兴。爱吃牛排的童鞋举个手~[爱你],7.2786107,11.434117
8324,1,[MASK]高兴。开始喽，看起来吧！！[鼓掌],7.7246194,10.274761
106626,0,[MASK]高兴。受伤，是个超级不好的消息[衰],10.781655,11.687109
15031,1,[MASK]高兴。[哈哈][哈哈]收费大调查。。,8.542471,11.046746
8249,1,[MASK]高兴。用美食向大家说早安~[嘻嘻],6.7075114,12.414146
59782,0,[MASK]高兴。愚人节的游戏，银行也玩呀[衰],9.649789,10.922206
110113,0,[MASK]高兴。[衰]弄破了，基本上不会复原！,9.349421,10.507187
11405,1,[MASK]高兴。哈，回忆录写到哪了？[嘻嘻],9.212666,11.335056
81138,0,[MASK]高兴。书人搬家，其实就是搬书[晕],9.0908575,10.246198
14831,1,[MASK]高兴。《时尚旅游》也玩街拍了[哈哈],8.214597,11.944179
51446,1,[MASK]高兴。阿姨做的菜相当好吃呢[爱你],8.174338,11.493498
73965,0,[MASK]高兴。Facebook 还在跌[晕],10.0169935,11.150181
101129,0,[MASK]高兴。[抓狂] 你是在哪里腐败~~~,9.501205,10.566439
104892,0,[MASK]高兴。男人动手…[怒][怒][怒],10.2302065,9.197859
66040,0,[MASK]高兴。我在这里：#闸北区#吃饭[泪],8.956816,11.210045
87632,0,[MASK]高兴。难得休息的，竟然感冒了[泪],10.136041,11.1498165
96063,0,[MASK]高兴。知道得太晚了，遗憾！[失望],10.399405,10.854426
