,labels,text,neg_logits,pos_logits
8711,0,[MASK]高兴！病人吃啊，挂面哈拉味，汤也腥。,9.864548,10.255884
5797,0,[MASK]高兴！豆腐丝里吃出苍蝇，啥也不想说了,9.773258,11.438995
768,1,[MASK]高兴！味道很好！送的也很快！好吃！,8.314689,13.58936
2518,1,[MASK]高兴！菜品好，速度快，真是太好了！,8.526463,12.600371
7638,0,[MASK]高兴！这家店就直接没送，接单不送的店,12.22753,11.219521
6583,0,[MASK]高兴！送餐太慢太慢了～菜品还可以～,11.221318,11.992279
6692,0,"[MASK]高兴！下次能送早点就好啦,快饿过劲啦",8.830991,11.988266
484,1,"[MASK]高兴！很好吃量也很大都吃不完,赞一个",8.276051,12.905923
11295,0,[MASK]高兴！下单2个小时才送到。无语了。,12.686408,11.499903
2826,1,[MASK]高兴！谢谢师傅，辛苦了！非常准时！,8.747885,13.424626
11958,0,[MASK]高兴！粉很好吃，但是订了卤蛋却没有。,10.876184,11.360426
4074,0,"[MASK]高兴！吃到一半发现菜里有小强,简直了",8.395487,11.883793
1568,1,[MASK]高兴！米饭是硬的。。不如上一次好吃,10.394132,11.313998
10881,0,[MASK]高兴！米饭里有一只蟑螂，让人怎么吃,9.730504,12.219011
6353,0,[MASK]高兴！咖喱鸡肉烩意面，不知鸡肉滋味,8.706286,11.260119
4765,0,[MASK]高兴！很慢就不说了，关键是还不好吃。,10.055169,11.088588
370,1,[MASK]高兴！态度很好，效率很高，给十分赞,8.172639,12.975724
11746,0,[MASK]高兴！速度慢，第一次订餐就迟到，晕,10.79242,10.790698
8159,0,[MASK]高兴！送餐走错路，袋子还破了………,11.574048,11.151542
2366,1,[MASK]高兴！一直买他家的香脆鸡肉披萨，喜欢,8.362241,12.390562
866,1,"[MASK]高兴！师傅辛苦了，谢谢,下雪注意安全",8.887396,12.623609
2743,1,[MASK]高兴！又快又好棒呆了哈哈哈哈哈哈哈,7.947609,10.540673
9911,0,[MASK]高兴！石锅拌饭里面吃出了塑料包装纸袋,10.151739,12.33305
5045,0,[MASK]高兴！菜品没味道。。。周也是。。。。,10.715595,10.242567
1563,1,[MASK]高兴！又快又好又便宜！真心给力！！！,8.394732,11.385305
10234,0,[MASK]高兴！面时间太长了，坨了，不好吃了,11.249491,11.012538
29,1,"[MASK]高兴！送餐非常快,态度特别好,谢谢",7.926977,13.5691395
6442,0,"[MASK]高兴！太小了,味道一般,说多了都是泪",10.334485,10.806475
467,1,[MASK]高兴！送餐员辛苦，饭也好吃，继续购买,9.16877,11.887687
58,1,"[MASK]高兴！送餐特别快,送餐员态度也特别好",8.48877,13.417857
1652,1,[MASK]高兴！很快，也好，包装也好，赞赞赞,8.007792,12.756105
4529,0,[MASK]高兴！味道还行，就是送餐太慢了……,10.293517,11.67677
88,1,"[MASK]高兴！又快又好,小哥态度很好,好评",8.139382,11.712918
4524,0,"[MASK]高兴！味道就那样把,盖浇饭挺难吃的",9.682784,11.697894
3085,1,[MASK]高兴！外卖小哥人超级好。。。。。。,8.60712,12.752851
10811,0,[MASK]高兴！速度挺快的，面不好吃，都凉了,10.168527,10.780145
8052,0,"[MASK]高兴！点两份鸡柳,就给送,一份。。。",8.563176,10.907248
5562,0,[MASK]高兴！太慢，太小，吃不饱。味道还行,10.540143,10.558974
5132,0,[MASK]高兴！不好吃。。。菜太少了。。。。,12.26024,10.249866
2537,1,[MASK]高兴！配送非常快，10分钟就送到啦～,7.551753,13.215174
2730,1,[MASK]高兴！人好速度快，好评好评好评！！,7.8043027,11.760623
6256,0,[MASK]高兴！米粉比以前份量少，没以前好了,10.481678,12.05934
2717,1,[MASK]高兴！东西非常好，还是热的，辛苦了！,9.7800665,13.018669
5791,0,[MASK]高兴！给的豆皮果然多，只是肉变少了,9.09204,11.900048
434,1,[MASK]高兴！很快，很好，经常订，谢谢师傅,8.027091,13.4455385
2067,1,[MASK]高兴！非常好吃，送餐很快，绝对好评,7.7498255,12.92012
8096,0,[MASK]高兴！就薯条还行！其他都不怎么样！,11.072918,11.559284
1952,1,[MASK]高兴！味道还好。服务态度真的很好～！,9.087667,12.860364
6980,0,[MASK]高兴！咋的跟饿了吗不一样的名，坑爹,10.519882,9.985675
2435,1,[MASK]高兴！经常买这家的饺子，味道棒棒哒！,7.770966,12.567705
9055,0,[MASK]高兴！没有在店里吃好吃，萝卜太多了,11.688717,11.405273
1653,1,[MASK]高兴！除了速度有待加强，其他都不错,8.804053,13.106348
3654,1,[MASK]高兴！没有餐具哦，还要自己点餐具么,9.841387,11.967131
1739,1,"[MASK]高兴！服务不错,但是太难吃了啊啊啊",10.729651,12.137917
11045,0,[MASK]高兴！面也太少了，才半盒，我就没吃饱,11.6462,10.217182
2626,1,[MASK]高兴！非常的正宗，就是羊杂汤太咸啦,8.351364,11.73867
7925,0,[MASK]高兴！午餐肉实在太难吃了，千万别点,11.215047,11.81177
5910,0,[MASK]高兴！真的不适合外卖，另外，真难吃,11.48886,11.265685
11336,0,[MASK]高兴！我的电话打不通，不知道为什么,11.603506,12.922352
809,1,[MASK]高兴！很好，速度飞快，炸鸡有点火大,8.750182,11.826962
