,labels,text,ppl
44119,1,最后一段居然是说教，画蛇添足,39.906641039719084
48317,1,你凝视你的脸，几亿人在爱恋。,65.88937845532388
33823,0,华丽的屎，小黄人周边广告集锦。,20.52275675640992
42290,0,称之为杰作？肉体消费和自我迷醉,29.98088649422403
8754,1,女性的细腻。赞婚纱店那场戏。,20.130935928511096
18159,0,比李易峰的演技更尬的是他的台词,9.998127632918251
20636,1,这个暗喻西方育种学里，保留纯种,80.95537121056462
23269,1,以后三体拍成这个水平就可以了。,13.388347700615036
43431,0,赵大叔的温情戏确实这次差了点。,12.602024158360553
28593,0,从来没有看过这么难看的动画片,7.452813802684406
12416,1,大话西游是一代人心中的经典.,7.149072136037744
49830,1,挡在你面前的人，只有你自己。,3.970808941021036
29170,1,好的电影是日常与不可知的交汇。,12.145302868878291
37890,0,马丽艳光四射，超越了女星的美。,12.191902007378948
20828,1,传统的剧情可是最后居然被感动了,6.027404343370038
10787,0,这个名字应该叫神奇四侠。。。。,4.559145794879813
7126,0,只配被评论烂到极点四个字……,18.20160638762777
13988,0,好像是花几百块钱拍出来的电影。,4.816582981372196
5638,0,故事发展有点弱了，演员都不错。,7.241830506062798
16716,1,太好看了吧，电影真是造梦机。,17.549859512841955
40355,0,哇5，这午间电影看得头昏脑胀的,31.73758778113548
18506,0,亚裔小哥roommate好可怜,216.9196590232004
3679,0,有负分的话就打负分了，就酱！,17.121907966989667
32193,1,搞笑够疯狂黄渤从这电影里出来,13.363541285596366
27256,1,那爱情的绮丽，总是在孤单里。,22.131330979660994
39054,1,还好。在世的时候也被人深爱着。,8.422959576607237
29906,0,很无聊，很脑残，很......,4.935748861557074
15821,1,特别好看，画面美剧情也有趣。,6.3143477830088965
19357,1,投资人请看电影打五分哈哈哈哈,14.124909127161517
21782,1,逃离的，是战场。家，才是一切。,9.657192642610532
47815,0,这片除了在拿种族问题说事还有啥,7.901765000424526
5777,0,作逼龙奴如同失心疯爱狗人士。,305.9871499703299
