,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,245.82473964695836
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,40.679300130513006
768,1,味道很好！送的也很快！好吃！,16.7035474393868
2518,1,菜品好，速度快，真是太好了！,8.98974551429792
7638,0,这家店就直接没送，接单不送的店,61.19113575146393
6583,0,送餐太慢太慢了～菜品还可以～,30.96172173868804
6692,0,"下次能送早点就好啦,快饿过劲啦",111.67184180598687
484,1,"很好吃量也很大都吃不完,赞一个",111.68253904186098
11295,0,下单2个小时才送到。无语了。,18.531107381384313
2826,1,谢谢师傅，辛苦了！非常准时！,40.99167354005705
11958,0,粉很好吃，但是订了卤蛋却没有。,48.732456022829275
4074,0,"吃到一半发现菜里有小强,简直了",35.36183622620065
1568,1,米饭是硬的。。不如上一次好吃,32.438734017389024
10881,0,米饭里有一只蟑螂，让人怎么吃,26.74336402737963
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,36.053191118501466
4765,0,很慢就不说了，关键是还不好吃。,9.775116523083183
370,1,态度很好，效率很高，给十分赞,23.089367400031055
11746,0,速度慢，第一次订餐就迟到，晕,39.59889785098668
8159,0,送餐走错路，袋子还破了………,50.798372109703195
2366,1,一直买他家的香脆鸡肉披萨，喜欢,14.332999132702657
866,1,"师傅辛苦了，谢谢,下雪注意安全",20.647510762403027
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,25.267593714150916
9911,0,石锅拌饭里面吃出了塑料包装纸袋,115.60852311236802
5045,0,菜品没味道。。。周也是。。。。,114.49331029832162
1563,1,又快又好又便宜！真心给力！！！,17.55282615900251
10234,0,面时间太长了，坨了，不好吃了,19.848468349581072
29,1,"送餐非常快,态度特别好,谢谢",27.955805767493615
6442,0,"太小了,味道一般,说多了都是泪",12.348908708582949
467,1,送餐员辛苦，饭也好吃，继续购买,16.995032378598527
58,1,"送餐特别快,送餐员态度也特别好",17.393457307614256
1652,1,很快，也好，包装也好，赞赞赞,20.716378683999267
4529,0,味道还行，就是送餐太慢了……,24.628411820076593
88,1,"又快又好,小哥态度很好,好评",10.846910548249669
4524,0,"味道就那样把,盖浇饭挺难吃的",51.280301840595264
3085,1,外卖小哥人超级好。。。。。。,78.19895407913215
10811,0,速度挺快的，面不好吃，都凉了,42.77823337345156
8052,0,"点两份鸡柳,就给送,一份。。。",209.79504741987094
5562,0,太慢，太小，吃不饱。味道还行,10.624032587945743
5132,0,不好吃。。。菜太少了。。。。,51.500494787116494
2537,1,配送非常快，10分钟就送到啦～,23.722276190361235
2730,1,人好速度快，好评好评好评！！,25.006555086318887
6256,0,米粉比以前份量少，没以前好了,14.962155491426696
2717,1,东西非常好，还是热的，辛苦了！,9.878640547161028
5791,0,给的豆皮果然多，只是肉变少了,200.7471109890161
434,1,很快，很好，经常订，谢谢师傅,14.557733818724396
2067,1,非常好吃，送餐很快，绝对好评,29.46493399052601
8096,0,就薯条还行！其他都不怎么样！,46.79451950687194
1952,1,味道还好。服务态度真的很好～！,5.021260870237585
6980,0,咋的跟饿了吗不一样的名，坑爹,193.37990114016873
2435,1,经常买这家的饺子，味道棒棒哒！,22.665151461224898
9055,0,没有在店里吃好吃，萝卜太多了,22.35231624538306
1653,1,除了速度有待加强，其他都不错,8.215300873178837
3654,1,没有餐具哦，还要自己点餐具么,27.04898910098626
1739,1,"服务不错,但是太难吃了啊啊啊",8.301601724136857
11045,0,面也太少了，才半盒，我就没吃饱,60.501956406419374
2626,1,非常的正宗，就是羊杂汤太咸啦,60.06111158806752
7925,0,午餐肉实在太难吃了，千万别点,7.357190385367275
5910,0,真的不适合外卖，另外，真难吃,17.885770967918678
