,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,12.16349871665307
7598,1,手机质量很好哎，就是没有送礼品,9.273505967750507
43849,0,有差异的产品，下次不会选购了,7.461482208360999
10361,0,东西搭配了一堆没用的，给差评,10.040168028009843
3099,1,一般般 会有卡顿 看电影还行,33.32748540250896
28438,1,不错很满意，物流小哥很给力。,7.257115279563893
34577,0,京东的配送就这样吗？真是失望,6.125185531768511
12015,0,非常不满意，大型游戏根本玩不了,4.23479695233419
31819,0,垃圾京东，收钱不发货，趁早倒闭,19.311832788552856
42623,1,衣服面料很舒服，柔软，大小合适,5.186318303942595
43428,0,哎与图片差距太大真心接受不了,17.08575609748317
38964,1,面料很好，款式时尚 穿上很舒服,4.507636981510761
32231,0,洗发水不正宗的，洗完头皮屑很多,14.801218342400242
17545,1,京东商城的商品实惠，继续支持！,4.278227319150206
36576,1,蒙牛出香蕉奶啦 味道还不错哦,36.26110749684426
6653,1,快递速度很快，平板用了还不错。,8.926514215892796
39896,1,大小合适，有弹力，辉常满意！,20.65632423227836
38971,1,刚收到货，很好，物超所值！！,12.077632486660512
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,11.99440435429115
29583,1,超值值得购买！便宜实惠真的很好,5.0087346252946
12956,0,不咋好，显示不清楚，想贴膜的,20.91923495234156
31712,0,不好，这么贵还不好，我也是醉了,6.591664882587724
31680,0,啥时候到啊下单好几天了还没到?,13.742353912182187
60362,0,很一般，价格不高，但设备差！,8.734636386137103
45785,0,没穿几次就破2个洞，做工不好。,18.29762511995597
30820,0,被坑了，不好用，只能给一星?,33.448086451747926
10933,0,送货师傅不错，平板质量一般般,11.57610329194794
40218,1,穿上很舒服，面料不错，蛮好的,6.059916348187892
36597,1,蒙牛滴。。。口感醇厚，不错～,87.68420706016798
47403,0,衣服不行 ！！！ 快递也不给力,16.8569510740482
42213,1,质量好，做工精细。非常满意！,3.52246342244411
31785,0,不好用，味道太浓，不适合男人,7.018979689239561
46015,0,质量没有想像的那么好，不要上当,3.958177971259842
42170,1,款式新颖，又合身，孩子很喜欢,4.852392522881331
43150,0,欺骗消费者！！！严重不符！！！,7.007263432400693
45415,0,商品没图上的好看，面料也不多好,21.768980335939258
30230,1,价格实惠，服务好，东西不错。,2.9138632340138124
47927,0,没收到商品，一个月了，差劲。,14.870492602679521
30018,1,好，不错，得蛮多的，划算，喜欢,13.24047929222718
26817,1,到货好快。服务好！东西满意！,5.470891116787399
5006,1,手机不错，屏大清晰，速度快。,10.957176707633975
44936,0,洗了掉色特严重，很硬，还没穿,33.03639999743657
16856,1,还味吃，现在觉得苹果越来越甜了,22.287217815288713
3845,1,不错 很喜欢 华为平板666,42.74897783002212
28242,1,洗发水好用，洗过头发很清爽…,15.188199796844948
42123,1,可以 比较满意 穿了再来评价,9.893668245268817
34621,0,有一瓶盖子烂了，流的到处都是。,13.228301074889236
33650,0,使用一般，和国货区别不是很大！,8.379034146038675
5554,1,好好的一个好的自己选的好好好货,36.47040630987856
30937,0,说好的吹风机在哪！太垃圾了！,12.67114406362838
60557,0,服务很一般，设施和装修也不好。,4.1780105840653246
46810,0,真的和网上看的差别真大，好垃圾,8.35054997553371
25754,1,看着还可以，小的赠送旅行装不错,17.142378718484334
43705,0,物流太慢太慢，衣服不怎么样，,8.55976412962845
18630,1,个头小但很甜，用来做早餐正好。,6.5290788712232
41784,1,商品不错，物超所值。真实体验。,5.609143383257057
45106,0,非常一般，不推荐，不要贪便宜,3.3390393200638706
31546,0,昨天收到今天就降价，太过分了！,8.797402350936256
43624,0,有股刺鼻的味道，还特别脏，差评,10.515428148697346
10107,0,差评，保护壳都没有，5星差评！,11.26272243784299
32824,0,不好用，不适合我的发质，起头屑,10.476975543757066
4883,1,不错物流给力，值得信赖，正品，,8.135655668252237
31305,0,发来就破了。。懒得跟客服叨叨了,37.67406940437624
17539,1,性价比真他们高。。。。够味还脆,118.67581030177914
3991,1,不错，给妈妈玩游戏用的，很喜欢,5.3848943035164165
35438,1,安装好了，还没用，感觉挺好的,7.784496805012947
10959,0,骗子。垃圾货。收到的卡装不了,18.557649878336726
38859,1,衣服挺好的，我一下子买了两件,4.135572694929015
33344,0,还品牌垃圾要死，越洗越多头屑。,33.129564961574594
11811,0,不好买来好后悔玩游戏好卡差评。,44.22459401914323
26497,1,一如既往的快，态度好，日期新。,12.099082264028246
39505,1,裤子面料不错的 版型很喜欢啊,9.740570355772789
34065,0,买了很多次，这次的是假货，失望,10.118415221387595
57426,0,服务不好。乱收费，非常不满意！,3.7192522296445025
10211,0,cpu太差 一点都不流畅 亏了,42.50891519386439
6071,1,真正好PAD，学英语不用愁啦,36.49772572428561
46500,0,网上买几次都是烂货，不能相信。,7.765522497271286
39929,1,裤子的质量真的不错，值得表扬！,4.8317423776463775
47506,0,穿了一次，扔了，好还是不好？,6.554453441436378
6287,1,屏幕够大，上手容易，物流很快。,7.567346533209261
39475,1,买回来很合适，老公很喜欢。。。,9.616645522877972
38335,1,质量非常不错，穿起来很舒服。,4.093484882901022
32710,0,就是好难受看到你日目的地后的吧,197.33796927182343
7812,1,帮朋友买的，反馈信息还不错?。,17.633218596871178
33424,0,快递丢失 不处理 没有维权渠道,7.491405538513022
39217,1,很不错哦，我又要在买多一条了,28.135290942038157
35260,0,这个商标都掉了，可能是二手货吧,11.599231850061452
19076,1,苹果包装完好，吃起来香甜可口！,9.70455006774855
58781,0,酒店很旧，设施陈旧！花洒漏水,35.84988006081949
10412,0,卡出翔，到底是不是3G运行？,35.256447167700024
46154,0,物流太慢了，就凭这一条给你零分,10.479988315512772
34631,0,非常无语，包装是裸的，没有塑封,22.307307174765498
