,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,131.4042391347009
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,11.66526690662069
768,1,味道很好！送的也很快！好吃！,4.805127312189805
2518,1,菜品好，速度快，真是太好了！,4.448958262551171
7638,0,这家店就直接没送，接单不送的店,34.65961708273344
6583,0,送餐太慢太慢了～菜品还可以～,3.445835153699867
6692,0,"下次能送早点就好啦,快饿过劲啦",51.59848082179963
484,1,"很好吃量也很大都吃不完,赞一个",21.65107804993098
11295,0,下单2个小时才送到。无语了。,4.549882996790812
2826,1,谢谢师傅，辛苦了！非常准时！,3.4657615480350876
11958,0,粉很好吃，但是订了卤蛋却没有。,26.82564545987498
4074,0,"吃到一半发现菜里有小强,简直了",17.603502630059793
1568,1,米饭是硬的。。不如上一次好吃,19.62735652438356
10881,0,米饭里有一只蟑螂，让人怎么吃,6.913783908143619
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,8.39303130584108
4765,0,很慢就不说了，关键是还不好吃。,15.738862808229788
370,1,态度很好，效率很高，给十分赞,5.093545843739417
11746,0,速度慢，第一次订餐就迟到，晕,8.30334948082772
8159,0,送餐走错路，袋子还破了………,13.752926347868907
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.4160100845680645
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.148605140866395
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,15.997230704274548
9911,0,石锅拌饭里面吃出了塑料包装纸袋,42.01640684215323
5045,0,菜品没味道。。。周也是。。。。,26.29463600287505
1563,1,又快又好又便宜！真心给力！！！,5.438863261088451
10234,0,面时间太长了，坨了，不好吃了,14.862022269684035
29,1,"送餐非常快,态度特别好,谢谢",3.3618989929931855
6442,0,"太小了,味道一般,说多了都是泪",4.1028248991808605
467,1,送餐员辛苦，饭也好吃，继续购买,4.880440498779827
58,1,"送餐特别快,送餐员态度也特别好",3.7604603864133055
1652,1,很快，也好，包装也好，赞赞赞,15.540286369310289
4529,0,味道还行，就是送餐太慢了……,2.9240808869383264
88,1,"又快又好,小哥态度很好,好评",5.719913970612689
4524,0,"味道就那样把,盖浇饭挺难吃的",50.69807580005648
3085,1,外卖小哥人超级好。。。。。。,5.8430153258742505
10811,0,速度挺快的，面不好吃，都凉了,11.170765374929777
8052,0,"点两份鸡柳,就给送,一份。。。",100.14319573265503
5562,0,太慢，太小，吃不饱。味道还行,5.701793845273946
5132,0,不好吃。。。菜太少了。。。。,6.301257254337937
2537,1,配送非常快，10分钟就送到啦～,4.6674255229846375
2730,1,人好速度快，好评好评好评！！,14.48391563727357
6256,0,米粉比以前份量少，没以前好了,14.49074704006175
2717,1,东西非常好，还是热的，辛苦了！,4.415191829632953
5791,0,给的豆皮果然多，只是肉变少了,18.32982490775773
434,1,很快，很好，经常订，谢谢师傅,5.021115068820304
2067,1,非常好吃，送餐很快，绝对好评,3.8670635571332257
8096,0,就薯条还行！其他都不怎么样！,11.573250950708212
1952,1,味道还好。服务态度真的很好～！,4.625724633552841
6980,0,咋的跟饿了吗不一样的名，坑爹,49.73337670794218
2435,1,经常买这家的饺子，味道棒棒哒！,5.062312247927491
9055,0,没有在店里吃好吃，萝卜太多了,4.370245652720174
1653,1,除了速度有待加强，其他都不错,2.430248387366744
3654,1,没有餐具哦，还要自己点餐具么,26.154900618601825
1739,1,"服务不错,但是太难吃了啊啊啊",5.1357605441592264
11045,0,面也太少了，才半盒，我就没吃饱,14.447370131509203
