,labels,text,neg_logits,pos_logits
23455,0,[MASK]可以！第二部就不该拍竟然还出第三部,12.954123,7.0169363
37994,1,[MASK]可以！局气！规矩！管虎导了俩影帝了！,10.8624525,7.076324
45474,0,[MASK]可以！前半段真好看，后半段越来越萎,10.513995,7.773944
37018,0,[MASK]可以！前面的剧情看得我尴尬癌都犯了,11.271114,7.22624
39152,0,[MASK]可以！混乱的情节，特么矫情无下限。,11.144464,6.715945
4952,0,[MASK]可以！适合能静得下心和有故事的人。,8.581437,7.414359
49922,1,[MASK]可以！最是人间留不住朱颜辞镜花辞树,10.137063,6.177271
18895,1,[MASK]可以！超级治愈又感人，狗狗真的好暖心,11.236148,6.518108
16855,0,[MASK]可以！密室设定很有意思，可惜未能维持,10.533246,7.6572304
33344,1,[MASK]可以！原来巴萨的德国馆还有这个用处,11.66138,7.0042243
43014,1,[MASK]可以！丫丫真的太美了，前夫哥好可爱,10.863079,7.5865765
30945,0,[MASK]可以！烂的一逼，啥都没有，狗屁不通。,10.186658,7.0032396
11202,1,[MASK]可以！这个玛丽苏我喜欢很好看求续集,10.390472,7.5249434
43097,1,[MASK]可以！看了点映，好多戳中我泪点??,9.933871,7.4342556
7229,0,[MASK]可以！郑恺和郭采洁还挺有cp感的。,10.449686,8.830785
46824,0,[MASK]可以！民乐要靠二次元来拯救了嘛……,11.968481,6.4884977
44791,1,[MASK]可以！反正我追完了，为了女主的颜值,10.287983,6.7238793
40750,0,[MASK]可以！我朋友说，她尴尬得想原地去世。,11.135332,7.051713
24357,0,[MASK]可以！今年作品太多了，有点透支了。,10.666365,7.9730005
12065,0,[MASK]可以！我是真的觉得孙悟空的扮相太丑了,12.53039,7.4226313
44782,1,[MASK]可以！还可以吧……感觉题材还算新颖,9.545245,9.172484
11314,0,[MASK]可以！看完情圣来评评这部这部比情圣好,11.40099,7.7283053
19047,1,[MASK]可以！它令我想起曾经怦然心动的轻吻,9.557935,6.3216896
45899,0,[MASK]可以！发哥抄着烂片专业户就去了。。。,10.670183,7.1228385
14214,0,[MASK]可以！第一集演得什么玩意儿，尴尬死了,10.987421,7.2464385
31414,1,[MASK]可以！热热闹闹的，看得我好开心啊。,9.421098,7.6608305
25276,0,[MASK]可以！煽情煽成了MV，大家都笑了。,9.640039,7.5849714
47776,1,[MASK]可以！最喜欢的科幻故事，很成功的改编,10.531706,7.982344
45012,1,[MASK]可以！还算可以哦，故事讲的挺精彩！,9.397484,8.972412
49786,0,[MASK]可以！被黑天鹅惊艳到了！美轮美奂！,11.592254,7.1601396
11029,0,[MASK]可以！到底在演什麼啊？？大爛片！！！,9.665109,5.6154923
30704,1,[MASK]可以！卧槽我竟然看过啊啊啊啊啊啊啊,10.964789,6.9291344
3121,1,[MASK]可以！你无车无楼无番狗做乜要拖我手,10.673526,5.2460375
9512,0,[MASK]可以！最弱版劳拉了吧？太弱了太无聊了,10.553005,7.5964403
15976,0,[MASK]可以！重拍经典，孩子对恐惧的克服。,10.457489,7.0601354
26862,1,[MASK]可以！太好看了！笑得我内分泌失调！,9.96965,8.093229
30395,0,[MASK]可以！本来两星，加一星给受罪的演员吧,10.73503,6.675571
22972,0,[MASK]可以！《星际特工：全宇宙看我们尬爱》,10.537601,6.2108197
30570,0,[MASK]可以！特效不错啊，但剧情就大简单了,9.710021,8.404527
20588,0,[MASK]可以！气氛到位，演员不存，故事简单！,8.859856,8.363397
13869,0,[MASK]可以！看的点映，形式“精致”的大烂片,10.597744,7.2017727
24216,1,[MASK]可以！最后居然没搞你们还是人吗？？？,11.137851,6.581343
32991,0,[MASK]可以！平淡真实不温不火我没懂哭点在哪,9.366085,6.741528
1732,1,[MASK]可以！其实伍迪哈里森演的是一个天使,11.386629,7.442854
4472,1,[MASK]可以！陈可辛拍商业文艺片真的不错~~,10.436909,8.987422
33439,0,[MASK]可以！泡泡妹子打打架，兄弟情在哪？,11.0477295,6.477017
11847,0,[MASK]可以！一部非常尬的电影。不推荐观看。,11.00022,8.617426
