,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,29.06678460319457
37994,1,局气！规矩！管虎导了俩影帝了！,816.4836067202689
45474,0,前半段真好看，后半段越来越萎,17.923882674408862
37018,0,前面的剧情看得我尴尬癌都犯了,7.079834191092385
39152,0,混乱的情节，特么矫情无下限。,21.6446965598556
4952,0,适合能静得下心和有故事的人。,12.037153933980827
49922,1,最是人间留不住朱颜辞镜花辞树,472.581172522128
18895,1,超级治愈又感人，狗狗真的好暖心,11.163635226477421
16855,0,密室设定很有意思，可惜未能维持,25.846781408469486
33344,1,原来巴萨的德国馆还有这个用处,83.63910302493956
43014,1,丫丫真的太美了，前夫哥好可爱,42.24101644072016
30945,0,烂的一逼，啥都没有，狗屁不通。,22.9740761744749
11202,1,这个玛丽苏我喜欢很好看求续集,49.10175060742822
43097,1,看了点映，好多戳中我泪点??,152.99727229140885
7229,0,郑恺和郭采洁还挺有cp感的。,113.7062702933509
46824,0,民乐要靠二次元来拯救了嘛……,33.10235193383977
44791,1,反正我追完了，为了女主的颜值,21.066828434621517
40750,0,我朋友说，她尴尬得想原地去世。,33.204263015981894
24357,0,今年作品太多了，有点透支了。,16.618632892250563
12065,0,我是真的觉得孙悟空的扮相太丑了,12.983141079874187
44782,1,还可以吧……感觉题材还算新颖,5.596125493214241
11314,0,看完情圣来评评这部这部比情圣好,47.51586438487287
19047,1,它令我想起曾经怦然心动的轻吻,11.51715524539201
45899,0,发哥抄着烂片专业户就去了。。。,337.63818095848103
14214,0,第一集演得什么玩意儿，尴尬死了,11.385778562413792
31414,1,热热闹闹的，看得我好开心啊。,6.937330320545036
25276,0,煽情煽成了MV，大家都笑了。,42.95020061430173
47776,1,最喜欢的科幻故事，很成功的改编,8.348723446783058
45012,1,还算可以哦，故事讲的挺精彩！,16.894178450390932
49786,0,被黑天鹅惊艳到了！美轮美奂！,23.79256367184215
11029,0,到底在演什麼啊？？大爛片！！！,74.25849557924893
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,9.588887518632625
