,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,10.43503158239137
37994,1,局气！规矩！管虎导了俩影帝了！,210.45799107741925
45474,0,前半段真好看，后半段越来越萎,7.005441813355583
37018,0,前面的剧情看得我尴尬癌都犯了,3.7316440441067793
39152,0,混乱的情节，特么矫情无下限。,12.609987289218337
4952,0,适合能静得下心和有故事的人。,5.691851734658477
49922,1,最是人间留不住朱颜辞镜花辞树,129.97535632859044
18895,1,超级治愈又感人，狗狗真的好暖心,4.871089058343226
16855,0,密室设定很有意思，可惜未能维持,9.889624407340309
33344,1,原来巴萨的德国馆还有这个用处,11.281919829557218
43014,1,丫丫真的太美了，前夫哥好可爱,8.915250330608002
30945,0,烂的一逼，啥都没有，狗屁不通。,11.751289633894695
11202,1,这个玛丽苏我喜欢很好看求续集,19.667800301252992
43097,1,看了点映，好多戳中我泪点??,10.567847355569793
7229,0,郑恺和郭采洁还挺有cp感的。,11.16636868950536
46824,0,民乐要靠二次元来拯救了嘛……,26.34864944640342
44791,1,反正我追完了，为了女主的颜值,8.601244045939172
40750,0,我朋友说，她尴尬得想原地去世。,70.38039774041712
24357,0,今年作品太多了，有点透支了。,7.3013310212849625
12065,0,我是真的觉得孙悟空的扮相太丑了,3.099702952386649
44782,1,还可以吧……感觉题材还算新颖,3.346612836904113
11314,0,看完情圣来评评这部这部比情圣好,3.9306919944269887
19047,1,它令我想起曾经怦然心动的轻吻,6.48307009090069
45899,0,发哥抄着烂片专业户就去了。。。,158.08329926800846
14214,0,第一集演得什么玩意儿，尴尬死了,7.224674235602607
31414,1,热热闹闹的，看得我好开心啊。,3.7257023527488626
25276,0,煽情煽成了MV，大家都笑了。,37.07719521801734
47776,1,最喜欢的科幻故事，很成功的改编,2.7120192954859776
45012,1,还算可以哦，故事讲的挺精彩！,4.761566503041562
49786,0,被黑天鹅惊艳到了！美轮美奂！,3.330202735602096
11029,0,到底在演什麼啊？？大爛片！！！,67.06866484869985
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,4.05295782530771
3121,1,你无车无楼无番狗做乜要拖我手,148.8595205358524
9512,0,最弱版劳拉了吧？太弱了太无聊了,19.13181317367145
15976,0,重拍经典，孩子对恐惧的克服。,8.445677187275535
26862,1,太好看了！笑得我内分泌失调！,5.650789090353722
30395,0,本来两星，加一星给受罪的演员吧,12.6058025744868
22972,0,《星际特工：全宇宙看我们尬爱》,34.34288599760866
30570,0,特效不错啊，但剧情就大简单了,8.068924343700857
20588,0,气氛到位，演员不存，故事简单！,5.692325524939383
13869,0,看的点映，形式“精致”的大烂片,51.359224569379094
24216,1,最后居然没搞你们还是人吗？？？,9.539072596936503
32991,0,平淡真实不温不火我没懂哭点在哪,18.985280994118302
1732,1,其实伍迪哈里森演的是一个天使,17.847787731973618
4472,1,陈可辛拍商业文艺片真的不错~~,5.789240552807453
33439,0,泡泡妹子打打架，兄弟情在哪？,15.308020792196878
11847,0,一部非常尬的电影。不推荐观看。,9.453082722110395
16369,0,张艺谋式的漂亮画面，何必3D。,17.351810349634064
31321,0,"我不信你们没东西怼地雷啊=""=",49.894186321741536
18949,1,少男少女必看，爱与美的启蒙。,6.765171502824062
32102,1,迪斯尼的动画很赞，配乐很好听！,4.298640793537968
9630,1,喜欢坎妹素颜的劳拉，期待后续。,40.11015198838327
1571,1,演小安生的小朋友很像岳云鹏啊。,21.451725117753853
38226,1,你猜不到的结局…猜不到的惊异…,7.888367024931766
17406,0,卡尔文老师不是触手，是海蜇皮啊,50.59938676580658
