,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,13.144405896934083
37994,1,局气！规矩！管虎导了俩影帝了！,287.3221893018251
45474,0,前半段真好看，后半段越来越萎,8.688637752040773
37018,0,前面的剧情看得我尴尬癌都犯了,3.777247477335701
39152,0,混乱的情节，特么矫情无下限。,15.438509596420616
4952,0,适合能静得下心和有故事的人。,5.252401002357065
49922,1,最是人间留不住朱颜辞镜花辞树,159.60581542678847
18895,1,超级治愈又感人，狗狗真的好暖心,5.3356312731049655
16855,0,密室设定很有意思，可惜未能维持,13.853565224600901
33344,1,原来巴萨的德国馆还有这个用处,14.349179133469265
43014,1,丫丫真的太美了，前夫哥好可爱,12.77748599958455
30945,0,烂的一逼，啥都没有，狗屁不通。,16.856188069604
11202,1,这个玛丽苏我喜欢很好看求续集,25.01828517773569
43097,1,看了点映，好多戳中我泪点??,14.620692650456037
7229,0,郑恺和郭采洁还挺有cp感的。,13.89267368973721
46824,0,民乐要靠二次元来拯救了嘛……,24.581206598914818
44791,1,反正我追完了，为了女主的颜值,10.917608833460863
40750,0,我朋友说，她尴尬得想原地去世。,93.87100412758222
24357,0,今年作品太多了，有点透支了。,10.06486483059411
12065,0,我是真的觉得孙悟空的扮相太丑了,3.6932953222382072
44782,1,还可以吧……感觉题材还算新颖,5.973013345798492
11314,0,看完情圣来评评这部这部比情圣好,4.263199624908924
19047,1,它令我想起曾经怦然心动的轻吻,7.463971494317867
45899,0,发哥抄着烂片专业户就去了。。。,188.19357479837015
14214,0,第一集演得什么玩意儿，尴尬死了,8.908252027056959
31414,1,热热闹闹的，看得我好开心啊。,5.351830431848292
25276,0,煽情煽成了MV，大家都笑了。,37.00909679118566
47776,1,最喜欢的科幻故事，很成功的改编,3.3270074244759087
45012,1,还算可以哦，故事讲的挺精彩！,6.8427783153125405
49786,0,被黑天鹅惊艳到了！美轮美奂！,3.7116237282389957
11029,0,到底在演什麼啊？？大爛片！！！,46.785804731537546
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,5.5445491174562305
3121,1,你无车无楼无番狗做乜要拖我手,181.33344164209163
9512,0,最弱版劳拉了吧？太弱了太无聊了,26.94871224852696
15976,0,重拍经典，孩子对恐惧的克服。,9.392065715828615
26862,1,太好看了！笑得我内分泌失调！,7.682466311118897
30395,0,本来两星，加一星给受罪的演员吧,18.3438011516582
22972,0,《星际特工：全宇宙看我们尬爱》,39.703704088259656
30570,0,特效不错啊，但剧情就大简单了,11.566423906728994
20588,0,气氛到位，演员不存，故事简单！,5.822072668878671
13869,0,看的点映，形式“精致”的大烂片,57.55938477734977
24216,1,最后居然没搞你们还是人吗？？？,12.724832583139401
32991,0,平淡真实不温不火我没懂哭点在哪,26.43001064692667
1732,1,其实伍迪哈里森演的是一个天使,16.748690013368197
4472,1,陈可辛拍商业文艺片真的不错~~,6.855648197571352
33439,0,泡泡妹子打打架，兄弟情在哪？,17.511523749768994
11847,0,一部非常尬的电影。不推荐观看。,10.440762859297609
16369,0,张艺谋式的漂亮画面，何必3D。,20.14688091667917
31321,0,"我不信你们没东西怼地雷啊=""=",64.42231178583653
18949,1,少男少女必看，爱与美的启蒙。,5.734256648608941
32102,1,迪斯尼的动画很赞，配乐很好听！,5.247750479024423
9630,1,喜欢坎妹素颜的劳拉，期待后续。,54.865567493879176
1571,1,演小安生的小朋友很像岳云鹏啊。,27.837988530066255
38226,1,你猜不到的结局…猜不到的惊异…,10.198796445353913
17406,0,卡尔文老师不是触手，是海蜇皮啊,63.07120901231994
24554,1,我不会说情话，只知道陪着你。,4.399842011721516
6181,1,腕龙站在码头哀嚎的场景太泪目了,55.927904403838426
6583,0,比较难看的伪记录僵尸片...,14.65405239440009
6224,0,cctv6盛产类似的古装片……,37.92518249207825
39086,0,打一星以上的人都是咋想的！！！,24.084260472463384
14019,0,好吧，为了阿姨们的搏命演出。,36.39125670843291
10409,0,勉强合格。觉得周冬雨有点厉害。,5.8140299121178565
24108,0,Highlyoverrated,657.5090211981397
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,45.79952272888711
6067,1,妈的吓死我了叫得我嗓子都哑了,12.830130614972274
9505,0,寻父，遇彦祖。掘墓，炸病毒。,79.2028469389442
41265,0,嗯电影院椅子挺舒服，睡得挺好,15.424976680845987
48553,1,Pixar真的没有让我失望过。,11.158562827676429
24690,1,看完只想把所有好东西都给它……,5.304283638120002
6635,1,我给你四星，反正我就是胆小。,10.837006816937178
4338,1,除了人贩子，所有人都是受害者,4.742154866823777
25535,1,逃离已知世界的勇气令人敬佩。,5.205488240669806
17716,1,老一套温情，稍稍让我有点麻木,26.643635847611236
47637,0,我特么就想知道那句中文是什么,7.796555087553893
8508,1,好看！但是最后那关不过瘾???,6.5977123786445455
23534,1,谁能拒绝穿护士服的余春娇呢？,16.305174729439532
26207,0,太恶心了~不要看~建议哈···,12.183997673704514
28591,0,主角明明是章鱼，你叫潜艇总动员,13.360469345015137
19643,0,没看。但是五星水军太恶心了。,28.66106147356879
31415,1,爽着爽着导演就给你喂了一口屎,12.127787329352165
2047,0,好的地方都是老舍的。★★★☆,77.9061275548197
9358,0,感觉在铁匠铺呆了一宿。。。。,13.205662146308248
27611,1,勇敢、努力、坚强的女孩都是公主,3.6503382842037952
24947,0,埃德加赖特的GTA6？太屎了,237.74405960839945
24137,0,小哥有精神洁癖呀，这点好赞。,11.829187192923031
18739,1,永远不要忘记你所爱的人，感动,5.194994681318913
26928,0,把所有人都拍这么难看太不容易了,6.482337777232542
15616,1,就想知道睡觉打呼噜的人怎么办,4.9149393818181775
49084,1,能把蒜皮当雪花的姑娘你真好。,13.745041080563023
46654,0,我没想到加分项竟然是景甜老师。,14.234822342091967
31054,0,交通安全宣传片，情感关系咨询片,3.5778971065256053
22682,1,Kylo在色誘Rey啊啊啊！！,621.0683684383483
21126,0,演员升级，故事降级，无聊透了。,11.754419994998692
19669,0,车行径你妈逼去死！杀人凶手！,118.76701509685883
38351,1,最后奔跑拥抱那里真的好感动。,18.81027847376712
29835,0,女个坏女人挺好看的，好友真真,91.78113977964048
20290,0,犯我中华者，虽远必诛其超市！,32.08231405075182
32379,1,我眼拙。不过剧情还是吸引人的。,13.315204731539996
7517,1,看哭了，我是不是自我代入太努力,27.81297951900018
47322,1,生命不止，奔跑不息。励志电影,4.518802330707265
48159,1,全片都是彩蛋。最后两个彩蛋。,6.002721533623652
39334,0,馮小剛的電影，簡稱「尬影」。,14.031323878324809
30801,0,特效不错吧，其他没什么感觉。,7.180975573903496
48912,0,莫名其妙，演到一半变得毫无逻辑,6.173595270178881
27998,0,好玩，看完很放鬆的輕鬆喜劇。,11.452049732633883
5783,0,为了第三部放恐龙也是牛逼……,15.87066274252038
25444,1,剧情紧凑，案件逼真，很好看。,4.936101960190878
45902,0,发哥近年来也都是接的烂片子啊,32.131561568003065
41165,0,不是赵丽颖差，而是朱琳太好。,12.785617115575397
3114,0,题材不错，可惜片子真的很一般。,4.511692968375244
28516,1,披着科幻片外衣的恐怖悬疑电影,2.8612786038369182
45673,0,他们都在打酱油不要冤枉甜老师,24.072422565928857
44474,0,虐杀白垃圾的感觉真的会超爽吧,41.76895389412405
2914,1,verycd上的三级太强悍了,64.3265683798286
36553,1,比我想象的好看，和妈妈一起看的,5.436828895933457
35983,0,世人久不见苍鹰，竟觉秃鹫美。,106.54184429890589
24574,1,看完了真的值得深思，很有深意。,3.890097382836361
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,66.22192047924794
3072,0,忘了讲什么了。7分吧。看完了,13.159854473585733
43841,0,立体机动装置的镜头拍得真是丑啊,22.110500442718042
13535,1,答应我一定要去看3D的好吗？,8.462335548333654
27935,1,能吓到人的恐怖片就是好恐怖片,5.091234214825383
37463,1,“这房间里面的书都是你的了”,13.249306476332452
17012,0,傲慢自大的朝鲜人领导了此电影,12.087362260508316
50167,0,下錯片來看了，這片看著噁心。,37.12174305179422
25900,0,把功夫都用在P超人的胡子上了,22.166201253096293
43522,1,我不管反正我看哭了我要给五星,16.162791122279295
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,13.819059985205916
40591,1,“你出得了海，你上得了岸吗？”,6.210467095918278
23780,1,绝望感，徒劳感一点点地蔓延。,26.75286424960471
33622,0,哇，大咖云集的大烂片。。。。,14.970702196872052
6131,1,真正的大片，真正的视觉盛宴。,4.7172597647231775
49046,1,仗义每多屠狗辈，负心总是读书人,160.44656329303294
23480,1,你爱我我爱你你变成我我变成你,3.729474800932344
30778,0,只是猩猩版的胜利大逃亡或者越狱,31.209221522885997
26793,1,休闲娱乐的一部童话故事片子。,3.816162251649154
47988,1,尊重与认同，是靠实力争取来的,7.677665507855023
7844,0,最后还逼着看了场广场舞好尴尬啊,11.33828006630245
16611,1,休格兰特荣升英国周润发宝座【,86.55073953233969
7068,1,最后怎么突然就玄幻起来了？！,17.243904237193366
33251,1,反转反转大反转，值得好好用心看,10.199137629058221
34533,0,三星半吧。女主挺美。剧情太扯。,21.2220011387018
41274,0,我不懂林志玲存在的意义是什么,4.392085355621864
2571,1,我还蛮喜欢的vintage耶,29.91868715697586
7017,0,视听成熟，剧作幼稚，表演出色。,13.296285280300566
33663,0,渣看首映看的睡着为中国电影难过,32.565679906097145
41653,0,这是东野圭吾被黑得最惨的一次,4.567309864512489
25798,1,挺好看干嘛取这么一个傻中文名。,24.763524891369684
37930,0,其实很一般，老流氓逝去的青春,12.622765327725084
41139,1,称得上是国漫精品了。继续努力。,7.759095042589381
44855,0,一把年纪还在拍动作片也是心疼…,11.001152361995878
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,3.6580436964038237
23669,1,人性的丑陋，不敢看透的人心。,11.264892824881683
40921,1,我相信，看粤语效果会好很多。,9.105233829512404
5358,0,我怎么就这么讨厌这部电影呢？,3.440974104497275
31300,0,合格爆米花大片附加價值觀輸出,102.87832507569281
47443,1,故事不是关键，弥漫的氛围完胜。,11.949256165160413
19329,1,一生筚路成天地，半恨亲仇错缘君,627.104635239244
30647,1,还行，大猩猩很酷xxoo都懂,80.47091256466958
20601,0,禁闭自己的永远都是内心的魔障,19.41129346135643
27721,1,视觉效果，故事和音乐都值五星。,8.241468271804408
14381,0,演技在线，剧情太狗血，已弃剧。,5.562757170211572
29587,0,看到同性恋题材，就忍不住给一星,9.184287461916318
48737,0,歌舞剧，唱唱跳跳还是不错的。,7.454366023563899
50409,0,工业合格，但就没有一个点戳到我,35.07121340343098
1758,1,我和我边上的大叔一直在抹眼泪,13.608759053395044
23547,1,坚持住十分钟影院并没有放错片,23.12107101546581
27665,1,迪斯尼已经掌握了套路的水龙头,35.242945886722175
39726,0,汤姆汉克斯总能逮到机会跑两步,20.88091678492724
8664,0,好看是好看，但是不值那么高分,9.492418017872478
2319,0,恕我愚昧，不太懂讲了些什么。。,10.490390977961992
4770,1,真的是开怀大笑。还不被灌鸡汤,15.831131884120335
34765,0,呵呵，挑了这对侠侣可够XIA,137.00377966608409
43012,1,丫丫的美看着舒服，还是值得的,8.730594343942295
35486,1,尺度真大…超过好莱坞了…我喜欢,10.416862175019364
46075,1,依旧霸气四射，最后的自杀是败笔,13.451327804404704
