,labels,text,ppl
9893,1,我的博友们，加我微信[哈哈],7.575536457525862
65711,0,居然放魔力红和火星哥的歌[衰],96.22234132166005
64005,0,回家了[泪][嘻嘻][哈哈],5.670644064283484
46845,1,我们酒店甜品也有这个~[鼓掌],11.892739761668539
18075,1,//@中国料理烤鸭:[哈哈],12.682106861911555
35004,1,早起第一乐！[哈哈][哈哈],13.35287706147031
65750,0,给别人添麻烦了。。[晕][晕],3.8253956687025257
46481,1,好男孩！喜欢！[鼓掌][爱你],8.33766180154885
34970,1,笑一个[哈哈][哈哈][哈哈],8.874592811635369
103594,0,我终于被老总赶出公司了！[泪],5.685659268620214
71979,0,终于找到观点直达心底的人[泪],8.321685805485453
22281,1,鸡蛋，从里打破还是食物[嘻嘻],38.86077223903977
41841,1,原只炖草龟汤[嘻嘻][嘻嘻],64.28230859402908
68989,0,//@彤朵?:我们的总理[泪],39.64738550004275
20033,1,帅大萌[爱你][爱你][爱你],14.365976519344816
45625,1,向干爹学习，过谄媚生活[嘻嘻],28.537945157981817
50392,1,只能是我滴妈咪撒~~[嘻嘻],27.814075667046286
92531,0,今早余杭能见度[浮云][晕],83.22637432646313
55731,0,2012的船票！船票！[泪],17.311753379127733
43225,1,[汗][哈哈][哈哈][哈哈],4.1093771359959925
109098,0,//@蓝鲸财经记者内参:[怒],21.677479632566587
84268,0,还浪费一对日抛隐形眼镜[泪],19.499397237684658
91355,0,最后一天，舍不得阿……[泪],8.51239194590956
4474,1,长的太美了 所以肯定是[嘻嘻],7.336887130923485
88572,0,今日不宜出行[衰][衰][衰],7.726973255347942
3240,1,猴子老师越来越大气啦[鼓掌],14.486422699362492
22341,1,@2的有缘人 想起你来[嘻嘻],40.41762321144962
107627,0,我也想吃这个[泪][泪][泪],4.873801309315407
105726,0,7点出门，这才刚看见招牌[泪],15.958093163799585
20220,1,[哈哈][哈哈]@小韦911,23.777389832078157
101511,0,[衰]//@褚达晨: 转发微博,75.80580124481028
113130,0,[衰]//@人参爽: 吓死个人,154.73120005257863
