,labels,text,neg_logits,pos_logits
8711,0,[MASK]行。病人吃啊，挂面哈拉味，汤也腥。,11.643589,5.4862905
5797,0,[MASK]行。豆腐丝里吃出苍蝇，啥也不想说了,10.6093855,5.1371818
768,1,[MASK]行。味道很好！送的也很快！好吃！,10.500302,8.24652
2518,1,[MASK]行。菜品好，速度快，真是太好了！,9.535726,6.737981
7638,0,[MASK]行。这家店就直接没送，接单不送的店,11.20542,5.7347355
6583,0,[MASK]行。送餐太慢太慢了～菜品还可以～,11.908156,6.3228674
6692,0,"[MASK]行。下次能送早点就好啦,快饿过劲啦",10.912321,5.6952677
484,1,"[MASK]行。很好吃量也很大都吃不完,赞一个",10.569298,8.70479
11295,0,[MASK]行。下单2个小时才送到。无语了。,12.615461,5.8921065
2826,1,[MASK]行。谢谢师傅，辛苦了！非常准时！,8.496291,6.4140663
11958,0,[MASK]行。粉很好吃，但是订了卤蛋却没有。,11.655127,6.4417605
4074,0,"[MASK]行。吃到一半发现菜里有小强,简直了",11.404461,6.3640137
1568,1,[MASK]行。米饭是硬的。。不如上一次好吃,12.0026655,5.0194426
10881,0,[MASK]行。米饭里有一只蟑螂，让人怎么吃,10.726905,4.625594
6353,0,[MASK]行。咖喱鸡肉烩意面，不知鸡肉滋味,10.621388,5.823264
4765,0,[MASK]行。很慢就不说了，关键是还不好吃。,11.336301,8.137383
370,1,[MASK]行。态度很好，效率很高，给十分赞,8.080647,6.1124687
11746,0,[MASK]行。速度慢，第一次订餐就迟到，晕,11.75668,5.7287207
8159,0,[MASK]行。送餐走错路，袋子还破了………,11.796546,4.9510674
2366,1,[MASK]行。一直买他家的香脆鸡肉披萨，喜欢,11.278033,7.0664873
866,1,"[MASK]行。师傅辛苦了，谢谢,下雪注意安全",9.82309,5.5305233
2743,1,[MASK]行。又快又好棒呆了哈哈哈哈哈哈哈,9.450746,5.657933
9911,0,[MASK]行。石锅拌饭里面吃出了塑料包装纸袋,10.675014,5.0515084
5045,0,[MASK]行。菜品没味道。。。周也是。。。。,11.798888,5.4514813
1563,1,[MASK]行。又快又好又便宜！真心给力！！！,8.109679,5.39853
10234,0,[MASK]行。面时间太长了，坨了，不好吃了,12.082414,6.1071153
29,1,"[MASK]行。送餐非常快,态度特别好,谢谢",9.733902,7.0352383
6442,0,"[MASK]行。太小了,味道一般,说多了都是泪",11.43808,5.4207673
467,1,[MASK]行。送餐员辛苦，饭也好吃，继续购买,10.366439,4.882916
58,1,"[MASK]行。送餐特别快,送餐员态度也特别好",10.10972,7.203241
1652,1,[MASK]行。很快，也好，包装也好，赞赞赞,9.381565,7.389597
4529,0,[MASK]行。味道还行，就是送餐太慢了……,10.393171,7.87025
88,1,"[MASK]行。又快又好,小哥态度很好,好评",9.179071,7.314214
4524,0,"[MASK]行。味道就那样把,盖浇饭挺难吃的",11.324411,7.277759
3085,1,[MASK]行。外卖小哥人超级好。。。。。。,10.889982,5.786485
10811,0,[MASK]行。速度挺快的，面不好吃，都凉了,11.223427,6.491226
8052,0,"[MASK]行。点两份鸡柳,就给送,一份。。。",9.453195,4.634377
5562,0,[MASK]行。太慢，太小，吃不饱。味道还行,11.739574,7.69382
5132,0,[MASK]行。不好吃。。。菜太少了。。。。,13.101103,6.973684
2537,1,[MASK]行。配送非常快，10分钟就送到啦～,9.255132,6.4727216
2730,1,[MASK]行。人好速度快，好评好评好评！！,8.63072,4.7237115
6256,0,[MASK]行。米粉比以前份量少，没以前好了,11.045852,5.3720965
2717,1,[MASK]行。东西非常好，还是热的，辛苦了！,10.526126,6.9392185
5791,0,[MASK]行。给的豆皮果然多，只是肉变少了,10.249512,5.453005
434,1,[MASK]行。很快，很好，经常订，谢谢师傅,9.3343,7.9671493
2067,1,[MASK]行。非常好吃，送餐很快，绝对好评,10.241702,7.4435673
8096,0,[MASK]行。就薯条还行！其他都不怎么样！,11.55052,7.7652326
1952,1,[MASK]行。味道还好。服务态度真的很好～！,10.878111,7.888461
6980,0,[MASK]行。咋的跟饿了吗不一样的名，坑爹,10.404102,5.0035744
2435,1,[MASK]行。经常买这家的饺子，味道棒棒哒！,10.593922,7.646467
9055,0,[MASK]行。没有在店里吃好吃，萝卜太多了,12.351918,5.848363
1653,1,[MASK]行。除了速度有待加强，其他都不错,9.602084,6.2559443
3654,1,[MASK]行。没有餐具哦，还要自己点餐具么,11.957709,5.3248167
1739,1,"[MASK]行。服务不错,但是太难吃了啊啊啊",9.413005,5.2661567
11045,0,[MASK]行。面也太少了，才半盒，我就没吃饱,12.773577,6.6913066
2626,1,[MASK]行。非常的正宗，就是羊杂汤太咸啦,9.073985,7.433095
7925,0,[MASK]行。午餐肉实在太难吃了，千万别点,11.410232,4.651582
5910,0,[MASK]行。真的不适合外卖，另外，真难吃,12.256969,5.9505777
11336,0,[MASK]行。我的电话打不通，不知道为什么,12.820664,5.607308
809,1,[MASK]行。很好，速度飞快，炸鸡有点火大,9.883677,6.744778
661,1,[MASK]行。太快了！！简直是神速啊！！！,9.077137,4.2316356
396,1,"[MASK]行。第二次买了,挺好的,以后继续",11.018532,6.7414594
5702,0,[MASK]行。我备注要的粥，结果送来的是饮料,11.451932,5.479905
10859,0,[MASK]行。赠送的黄飞红花生呢？没送啊！！,11.047621,4.096845
280,1,[MASK]行。非常好送的很快，，，还是热的。,9.714165,7.828987
184,1,[MASK]行。好好好！赞赞赞！态度好速度快！,9.256682,6.0857763
2289,1,[MASK]行。味道很好而且很实惠送得也很快,10.228044,7.383807
4775,0,[MASK]行。包装牛逼，送餐速度……咳咳……,9.991983,5.7329783
2711,1,"[MASK]行。番茄醬撒了QAQ,其他nice",8.918679,5.1796265
854,1,"[MASK]行。粥里有头发,就没吃,剩下都好吃",10.807269,5.842823
5116,0,[MASK]行。太慢了，俩小时连个解释也没有,12.009381,5.3361993
