,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,12.095647973873906
48250,1,爱上江西，没有理由！[哈哈],4.964434068831987
100168,0,计划赶不上变化[抓狂][泪],5.420487281757128
22319,1,芭其乐，大嘴快乐的家伙[爱你],35.83918460184365
70122,0,传统已逝??????[抓狂],14.98328561415736
6338,1,谢谢哈! 欢迎常来![鼓掌],7.2929124818847
20081,1,胖子手感好啊！[鼓掌][爱你],6.96062980545646
23064,1,生快！[干杯][蛋糕][鼓掌],13.396045229239812
84060,0,居然把我干儿子装脸盆里！[怒],24.624057281209424
93871,0,三哥总是这么的让人惊喜[晕],15.775705952090002
104161,0,此刻后：ko了... [晕],58.15920663832846
40416,1,[害羞][哈哈]@魔王1987,15.393347812964493
15376,1,随手拍祝大家周末愉快！[爱你],3.9155864480184213
10199,1,是滴，美女。欢迎哦！[可爱],20.379757876113075
71224,0,偷贡品。不怕报应啊？。[衰],86.1780384129383
12238,1,[哈哈] //@独眼u:哈哈哈,10.698548543925668
77537,0,求二手智能手机。。。[抓狂],7.465527342622026
55063,1,是帮你挡酒的男的么？[嘻嘻],9.686376245367224
21548,1,原来很多国家都免签![哈哈],4.853745682667182
38076,1,百变大咖秀真的很快乐[哈哈],4.045113322949765
84198,0,[泪]//@那木错:[微风],49.01552544179161
27872,1,哈哈，强大[鼓掌][good],12.919980119140108
48051,1,眼睛一眨，美妞变辣妈！[哈哈],3.9913744855844766
18029,1,祝大家十一小长假快乐[太开心],2.810766302750598
115177,0,[泪] //@袁腾飞:[泪],12.978349656373855
114619,0,可怜的风扇[泪] 我要等正版！,20.09841537405916
64870,0,固执的大叔这场又好危险[失望],19.232091909567878
74958,0,办公室都是孩儿他娘！！！[怒],26.001399500730106
77734,0,//@地狱中的八尾猫: [衰],22.840461244490196
51580,1,财神到我手?[偷笑][鼓掌],18.164534832398274
54352,1,爱吃牛排的童鞋举个手~[爱你],3.6107782784925373
8324,1,开始喽，看起来吧！！[鼓掌],19.54510840966645
106626,0,受伤，是个超级不好的消息[衰],7.994013197432576
15031,1,[哈哈][哈哈]收费大调查。。,5.9988340462018925
8249,1,用美食向大家说早安~[嘻嘻],4.741299483238684
59782,0,愚人节的游戏，银行也玩呀[衰],8.16175679251765
110113,0,[衰]弄破了，基本上不会复原！,10.708402979000308
11405,1,哈，回忆录写到哪了？[嘻嘻],8.328289598130029
81138,0,书人搬家，其实就是搬书[晕],21.403053306741903
14831,1,《时尚旅游》也玩街拍了[哈哈],4.12207585880989
51446,1,阿姨做的菜相当好吃呢[爱你],4.466593327266513
73965,0,Facebook 还在跌[晕],124.18900717974782
101129,0,[抓狂] 你是在哪里腐败~~~,12.516099095559317
104892,0,男人动手…[怒][怒][怒],8.536389635325682
66040,0,我在这里：#闸北区#吃饭[泪],19.551838250866034
87632,0,难得休息的，竟然感冒了[泪],8.175610071356916
96063,0,知道得太晚了，遗憾！[失望],3.4226318066236168
81716,0,社会败坏的典型!?救了[衰],34.442514051009844
92195,0,姐，我给你跪下了，这才气[晕],33.954958642593
95696,0,[泪]同意，让他们变成海豹!!,10.025315691526243
19351,1,//@好色小湿妹: [哈哈],15.823727898592612
41680,1,我觉得总结的很好，喜欢[鼓掌],3.4758269197943603
21865,1,斯坦福正门左侧草坪。[嘻嘻],6.141392873389657
2453,1,[嘻嘻]重口味爱好者的福音来咯,4.208738728750319
48755,1,转给来北京玩的童鞋们[可爱],5.370334741042505
53195,1,偷偷发张我师父的照片[哈哈],5.631941367102589
12712,1,好样的！[嘻嘻]你家就你牛！,18.088856904560213
94030,0,早知道找你买了还能越狱[抓狂],22.028950700632365
40934,1,我上班能穿成这样吗？[嘻嘻],4.430146257918542
11905,1,[哈哈][哈哈][哈哈]翔子,4.402846781781927
56807,0,还有这么不要脸的[怒] 扩散,12.911951956314997
63131,0,最近压力让我头痛 [衰][晕],9.024794638695873
29589,1,@兔子奶奶熊的娘 还有[哈哈],23.30122380909667
101122,0,堵塞，不动！我快哭了！[泪],14.501037588437178
75355,0,下辈子该她被扔下去！！！[怒],27.652882233220197
70889,0,现在的快递啊，真心桑不起[泪],15.499115047025908
93899,0,我也有中奖的时候啊[泪][泪],2.2444694239693073
7932,1,[哈哈]//@大藏布:[哈哈],13.524844100860607
4819,1,有趣的“悲剧”设计！[哈哈],3.1851542639428527
112114,0,有把脚崴了。。。 大馒头[泪],35.47967392189923
9343,1,这透视，照成小短腿儿了[哈哈],21.077322821071366
86440,0,下冰雹了，我怎么回家呀[泪],8.203578823232919
82229,0,我也是男人//@???：[泪],9.54541658318872
34841,1,[鼓掌][鼓掌]期待精彩呈现,2.225636462339536
106204,0,[泪]同求 粉待亲粉待亲呀！,18.592098661355283
63072,0,回去换身衣服准备第三场[抓狂],12.032441810014436
108363,0,狗狗是人类最忠实的朋友！[泪],2.511517520286166
51324,1,[太开心] 过500了~ ?~,15.668202235385191
48652,1,家庭聚会，愉快的周末！[爱你],3.9526873143849106
50046,1,这么有意境的菜~~~[哈哈],5.086157436376653
69366,0,我滴亲丸子啊[泪][泪][泪],14.197837933227923
18022,1,//@电商报: 啊~~[哈哈],12.075249409903716
11792,1,谢谢喜欢我家的玛克丽[哈哈],5.746335519042115
51645,1,我发现我就是来发微博滴[可爱],5.757825058818549
75967,0,见过好多，就是学不来啊[衰],11.851971248491116
55553,0,操，你他妈干的是人事嘛[怒],27.89921149075888
63799,0,我好像午饭忘吃了。。。[晕],8.656450215484739
2403,1,生日快乐，美女快乐哦~[嘻嘻],3.6905995457249587
87818,0,[鄙视]//@钱文忠: [泪],26.163136626418915
42197,1,[good]我要好吃的[亲亲],15.551058134171544
2716,1,享受生活的乐趣[哈哈][?力],6.987990965665481
114496,0,我又错过了[衰]对不起唐老师了,9.35137982367259
39216,1,我的 剧照 ，?点咪[哈哈],51.81335715826514
78602,0,英语太烂，说不明白啊。[抓狂],6.269242097331944
677,1,[抱抱] 收藏，下班的时间看,9.268459771123014
76315,0,南方的小伙伴们，保重！[衰],11.468735997332177
67304,0,唉，又一轮轰炸即将开始[衰],7.717620137802744
44036,1,吼吼吼，怎么又回来了[鼓掌],4.356401097429627
9733,1,今天早餐从简[偷笑][嘻嘻],11.562011266942891
27440,1,真滴哇~~好啊好啊！[亲亲],12.783203665867351
2178,1,带着葡萄酒去蹭饭，[哈哈]。,4.859838830936214
49100,1,晚餐时间到！自己煮的[爱你],6.288205249049081
69009,0,//@Gummi_S:[泪],15.168574560540788
3699,1,大家多多帮黑哥投票哈[鼓掌],9.23031377993547
36275,1,陕西八大怪，面条想裤袋[哈哈],41.48828474888414
74734,0,有才！唉……[衰][衰][衰],4.858416349573702
10024,1,又一位收到材料的同学[鼓掌],3.6404663411207747
13954,1,今天是全国电视屏保日[嘻嘻],5.475053956126954
9691,1,多增加几款好酒才素王道[哈哈],15.625228722442891
48990,1,再奋斗一天[哈哈]，度长假。,8.394660706310201
2741,1,这就是传说中的落水狗。[哈哈],4.638657520891219
76712,0,号称几十万的沙发[晕][晕],5.606468624844387
35080,1,这是你哥？为毛这么像？[哈哈],10.168253485106328
41502,1,偶下班啦！打卡，回家！[嘻嘻],8.62066462215201
65053,0,看看我的红皮箱[泪]好可怜哦！,10.76817072124924
93676,0,没检查到作业，百爪挠心啊[泪],41.7784965407395
11655,1,[围观]中秋快乐哦。[哈哈],3.354788522308371
114061,0,[心][话筒][话筒][泪],7.190815965690117
58008,0,林子大了，什么鸟都有。[怒],5.466618722029118
40101,1,[哈哈]//@韩松落: +1,19.62346824642195
90836,0,堵车堵死了，彻底的迟到了[泪],7.563229324830807
18137,1,下午茶时间到[太开心]降降火,15.273955262012963
113902,0,结果我没下来，你下来了[衰],6.9416980847956875
100680,0,//@北京熊麦宠物医院:[泪],17.78602411346314
35326,1,送个艺龙旅行梦想吧！[哈哈],16.29707846360227
3527,1,花粉们，可以试一下哦~[嘻嘻],8.853655779960606
12398,1,加油[爱你][嘻嘻][嘻嘻],2.9154345185865123
61181,0,帮转！[泪][晕] 闹心的事?,52.33479210498615
25838,1,亲亲客气了哈~喜欢就好[爱你],15.824635024481891
94418,0,看到了中国足球的春天了[泪],3.959063334643708
14036,1,[鼓掌]//@毛丹青: 扩散,30.242866991092242
29246,1,哈哈。缘分啊！激动啊！[哈哈],7.2025351392032855
55695,0,//@看历史: [泪] [泪],5.873041308216195
84988,0,[衰]//@申格体育:[吃惊],50.207862900544036
32493,1,完满人生[good][鼓掌],23.09048531799022
9214,1,欢迎欢迎！！！[挤眼][鼓掌],8.751314353044386
28188,1,罗切斯特，等着我来！[爱你],10.983090469413124
76875,0,刚打完，基本上都是被说[衰],12.129876558400502
477,1,转！[哈哈][哈哈][哈哈],3.9958863929649437
57770,0,在移动MM呆不住啦[汗][晕],28.872962027543572
62059,0,大连你怎么了，重度污染[怒],12.378531551632696
69533,0,刚看完[抓狂]，超想去唱K的,11.428252147623311
938,1,红T恤的爷爷真年轻！[哈哈],3.3610769229166957
69844,0,//@un-wong: [衰],23.15871620016498
94290,0,gonna crazy[抓狂],20.403531090569818
4435,1,快来喝蜂蜜柚子茶吧。[太开心],3.514639630007371
78963,0,海马！斯密达！[泪]悲催鸟！,34.47893358393951
83649,0,接下来好几天都很冷。[悲伤],5.536283908574033
26008,1,//@大阪旅游微博: [鼓掌],9.626575056546821
34157,1,人群定位，与属性特征[嘻嘻],8.709707707675772
113976,0,都几点了，还没吃上饭饭[晕],20.496272713046235
66831,0,攒钱攒钱，木钱去不了啊[抓狂],15.380706094908435
97703,0,孤独滴加班者～[失望][衰],31.377372953640887
7352,1,重金之下，必有勇夫~ [嘻嘻],12.351331328613051
30392,1,别逼我[嘻嘻][嘻嘻][嘻嘻],4.084247301374581
109491,0,[衰]在中转站要等8个半小时,14.657103422579405
93917,0,在中关村都迷路，OMG[衰],60.454140184595424
18349,1,更多选择，更多欢笑！[嘻嘻],2.8195837176806178
47859,1,//@云舒兰心: @[鼓掌],69.58698542405062
20283,1,午间休息，休息一下~[嘻嘻],4.789710786657106
37322,1,欢迎！欢迎！北京欢迎你[嘻嘻],1.9012301323830751
4836,1,[鼓掌][鼓掌]生命在于运动！,2.4957686080822374
37496,1,你俩像一对儿[偷笑][爱你],13.82391372054459
49167,1,吃饭前要好好祷告……[哈哈],2.975169562083782
110411,0,[衰][衰][衰]何时了啊？,4.427691972219562
92460,0,据说我家怒豆儿谈恋爱了[抓狂],26.162762793815997
100011,0,我di........[抓狂],19.375390009625796
41511,1,现场男女比例还真2：2[哈哈],5.712262639927035
85365,0,#汪汪在旅途#又是摆渡车[衰],32.300303231710885
38265,1,母子俩再次同台，乐啊。[哈哈],7.915837196176493
113324,0,斗鸡眼//@凯撒真神：[泪],87.38418724492125
90668,0,[衰] //@玉?城：转发微博,36.93389489643001
12480,1,恩乖乖玉照！[哈哈][哈哈],32.3986029417567
74666,0,[怒]//@大藏布:转发微博,30.490775121184377
83987,0,成人 不应该是这样的 [泪],7.02803329270936
103977,0,秋天快来吧，热死我了！[泪],8.611156766302207
112502,0,打速汤圆节的存货，吃吐[抓狂],277.666331425942
53102,1,@vivian于小璐 [嘻嘻],10.426935807254292
104512,0,这都多少年没拿奖了。。。[泪],4.799080185867153
90960,0,真的好困啊 我要睡觉觉[泪],11.37092535401245
55074,1,收拾得干干净净过年啦[嘻嘻],3.829874899800242
5471,1,小胖子一岁生日的照片[哈哈],4.628164336514912
84971,0,景点都去过，钱不是都有[衰],43.09435234943541
73614,0,国家奥委会，要上诉!!![怒],15.71230421325449
66923,0,永远是孩子？就是傻呗！[泪],13.145254511552917
59398,0,[泪]我的间隔年。。。呜呜呜！,13.385728850526789
25194,1,//@重庆卫视星电影:[嘻嘻],9.562716398292048
115235,0,这是摆明了不让人活啦[抓狂],29.68980682706458
45618,1,姐19号回来！勿念！[爱你],28.765658924123706
83584,0,[汗] //@赵金良: [衰],60.423693873166506
81307,0,"咳嗽没好又套了一个感冒,[泪]",12.93537732419842
41294,1,USA dreams[鼓掌],85.76155854793201
112328,0,@和蜗牛一起散步 ~[泪]感人,7.785484586113411
88288,0,明天又要爆表了，脏乱差[抓狂],17.78724353985998
104502,0,羡慕出差顺带旅游的孩纸[泪],7.733899876370229
105749,0,被噩梦惊醒，心怦怦乱跳。[泪],4.006044598412849
96846,0,//@青岛新闻网:全中[泪],13.69858486405474
68347,0,睡眠真差[泪][抓狂][怒],13.391771660307038
8392,1,#舌尖上的春节#年夜饭[嘻嘻],7.4847325483395
71196,0,我的心态确实不对!!![泪],3.171514469425765
13629,1,哈哈，幸福指数提升喽[鼓掌],4.301969108505799
11841,1,今年最新款[挖鼻屎][嘻嘻],6.745939189447592
79485,0,//@洋洋_67:[晕] 哈哈,17.10052721901652
30530,1,Holly Cow [哈哈],17.781907351222
80380,0,再这么下去要疯啦~~~[泪],5.590417841104718
48537,1,光影迷离，市井人生！[鼓掌],23.353532544745164
51634,1,午安。愿幸福与大家同在[嘻嘻],6.568238834385362
115169,0,[泪] 这么快走了。都没看到你,6.502830756373263
113362,0,前一秒阳光，后一秒暴雨[衰],5.550139081297344
44544,1,崇拜[爱你][爱你][爱你],4.717860850012401
26633,1,确定、肯定以及不否定。[嘻嘻],5.905771201380792
95361,0,哥啊.....你竟诱惑我[泪],13.00990392702907
27247,1,[哈哈]本人拙作。真是惭愧哈。,7.686320825841381
49411,1,雷雨天，去哪儿？跑步！[嘻嘻],6.841592505486716
41809,1,[哈哈]貌似我也纠结过很久……,2.1531169995539425
21126,1,谢谢您! 欢迎常来哈![鼓掌],7.400894272349798
64751,0,"有道和词霸集体变脸,好丑[泪]",28.314022714725635
2499,1,@cecilia大饼 [爱你],21.815245367583028
25371,1,又见三俞！！！[嘻嘻][嘻嘻],15.240005305398052
6075,1,[哈哈] //@圈J圈：[衰],35.283362756913625
