,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,123.75188888527957
48250,1,爱上江西，没有理由！[哈哈],9.577313600936225
100168,0,计划赶不上变化[抓狂][泪],13.147113233964586
22319,1,芭其乐，大嘴快乐的家伙[爱你],137.57593001769916
70122,0,传统已逝??????[抓狂],30.35805632324428
6338,1,谢谢哈! 欢迎常来![鼓掌],19.39264004432065
20081,1,胖子手感好啊！[鼓掌][爱你],15.76462220574012
23064,1,生快！[干杯][蛋糕][鼓掌],42.99309464993568
84060,0,居然把我干儿子装脸盆里！[怒],40.96315577583804
93871,0,三哥总是这么的让人惊喜[晕],40.19981046482005
104161,0,此刻后：ko了... [晕],164.81133225747013
40416,1,[害羞][哈哈]@魔王1987,59.50265670757986
15376,1,随手拍祝大家周末愉快！[爱你],11.657528008522489
10199,1,是滴，美女。欢迎哦！[可爱],40.904296403699675
71224,0,偷贡品。不怕报应啊？。[衰],267.79524797417145
12238,1,[哈哈] //@独眼u:哈哈哈,20.56118643643202
77537,0,求二手智能手机。。。[抓狂],30.170021284794135
55063,1,是帮你挡酒的男的么？[嘻嘻],23.912018721950904
21548,1,原来很多国家都免签![哈哈],17.47751746991976
38076,1,百变大咖秀真的很快乐[哈哈],18.049299422551947
84198,0,[泪]//@那木错:[微风],70.77089162014461
27872,1,哈哈，强大[鼓掌][good],56.25351701662661
48051,1,眼睛一眨，美妞变辣妈！[哈哈],33.30875449270193
18029,1,祝大家十一小长假快乐[太开心],19.881217737287656
115177,0,[泪] //@袁腾飞:[泪],8.583239051903714
114619,0,可怜的风扇[泪] 我要等正版！,32.39367205081454
64870,0,固执的大叔这场又好危险[失望],54.06403130946863
74958,0,办公室都是孩儿他娘！！！[怒],40.38944058016643
77734,0,//@地狱中的八尾猫: [衰],34.5693908202723
51580,1,财神到我手?[偷笑][鼓掌],57.77880774761874
54352,1,爱吃牛排的童鞋举个手~[爱你],81.07450192579081
8324,1,开始喽，看起来吧！！[鼓掌],36.65414910372089
106626,0,受伤，是个超级不好的消息[衰],21.028091273674058
15031,1,[哈哈][哈哈]收费大调查。。,8.985935354271058
8249,1,用美食向大家说早安~[嘻嘻],19.688465626087883
59782,0,愚人节的游戏，银行也玩呀[衰],27.57460936802183
110113,0,[衰]弄破了，基本上不会复原！,10.378870840142522
11405,1,哈，回忆录写到哪了？[嘻嘻],23.95830579719348
81138,0,书人搬家，其实就是搬书[晕],48.98829512333646
14831,1,《时尚旅游》也玩街拍了[哈哈],20.949379206479733
