,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,18.34562310605385
37994,1,局气！规矩！管虎导了俩影帝了！,642.4892319059117
45474,0,前半段真好看，后半段越来越萎,10.178299447500585
37018,0,前面的剧情看得我尴尬癌都犯了,22.578241440186464
39152,0,混乱的情节，特么矫情无下限。,16.927183245382807
4952,0,适合能静得下心和有故事的人。,9.584287762065298
49922,1,最是人间留不住朱颜辞镜花辞树,375.92763039578574
18895,1,超级治愈又感人，狗狗真的好暖心,13.721850633042177
16855,0,密室设定很有意思，可惜未能维持,13.215473965340898
33344,1,原来巴萨的德国馆还有这个用处,54.02015529415925
43014,1,丫丫真的太美了，前夫哥好可爱,30.068330776209855
30945,0,烂的一逼，啥都没有，狗屁不通。,19.40493182146594
11202,1,这个玛丽苏我喜欢很好看求续集,59.54246440241327
43097,1,看了点映，好多戳中我泪点??,173.1681380463177
7229,0,郑恺和郭采洁还挺有cp感的。,52.54953284120531
46824,0,民乐要靠二次元来拯救了嘛……,65.51590710298335
44791,1,反正我追完了，为了女主的颜值,24.475838291490795
40750,0,我朋友说，她尴尬得想原地去世。,28.929909363737575
24357,0,今年作品太多了，有点透支了。,7.85969069489634
12065,0,我是真的觉得孙悟空的扮相太丑了,21.738510461214123
44782,1,还可以吧……感觉题材还算新颖,7.2889182665949495
11314,0,看完情圣来评评这部这部比情圣好,23.950814674634604
19047,1,它令我想起曾经怦然心动的轻吻,14.297827633563482
45899,0,发哥抄着烂片专业户就去了。。。,215.8085447101434
14214,0,第一集演得什么玩意儿，尴尬死了,9.972424982996715
31414,1,热热闹闹的，看得我好开心啊。,7.9063656129339765
25276,0,煽情煽成了MV，大家都笑了。,22.300819084915346
47776,1,最喜欢的科幻故事，很成功的改编,6.6020620019546685
45012,1,还算可以哦，故事讲的挺精彩！,28.013543499463786
49786,0,被黑天鹅惊艳到了！美轮美奂！,19.26392642305033
11029,0,到底在演什麼啊？？大爛片！！！,37.06195525383293
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,12.100285639346184
3121,1,你无车无楼无番狗做乜要拖我手,540.6006339844162
9512,0,最弱版劳拉了吧？太弱了太无聊了,103.70675484024453
15976,0,重拍经典，孩子对恐惧的克服。,13.118953602726817
26862,1,太好看了！笑得我内分泌失调！,32.35357041301752
30395,0,本来两星，加一星给受罪的演员吧,92.72032902637584
22972,0,《星际特工：全宇宙看我们尬爱》,32.43548990997334
30570,0,特效不错啊，但剧情就大简单了,32.9781311361311
20588,0,气氛到位，演员不存，故事简单！,20.713135501129138
13869,0,看的点映，形式“精致”的大烂片,90.78578860670838
24216,1,最后居然没搞你们还是人吗？？？,41.95364932097631
32991,0,平淡真实不温不火我没懂哭点在哪,134.6989444955477
1732,1,其实伍迪哈里森演的是一个天使,33.235383268893784
4472,1,陈可辛拍商业文艺片真的不错~~,20.709990606855946
33439,0,泡泡妹子打打架，兄弟情在哪？,54.233439136999756
11847,0,一部非常尬的电影。不推荐观看。,5.309211691052332
16369,0,张艺谋式的漂亮画面，何必3D。,34.89803285753096
31321,0,"我不信你们没东西怼地雷啊=""=",96.8321140285221
18949,1,少男少女必看，爱与美的启蒙。,15.255035413581458
32102,1,迪斯尼的动画很赞，配乐很好听！,30.69699898037876
9630,1,喜欢坎妹素颜的劳拉，期待后续。,81.00030508638119
1571,1,演小安生的小朋友很像岳云鹏啊。,81.28128187537848
38226,1,你猜不到的结局…猜不到的惊异…,17.49364731947588
17406,0,卡尔文老师不是触手，是海蜇皮啊,54.304656261329754
