,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,436.18358725474644
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,48.7032850508378
768,1,味道很好！送的也很快！好吃！,26.33497775891766
2518,1,菜品好，速度快，真是太好了！,13.042685890526482
7638,0,这家店就直接没送，接单不送的店,134.0691199280842
6583,0,送餐太慢太慢了～菜品还可以～,96.22656830136253
6692,0,"下次能送早点就好啦,快饿过劲啦",166.46684740287503
484,1,"很好吃量也很大都吃不完,赞一个",142.84585827625594
11295,0,下单2个小时才送到。无语了。,31.702669350761113
2826,1,谢谢师傅，辛苦了！非常准时！,36.313198279268306
11958,0,粉很好吃，但是订了卤蛋却没有。,104.7928338349859
4074,0,"吃到一半发现菜里有小强,简直了",74.72822907779347
1568,1,米饭是硬的。。不如上一次好吃,73.08282042233006
10881,0,米饭里有一只蟑螂，让人怎么吃,33.01717262004536
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,53.13297915939647
4765,0,很慢就不说了，关键是还不好吃。,20.98985856794113
370,1,态度很好，效率很高，给十分赞,42.72939597386172
11746,0,速度慢，第一次订餐就迟到，晕,71.86650602244345
8159,0,送餐走错路，袋子还破了………,84.67419869460456
2366,1,一直买他家的香脆鸡肉披萨，喜欢,17.0679064198401
866,1,"师傅辛苦了，谢谢,下雪注意安全",34.60213257116239
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,38.18261048997488
9911,0,石锅拌饭里面吃出了塑料包装纸袋,123.05172615709685
5045,0,菜品没味道。。。周也是。。。。,223.4323717803329
1563,1,又快又好又便宜！真心给力！！！,29.275344928423653
10234,0,面时间太长了，坨了，不好吃了,42.820752190321066
29,1,"送餐非常快,态度特别好,谢谢",54.72370126935734
6442,0,"太小了,味道一般,说多了都是泪",19.48185638375661
467,1,送餐员辛苦，饭也好吃，继续购买,23.909803534688937
58,1,"送餐特别快,送餐员态度也特别好",30.3761818569131
1652,1,很快，也好，包装也好，赞赞赞,36.023270051290915
4529,0,味道还行，就是送餐太慢了……,20.98416635949216
88,1,"又快又好,小哥态度很好,好评",17.71005111150352
4524,0,"味道就那样把,盖浇饭挺难吃的",104.99781080364642
3085,1,外卖小哥人超级好。。。。。。,141.4322976160902
10811,0,速度挺快的，面不好吃，都凉了,57.64750458970621
8052,0,"点两份鸡柳,就给送,一份。。。",413.4492613614539
5562,0,太慢，太小，吃不饱。味道还行,16.44428617573912
5132,0,不好吃。。。菜太少了。。。。,132.75500297884074
2537,1,配送非常快，10分钟就送到啦～,43.02716615381383
2730,1,人好速度快，好评好评好评！！,35.37296903538282
6256,0,米粉比以前份量少，没以前好了,26.09774863313942
2717,1,东西非常好，还是热的，辛苦了！,14.183831830027732
5791,0,给的豆皮果然多，只是肉变少了,431.11404685538656
434,1,很快，很好，经常订，谢谢师傅,32.56760859339346
2067,1,非常好吃，送餐很快，绝对好评,54.270900889379575
8096,0,就薯条还行！其他都不怎么样！,39.35221431203509
1952,1,味道还好。服务态度真的很好～！,14.754961054065777
6980,0,咋的跟饿了吗不一样的名，坑爹,509.6119427886652
2435,1,经常买这家的饺子，味道棒棒哒！,20.423363217202887
9055,0,没有在店里吃好吃，萝卜太多了,34.977598031113985
1653,1,除了速度有待加强，其他都不错,14.56541445793564
3654,1,没有餐具哦，还要自己点餐具么,49.66995286646254
1739,1,"服务不错,但是太难吃了啊啊啊",14.60154403116867
11045,0,面也太少了，才半盒，我就没吃饱,121.82604462356423
2626,1,非常的正宗，就是羊杂汤太咸啦,107.2856441312325
7925,0,午餐肉实在太难吃了，千万别点,11.14098227172909
5910,0,真的不适合外卖，另外，真难吃,35.16671636368281
11336,0,我的电话打不通，不知道为什么,6.938962726378995
809,1,很好，速度飞快，炸鸡有点火大,37.8080380749928
661,1,太快了！！简直是神速啊！！！,27.416311476406168
396,1,"第二次买了,挺好的,以后继续",18.946694246509097
