,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,12.63978163286035
48250,1,爱上江西，没有理由！[哈哈],5.916078082763322
100168,0,计划赶不上变化[抓狂][泪],3.8683512828658664
22319,1,芭其乐，大嘴快乐的家伙[爱你],32.510528245662684
70122,0,传统已逝??????[抓狂],12.700747236661902
6338,1,谢谢哈! 欢迎常来![鼓掌],7.704621905664193
20081,1,胖子手感好啊！[鼓掌][爱你],8.315987806532043
23064,1,生快！[干杯][蛋糕][鼓掌],20.20493487014393
84060,0,居然把我干儿子装脸盆里！[怒],18.800606872400007
93871,0,三哥总是这么的让人惊喜[晕],18.689257272048522
104161,0,此刻后：ko了... [晕],43.56230184415345
40416,1,[害羞][哈哈]@魔王1987,11.924001885884902
15376,1,随手拍祝大家周末愉快！[爱你],4.964239112551334
10199,1,是滴，美女。欢迎哦！[可爱],18.385937293174063
71224,0,偷贡品。不怕报应啊？。[衰],67.98764082536597
12238,1,[哈哈] //@独眼u:哈哈哈,10.305864239858474
77537,0,求二手智能手机。。。[抓狂],5.340623464082571
55063,1,是帮你挡酒的男的么？[嘻嘻],13.158146995959413
21548,1,原来很多国家都免签![哈哈],7.334704238073182
38076,1,百变大咖秀真的很快乐[哈哈],6.2643076404656375
84198,0,[泪]//@那木错:[微风],44.65089712337772
27872,1,哈哈，强大[鼓掌][good],12.054415936457692
48051,1,眼睛一眨，美妞变辣妈！[哈哈],4.55270289457551
18029,1,祝大家十一小长假快乐[太开心],2.7271609106661603
115177,0,[泪] //@袁腾飞:[泪],10.70190732731631
114619,0,可怜的风扇[泪] 我要等正版！,13.147053489190341
64870,0,固执的大叔这场又好危险[失望],15.451014274144367
74958,0,办公室都是孩儿他娘！！！[怒],20.237351643934264
77734,0,//@地狱中的八尾猫: [衰],19.61196142976052
51580,1,财神到我手?[偷笑][鼓掌],21.757863774805163
54352,1,爱吃牛排的童鞋举个手~[爱你],4.51630443446101
8324,1,开始喽，看起来吧！！[鼓掌],13.266256183981499
106626,0,受伤，是个超级不好的消息[衰],6.117828051639179
15031,1,[哈哈][哈哈]收费大调查。。,5.439080601559016
8249,1,用美食向大家说早安~[嘻嘻],7.119895689372337
59782,0,愚人节的游戏，银行也玩呀[衰],8.62566493947583
110113,0,[衰]弄破了，基本上不会复原！,7.53934698047906
11405,1,哈，回忆录写到哪了？[嘻嘻],8.96103533051224
81138,0,书人搬家，其实就是搬书[晕],21.35959453200055
14831,1,《时尚旅游》也玩街拍了[哈哈],4.921240442526399
51446,1,阿姨做的菜相当好吃呢[爱你],4.4290670713556795
73965,0,Facebook 还在跌[晕],91.07035979756688
101129,0,[抓狂] 你是在哪里腐败~~~,9.135475612784761
104892,0,男人动手…[怒][怒][怒],8.082456848564025
66040,0,我在这里：#闸北区#吃饭[泪],21.49166507445993
87632,0,难得休息的，竟然感冒了[泪],5.548572582199059
96063,0,知道得太晚了，遗憾！[失望],3.6353553823816935
81716,0,社会败坏的典型!?救了[衰],29.999484053811823
92195,0,姐，我给你跪下了，这才气[晕],15.372078668340153
95696,0,[泪]同意，让他们变成海豹!!,8.008465592383374
19351,1,//@好色小湿妹: [哈哈],13.989318696368096
41680,1,我觉得总结的很好，喜欢[鼓掌],2.6868310623049534
21865,1,斯坦福正门左侧草坪。[嘻嘻],4.8034585907974545
2453,1,[嘻嘻]重口味爱好者的福音来咯,4.525421944611024
48755,1,转给来北京玩的童鞋们[可爱],5.202478380134425
53195,1,偷偷发张我师父的照片[哈哈],4.644975983919985
12712,1,好样的！[嘻嘻]你家就你牛！,19.774396838469524
94030,0,早知道找你买了还能越狱[抓狂],19.916373442455306
40934,1,我上班能穿成这样吗？[嘻嘻],3.716090607990119
11905,1,[哈哈][哈哈][哈哈]翔子,4.235524916966481
