,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,190.26888463033967
48250,1,爱上江西，没有理由！[哈哈],17.19995525097965
100168,0,计划赶不上变化[抓狂][泪],29.216761342183375
22319,1,芭其乐，大嘴快乐的家伙[爱你],132.1706539285658
70122,0,传统已逝??????[抓狂],57.387056951982935
6338,1,谢谢哈! 欢迎常来![鼓掌],61.62816366157689
20081,1,胖子手感好啊！[鼓掌][爱你],18.64417619717216
23064,1,生快！[干杯][蛋糕][鼓掌],38.139276577958405
84060,0,居然把我干儿子装脸盆里！[怒],61.132180469143314
93871,0,三哥总是这么的让人惊喜[晕],43.42329137546451
104161,0,此刻后：ko了... [晕],215.87458351924582
40416,1,[害羞][哈哈]@魔王1987,93.13913197744974
15376,1,随手拍祝大家周末愉快！[爱你],16.397826487375006
10199,1,是滴，美女。欢迎哦！[可爱],97.62312786318111
71224,0,偷贡品。不怕报应啊？。[衰],416.9759389241596
12238,1,[哈哈] //@独眼u:哈哈哈,31.941473268675608
77537,0,求二手智能手机。。。[抓狂],54.435560021446264
55063,1,是帮你挡酒的男的么？[嘻嘻],36.42135245200792
21548,1,原来很多国家都免签![哈哈],35.02783423417254
38076,1,百变大咖秀真的很快乐[哈哈],22.069037029875613
84198,0,[泪]//@那木错:[微风],97.13053377818223
27872,1,哈哈，强大[鼓掌][good],86.70160406308919
48051,1,眼睛一眨，美妞变辣妈！[哈哈],34.22293334052802
18029,1,祝大家十一小长假快乐[太开心],33.13211262703625
115177,0,[泪] //@袁腾飞:[泪],16.23952216600465
114619,0,可怜的风扇[泪] 我要等正版！,47.39048731297145
64870,0,固执的大叔这场又好危险[失望],62.27066299923201
74958,0,办公室都是孩儿他娘！！！[怒],73.08001556810164
77734,0,//@地狱中的八尾猫: [衰],41.60625660393616
51580,1,财神到我手?[偷笑][鼓掌],55.0352667498594
54352,1,爱吃牛排的童鞋举个手~[爱你],66.47280340772217
8324,1,开始喽，看起来吧！！[鼓掌],60.183075234591314
106626,0,受伤，是个超级不好的消息[衰],22.049387009340805
15031,1,[哈哈][哈哈]收费大调查。。,13.081772884015068
8249,1,用美食向大家说早安~[嘻嘻],29.54115569589635
