,labels,text,neg_logits,pos_logits
82777,0,[MASK]黑。[泪] //@耿嘉晨：还真是,1.6050854,2.0715117
48250,1,[MASK]黑。爱上江西，没有理由！[哈哈],2.0970635,3.0426698
100168,0,[MASK]黑。计划赶不上变化[抓狂][泪],1.4331701,2.5544684
22319,1,[MASK]黑。芭其乐，大嘴快乐的家伙[爱你],2.2738452,2.874582
70122,0,[MASK]黑。传统已逝??????[抓狂],1.5723015,2.535115
6338,1,[MASK]黑。谢谢哈! 欢迎常来![鼓掌],2.6229045,2.888587
20081,1,[MASK]黑。胖子手感好啊！[鼓掌][爱你],2.7045379,3.214236
23064,1,[MASK]黑。生快！[干杯][蛋糕][鼓掌],2.0300088,2.5499136
84060,0,[MASK]黑。居然把我干儿子装脸盆里！[怒],1.8552089,2.4169803
93871,0,[MASK]黑。三哥总是这么的让人惊喜[晕],1.8297925,3.0676913
104161,0,[MASK]黑。此刻后：ko了... [晕],2.1981702,2.3232775
40416,1,[MASK]黑。[害羞][哈哈]@魔王1987,1.8823524,2.4331148
15376,1,[MASK]黑。随手拍祝大家周末愉快！[爱你],2.1850903,2.811395
10199,1,[MASK]黑。是滴，美女。欢迎哦！[可爱],3.2577577,3.8359897
71224,0,[MASK]黑。偷贡品。不怕报应啊？。[衰],2.0583794,3.298184
12238,1,[MASK]黑。[哈哈] //@独眼u:哈哈哈,1.8067912,2.2374678
77537,0,[MASK]黑。求二手智能手机。。。[抓狂],3.7358928,3.7014813
55063,1,[MASK]黑。是帮你挡酒的男的么？[嘻嘻],1.4205003,2.4522583
21548,1,[MASK]黑。原来很多国家都免签![哈哈],2.654336,2.4436364
38076,1,[MASK]黑。百变大咖秀真的很快乐[哈哈],1.9915202,2.8511038
84198,0,[MASK]黑。[泪]//@那木错:[微风],1.8233182,2.3920522
27872,1,[MASK]黑。哈哈，强大[鼓掌][good],2.2786367,2.7400424
48051,1,[MASK]黑。眼睛一眨，美妞变辣妈！[哈哈],1.4905318,3.2990537
18029,1,[MASK]黑。祝大家十一小长假快乐[太开心],2.2190444,2.9175618
115177,0,[MASK]黑。[泪] //@袁腾飞:[泪],1.4162303,2.271221
114619,0,[MASK]黑。可怜的风扇[泪] 我要等正版！,2.810599,2.8826442
64870,0,[MASK]黑。固执的大叔这场又好危险[失望],3.243321,3.8918507
74958,0,[MASK]黑。办公室都是孩儿他娘！！！[怒],1.4978758,1.6061608
77734,0,[MASK]黑。//@地狱中的八尾猫: [衰],2.2615514,2.7947352
51580,1,[MASK]黑。财神到我手?[偷笑][鼓掌],1.1196165,2.952549
54352,1,[MASK]黑。爱吃牛排的童鞋举个手~[爱你],2.1356342,3.2619603
8324,1,[MASK]黑。开始喽，看起来吧！！[鼓掌],1.7227188,3.53816
106626,0,[MASK]黑。受伤，是个超级不好的消息[衰],2.8745637,3.163367
15031,1,[MASK]黑。[哈哈][哈哈]收费大调查。。,2.536367,3.0914862
8249,1,[MASK]黑。用美食向大家说早安~[嘻嘻],1.2900157,3.222861
59782,0,[MASK]黑。愚人节的游戏，银行也玩呀[衰],2.7348988,2.5327775
110113,0,[MASK]黑。[衰]弄破了，基本上不会复原！,2.583246,3.2509677
11405,1,[MASK]黑。哈，回忆录写到哪了？[嘻嘻],2.0576508,2.6413207
81138,0,[MASK]黑。书人搬家，其实就是搬书[晕],2.3043756,2.4252114
14831,1,[MASK]黑。《时尚旅游》也玩街拍了[哈哈],1.6095512,2.2131388
51446,1,[MASK]黑。阿姨做的菜相当好吃呢[爱你],2.2942476,3.2526507
73965,0,[MASK]黑。Facebook 还在跌[晕],1.1259891,1.8466924
101129,0,[MASK]黑。[抓狂] 你是在哪里腐败~~~,2.2379112,2.9630342
104892,0,[MASK]黑。男人动手…[怒][怒][怒],1.3693247,2.8255424
66040,0,[MASK]黑。我在这里：#闸北区#吃饭[泪],0.8516592,2.2688098
87632,0,[MASK]黑。难得休息的，竟然感冒了[泪],1.9226129,3.1606739
96063,0,[MASK]黑。知道得太晚了，遗憾！[失望],2.9609294,3.136573
81716,0,[MASK]黑。社会败坏的典型!?救了[衰],2.535389,3.7822745
92195,0,[MASK]黑。姐，我给你跪下了，这才气[晕],1.9431539,2.899982
95696,0,[MASK]黑。[泪]同意，让他们变成海豹!!,2.1421874,2.8074768
19351,1,[MASK]黑。//@好色小湿妹: [哈哈],2.1223385,2.931236
41680,1,[MASK]黑。我觉得总结的很好，喜欢[鼓掌],2.1641953,3.0195456
21865,1,[MASK]黑。斯坦福正门左侧草坪。[嘻嘻],2.9766932,3.4097605
2453,1,[MASK]黑。[嘻嘻]重口味爱好者的福音来咯,1.7850294,3.0206566
48755,1,[MASK]黑。转给来北京玩的童鞋们[可爱],2.2608373,2.5321152
53195,1,[MASK]黑。偷偷发张我师父的照片[哈哈],1.896425,1.682931
