,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,36.155056688253204
37994,1,局气！规矩！管虎导了俩影帝了！,675.3884464775574
45474,0,前半段真好看，后半段越来越萎,18.69503205084989
37018,0,前面的剧情看得我尴尬癌都犯了,18.550810113723585
39152,0,混乱的情节，特么矫情无下限。,25.53245087405583
4952,0,适合能静得下心和有故事的人。,10.804793158090465
49922,1,最是人间留不住朱颜辞镜花辞树,391.1274670302151
18895,1,超级治愈又感人，狗狗真的好暖心,14.034649114250515
16855,0,密室设定很有意思，可惜未能维持,31.383105064916368
33344,1,原来巴萨的德国馆还有这个用处,79.0730828239612
43014,1,丫丫真的太美了，前夫哥好可爱,45.95975659089184
30945,0,烂的一逼，啥都没有，狗屁不通。,28.67780628649166
11202,1,这个玛丽苏我喜欢很好看求续集,67.75598424788663
43097,1,看了点映，好多戳中我泪点??,273.64289937464366
7229,0,郑恺和郭采洁还挺有cp感的。,123.63760145813862
46824,0,民乐要靠二次元来拯救了嘛……,77.01896116848526
44791,1,反正我追完了，为了女主的颜值,41.59290591912359
40750,0,我朋友说，她尴尬得想原地去世。,28.84174077484619
24357,0,今年作品太多了，有点透支了。,21.748440753120985
12065,0,我是真的觉得孙悟空的扮相太丑了,26.690660223111678
44782,1,还可以吧……感觉题材还算新颖,6.188701611334256
11314,0,看完情圣来评评这部这部比情圣好,24.887258258643936
19047,1,它令我想起曾经怦然心动的轻吻,13.69242255129545
45899,0,发哥抄着烂片专业户就去了。。。,410.6006705140794
14214,0,第一集演得什么玩意儿，尴尬死了,18.103790487743492
31414,1,热热闹闹的，看得我好开心啊。,8.378903924721278
25276,0,煽情煽成了MV，大家都笑了。,53.7765498866813
47776,1,最喜欢的科幻故事，很成功的改编,9.991059345517005
45012,1,还算可以哦，故事讲的挺精彩！,30.287964237781996
49786,0,被黑天鹅惊艳到了！美轮美奂！,30.871635147846547
11029,0,到底在演什麼啊？？大爛片！！！,66.21173931781037
