,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,163.31923678519468
48250,1,爱上江西，没有理由！[哈哈],14.073235906370623
100168,0,计划赶不上变化[抓狂][泪],34.4576089126618
22319,1,芭其乐，大嘴快乐的家伙[爱你],233.25534673010978
70122,0,传统已逝??????[抓狂],75.71257660852034
6338,1,谢谢哈! 欢迎常来![鼓掌],39.977112838353094
20081,1,胖子手感好啊！[鼓掌][爱你],23.46638724206965
23064,1,生快！[干杯][蛋糕][鼓掌],61.66073882359999
84060,0,居然把我干儿子装脸盆里！[怒],90.75707918966238
93871,0,三哥总是这么的让人惊喜[晕],75.27016062801866
104161,0,此刻后：ko了... [晕],293.186984343934
40416,1,[害羞][哈哈]@魔王1987,147.97015333678073
15376,1,随手拍祝大家周末愉快！[爱你],15.35393694987917
10199,1,是滴，美女。欢迎哦！[可爱],74.68999221818922
71224,0,偷贡品。不怕报应啊？。[衰],215.73784814889896
12238,1,[哈哈] //@独眼u:哈哈哈,40.90023940483942
77537,0,求二手智能手机。。。[抓狂],33.04120791694919
55063,1,是帮你挡酒的男的么？[嘻嘻],37.53733981836504
21548,1,原来很多国家都免签![哈哈],25.70901218954695
38076,1,百变大咖秀真的很快乐[哈哈],22.7773193492426
84198,0,[泪]//@那木错:[微风],144.4924650211
27872,1,哈哈，强大[鼓掌][good],77.74360389462626
48051,1,眼睛一眨，美妞变辣妈！[哈哈],37.7871252643286
18029,1,祝大家十一小长假快乐[太开心],38.842776101248155
115177,0,[泪] //@袁腾飞:[泪],29.731044149161047
114619,0,可怜的风扇[泪] 我要等正版！,93.02311344152524
64870,0,固执的大叔这场又好危险[失望],80.33459618748658
74958,0,办公室都是孩儿他娘！！！[怒],47.780362026885534
77734,0,//@地狱中的八尾猫: [衰],151.03399897308486
51580,1,财神到我手?[偷笑][鼓掌],133.20209486639644
54352,1,爱吃牛排的童鞋举个手~[爱你],81.96702649831215
8324,1,开始喽，看起来吧！！[鼓掌],71.8539849409225
106626,0,受伤，是个超级不好的消息[衰],57.58662499300826
15031,1,[哈哈][哈哈]收费大调查。。,19.0661052237113
8249,1,用美食向大家说早安~[嘻嘻],21.347418520491942
59782,0,愚人节的游戏，银行也玩呀[衰],66.68544407076278
110113,0,[衰]弄破了，基本上不会复原！,31.40714184483847
11405,1,哈，回忆录写到哪了？[嘻嘻],39.94296690741764
