,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,10.673681100135884
37994,1,局气！规矩！管虎导了俩影帝了！,227.99025225124655
45474,0,前半段真好看，后半段越来越萎,4.898323486352187
37018,0,前面的剧情看得我尴尬癌都犯了,3.3379196399189897
39152,0,混乱的情节，特么矫情无下限。,9.493656337302316
4952,0,适合能静得下心和有故事的人。,3.629642499882307
49922,1,最是人间留不住朱颜辞镜花辞树,104.03627075010759
18895,1,超级治愈又感人，狗狗真的好暖心,3.9796998441048745
16855,0,密室设定很有意思，可惜未能维持,7.746009516475407
33344,1,原来巴萨的德国馆还有这个用处,12.527607624055586
43014,1,丫丫真的太美了，前夫哥好可爱,8.085856703681893
30945,0,烂的一逼，啥都没有，狗屁不通。,7.902119443529574
11202,1,这个玛丽苏我喜欢很好看求续集,23.118427917963828
43097,1,看了点映，好多戳中我泪点??,8.28742899081188
7229,0,郑恺和郭采洁还挺有cp感的。,6.718596406529303
46824,0,民乐要靠二次元来拯救了嘛……,19.49969583532269
44791,1,反正我追完了，为了女主的颜值,6.650175553592315
40750,0,我朋友说，她尴尬得想原地去世。,39.30881156022057
24357,0,今年作品太多了，有点透支了。,3.9870789287392707
12065,0,我是真的觉得孙悟空的扮相太丑了,2.7888703477327494
44782,1,还可以吧……感觉题材还算新颖,4.018460619517215
11314,0,看完情圣来评评这部这部比情圣好,3.1289247766564254
19047,1,它令我想起曾经怦然心动的轻吻,5.796633407788013
45899,0,发哥抄着烂片专业户就去了。。。,131.7852317321366
14214,0,第一集演得什么玩意儿，尴尬死了,7.095907140526959
31414,1,热热闹闹的，看得我好开心啊。,3.7402881218227133
25276,0,煽情煽成了MV，大家都笑了。,20.557082379106024
47776,1,最喜欢的科幻故事，很成功的改编,2.4089499022812033
45012,1,还算可以哦，故事讲的挺精彩！,6.364702127260797
49786,0,被黑天鹅惊艳到了！美轮美奂！,3.618229997755257
11029,0,到底在演什麼啊？？大爛片！！！,50.71588810243488
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.298821933097021
3121,1,你无车无楼无番狗做乜要拖我手,142.78056048481778
9512,0,最弱版劳拉了吧？太弱了太无聊了,21.581939172803832
15976,0,重拍经典，孩子对恐惧的克服。,6.636376844171007
26862,1,太好看了！笑得我内分泌失调！,4.964590587278869
30395,0,本来两星，加一星给受罪的演员吧,9.955285454330232
22972,0,《星际特工：全宇宙看我们尬爱》,30.36037608867734
30570,0,特效不错啊，但剧情就大简单了,6.37915417531142
20588,0,气氛到位，演员不存，故事简单！,6.766139887160936
13869,0,看的点映，形式“精致”的大烂片,31.38532843679107
24216,1,最后居然没搞你们还是人吗？？？,11.986516701244161
32991,0,平淡真实不温不火我没懂哭点在哪,16.211736431887832
1732,1,其实伍迪哈里森演的是一个天使,10.243635943832981
4472,1,陈可辛拍商业文艺片真的不错~~,4.9849835472686665
33439,0,泡泡妹子打打架，兄弟情在哪？,16.00552645316743
11847,0,一部非常尬的电影。不推荐观看。,6.353372009050285
16369,0,张艺谋式的漂亮画面，何必3D。,11.07102441567297
31321,0,"我不信你们没东西怼地雷啊=""=",44.63755992541964
18949,1,少男少女必看，爱与美的启蒙。,4.722091206398349
32102,1,迪斯尼的动画很赞，配乐很好听！,4.618784148039408
9630,1,喜欢坎妹素颜的劳拉，期待后续。,42.572153282421965
1571,1,演小安生的小朋友很像岳云鹏啊。,18.661960898195986
38226,1,你猜不到的结局…猜不到的惊异…,5.454719729659254
17406,0,卡尔文老师不是触手，是海蜇皮啊,35.73344609218716
24554,1,我不会说情话，只知道陪着你。,3.14946844983826
6181,1,腕龙站在码头哀嚎的场景太泪目了,46.11012476924245
6583,0,比较难看的伪记录僵尸片...,9.782192399025035
6224,0,cctv6盛产类似的古装片……,18.40045708741325
39086,0,打一星以上的人都是咋想的！！！,18.595872822445717
14019,0,好吧，为了阿姨们的搏命演出。,17.155831326304785
10409,0,勉强合格。觉得周冬雨有点厉害。,3.5202033790236333
24108,0,Highlyoverrated,180.10199652261957
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,37.67226506482734
6067,1,妈的吓死我了叫得我嗓子都哑了,9.844113580461771
9505,0,寻父，遇彦祖。掘墓，炸病毒。,47.20078535891863
41265,0,嗯电影院椅子挺舒服，睡得挺好,9.968547093290468
48553,1,Pixar真的没有让我失望过。,7.067773819733487
24690,1,看完只想把所有好东西都给它……,4.739314062030462
6635,1,我给你四星，反正我就是胆小。,7.745880807622037
4338,1,除了人贩子，所有人都是受害者,3.6839886416601755
25535,1,逃离已知世界的勇气令人敬佩。,2.3120793285509285
17716,1,老一套温情，稍稍让我有点麻木,12.780428558214702
47637,0,我特么就想知道那句中文是什么,5.705656817601889
8508,1,好看！但是最后那关不过瘾???,7.92641283383552
23534,1,谁能拒绝穿护士服的余春娇呢？,10.067671793970007
26207,0,太恶心了~不要看~建议哈···,8.687294968494793
28591,0,主角明明是章鱼，你叫潜艇总动员,11.95813980032248
19643,0,没看。但是五星水军太恶心了。,17.00492140868074
31415,1,爽着爽着导演就给你喂了一口屎,7.099537709437484
2047,0,好的地方都是老舍的。★★★☆,70.65753821373501
9358,0,感觉在铁匠铺呆了一宿。。。。,9.07148216330862
27611,1,勇敢、努力、坚强的女孩都是公主,3.0442051529803122
24947,0,埃德加赖特的GTA6？太屎了,124.96119846030953
24137,0,小哥有精神洁癖呀，这点好赞。,9.044783406336956
18739,1,永远不要忘记你所爱的人，感动,4.338479866679407
26928,0,把所有人都拍这么难看太不容易了,4.203397297246616
15616,1,就想知道睡觉打呼噜的人怎么办,3.263554128488227
49084,1,能把蒜皮当雪花的姑娘你真好。,8.524457133370497
46654,0,我没想到加分项竟然是景甜老师。,8.459765670255221
31054,0,交通安全宣传片，情感关系咨询片,3.0078333816720377
22682,1,Kylo在色誘Rey啊啊啊！！,374.2256751084309
21126,0,演员升级，故事降级，无聊透了。,5.920745171127743
19669,0,车行径你妈逼去死！杀人凶手！,98.4846623559089
38351,1,最后奔跑拥抱那里真的好感动。,7.987807957680929
29835,0,女个坏女人挺好看的，好友真真,67.89463304426461
20290,0,犯我中华者，虽远必诛其超市！,30.353982016569987
32379,1,我眼拙。不过剧情还是吸引人的。,9.455402360253586
7517,1,看哭了，我是不是自我代入太努力,14.849514565416143
47322,1,生命不止，奔跑不息。励志电影,2.9189821208364597
48159,1,全片都是彩蛋。最后两个彩蛋。,3.6099621247879825
39334,0,馮小剛的電影，簡稱「尬影」。,14.902748073646285
30801,0,特效不错吧，其他没什么感觉。,5.184411087439563
48912,0,莫名其妙，演到一半变得毫无逻辑,3.7403913509582893
27998,0,好玩，看完很放鬆的輕鬆喜劇。,19.578765011880876
5783,0,为了第三部放恐龙也是牛逼……,9.037891539416584
25444,1,剧情紧凑，案件逼真，很好看。,3.8260734180655147
45902,0,发哥近年来也都是接的烂片子啊,23.527960605005635
41165,0,不是赵丽颖差，而是朱琳太好。,8.743423175837844
3114,0,题材不错，可惜片子真的很一般。,3.030743175950486
28516,1,披着科幻片外衣的恐怖悬疑电影,2.6529470284554235
45673,0,他们都在打酱油不要冤枉甜老师,28.575725769997284
44474,0,虐杀白垃圾的感觉真的会超爽吧,29.54207515603526
2914,1,verycd上的三级太强悍了,33.488668733853075
36553,1,比我想象的好看，和妈妈一起看的,3.111894218454504
35983,0,世人久不见苍鹰，竟觉秃鹫美。,107.61220829485026
24574,1,看完了真的值得深思，很有深意。,2.5151517175810683
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,32.310181416838084
3072,0,忘了讲什么了。7分吧。看完了,6.431669585384241
43841,0,立体机动装置的镜头拍得真是丑啊,12.2814336546306
13535,1,答应我一定要去看3D的好吗？,7.089015971572306
27935,1,能吓到人的恐怖片就是好恐怖片,4.56115659745521
37463,1,“这房间里面的书都是你的了”,8.503287335690539
17012,0,傲慢自大的朝鲜人领导了此电影,6.321474197371334
50167,0,下錯片來看了，這片看著噁心。,37.39008460775456
25900,0,把功夫都用在P超人的胡子上了,11.823207987526267
43522,1,我不管反正我看哭了我要给五星,13.20448929761242
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,8.69084947635929
40591,1,“你出得了海，你上得了岸吗？”,4.604375139864378
23780,1,绝望感，徒劳感一点点地蔓延。,10.502534423105473
33622,0,哇，大咖云集的大烂片。。。。,11.70717761175757
6131,1,真正的大片，真正的视觉盛宴。,2.8583122204445948
49046,1,仗义每多屠狗辈，负心总是读书人,99.59847531797449
23480,1,你爱我我爱你你变成我我变成你,3.4847972209063096
30778,0,只是猩猩版的胜利大逃亡或者越狱,21.222706134450057
26793,1,休闲娱乐的一部童话故事片子。,2.6297529563941273
47988,1,尊重与认同，是靠实力争取来的,4.8091585530195795
7844,0,最后还逼着看了场广场舞好尴尬啊,7.717191772817379
16611,1,休格兰特荣升英国周润发宝座【,83.1513396713866
7068,1,最后怎么突然就玄幻起来了？！,17.483177504323788
33251,1,反转反转大反转，值得好好用心看,6.035348550329777
