,labels,text,neg_logits,pos_logits
82777,0,[MASK]高兴！[泪] //@耿嘉晨：还真是,8.9137745,11.026009
48250,1,[MASK]高兴！爱上江西，没有理由！[哈哈],8.867763,11.86204
100168,0,[MASK]高兴！计划赶不上变化[抓狂][泪],11.675233,10.297204
22319,1,[MASK]高兴！芭其乐，大嘴快乐的家伙[爱你],7.4846525,10.144481
70122,0,[MASK]高兴！传统已逝??????[抓狂],10.062931,11.130358
6338,1,[MASK]高兴！谢谢哈! 欢迎常来![鼓掌],7.8774986,12.775088
20081,1,[MASK]高兴！胖子手感好啊！[鼓掌][爱你],7.927149,10.908948
23064,1,[MASK]高兴！生快！[干杯][蛋糕][鼓掌],6.244171,8.04293
84060,0,[MASK]高兴！居然把我干儿子装脸盆里！[怒],11.412376,9.728585
93871,0,[MASK]高兴！三哥总是这么的让人惊喜[晕],9.34314,11.956833
104161,0,[MASK]高兴！此刻后：ko了... [晕],8.850391,10.235573
40416,1,[MASK]高兴！[害羞][哈哈]@魔王1987,8.304536,11.012466
15376,1,[MASK]高兴！随手拍祝大家周末愉快！[爱你],7.330931,11.691167
10199,1,[MASK]高兴！是滴，美女。欢迎哦！[可爱],8.001148,11.394575
71224,0,[MASK]高兴！偷贡品。不怕报应啊？。[衰],9.180477,10.620301
12238,1,[MASK]高兴！[哈哈] //@独眼u:哈哈哈,8.449239,11.482241
77537,0,[MASK]高兴！求二手智能手机。。。[抓狂],8.887216,11.887172
55063,1,[MASK]高兴！是帮你挡酒的男的么？[嘻嘻],9.587473,10.383931
21548,1,[MASK]高兴！原来很多国家都免签![哈哈],9.460187,12.874552
38076,1,[MASK]高兴！百变大咖秀真的很快乐[哈哈],8.132772,13.373351
84198,0,[MASK]高兴！[泪]//@那木错:[微风],8.477949,10.826597
27872,1,[MASK]高兴！哈哈，强大[鼓掌][good],7.528384,11.8191395
48051,1,[MASK]高兴！眼睛一眨，美妞变辣妈！[哈哈],9.011462,11.010149
18029,1,[MASK]高兴！祝大家十一小长假快乐[太开心],7.1737885,12.49474
115177,0,[MASK]高兴！[泪] //@袁腾飞:[泪],8.580961,11.183198
114619,0,[MASK]高兴！可怜的风扇[泪] 我要等正版！,10.34466,10.659787
64870,0,[MASK]高兴！固执的大叔这场又好危险[失望],11.071963,10.217603
74958,0,[MASK]高兴！办公室都是孩儿他娘！！！[怒],10.785511,9.593675
77734,0,[MASK]高兴！//@地狱中的八尾猫: [衰],8.282895,11.240796
51580,1,[MASK]高兴！财神到我手?[偷笑][鼓掌],7.119337,10.493264
54352,1,[MASK]高兴！爱吃牛排的童鞋举个手~[爱你],7.7247367,11.399534
8324,1,[MASK]高兴！开始喽，看起来吧！！[鼓掌],7.5889034,10.132492
106626,0,[MASK]高兴！受伤，是个超级不好的消息[衰],11.653081,12.117554
15031,1,[MASK]高兴！[哈哈][哈哈]收费大调查。。,8.181688,11.448823
8249,1,[MASK]高兴！用美食向大家说早安~[嘻嘻],6.512009,12.5672245
59782,0,[MASK]高兴！愚人节的游戏，银行也玩呀[衰],9.857801,11.521634
110113,0,[MASK]高兴！[衰]弄破了，基本上不会复原！,9.20429,11.438685
11405,1,[MASK]高兴！哈，回忆录写到哪了？[嘻嘻],8.928368,11.238132
81138,0,[MASK]高兴！书人搬家，其实就是搬书[晕],8.43244,11.477903
14831,1,[MASK]高兴！《时尚旅游》也玩街拍了[哈哈],9.4838505,12.53235
51446,1,[MASK]高兴！阿姨做的菜相当好吃呢[爱你],7.8082147,11.985594
73965,0,[MASK]高兴！Facebook 还在跌[晕],11.140202,11.5683365
101129,0,[MASK]高兴！[抓狂] 你是在哪里腐败~~~,9.472131,10.826728
104892,0,[MASK]高兴！男人动手…[怒][怒][怒],10.297695,10.271758
66040,0,[MASK]高兴！我在这里：#闸北区#吃饭[泪],8.87617,11.595755
87632,0,[MASK]高兴！难得休息的，竟然感冒了[泪],10.500185,11.1770935
96063,0,[MASK]高兴！知道得太晚了，遗憾！[失望],10.116701,10.810035
81716,0,[MASK]高兴！社会败坏的典型!?救了[衰],8.701889,10.62448
92195,0,[MASK]高兴！姐，我给你跪下了，这才气[晕],9.855438,10.148608
95696,0,[MASK]高兴！[泪]同意，让他们变成海豹!!,9.23833,10.785505
19351,1,[MASK]高兴！//@好色小湿妹: [哈哈],8.241259,11.26092
41680,1,[MASK]高兴！我觉得总结的很好，喜欢[鼓掌],8.242856,13.583009
21865,1,[MASK]高兴！斯坦福正门左侧草坪。[嘻嘻],7.7550225,11.471777
2453,1,[MASK]高兴！[嘻嘻]重口味爱好者的福音来咯,7.708305,11.042562
48755,1,[MASK]高兴！转给来北京玩的童鞋们[可爱],7.833819,12.586909
53195,1,[MASK]高兴！偷偷发张我师父的照片[哈哈],8.875031,11.460272
12712,1,[MASK]高兴！好样的！[嘻嘻]你家就你牛！,8.480622,10.75587
94030,0,[MASK]高兴！早知道找你买了还能越狱[抓狂],9.651228,10.415622
40934,1,[MASK]高兴！我上班能穿成这样吗？[嘻嘻],9.60427,11.246533
11905,1,[MASK]高兴！[哈哈][哈哈][哈哈]翔子,8.250106,11.481635
56807,0,[MASK]高兴！还有这么不要脸的[怒] 扩散,11.23258,11.386837
63131,0,[MASK]高兴！最近压力让我头痛 [衰][晕],9.907178,12.393857
29589,1,[MASK]高兴！@兔子奶奶熊的娘 还有[哈哈],7.7916684,11.300606
101122,0,[MASK]高兴！堵塞，不动！我快哭了！[泪],11.264783,9.472252
75355,0,[MASK]高兴！下辈子该她被扔下去！！！[怒],10.783021,9.4895115
70889,0,[MASK]高兴！现在的快递啊，真心桑不起[泪],10.223716,11.409822
93899,0,[MASK]高兴！我也有中奖的时候啊[泪][泪],9.3905115,12.368081
7932,1,[MASK]高兴！[哈哈]//@大藏布:[哈哈],8.259502,11.665908
4819,1,[MASK]高兴！有趣的“悲剧”设计！[哈哈],9.488732,11.72592
112114,0,[MASK]高兴！有把脚崴了。。。 大馒头[泪],9.782564,10.7261095
9343,1,[MASK]高兴！这透视，照成小短腿儿了[哈哈],9.190894,10.971284
86440,0,[MASK]高兴！下冰雹了，我怎么回家呀[泪],11.763883,10.530411
82229,0,[MASK]高兴！我也是男人//@???：[泪],9.108581,11.295737
34841,1,[MASK]高兴！[鼓掌][鼓掌]期待精彩呈现,6.8341093,12.895262
106204,0,[MASK]高兴！[泪]同求 粉待亲粉待亲呀！,7.9655232,9.711271
63072,0,[MASK]高兴！回去换身衣服准备第三场[抓狂],10.0893,10.8355255
108363,0,[MASK]高兴！狗狗是人类最忠实的朋友！[泪],8.640038,12.7427225
51324,1,[MASK]高兴！[太开心] 过500了~ ?~,7.743052,11.809509
48652,1,[MASK]高兴！家庭聚会，愉快的周末！[爱你],6.9839916,11.59921
50046,1,[MASK]高兴！这么有意境的菜~~~[哈哈],8.504936,12.521025
69366,0,[MASK]高兴！我滴亲丸子啊[泪][泪][泪],7.9108706,10.048098
18022,1,[MASK]高兴！//@电商报: 啊~~[哈哈],8.089046,11.411683
11792,1,[MASK]高兴！谢谢喜欢我家的玛克丽[哈哈],7.8929873,12.473141
51645,1,[MASK]高兴！我发现我就是来发微博滴[可爱],8.880954,12.031755
75967,0,[MASK]高兴！见过好多，就是学不来啊[衰],10.509934,11.844282
55553,0,[MASK]高兴！操，你他妈干的是人事嘛[怒],10.680177,8.801977
63799,0,[MASK]高兴！我好像午饭忘吃了。。。[晕],10.255335,11.288023
2403,1,[MASK]高兴！生日快乐，美女快乐哦~[嘻嘻],7.079644,11.859988
87818,0,[MASK]高兴！[鄙视]//@钱文忠: [泪],9.923614,10.554113
42197,1,[MASK]高兴！[good]我要好吃的[亲亲],7.748315,10.835804
2716,1,[MASK]高兴！享受生活的乐趣[哈哈][?力],7.211156,12.291376
114496,0,[MASK]高兴！我又错过了[衰]对不起唐老师了,11.418144,12.065702
39216,1,[MASK]高兴！我的 剧照 ，?点咪[哈哈],7.81314,11.450641
78602,0,[MASK]高兴！英语太烂，说不明白啊。[抓狂],10.469838,11.039184
677,1,[MASK]高兴！[抱抱] 收藏，下班的时间看,8.177662,11.657987
76315,0,[MASK]高兴！南方的小伙伴们，保重！[衰],9.264507,12.09101
67304,0,[MASK]高兴！唉，又一轮轰炸即将开始[衰],10.275021,11.261293
44036,1,[MASK]高兴！吼吼吼，怎么又回来了[鼓掌],10.614446,10.747347
9733,1,[MASK]高兴！今天早餐从简[偷笑][嘻嘻],7.9144273,11.793201
27440,1,[MASK]高兴！真滴哇~~好啊好啊！[亲亲],7.974087,10.605448
2178,1,[MASK]高兴！带着葡萄酒去蹭饭，[哈哈]。,9.083322,10.787571
49100,1,[MASK]高兴！晚餐时间到！自己煮的[爱你],8.084226,11.731287
69009,0,[MASK]高兴！//@Gummi_S:[泪],8.384421,11.681809
3699,1,[MASK]高兴！大家多多帮黑哥投票哈[鼓掌],7.85318,12.477894
36275,1,[MASK]高兴！陕西八大怪，面条想裤袋[哈哈],9.185297,11.016665
74734,0,[MASK]高兴！有才！唉……[衰][衰][衰],8.944181,11.973178
10024,1,[MASK]高兴！又一位收到材料的同学[鼓掌],6.560434,12.37363
13954,1,[MASK]高兴！今天是全国电视屏保日[嘻嘻],7.9661746,12.709873
9691,1,[MASK]高兴！多增加几款好酒才素王道[哈哈],9.037154,11.153614
48990,1,[MASK]高兴！再奋斗一天[哈哈]，度长假。,8.182611,11.849497
2741,1,[MASK]高兴！这就是传说中的落水狗。[哈哈],8.296757,11.887261
76712,0,[MASK]高兴！号称几十万的沙发[晕][晕],10.192799,11.673449
35080,1,[MASK]高兴！这是你哥？为毛这么像？[哈哈],9.635728,10.806112
41502,1,[MASK]高兴！偶下班啦！打卡，回家！[嘻嘻],8.191131,10.364391
65053,0,[MASK]高兴！看看我的红皮箱[泪]好可怜哦！,10.159945,11.288182
93676,0,[MASK]高兴！没检查到作业，百爪挠心啊[泪],9.921951,10.920539
11655,1,[MASK]高兴！[围观]中秋快乐哦。[哈哈],7.5466204,11.617584
114061,0,[MASK]高兴！[心][话筒][话筒][泪],7.655272,10.471688
58008,0,[MASK]高兴！林子大了，什么鸟都有。[怒],9.083662,10.968941
40101,1,[MASK]高兴！[哈哈]//@韩松落: +1,9.213557,11.241575
