,labels,text,neg_logits,pos_logits
8711,0,[MASK]开心！病人吃啊，挂面哈拉味，汤也腥。,9.373205,10.260712
5797,0,[MASK]开心！豆腐丝里吃出苍蝇，啥也不想说了,9.952333,10.845205
768,1,[MASK]开心！味道很好！送的也很快！好吃！,8.230491,13.853509
2518,1,[MASK]开心！菜品好，速度快，真是太好了！,7.8663926,11.862164
7638,0,[MASK]开心！这家店就直接没送，接单不送的店,12.3904505,10.555807
6583,0,[MASK]开心！送餐太慢太慢了～菜品还可以～,10.336382,11.624289
6692,0,"[MASK]开心！下次能送早点就好啦,快饿过劲啦",9.2446,11.193987
484,1,"[MASK]开心！很好吃量也很大都吃不完,赞一个",8.117169,12.7561865
11295,0,[MASK]开心！下单2个小时才送到。无语了。,13.513358,11.04205
2826,1,[MASK]开心！谢谢师傅，辛苦了！非常准时！,9.311332,12.769932
11958,0,[MASK]开心！粉很好吃，但是订了卤蛋却没有。,10.747909,11.436966
4074,0,"[MASK]开心！吃到一半发现菜里有小强,简直了",8.637563,11.512168
1568,1,[MASK]开心！米饭是硬的。。不如上一次好吃,9.604074,10.620326
10881,0,[MASK]开心！米饭里有一只蟑螂，让人怎么吃,9.789037,11.502831
6353,0,[MASK]开心！咖喱鸡肉烩意面，不知鸡肉滋味,8.686229,10.491242
4765,0,[MASK]开心！很慢就不说了，关键是还不好吃。,9.659519,11.360686
370,1,[MASK]开心！态度很好，效率很高，给十分赞,7.984892,12.029624
11746,0,[MASK]开心！速度慢，第一次订餐就迟到，晕,10.830331,10.188558
8159,0,[MASK]开心！送餐走错路，袋子还破了………,11.7417345,10.342744
2366,1,[MASK]开心！一直买他家的香脆鸡肉披萨，喜欢,8.611126,12.010123
866,1,"[MASK]开心！师傅辛苦了，谢谢,下雪注意安全",9.528806,11.596824
2743,1,[MASK]开心！又快又好棒呆了哈哈哈哈哈哈哈,7.800028,10.381333
9911,0,[MASK]开心！石锅拌饭里面吃出了塑料包装纸袋,10.72225,11.180052
5045,0,[MASK]开心！菜品没味道。。。周也是。。。。,10.761821,9.692213
1563,1,[MASK]开心！又快又好又便宜！真心给力！！！,8.050998,10.82204
10234,0,[MASK]开心！面时间太长了，坨了，不好吃了,10.57153,10.52031
