,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,139.32017380731622
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,15.801240519820661
768,1,味道很好！送的也很快！好吃！,5.90550401369902
2518,1,菜品好，速度快，真是太好了！,6.337512574168087
7638,0,这家店就直接没送，接单不送的店,53.51957197416263
6583,0,送餐太慢太慢了～菜品还可以～,5.807345261217308
6692,0,"下次能送早点就好啦,快饿过劲啦",68.71851264625072
484,1,"很好吃量也很大都吃不完,赞一个",31.465609149528895
11295,0,下单2个小时才送到。无语了。,6.927662163365242
2826,1,谢谢师傅，辛苦了！非常准时！,4.376624664100025
11958,0,粉很好吃，但是订了卤蛋却没有。,43.680903772917745
4074,0,"吃到一半发现菜里有小强,简直了",24.138939935033214
1568,1,米饭是硬的。。不如上一次好吃,24.79665961007002
10881,0,米饭里有一只蟑螂，让人怎么吃,10.652391524852057
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,12.854441836338818
4765,0,很慢就不说了，关键是还不好吃。,21.105021464930704
370,1,态度很好，效率很高，给十分赞,6.7251212867460355
11746,0,速度慢，第一次订餐就迟到，晕,14.776161445599225
8159,0,送餐走错路，袋子还破了………,19.1081731832626
2366,1,一直买他家的香脆鸡肉披萨，喜欢,5.000692048127965
866,1,"师傅辛苦了，谢谢,下雪注意安全",8.001482576921815
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,13.605392554853168
9911,0,石锅拌饭里面吃出了塑料包装纸袋,46.346873419993635
5045,0,菜品没味道。。。周也是。。。。,29.991107646818445
1563,1,又快又好又便宜！真心给力！！！,6.956401873201502
10234,0,面时间太长了，坨了，不好吃了,21.755619452589123
29,1,"送餐非常快,态度特别好,谢谢",4.025091411985635
6442,0,"太小了,味道一般,说多了都是泪",5.067958028324514
467,1,送餐员辛苦，饭也好吃，继续购买,6.209198103670763
58,1,"送餐特别快,送餐员态度也特别好",4.836690973468544
1652,1,很快，也好，包装也好，赞赞赞,15.366068400240898
4529,0,味道还行，就是送餐太慢了……,3.7141772252269893
88,1,"又快又好,小哥态度很好,好评",6.070180793035855
4524,0,"味道就那样把,盖浇饭挺难吃的",54.083236810743614
3085,1,外卖小哥人超级好。。。。。。,9.476942048779458
10811,0,速度挺快的，面不好吃，都凉了,19.148068153119308
8052,0,"点两份鸡柳,就给送,一份。。。",144.95067853425599
5562,0,太慢，太小，吃不饱。味道还行,7.211913372705835
5132,0,不好吃。。。菜太少了。。。。,9.323375714141596
2537,1,配送非常快，10分钟就送到啦～,6.454228112214575
2730,1,人好速度快，好评好评好评！！,15.514806086219222
6256,0,米粉比以前份量少，没以前好了,27.564645397990027
2717,1,东西非常好，还是热的，辛苦了！,6.370533726189149
5791,0,给的豆皮果然多，只是肉变少了,28.090547013436815
434,1,很快，很好，经常订，谢谢师傅,8.870625182914187
2067,1,非常好吃，送餐很快，绝对好评,5.049835900192237
8096,0,就薯条还行！其他都不怎么样！,16.178610850874342
1952,1,味道还好。服务态度真的很好～！,5.374824552893341
6980,0,咋的跟饿了吗不一样的名，坑爹,65.08571813079139
2435,1,经常买这家的饺子，味道棒棒哒！,6.075344802182218
9055,0,没有在店里吃好吃，萝卜太多了,6.965669599191894
1653,1,除了速度有待加强，其他都不错,2.903952547531074
3654,1,没有餐具哦，还要自己点餐具么,31.103543874873242
1739,1,"服务不错,但是太难吃了啊啊啊",6.705163556490599
11045,0,面也太少了，才半盒，我就没吃饱,27.49110586959474
2626,1,非常的正宗，就是羊杂汤太咸啦,20.48727570033867
7925,0,午餐肉实在太难吃了，千万别点,8.982166564443258
5910,0,真的不适合外卖，另外，真难吃,8.791075146852702
11336,0,我的电话打不通，不知道为什么,5.138965511229528
809,1,很好，速度飞快，炸鸡有点火大,19.429809286207558
661,1,太快了！！简直是神速啊！！！,6.329520117459528
396,1,"第二次买了,挺好的,以后继续",4.242203470613663
5702,0,我备注要的粥，结果送来的是饮料,42.95661002227635
10859,0,赠送的黄飞红花生呢？没送啊！！,97.73390809657559
280,1,非常好送的很快，，，还是热的。,12.879276591709099
184,1,好好好！赞赞赞！态度好速度快！,4.3254108480090725
2289,1,味道很好而且很实惠送得也很快,4.864982286439687
4775,0,包装牛逼，送餐速度……咳咳……,7.84504232922467
2711,1,"番茄醬撒了QAQ,其他nice",137.70056330802424
854,1,"粥里有头发,就没吃,剩下都好吃",42.338221029454395
5116,0,太慢了，俩小时连个解释也没有,7.912186238983158
2377,1,速度挺快的东西也挺好的给赞~,13.119529630231725
4429,0,肥肉太多吃的时候还把嘴唇拿破了,10.006723954150267
11423,0,饭菜都凉的，一个多小时才送来,11.535817773235834
7151,0,地三鲜，茄子里面有很多是生的,23.282871792632204
901,1,我吃出来一个钢丝球上的一个丝,37.035388379785665
5808,0,不好吃，包子还不熟，都硬邦邦的,17.081729932717035
2679,1,味道好，包装好，送餐及时，不错,4.869753904901196
11060,0,差评，退款太慢！我说的是百度！,12.129801196082783
10479,0,"送错了,打电话要求补送也不送",35.51021445340368
8079,0,送的时间太晚了，一个小时才送来,6.051307605254912
4617,0,送餐很慢，饿死了，味道很一般,6.482141957491908
2406,1,挺好的，速度也不错，以后还来,6.838292791343371
2682,1,大叔特别面善！饭食用料很好！,22.862783520029996
