,labels,text,ppl
6695,1,三八妇女节快乐。中文[嘻嘻],8.721903516101351
8351,1,确实好久没有堆雪人了[可爱],23.75449515880059
1087,1,你是我的第一个好朋友[爱你],4.283352954929479
98497,0,好吧 求耳机一副 MMP[衰],95.97267598121147
72920,0,下大雨了，怎么上班啊！！[泪],5.474414129896071
104261,0,[衰]//@武鑫?: [衰],43.902232405662794
69103,0,傻逼没前途，认真工作[抓狂],4.506538678724783
7777,1,"选择正确,何来忧虑![鼓掌]",9.677257334748
23246,1,必须支持[鼓掌][haha],21.42758460727748
1154,1,老崔的演讲惊艳全场！[哈哈],8.424921633135645
80797,0,北鼻情商好高啊~[泪][哈哈],10.251032610531714
18662,1,[鼓掌]希望以后继续多多关注哦,4.111729541416408
90091,0,我的尾戒也找不到了……[泪],10.44100647575126
114341,0,粗饭！[泪]天天三餐不定时。,25.536200787621844
69471,0,[吃惊] 微臣做不到啊 [泪],18.04409921088135
48171,1,@叶军啊 必须单独爱特[嘻嘻],61.772871034575424
46825,1,#in 海德堡#欢迎[鼓掌],12.855020607518547
58865,0,[泪]好想要松下的面包机！！！,11.24617811288526
34736,1,这个宣传片做得有爱~[嘻嘻],8.950268351513918
64842,0,[怒骂][怒骂][怒骂]！！！,2.543095437120951
87806,0,无比可耻丧尽天良[怒][怒],22.62243169860214
5820,1,有幸坐上领导的专车~[哈哈],5.05866718529742
87611,0,我还没机会看[抓狂][抓狂],4.726528530380831
10470,1,此工程叫“达美广场”[哈哈],10.218243690592985
27504,1,下次来记得带好小棉袄哦[哈哈],4.738782450234352
18081,1,去看电影大家有推荐吗[嘻嘻],3.5689785123560274
78156,0,忙死忙死忙死！！！！[抓狂],4.306159880180315
18581,1,小盆友太可爱了[爱你][爱你],3.8257043874571437
46318,1,这孩子有前途 ！！！ [哈哈],5.626018626175097
86203,0,除了感谢还能说什么呢…[泪],4.142047610687827
82904,0,堵死在长安街上算了[怒][怒],9.730266929453245
59454,0,公交卡不充钱怎么回家啊[泪],26.73962477891932
